gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal
0610010F05Rik,chr11,23633135,23633766,3.29051701799228,48.751228979986784,14.815674471038754
0610038B21Rik,chr8,77517280,77518435,5.102924366438029,227.42827438804176,44.56822364129855
0610040J01Rik,chr5,63812229,63812661,2.96874838731207,117.94750299662957,39.72970680193623
1110034G24Rik,chr2,132686949,132687166,4.941971347704228,140.82906845464393,28.49653681623741
1600017P15Rik,chr3,30595182,30595631,3.1571509653324994,146.6293425885827,46.44356389626754
1700001L05Rik,chr15,83366863,83367533,27.85087428607885,62.0493595219748,2.2279142437187303
1700003G18Rik,chr7,116093081,116093523,3.210405106326461,131.26347267890074,40.88688758319984
1700018A14Rik,chr18,46198145,46199234,2.764395535116236,13.23974050553072,4.789379934002108
1700025A08Rik,chr5,67607245,67608749,3.344338885626762,193.9041245470777,57.97980742335511
1700028N14Rik,chr11,103267034,103267850,2.189412802678285,26.190006753859592,11.962114555017507
1700030J22Rik,chr8,116978661,116979149,3.089931397554748,324.2253340508089,104.92962216164037
1700034P13Rik,chr1,9747560,9748645,2.148062851354096,98.63692954821614,45.919014653615655
1700047K16Rik,chr11,58322902,58323440,2.403709112196292,142.20706083019965,59.16151006319717
1700086L19Rik,chr12,74283973,74284332,3.818458287633312,26.93545994252074,7.054014451265721
1700086P04Rik,chr4,129048635,129049248,3.115846687087168,176.19254131783032,56.54724349821684
1700088E04Rik,chr15,79140843,79141472,3.2319051643025607,72.08234447714301,22.30336003460617
1810012K08Rik,chr2,26138465,26138848,3.096444842565326,40.20451398337666,12.984088536215696
2010007H06Rik,chr9,51278564,51279283,3.578576636546991,390.9458222843044,109.24617857605318
2310009A05Rik,chr9,73039433,73039967,5.456561217687887,117.30160344965884,21.497349478901867
2310035C23Rik,chr1,105663826,105664647,2.189614516184518,71.04066616099725,32.44437120593636
2410089E03Rik,chr15,8168930,8169448,3.561500382609834,101.60033112684306,28.527395819733503
2610016A17Rik,chr19,25671983,25672491,2.5318773970859283,76.49322556930532,30.212057525907625
2610020H08Rik,chr7,119793770,119794341,5.667151561817136,204.712010900116,36.12255798475175
2610301B20Rik,chr4,10874291,10875069,2.654868469127454,28.54163723789532,10.750678449722136
2810405F17Rik,chr4,137388147,137388569,5.328651567041707,547.2054539674444,102.69116812815648
2810430I11Rik,chr2,27886163,27887152,9.566172401334589,86.87325910799092,9.081297666752391
2900026A02Rik,chr5,113137765,113138844,6.541956168488084,40.00984117735369,6.115883406568344
3010026O09Rik,chr11,50174662,50175016,2.8211791631631464,121.59787282080292,43.101790346581765
3110039M20Rik,chr12,49391301,49391696,3.098125818916621,56.70740590177533,18.30377757918342
3110062M04Rik,chr6,34877803,34878253,3.4360011430810182,45.06001901326391,13.114087317462056
3830406C13Rik,chr14,12284113,12284660,4.049017629070406,201.5542186286029,49.77854805608164
4632415L05Rik,chr3,19894634,19895495,5.167952974749284,35.099709819699946,6.791801316923315
4732440D04Rik,chr1,6214430,6215332,4.8731938845504414,37.10992346020739,7.615113278759035
4921536K21Rik,chr11,3894617,3895477,2.0567686780517835,188.35105366331948,91.57619700905292
4930412M03Rik,chr11,60115124,60115553,3.4450393778781216,291.2788595109401,84.5502264448267
4930430F08Rik,chr10,100588950,100589339,2.501385690988881,147.1181310677117,58.81465285329548
4930534D22Rik,chr3,131302583,131303345,5.2851584350710015,144.00977294605045,27.24795759961277
4930577N17Rik,chr3,51275954,51277670,3.507805040256325,67.1393166822034,19.13997953469425
4932422M17Rik,chr5,123138697,123139321,13.155975103980795,32.714473025553765,2.48666273438408
4933404O12Rik,chr5,136919192,136919482,2.418551244851268,163.12533688525602,67.44754209054918
4933427D14Rik,chr11,72206712,72207669,5.187548196091417,146.45547094234823,28.232117641373588
5031414D18Rik,chr14,75015955,75016491,14.760433633236758,123.33465520786086,8.355760966950351
5730480H06Rik,chr5,48372331,48372570,4.016091110207881,104.78859252074314,26.092185073789093
6330408A02Rik,chr7,13278477,13279091,3.833878244955325,142.5681190939665,37.18639716364488
6430573F11Rik,chr8,36457764,36458366,17.097256061511487,68.57683077280525,4.010984600457736
6430573P05Rik,chr3,79286440,79287592,2.61093367758702,105.47674564781435,40.39809457944338
6530402F18Rik,chr2,29251508,29253279,5.714711919813048,131.83739341819023,23.06982316310761
6530409C15Rik,chr6,28215244,28215799,2.2499356616174784,53.69792621800601,23.86642744237521
8030423F21Rik,chr5,52618568,52618779,5.9857246789825975,38.6660943056295,6.45971814263292
8430429K09Rik,chr11,3452179,3452683,3.657040860829297,264.5894062553477,72.3506836058013
8430432A02Rik,chr1,43092247,43092816,6.740211275514071,74.0454197256319,10.985622957343354
9130230N09Rik,chr11,22858860,22859999,2.943205729353194,250.41304830809383,85.08173445392322
9130401M01Rik,chr15,58033858,58034371,2.4904375942412127,183.39197611662965,73.63845476019871
9330175E14Rik,chr8,94434255,94434461,3.194657052999196,69.28888486884341,21.68898999778204
9330182L06Rik,chr5,9266123,9266516,5.321964824785694,356.68021885082163,67.02040141071103
9430020K01Rik,chr18,4634916,4635554,7.117114773813468,97.7366629444462,13.732624251621738
9530052E02Rik,chr8,11006954,11009869,2.640540400966377,79.87661187742634,30.25010026288305
A230046K03Rik,chr10,83543760,83544352,2.0443987586776986,18.67721742654664,9.135799631685805
A230060F14Rik,chr10,86021770,86022417,2.681898250247258,51.88716653603581,19.34717938357731
A330017A19Rik,chr17,46889446,46889983,8.181084492250653,39.04559176294404,4.772666973422545
A430005L14Rik,chr4,153956902,153957585,3.297312034591548,170.82399504562989,51.807045634002485
A430027H14Rik,chr1,189343314,189343982,3.0038109979986163,137.06421580299408,45.630106519457264
A430072P03Rik,chr5,107724685,107726871,7.046764023028284,61.40240810490639,8.71356099115112
A630052C17Rik,chr11,29172125,29173524,2.801110396957641,49.87432764996168,17.805198861184294
A730089K16Rik,chr5,76657534,76658400,3.056931573877008,229.57177712762828,75.0987621343679
A830092H15Rik,chr3,26331359,26331926,5.2157367134292585,173.6825095135998,33.29970799070617
A930002H24Rik,chr17,63863235,63864594,2.516237398672119,218.65228529991623,86.89652471396556
A930006K02Rik,chr16,91464946,91465266,3.193842526900417,139.18420605388874,43.57891939931216
A930016O22Rik,chr7,19421190,19421537,6.475387884123361,104.5786678708705,16.150178142575992
A930035D04Rik,chr6,47453877,47455201,3.49649878399761,104.44081067360356,29.870112110891256
AC151286.1,chr17,91087924,91088778,3.853785291342492,32.6606120572375,8.474943357796656
AI597479,chr1,43098480,43098954,2.7704762523974944,280.3086323521928,101.1770565113566
AI854703,chr6,48626968,48627338,5.517849035379417,45.30820904362759,8.211208525844006
AU041133,chr10,82127959,82128352,2.991235062527302,71.18359951622085,23.79739406239697
AW011738,chr4,156203061,156203844,8.024743739381757,122.6545792477451,15.284547797559286
AW549877,chr15,3995516,3996031,2.103037077190306,108.75241162439976,51.71207526673512
Aaed1,chr13,64312395,64312852,2.028955601832432,40.027299371729605,19.72803117800081
Aard,chr15,52040030,52040580,11.392804679676011,70.24011470965782,6.165304916967584
Aasdhppt,chr9,4309133,4309885,2.6295751485400234,29.345264736226653,11.159698079942515
Aatf,chr11,84513298,84513787,11.120694720594562,86.79048411322263,7.804412070811924
Abcc4,chr14,118533924,118534141,2.391169895041504,11.987155937159946,5.013092529316862
Abce1,chr8,79711304,79711930,3.415079527779064,82.62468098010991,24.194072292613168
Abcf3,chr16,20548195,20548752,6.446657100369025,43.703025302406736,6.779176342403112
Abhd10,chr16,45742693,45742974,4.946096850893369,20.01736657393521,4.047103640989087
Abracl,chr10,18022557,18023138,2.088542024252312,129.9616443615641,62.22601357906111
Acaa1a,chr9,119339620,119340000,4.109491651437856,100.3821110617528,24.426892563860168
Acaca,chr11,84129616,84129832,4.5024960939892775,82.27961591058086,18.274222607415947
Acad12,chr5,121618892,121619156,2.2254276047542163,60.27070370169423,27.082751904819087
Acbd3,chr1,180725762,180726715,7.175044208758506,39.46878669770886,5.50084230136585
Acer2,chr4,86874033,86874720,2.614439263716498,156.50942093288265,59.86347554710457
Aco1,chr4,40143246,40143838,3.1954420722998043,370.15998525986106,115.83999236557956
Acot2,chr12,83987870,83988465,4.300145848691299,327.00876209651625,76.04596997472485
Acot8,chr2,164804633,164804974,3.065016087454478,68.73162206796273,22.424555077962065
Acp6,chr3,97158586,97159427,6.521225435932144,67.46373092977214,10.345253601883629
Acss1,chr2,150667985,150668235,2.238370900501788,39.155900370146654,17.493034939548608
Actr2,chr11,20112370,20113193,2.720552481059494,100.79622820372032,37.04991133435741
Actr3b,chr5,25759911,25760231,5.9550440070634565,276.3648692741689,46.408535175619896
Actr6,chr10,89732032,89732462,5.841593114037974,139.7775105495656,23.92797783427696
Acvr2b,chr9,119401916,119403600,3.40287716851012,82.91099635251156,24.36496889154904
Acyp2,chr11,30649110,30649612,5.335080323598658,271.20091174043176,50.8335198892562
Adam11,chr11,102774033,102774852,2.988319639279096,245.1615044365957,82.03992009895522
Adam12,chr7,134224650,134225407,3.4686348592791454,135.88493493510086,39.17533567178085
Adam19,chr11,46056019,46056350,5.028425572767196,156.98898272966778,31.220305532587428
Adam22,chr5,8367751,8368260,4.279442297830198,54.73257854481847,12.789652187288397
Adamts9,chr6,92943066,92943760,2.7306682868573424,93.8031788762499,34.351729694786776
Adamtsl3,chr7,82335315,82336476,3.721453298547089,79.37106579877957,21.32797577488537
Adck5,chr15,76576291,76576551,4.122943915849597,33.54874256649738,8.137084387087555
Adgrg6,chr10,14544965,14545639,21.538907158923543,120.0964157275766,5.57578965550352
Adgrl2,chr3,148987630,148990644,2.4386327718145693,318.0547899967433,130.42340514438385
Adgrl3,chr5,81019583,81020622,2.674722177387251,258.6215525093527,96.69099643163013
Adi1,chr12,28675146,28675589,2.9107615322470264,275.80327371252525,94.75296092002868
Ado,chr10,67548040,67549252,2.0865091580703807,78.34136755339487,37.546620512246186
Adra1b,chr11,43836436,43836673,3.5829711882675004,106.5178470584803,29.72891532236564
Adra1d,chr2,131561114,131562649,7.055790065110744,171.53614717228172,24.311401783407423
Afap1,chr5,35893170,35893597,2.871492491093196,53.39579045963404,18.595134977805888
Aff2,chrX,69360457,69360750,3.037898542641625,73.83853837645269,24.30579472619448
