gene,chr,tss,strand,promoter_start,promoter_end,cpg_start,cpg_end,cpg_id,cpg_count,exo_peak_count,exo_mean_signal,exo_min_qvalue,endo_peak_count,endo_mean_signal,endo_min_qvalue,category
Snhg6,chr1,9944118,-,9943618,9946618,9943785,9944196,660,46,2,11.909,34.3216,0,0.0,1.0,exo_only
Snord87,chr1,9942549,-,9942049,9945049,9943785,9944196,660,46,2,11.909,34.3216,0,0.0,1.0,exo_only
Dst,chr1,33908225,+,33905725,33908725,33906988,33907242,843,20,1,7.86846,21.7716,0,0.0,1.0,exo_only
Lman2l,chr1,36445271,-,36444771,36447771,36444875,36445308,863,44,1,17.1602,100.973,0,0.0,1.0,exo_only
Fam178b,chr1,36683183,-,36682683,36685683,36683084,36683438,864,32,1,15.5243,62.9361,0,0.0,1.0,exo_only
1700074A21Rik,chr1,37299697,-,37299197,37302197,37299840,37300507,869,62,2,7.460955,22.497,0,0.0,1.0,exo_only
Inpp4a,chr1,37299865,+,37297365,37300365,37299840,37300507,869,62,1,8.20705,31.699,0,0.0,1.0,exo_only
Mitd1,chr1,37890411,-,37889911,37892911,37890362,37890782,874,38,1,12.5189,57.0793,0,0.0,1.0,exo_only
Lonrf2,chr1,38836711,-,38836211,38839211,38835801,38836776,881,131,1,4.11806,8.14021,0,0.0,1.0,exo_only
Npas2,chr1,39193731,+,39191231,39194231,39193418,39194435,884,103,1,12.3852,61.5961,0,0.0,1.0,exo_only
8430432A02Rik,chr1,43092588,+,43090088,43093088,43092247,43092816,913,57,1,2.83516,3.73575,0,0.0,1.0,exo_only
Tex30,chr1,44102441,-,44101941,44104941,44101935,44102758,921,99,1,14.0356,54.1638,0,0.0,1.0,exo_only
Myo1b,chr1,51916071,-,51915571,51918571,51915183,51916194,981,110,1,6.37983,15.1765,0,0.0,1.0,exo_only
Hecw2,chr1,54195168,-,54194668,54197668,54194342,54195242,998,120,1,14.3308,70.2273,0,0.0,1.0,exo_only
Ankrd44,chr1,54926387,-,54925887,54928887,54925725,54926617,1004,106,1,6.11798,19.0802,0,0.0,1.0,exo_only
Raph1,chr1,60567104,-,60566604,60569604,60566182,60567260,1047,139,1,12.236,60.4449,0,0.0,1.0,exo_only
Arpc2,chr1,74236084,+,74233584,74236584,74236580,74237193,1151,52,1,12.0247,53.6129,0,0.0,1.0,exo_only
Ctdsp1,chr1,74391509,+,74389009,74392009,74391332,74392430,1152,93,1,11.0584,37.6617,0,0.0,1.0,exo_only
Cryba2,chr1,74893143,-,74892643,74895643,74892725,74893136,1156,33,2,10.871675,35.0911,0,0.0,1.0,exo_only
Cnppd1,chr1,75142711,-,75142211,75145211,75141432,75143190,1158,132,2,5.89415,3.2271,0,0.0,1.0,exo_only
Fam134a,chr1,75142778,+,75140278,75143278,75141432,75143190,1158,132,2,5.89415,3.2271,0,0.0,1.0,exo_only
Dnajb2,chr1,75236406,+,75233906,75236906,75236419,75236960,1159,47,1,3.58126,6.58003,0,0.0,1.0,exo_only
Asic4,chr1,75450436,+,75447936,75450936,75450376,75450680,1160,22,1,10.8717,45.7401,0,0.0,1.0,exo_only
Inha,chr1,75507077,+,75504577,75507577,75505201,75506384,1161,138,1,9.22445,35.0911,0,0.0,1.0,exo_only
Acsl3,chr1,78657825,+,78655325,78658325,78657622,78658549,1185,117,1,15.9496,65.5035,0,0.0,1.0,exo_only
Utp14b,chr1,78658038,+,78655538,78658538,78657622,78658549,1185,117,1,15.9496,65.5035,0,0.0,1.0,exo_only
Trip12,chr1,84840516,-,84840016,84843016,84838454,84840300,1232,159,1,15.8172,89.443,0,0.0,1.0,exo_only
Fbxo36,chr1,84839841,+,84837341,84840341,84838454,84840300,1232,159,1,15.8172,89.443,0,0.0,1.0,exo_only
Eif4e2,chr1,87213914,+,87211414,87214414,87213816,87214382,1250,64,1,13.5789,70.9947,0,0.0,1.0,exo_only
Cops8,chr1,90602981,+,90600481,90603481,90603176,90603710,1276,58,1,10.3775,42.4659,0,0.0,1.0,exo_only
Lrrfip1,chr1,90998737,+,90996237,90999237,90998517,90999142,1279,79,1,8.05783,30.7378,0,0.0,1.0,exo_only
Eif2d,chr1,131153181,+,131150681,131153681,131153025,131153329,1585,22,1,12.9723,48.1067,0,0.0,1.0,exo_only
Mfsd4a,chr1,132068062,-,132067562,132070562,132067625,132068248,1592,68,1,17.6509,76.0235,0,0.0,1.0,exo_only
Gm29257,chr1,133025801,+,133023301,133026301,133025085,133025419,1599,30,1,19.5648,88.2816,0,0.0,1.0,exo_only
Snrpe,chr1,133610291,-,133609791,133612791,133609752,133610435,1604,75,1,10.4204,34.3216,0,0.0,1.0,exo_only
Gm26706,chr1,133610411,+,133607911,133610911,133609752,133610435,1604,75,1,10.4204,34.3216,0,0.0,1.0,exo_only
Tmem183a,chr1,134361979,-,134361479,134364479,134361776,134362168,1610,45,1,3.95334,7.46559,0,0.0,1.0,exo_only
Ube2t,chr1,134962565,+,134960065,134963065,134962406,134962752,1614,40,1,9.4008,39.6918,0,0.0,1.0,exo_only
Gm8762,chr1,136789520,-,136789020,136792020,136789139,136789568,1628,34,1,13.185,49.3044,0,0.0,1.0,exo_only
2310009B15Rik,chr1,138856852,-,138856352,138859352,138856300,138856821,1644,49,2,7.405564999999999,9.17145,0,0.0,1.0,exo_only
Nmnat2,chr1,152954993,+,152952493,152955493,152954930,152956251,1751,86,1,14.1758,75.8127,0,0.0,1.0,exo_only
Acbd6,chr1,155558120,+,155555620,155558620,155558147,155558794,1771,76,1,16.5876,69.4038,0,0.0,1.0,exo_only
Soat1,chr1,156474331,-,156473831,156476831,156474014,156474393,1778,43,1,7.46095,26.9825,0,0.0,1.0,exo_only
Rasal2,chr1,157412595,-,157412095,157415095,157411786,157412829,1785,129,1,15.5188,86.9252,0,0.0,1.0,exo_only
2810025M15Rik,chr1,157412352,+,157409852,157412852,157411786,157412829,1785,129,1,15.5188,86.9252,0,0.0,1.0,exo_only
Nuf2,chr1,169531464,-,169530964,169533964,169531289,169531599,1878,29,1,18.3539,111.485,0,0.0,1.0,exo_only
Dcaf8,chr1,172148084,+,172145584,172148584,172147961,172148562,1898,62,1,23.18,112.498,0,0.0,1.0,exo_only
Dusp23,chr1,172632962,-,172632462,172635462,172632538,172633129,1902,46,1,15.3116,61.6627,0,0.0,1.0,exo_only
4930527J03Rik,chr1,178276641,-,178276141,178279141,178276097,178276585,1945,73,1,16.4141,94.5276,0,0.0,1.0,exo_only
Hnrnpu,chr1,178337797,-,178337297,178340297,178336419,178338012,1945,200,1,13.7282,72.1919,0,0.0,1.0,exo_only
Gm38300,chr1,178339601,+,178337101,178340101,178336419,178338012,1945,200,1,13.7282,72.1919,0,0.0,1.0,exo_only
H3f3a,chr1,180813943,-,180813443,180816443,180812492,180814356,1964,148,1,11.4899,54.7728,0,0.0,1.0,exo_only
H3f3aos,chr1,180813776,+,180811276,180814276,180812492,180814356,1964,148,2,9.78551,22.7616,0,0.0,1.0,exo_only
Degs1,chr1,182282804,-,182282304,182285304,182282094,182282871,1975,80,1,11.9375,58.1594,0,0.0,1.0,exo_only
