chr,start,end,distanceToTSS,geneId,SYMBOL,category,exo_signal,endo_signal,enrichment,log2_enrichment,normalized_enrichment
chr14,25459062,25461092,0,328365,Zmiz1,Both,126.74630426223412,14.405169162122016,8.798668230534211,3.1372851734540603,0.7958906299360476
chr4,14864148,14864524,72,72519,Pip4p2,Both,137.7778076209262,27.21709811367943,5.0621784528776965,2.3397583665050448,0.6700855945521356
chr10,9900396,9901332,0,78808,Stxbp5,Both,85.03612109657116,16.97701087487599,5.008898310975036,2.324493322767464,0.6671602852145007
chr2,143914805,143915832,0,56431,Dstn,Both,63.03650935871109,13.237257217968846,4.762052162372618,2.251583423628855,0.6529014414238714
chr4,62208319,62208792,0,22696,Zfp37,Both,54.69826691838709,11.698746940862415,4.675566297389693,2.225141112584708,0.647612256609558
chr19,16955885,16956227,0,353211,Prune2,Both,112.07663439626124,24.0259639471311,4.664813226344832,2.2218193184145716,0.6469433465698777
chr15,32920846,32921136,123,15529,Sdc2,Both,58.01553877535353,12.495251751423304,4.6430067940604,2.2150593919857884,0.6455790196628651
chr15,13173108,13173414,261,12563,Cdh6,Both,61.81671991534427,14.058087134763491,4.397235507417009,2.1365968025719067,0.6294399239663431
chr4,133756586,133756944,0,93760,Arid1a,Both,48.215238433875165,11.032234000595356,4.370396642354868,2.1277642197694857,0.6275880287451134
chr7,59228599,59229618,0,22215,Ube3a,Both,83.5925934311948,19.426718764016343,4.302970277514461,2.1053328749990774,0.6228528738921362
chr6,50455486,50456118,43,71720,Osbpl3,Both,146.61246827483137,35.49004715774333,4.131086882561187,2.046521402416755,0.6102190343341646
chr3,75956176,75957134,0,73124,Golim4,Both,157.9892631570223,38.47597166238361,4.106179943766877,2.0377968515799196,0.6083177596509493
chr10,13008301,13009120,2958,66125,Sf3b5,Both,44.43523767511082,10.926632883878696,4.066690822995543,2.0238553116541307,0.6052650398712203
chr10,121033870,121034143,0,24117,Wif1,Both,46.418689832004446,11.417209241363327,4.065677421749835,2.0234957536717126,0.6051860721701581
chr19,37375917,37376608,0,16551,Kif11,Both,77.07869955792451,19.31999980194321,3.989580763358594,1.9962371518608855,0.5991647204736783
chr5,114130344,114131638,0,22256,Ung,Both,112.12903638790488,28.563891333494865,3.9255518472169455,1.9728954798081115,0.593954126961419
chr12,69724479,69725206,0,217666,L2hgdh,Both,50.89478699903382,13.073952869732926,3.892838493923184,1.9608224913973813,0.5912393179370291
chr8,33385461,33386273,0,22427,Wrn,Both,115.27438882750003,30.17964722251305,3.819606901882836,1.933424169704461,0.5850283973950912
