chr,start,end,distanceToTSS,geneId,SYMBOL,category
chr1,4857465,4858372,0,21399,Tcea1,Both
chr1,7088491,7089271,0,319263,Pcmtd1,Both
chr1,9699785,9700881,0,17864,Mybl1,Both
chr1,9747560,9748645,0,70675,Vcpip1,Both
chr1,13372746,13374794,0,17978,Ncoa2,Both
chr1,16104765,16106291,0,98711,Rdh10,Both
chr1,16656764,16657043,0,67923,Eloc,Both
chr1,20819888,20820297,0,17215,Mcm3,Both
chr1,20951662,20951890,0,71877,Efhc1,Both
chr1,21078869,21079694,0,170829,Tram2,Both
chr1,23382681,23383400,0,70155,Ogfrl1,Both
chr1,24099641,24100556,0,68187,Fam135a,Both
chr1,24678516,24679083,0,68421,Lmbrd1,Both
chr1,30948826,30950216,0,19243,Ptp4a1,Both
chr1,34006046,34006248,0,13518,Dst,Both
chr1,34011484,34011861,0,13518,Dst,Both
chr1,34439241,34440138,0,27993,Imp4,Both
chr1,36546910,36547290,0,109346,Ankrd39,Both
chr1,36556807,36558424,0,20353,Sema4c,Both
chr1,37864612,37865324,0,211484,Tsga10,Both
chr1,37996946,37997459,0,98258,Txndc9,Both
chr1,37997823,37998675,0,226982,Eif5b,Both
chr1,38987499,38988052,0,68833,Pdcl3,Both
chr1,39367434,39368617,0,114641,Rpl31,Both
chr1,39478123,39478997,0,54610,Tbc1d8,Both
chr1,42694733,42695261,0,66297,Pantr1,Both
chr1,42851139,42851682,0,69527,Mrps9,Both
chr1,43827314,43828135,0,67883,Uxs1,Both
chr1,43933652,43934550,0,22019,Tpp2,Both
chr1,44147610,44148213,0,22592,Ercc5,Both
chr1,45795375,45795757,0,73674,Wdr75,Both
chr1,46852696,46854053,0,227059,Slc39a10,Both
chr1,50927047,50928062,0,56363,Tmeff2,Both
chr1,51478159,51478621,0,109019,Nabp1,Both
chr1,52119293,52119737,0,20846,Stat1,Both
chr1,52232207,52233503,0,14660,Gls,Both
chr1,54250569,54250800,0,78016,Ccdc150,Both
chr1,54557255,54557805,0,241062,Pgap1,Both
chr1,55052507,55053297,0,67876,Coq10b,Both
chr1,55087410,55088640,0,15510,Hspd1,Both
chr1,55405582,55406648,0,227120,Plcl1,Both
chr1,57774698,57775632,0,67198,Spats2l,Both
chr1,58445081,58445545,0,65102,Nif3l1,Both
chr1,58585919,58586427,0,213056,Hycc2,Both
chr1,58973210,58974117,0,227154,Stradb,Both
chr1,59119822,59120480,0,381259,Tmem237,Both
chr1,59481951,59483937,0,14369,Fzd7,Both
chr1,59912548,59913890,0,72750,Fam117b,Both
chr1,60098156,60098777,0,241066,Carf,Both
chr1,60343255,60343657,0,77951,Cyp20a1,Both
chr1,63113485,63114349,0,227195,Ino80d,Both
chr1,63176547,63177427,0,227197,Ndufs1,Both
chr1,64532367,64533738,0,12912,Creb1,Both
chr1,64690534,64691585,0,227210,Ccnyl1,Both
chr1,64734847,64737979,0,14367,Fzd5,Both
chr1,65178904,65179373,0,15926,Idh1,Both
chr1,65186379,65187053,0,15926,Idh1,Both
chr1,66175311,66175645,0,17756,Map2,Both
chr1,66816436,66817867,0,68691,Kansl1l,Both
chr1,74284463,74285135,0,227290,Aamp,Both
chr1,74332449,74332824,0,56695,Pnkd,Both
chr1,74505461,74506819,0,319651,Usp37,Both
chr1,74587633,74588472,0,66821,Bcs1l,Both
chr1,75317105,75318069,0,13437,Dnpep,Both
chr1,75478669,75479786,0,319998,Tmem198,Both
chr1,86358611,86360007,0,17975,Ncl,Both
chr1,86524827,86528579,0,19231,Ptma,Both
chr1,86582144,86582638,0,18582,Pde6d,Both
chr1,88277213,88277704,0,171382,Trpm8,Both
chr1,89070436,89071245,0,98402,Sh3bp4,Both
chr1,89454368,89455875,0,347722,Agap1,Both
chr1,91412380,91413380,0,55927,Hes6,Both
chr1,91458999,91459734,0,18627,Per2,Both
chr1,91540317,91541072,0,65247,Asb1,Both
chr1,92179620,92181074,0,208727,Hdac4,Both
chr1,92934261,92934948,0,23830,Capn10,Both
chr1,93342560,93344092,0,269224,Pask,Both
chr1,93478226,93479457,0,110611,Hdlbp,Both
chr1,93635101,93635978,0,59041,Stk25,Both
chr1,97660683,97662278,0,52392,Macir,Both
chr1,97769532,97770690,0,227399,Ppip5k2,Both
chr1,105663826,105664647,0,227446,Relch,Both
chr1,105989879,105991754,0,227449,Zcchc2,Both
chr1,106171429,106173330,0,626049,Gm20753,Both
chr1,106759347,106759902,0,70750,Kdsr,Both
chr1,118389219,118389718,0,76707,Clasp1,Both
chr1,119053398,119053783,0,14633,Gli2,Both
chr1,119504422,119504997,0,64143,Ralb,Both
chr1,119836759,119837754,0,19258,Ptpn4,Both
chr1,121327653,121328143,0,72999,Insig2,Both
chr1,125435174,125435976,0,74117,Actr3,Both
chr1,125560389,125561346,0,74150,Slc35f5,Both
chr1,127204918,127205651,0,107895,Mgat5,Both
chr1,127773918,127774860,0,100502745,2900009J06Rik,Both
chr1,128103279,128103980,0,226412,R3hdm1,Both
chr1,130715566,130715870,0,18640,Pfkfb2,Both
chr1,131525716,131528397,0,108900,Fam72a,Both
chr1,131867226,131867488,0,226422,Rab29,Both
chr1,133131080,133131904,0,108954,Ppp1r15b,Both
chr1,134078807,134079438,0,12227,Btg2,Both
chr1,134494514,134494948,0,98710,Rabif,Both
chr1,134955511,134955991,0,329251,Ppp1r12b,Both
chr1,135374915,135375165,0,77552,Shisa4,Both
chr1,136131275,136131926,0,16565,Kif21b,Both
chr1,136415222,136415678,0,320054,9230116N13Rik,Both
chr1,136624636,136625002,0,226442,Zfp281,Both
chr1,138619152,138619864,0,59125,Nek7,Both
chr1,139422096,139422751,0,226470,Zbtb41,Both
chr1,143776714,143777655,0,20822,Ro60,Both
chr1,144004129,144004509,0,19735,Rgs2,Both
chr1,150392777,150393719,0,108989,Tpr,Both
chr1,151428085,151429020,0,66875,Swt1,Both
chr1,151500026,151501141,0,19821,Rnf2,Both
chr1,151755184,151755925,0,66967,Edem3,Both
chr1,152765927,152767261,0,19731,Rgl1,Both
chr1,152901953,152903964,0,226517,Smg7,Both
chr1,153332003,153333079,0,226519,Lamc1,Both
chr1,153899777,153901066,0,102466257,Mir8114,Both
chr1,155972723,155973671,0,74081,Cep350,Both
chr1,156035532,156036386,0,208263,Tor1aip1,Both
chr1,156674055,156674416,0,30935,Tor3a,Both
chr1,160194961,160195410,0,64659,Mrps14,Both
chr1,160212438,160213405,0,12301,Cacybp,Both
chr1,160906209,160907096,0,381305,Rc3h1,Both
chr1,161034404,161035181,0,14455,Gas5,Both
chr1,161070648,161071145,0,226539,Dars2,Both
chr1,161876451,161877098,0,226551,Suco,Both
chr1,162570353,162571602,0,53330,Vamp4,Both
chr1,164249039,164249686,0,116914,Slc19a2,Both
chr1,164307457,164307684,0,171567,Nme7,Both
chr1,165236383,165237118,0,226591,Tiprl,Both
chr1,165459579,165461564,0,70456,Mpc2,Both
chr1,165634115,165634787,0,68481,Mpzl1,Both
chr1,166378930,166379154,0,27878,Tada1,Both
chr1,166379307,166379976,0,27878,Tada1,Both
chr1,167350131,167350541,0,56752,Aldh9a1,Both
chr1,169968945,169969431,0,15490,Hsd17b7,Both
chr1,170174609,170175289,0,107652,Uap1,Both
chr1,170644195,170644660,0,320078,Olfml2b,Both
chr1,171503388,171504200,0,56009,Alyref2,Both
chr1,175625278,175625660,0,14194,Fh1,Both
chr1,175692085,175693081,0,13603,Opn3,Both
chr1,176813368,176814723,0,545389,Cep170,Both
chr1,177441491,177442776,0,30928,Zbtb18,Both
chr1,178318207,178319311,0,66359,Cox20,Both
chr1,179545916,179546885,0,15278,Tfb2m,Both
chr1,179802926,179804038,0,226747,Ahctf1,Both
chr1,180568728,180569491,0,11545,Parp1,Both
chr1,180850520,180851311,0,208768,Sde2,Both
chr1,180904154,180904539,0,69051,Pycr2,Both
chr1,182408662,182409611,0,209456,Trp53bp2,Both
chr1,184033312,184034537,0,63953,Dusp10,Both
chr1,190170590,190171031,0,19130,Prox1,Both
chr1,191025524,191026487,0,226844,Flvcr1,Both
chr1,191396078,191397801,0,226849,Ppp2r5a,Both
chr1,191574955,191576091,0,76843,Dtl,Both
chr1,192092267,192092751,0,22033,Traf5,Both
chr1,192136724,192138612,0,100038712,Gm10516,Both
chr1,193173370,193173801,0,319266,A130010J15Rik,Both
chr10,3366238,3367166,0,76142,Ppp1r14c,Both
chr10,4386714,4388128,0,381990,Zbtb2,Both
chr10,5805008,5806200,0,67141,Fbxo5,Both
chr10,5823486,5824386,0,108853,Mtrf1l,Both
chr10,7211440,7212337,0,215748,Cnksr3,Both
chr10,8885737,8886703,0,70097,Sash1,Both
chr10,9900396,9901332,0,78808,Stxbp5,Both
chr10,12868951,12869657,0,22288,Utrn,Both
chr10,12922723,12923133,0,320273,B230208H11Rik,Both
chr10,17723028,17724216,0,17684,Cited2,Both
chr10,19591980,19592356,0,15979,Ifngr1,Both
chr10,20311946,20313153,0,72567,Bclaf1,Both
chr10,20952416,20952958,0,52906,Ahi1,Both
chr10,21993907,21994913,0,20393,Sgk1,Both
chr10,22730666,22732025,0,237336,Tbpl1,Both
chr10,24869850,24870388,0,70208,Med23,Both
chr10,25296719,25297222,0,432442,Akap7,Both
chr10,25359584,25360596,0,13822,Epb41l2,Both
chr10,30618238,30618608,0,66847,Hint3,Both
chr10,31313427,31313769,0,69692,Hddc2,Both
chr10,34019156,34019944,0,66521,Rwdd1,Both
