chr,cpg_start,cpg_end,gene,enrichment,exo_signal,endo_signal,log2FoldChange,padj
chr1,4785376,4785814,Mrpl15,0.41747326192119594,0.41747326192119594,0.3078924060718009,-0.578748054,2.01115e-11
chr1,4807559,4808103,Lypla1,0.1328483451272398,0.1328483451272398,0.040357244841131304,-0.605671729,3.66454e-14
chr1,4857465,4858372,Tcea1,0.7042452088007102,0.7042452088007102,0.4301711479065274,-0.536336219,1.02495e-17
chr1,5018557,5019711,Rgs20,0.46671255305156034,0.46671255305156034,0.14420651656764488,0.432419462,1.99858e-07
chr1,5083039,5083536,Atp6v1h,0.2491400476292217,0.2491400476292217,0.2130389975746248,-0.417803387,2.30757e-08
chr1,6214430,6215332,4732440D04Rik,0.1820882123138559,0.1820882123138559,0.08789969918789589,-0.140948235,0.495619186
chr1,6214430,6215332,Rb1cc1,0.1820882123138559,0.1820882123138559,0.08789969918789589,-0.128498676,0.104373475
chr1,7088491,7089271,Pcmtd1,0.11484435581020722,0.11484435581020722,0.11555323013461061,-0.447877158,8.74956e-10
chr1,9545269,9546268,Rrs1,0.1774062135532815,0.1774062135532815,0.15547751348002958,0.096831676,0.394682568
chr1,9699785,9700881,Mybl1,0.3716673702330493,0.3716673702330493,0.20935349598047703,0.965580901,3.42773e-41
chr1,9747560,9748645,Vcpip1,0.4401740880859072,0.4401740880859072,0.23072141822570852,0.14177312,0.055598745
chr1,9797821,9798652,Sgk3,0.1101809906096432,0.1101809906096432,0.2262105204507583,-0.575078295,1.11827e-10
chr1,9848165,9848530,Sgk3,0.0663313364107503,0.0663313364107503,0.0,-0.575078295,1.11827e-10
chr1,9943785,9944196,Snhg6,0.733707124581077,0.733707124581077,0.4743059777317956,-0.804870253,1.47723e-10
chr1,10037950,10038215,Cops5,0.8958415506058137,0.8958415506058137,0.1475224037686576,-0.490704601,2.54133e-11
chr1,10037950,10038215,Cspp1,0.8958415506058137,0.8958415506058137,0.1475224037686576,0.101899573,0.316655183
chr1,10039745,10040279,Cspp1,0.0686783074572995,0.0686783074572995,0.1429568640439372,0.101899573,0.316655183
chr1,10232143,10233428,Arfgef1,0.0855153992517156,0.0855153992517156,0.0707497575905234,0.125113089,0.080203478
chr1,13372746,13374794,Ncoa2,1.1809329862452151,1.1809329862452151,0.4570304341764391,0.34536137,2.05825e-06
chr1,13589162,13590177,Tram1,0.6906600160438767,0.6906600160438767,0.2087475824243407,-0.416764051,1.68147e-13
chr1,13660231,13660732,Lactb2,0.2277295902313275,0.2277295902313275,0.0654121181289906,-0.655372973,3.41036e-11
chr1,14309747,14310036,Eya1,0.42477666414577187,0.42477666414577187,0.2642697745208944,-0.283137084,0.000352003
chr1,15805591,15806108,Terf1,1.8128621217721548,1.8128621217721548,0.4677545122461727,-0.736642816,2.35422e-13
chr1,16104765,16106291,Rdh10,0.9632820789436153,0.9632820789436153,0.3359609679579829,0.625879982,3.01578e-05
chr1,16519743,16520093,Stau2,0.5102011013440345,0.5102011013440345,0.1378476684034869,0.195799111,0.04012526
chr1,16618558,16619401,Ube2w,0.6568811376005153,0.6568811376005153,0.30844407011946123,-0.190396904,0.057315156
chr1,16665146,16665626,Tmem70,0.4252749555995249,0.4252749555995249,0.26290252514980517,-0.614828207,1.18155e-12
chr1,20819888,20820297,Mcm3,0.181492781125298,0.181492781125298,0.1443339953202329,-0.031188472,0.774971039
chr1,20890434,20890811,Paqr8,0.11394435401159159,0.11394435401159159,0.062078331792205795,0.341684178,0.000311019
chr1,20935285,20935502,Paqr8,0.1988359308206894,0.1988359308206894,0.2180451643426157,0.341684178,0.000311019
chr1,21078869,21079694,Tram2,0.3379040715420294,0.3379040715420294,0.2836707415116712,0.66331915,2.10747e-10
chr1,21961003,21962124,Gm26580,0.4891161883468175,0.4891161883468175,0.060940044201341595,0.204600001,0.437125465
chr1,21961003,21962124,Kcnq5,0.4891161883468175,0.4891161883468175,0.060940044201341595,0.709388236,2.29713e-09
chr1,22533177,22534185,Rims1,0.0525278197894223,0.0525278197894223,0.0,0.28788581,0.495403603
chr1,22805682,22806364,Rims1,0.31853830079910017,0.31853830079910017,0.1352392894604106,0.28788581,0.495403603
chr1,23382681,23383400,Ogfrl1,0.0760091208400985,0.0760091208400985,0.0595344499764257,-0.540297191,7.93019e-10
chr1,23761822,23763204,B3gat2,0.7662646785038674,0.7662646785038674,0.281710519372493,-0.260818388,0.309410874
chr1,23921719,23922554,Smap1,0.43455535171112797,0.43455535171112797,0.21985621193960508,0.162028961,0.21247466
chr1,24005371,24005714,Sdhaf4,0.5810846852356544,0.5810846852356544,0.4831630186972912,-0.860841646,0.000120473
chr1,24099641,24100556,Fam135a,0.3825509482688047,0.3825509482688047,0.13038151135993448,-0.1615448,0.0459519
chr1,24586521,24587177,Col19a1,0.4509130181386326,0.4509130181386326,0.0951589154391507,-1.194586618,0.000670016
chr1,24678516,24679083,Lmbrd1,0.272657709081227,0.272657709081227,0.1917344059005905,0.413324413,9.6953e-10
chr1,25829845,25830680,Gm9884,0.2988413164118467,0.2988413164118467,0.151904296313529,-0.090697481,0.86802984
chr1,30873108,30874026,Phf3,0.668861873250661,0.668861873250661,0.32644490958526623,-0.002465423,0.982377448
chr1,30948826,30950216,Ptp4a1,0.8043829204818,0.8043829204818,0.8409803965523275,0.306789015,2.24346e-06
chr1,33669553,33670569,Prim2,0.48884426992509133,0.48884426992509133,0.2043239279635554,-0.525579083,2.16341e-07
chr1,33719825,33720450,Rab23,0.44231877862522717,0.44231877862522717,0.2923747153080074,0.096300656,0.371215042
chr1,33757611,33757949,Bag2,0.4467206674368341,0.4467206674368341,0.26748656002616367,-1.543188997,4.16536e-25
chr1,33814130,33814690,Zfp451,0.268080700841415,0.268080700841415,0.08017947813723211,0.193926744,0.002866723
chr1,33906988,33907242,Bend6,0.0685784462403296,0.0685784462403296,0.0884838484740286,-0.82275027,7.27793e-05
chr1,33907457,33907693,Bend6,0.0,0.0,0.0278705593478693,-0.82275027,7.27793e-05
chr1,33908265,33908468,Dst,0.1290521329645457,0.1290521329645457,0.0,0.640715604,6.50788e-16
chr1,34006046,34006248,Dst,0.21184301995403992,0.21184301995403992,0.1669138404113797,0.640715604,6.50788e-16
chr1,34011484,34011861,Dst,0.12194639185042959,0.12194639185042959,0.0,0.640715604,6.50788e-16
chr1,34177942,34178193,Dst,0.0698427269258764,0.0698427269258764,0.1315422205154192,0.640715604,6.50788e-16
chr1,34439241,34440138,Imp4,1.5582212719039985,1.9333358723523757,1.2407325629626547,0.290265781,0.001726692
chr1,34439241,34440138,Ccdc115,1.5582212719039985,1.9333358723523757,1.2407325629626547,-0.966869543,3.64841e-15
chr1,34678070,34678419,Arhgef4,0.3607969090651697,0.3607969090651697,0.1540245133001182,0.53277719,1.34909e-15
chr1,34750258,34751085,Arhgef4,0.0,0.0,0.1041811203050093,0.53277719,1.34909e-15
chr1,34801701,34802059,Arhgef4,0.0277267153956051,0.0277267153956051,0.09096276715307211,0.53277719,1.34909e-15
chr1,34842534,34843165,Fam168b,0.2754197033115837,0.2754197033115837,0.1842687433415816,0.412174778,1.5946e-09
chr1,34849895,34850178,Plekhb2,0.1010150257883184,0.1010150257883184,0.1710813575548533,0.455572205,6.96191e-07
chr1,36068460,36069216,Hs6st1,0.3905413347229396,0.3905413347229396,0.5241780359231974,0.399799459,6.89422e-05
chr1,36103537,36104186,Hs6st1,0.1833731841233274,0.1833731841233274,0.0,0.399799459,6.89422e-05
chr1,36243891,36244412,Uggt1,0.7239905746580685,0.7239905746580685,0.2467871935225703,0.434620819,1.41831e-09
chr1,36307616,36308213,Arid5a,0.7273047363661671,0.7273047363661671,0.6215165576637276,0.427908623,0.000480823
chr1,36368684,36369330,Kansl3,0.46159468789043634,0.46159468789043634,0.27229056319161693,0.440544079,2.76939e-07
chr1,36444875,36445308,Lman2l,0.4082467853093469,0.4082467853093469,0.2825650256497231,0.283409916,0.01533779
chr1,36471266,36472155,Cnnm4,0.7920455782856786,0.7920455782856786,0.8438405049394497,0.124621293,0.667013837
chr1,36511763,36513006,Cnnm3,0.521530952971345,0.521530952971345,0.47818508757711264,1.507605142,6.81645e-77
chr1,36546910,36547290,Ankrd39,0.14826192086821322,0.14826192086821322,0.1002839390470764,-0.569992013,0.042989379
chr1,36556807,36558424,Sema4c,0.7019382223546295,0.7019382223546295,0.8754331058453168,0.134760584,0.486499127
chr1,36691322,36691869,Cox5b,0.0516300770935969,0.0516300770935969,0.0806122368486171,-0.268383475,0.003301283
chr1,36709621,36710148,Actr1b,0.0,0.0,0.0165732769557833,-0.096731722,0.307058652
chr1,36938841,36940122,Tmem131,0.8337222130836378,0.8337222130836378,0.3534147815669417,1.130154816,1.11553e-48
chr1,37299840,37300507,Inpp4a,0.38646969320198055,0.38646969320198055,0.22663293469343482,-0.215743428,0.04842461
chr1,37429777,37430415,Coa5,0.20524012448401088,0.20524012448401088,0.1655661924671209,0.26887241,0.000208033
chr1,37429777,37430415,Unc50,0.20524012448401088,0.20524012448401088,0.1655661924671209,-0.498539291,1.01559e-07
chr1,37540315,37540920,Mgat4a,0.0870709565493578,0.0870709565493578,0.0,-0.459226486,8.9431e-10
chr1,37864612,37865324,Tsga10,0.24597847828115468,0.24597847828115468,0.1461720536116308,-0.646423036,1.71355e-08
chr1,37875331,37875824,Lipt1,0.0,0.0,0.0186650292847368,-0.277023312,0.405431042
chr1,37875331,37875824,Mitd1,0.0,0.0,0.0186650292847368,0.341262536,0.025505032
