gene,enrichment_score,log2FoldChange,padj,exo_peaks,endo_peaks,num_exo_peaks,num_endo_peaks
Cox6a2,1.2,0.633700658,0.049095237,chr7:128204454-128204982;chr7:128205892-128206058;chr7:128208172-128208454;chr7:128205670-128205828;chr7:128208270-128208644;chr7:128207994-128208493,chr7:128206006-128206326;chr7:128206639-128206805;chr7:128208268-128208505;chr7:128204675-128204925;chr7:128207941-128208637,6,5
Gm6142,1.0,0.705431649,0.047168314,chr16:4317993-4318941;chr16:4319820-4320096;chr16:4320890-4321110;chr16:4318059-4318852;chr16:4320892-4321110,chr16:4321119-4321294;chr16:4321645-4321805;chr16:4322456-4322732;chr16:4321061-4321455;chr16:4321800-4322006,5,5
Mapkapk5,0.6666666666666666,0.685697624,0.045180814,chr5:121545818-121546786;chr5:121545710-121546245;chr5:121546485-121546723;chr5:121545882-121546799,chr5:121544536-121544692;chr5:121545687-121546752;chr5:121547477-121547657;chr5:121547839-121548044;chr5:121544599-121544982;chr5:121545729-121546699,4,6
Lonrf3,1.0,0.549210096,0.040744643,chrX:36328350-36328533;chrX:36330085-36330252;chrX:36328332-36328598;chrX:36330029-36330408,chrX:36330090-36330291;chrX:36327154-36327417;chrX:36328172-36328540;chrX:36328812-36329014,4,4
Trappc6a,1.4,0.58921236,0.03541497,chr7:19507188-19507404;chr7:19508168-19509606;chr7:19506056-19506507;chr7:19508177-19508915;chr7:19509156-19509401;chr7:19508184-19509107;chr7:19509308-19509530,chr7:19506816-19507303;chr7:19508153-19509181;chr7:19509953-19510143;chr7:19506128-19506426;chr7:19508168-19509255,7,5
Tmem163,3.0,0.514071748,0.035242709,chr1:127678147-127678303;chr1:127677978-127678156;chr1:127679287-127679485,chr1:127677499-127677774,3,1
Adamtsl2,1.0,0.501509832,0.034960864,chr2:27077728-27078167;chr2:27078961-27079390;chr2:27077680-27078201;chr2:27078767-27079355;chr2:27079826-27080032;chr2:27077573-27077866;chr2:27078764-27079472,chr2:27077759-27078149;chr2:27078711-27078921;chr2:27079140-27079423;chr2:27081017-27081244;chr2:27077148-27077412;chr2:27077712-27078414;chr2:27078759-27079510,7,7
Ms4a6b,1.0,0.889581161,0.034245209,chr19:11515734-11515942,chr19:11518324-11518552,1,1
Nudt1,1.5,0.634287013,0.03381746,chr5:140321505-140322121;chr5:140321431-140322154;chr5:140321468-140322121,chr5:140321352-140321900;chr5:140321510-140322059,3,2
Epha10,3.0,0.756748661,0.033043096,chr4:124879945-124880118;chr4:124881358-124881883;chr4:124882460-124882746;chr4:124879187-124879369;chr4:124881689-124881872;chr4:124881341-124881883,chr4:124880765-124882088;chr4:124882286-124882490,6,2
Bend5,2.0,0.57784885,0.031642202,chr4:111414457-111414698;chr4:111415816-111416365;chr4:111414492-111414704;chr4:111414417-111414895;chr4:111415605-111415835;chr4:111416261-111416428,chr4:111412530-111413027;chr4:111414170-111415109;chr4:111416217-111416637,6,3
Uba52,5.0,0.561727633,0.029218265,chr8:70510329-70510740;chr8:70509386-70509513;chr8:70510327-70510813;chr8:70510315-70510735;chr8:70512787-70512995,chr8:70510304-70510666,5,1
Tubb2b,1.4285714285714286,0.614433763,0.028979461,chr13:34129317-34129507;chr13:34130326-34130698;chr13:34130913-34132368;chr13:34128159-34128555;chr13:34129915-34130058;chr13:34130341-34132424;chr13:34128766-34129141;chr13:34129689-34129855;chr13:34130335-34130637;chr13:34130941-34132689,chr13:34128277-34128810;chr13:34129198-34129401;chr13:34130328-34130685;chr13:34130852-34131250;chr13:34131515-34131841;chr13:34132062-34132423;chr13:34131223-34131545,10,7
