gene,chr,tss,strand,promoter_start,promoter_end,cpg_start,cpg_end,cpg_id,cpg_count,exo_peak_count,exo_mean_signal,exo_min_qvalue,endo_peak_count,endo_mean_signal,endo_min_qvalue,category
Mrpl15,chr1,4785739,-,4785239,4788239,4785376,4785814,621,49,2,8.63893,7.22685,0,0.0,1.0,exo_only
Gm19026,chr1,6441296,-,6440796,6443796,6441200,6441612,634,36,1,4.74667,1.38739,0,0.0,1.0,exo_only
Sntg1,chr1,9299878,-,9299378,9302378,9299215,9300020,655,61,1,3.78959,6.27296,0,0.0,1.0,exo_only
Cops5,chr1,10038168,-,10037668,10040668,10039745,10040279,661,60,1,5.39723,8.3471,0,0.0,1.0,exo_only
Cspp1,chr1,10037987,+,10035487,10038487,10037950,10038215,661,31,1,5.39723,8.3471,0,0.0,1.0,exo_only
Lactb2,chr1,13660546,-,13660046,13663046,13660231,13660732,689,49,1,10.2327,28.6437,0,0.0,1.0,exo_only
Terf1,chr1,15805646,+,15803146,15806146,15805591,15806108,705,60,2,5.263565,11.2478,0,0.0,1.0,exo_only
RP24-571A14.6,chr1,18059056,-,18058556,18061556,18058035,18058896,722,91,1,4.58067,6.95736,0,0.0,1.0,exo_only
Gm28756,chr1,18058269,-,18057769,18060769,18058035,18058896,722,91,1,4.58067,6.95736,0,0.0,1.0,exo_only
Efhc1,chr1,20951626,+,20949126,20952126,20951662,20951890,744,20,2,14.289055,3.69389,0,0.0,1.0,exo_only
1700101I19Rik,chr1,34579711,-,34579211,34582211,34579529,34579840,848,42,1,23.2842,11.1926,0,0.0,1.0,exo_only
Hs6st1,chr1,36068400,+,36065900,36068900,36068460,36069216,860,81,1,8.83046,14.4975,0,0.0,1.0,exo_only
Txndc9,chr1,37997893,-,37997393,38000393,37997823,37998675,874,101,1,11.4635,6.45716,0,0.0,1.0,exo_only
Npas2,chr1,39193731,+,39191231,39194231,39193418,39194435,884,103,1,6.1128,4.87306,0,0.0,1.0,exo_only
Creg2,chr1,39651474,-,39650974,39653974,39650441,39651282,887,76,1,5.8747,9.0872,0,0.0,1.0,exo_only
Uxs1,chr1,43827800,-,43827300,43830300,43827314,43828135,919,95,1,18.6291,11.2913,0,0.0,1.0,exo_only
Tex30,chr1,44102441,-,44101941,44104941,44101935,44102758,921,99,1,6.41749,11.6198,0,0.0,1.0,exo_only
Gulp1,chr1,44551511,+,44549011,44552011,44551578,44552491,924,63,1,6.1448,9.37114,0,0.0,1.0,exo_only
Inpp1,chr1,52817688,-,52817188,52820188,52817206,52817862,987,59,1,6.78262,8.42533,0,0.0,1.0,exo_only
Pms1,chr1,53297018,-,53296518,53299518,53296788,53297379,991,63,1,7.55936,23.1002,0,0.0,1.0,exo_only
Ormdl1,chr1,53297095,+,53294595,53297595,53296788,53297379,991,63,1,7.55936,23.1002,0,0.0,1.0,exo_only
Gm28778,chr1,53297111,+,53294611,53297611,53296788,53297379,991,63,1,7.55936,23.1002,0,0.0,1.0,exo_only
Gm28551,chr1,53352667,-,53352167,53355167,53352464,53352777,992,33,1,15.2636,33.4015,0,0.0,1.0,exo_only
Asnsd1,chr1,53352752,-,53352252,53355252,53352464,53352777,992,33,1,15.2636,33.4015,0,0.0,1.0,exo_only
Hecw2,chr1,54195168,-,54194668,54197668,54194342,54195242,998,120,1,6.61197,2.41368,0,0.0,1.0,exo_only
Sf3b1,chr1,55027481,-,55026981,55029981,55026873,55027605,1004,87,1,12.6748,34.1726,0,0.0,1.0,exo_only
E330011M16Rik,chr1,55053112,-,55052612,55055612,55052507,55053297,1005,90,1,14.3055,57.9882,0,0.0,1.0,exo_only
