chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr11,5878003,5878493,70.37962115033405,35.090689059355654,2.005649448242165,0.4,both,False,3,2,"71.61846721264247,45.49479212810479,94.02560411025485","17.474644776362524,52.70673334234879",2983,490,CpG:,629,3,2,16.1997;51.1361;21.6569,11.5992;16.18,5877512,5880495
chr11,5902021,5902327,14.480431018409137,11.708295302255749,1.2367668088811614,0.8,both,False,3,2,"24.710743084374798,15.970781742586862,2.7597682282657465","9.90108539190973,13.51550521260177",3489,306,CpG:,630,3,1,3.70721;3.72981;4.24067,4.04538,5900621,5904110
chr11,5955545,5956093,51.48412714084035,55.101797325240796,0.9343456954217485,0.5,both,False,3,1,"51.68250239262961,38.26331933616829,64.50655969372318","0.0,110.20359465048159",1719,548,CpG:,630,3,1,10.1949;12.1907;11.6102,21.3484,5954476,5956195
chr11,5972162,5972405,27.49048800467987,17.83175893808832,1.5416587954181389,0.2,both,False,3,2,"20.716745258784933,18.94225519972784,42.81246355552684","18.612066667635297,17.051451208541348",3473,243,CpG:,630,3,1,3.6514;12.5465;3.78324,4.00846,5971211,5974684
chr11,6064996,6066085,13.803467395056208,6.847499397332511,2.015840614813846,0.8,both,False,3,2,"20.745527459541286,14.261379126973617,6.403495598653716","6.986799626933543,6.708199167731478",6558,1089,CpG:,631,3,2,3.31324;2.76122;3.62258,3.63888;2.75759,6062432,6068990
chr11,6199825,6200401,159.6241188145647,137.3864432073513,1.161862226636518,0.8,both,False,3,2,"179.07425674471259,114.5575740819385,185.24052561704306","132.05706520028806,142.71582121441452",2211,576,CpG:,632,3,2,23.5874;41.563;28.5971,29.8502;24.2996,6199517,6201728
chr11,6267407,6267896,71.83932630643892,48.52614701298379,1.4804251054017825,0.8,both,False,3,2,"35.296011997169124,52.758650184707676,127.46331673743997","66.8527944772121,30.199499548755487",2199,489,CpG:,632,3,2,14.4965;28.5961;8.87523,8.8128;8.6905,6266783,6268982
chr11,6274191,6274450,50.46364654055591,52.32123461707222,0.9644964785309139,1.0,both,False,3,2,"54.70113523158866,47.577155029265874,49.112649360813194","58.16903850971862,46.473430724425825",4145,259,CpG:,632,3,2,10.6226;18.7343;9.35371,12.1832;9.43212,6273565,6277710
chr11,6274673,6275009,50.46364654055591,52.32123461707222,0.9644964785309139,1.0,both,False,3,2,"54.70113523158866,47.577155029265874,49.112649360813194","58.16903850971862,46.473430724425825",4145,336,CpG:,632,3,2,10.6226;18.7343;9.35371,12.1832;9.43212,6273565,6277710
chr11,6291320,6292275,140.96133387181985,120.1237997406119,1.1734671578505114,1.0,both,False,3,2,"123.59966121854367,104.90277325861645,194.38156713829935","133.53270063861356,106.71489884261025",2089,955,CpG:,9,3,2,14.8793;23.6897;14.4883,11.978;15.4633,6290769,6292858
chr11,6389594,6389970,90.65216375540983,55.88909056969674,1.6220010530026723,0.4,both,False,3,2,"86.47372383649059,55.1910374736434,130.2917299560955","56.79929137009976,54.97888976929372",2168,376,CpG:,633,2,1,18.0907;18.6264,24.7962,6388745,6390913
chr11,6415425,6416451,58.63289499941712,77.39896508351268,0.7575410722372429,0.4,both,False,3,2,"50.67046328904927,51.68922597976998,73.5389957294321","70.98383694658908,83.81409322043629",2533,1026,CpG:,633,3,2,9.02016;19.3763;10.8512,16.1604;16.0028,6414656,6417189
chr11,6444021,6444762,157.31105789024573,135.57523943064234,1.1603229214337698,0.8,both,False,3,2,"144.5912069223751,139.09867183032702,188.24329491803508","93.04497544623567,178.105503415049",2873,741,CpG:,634,3,2,34.1006;51.4278;39.1086,32.0196;29.8914,6443411,6446284
chr11,6528548,6528932,54.055479784463955,43.56240218908881,1.2408746319780175,0.8,both,False,3,2,"42.31080811913401,45.896055983859235,73.95957525039861","35.09889596726104,52.02590841091657",4218,384,CpG:,634,3,2,13.7784;38.5712;12.8297,10.484;16.4605,6526441,6530659
chr11,6547034,6547252,31.43171087557866,35.60309037904848,0.8828365892101161,1.0,both,False,3,2,"27.811404653069147,24.932163699053923,41.5515642746129","14.550190673081161,56.655990085015794",4752,218,CpG:,634,3,2,12.1308;18.2991;7.26059,13.1176;13.2864,6545605,6550357
chr11,6605463,6605768,40.32179429437739,35.82686143195411,1.1254626468176818,0.8,both,False,3,2,"34.47047657350197,33.25012467118671,53.2447816384435","32.53843236406467,39.115290499843546",4038,305,CpG:,635,3,2,6.896;6.72361;7.97861,6.00304;11.304,6603594,6607632
chr11,6625740,6626394,66.22396266464298,42.02712702095567,1.5757432724730918,0.8,both,False,3,2,"51.77062527116254,48.220535516350964,98.68072720641544","58.53265458296923,25.52159945894211",3073,654,CpG:,635,3,2,8.46481;21.1463;9.92418,11.1328;10.0445,6624035,6627108
chr11,7063695,7064250,10.936832251812627,7.601663754301012,1.438741912995636,0.8,both,False,3,2,"11.8092748799928,13.215407528503142,7.7858143469419385","12.494602646840368,2.7087248617616555",4516,555,CpG:,638,3,2,3.66604;3.45914;2.58292,8.664;3.8332,7062525,7067041
chr11,7213334,7214110,31.307193603210333,30.667115133273896,1.0208718187920438,1.0,both,False,3,2,"36.64841719724325,30.348822421072686,26.92434119131507","32.05172466141422,29.28250560513357",6560,776,CpG:,640,3,2,5.31379;13.8733;5.83155,9.98227;5.07968,7209519,7216079
chr11,8624300,8624839,34.41006160239918,31.84008890675696,1.0807149974727877,0.8,both,False,3,2,"43.61923703277558,35.71769236192049,23.893255412501475","29.648804002406525,34.0313738111074",3092,539,CpG:,650,3,2,4.81771;4.25888;7.02676,6.78942;12.6911,8622453,8625545
chr11,8664109,8664649,21.814323569985174,25.763799298298252,0.8467044521428969,0.4,both,False,3,2,"26.822229347022024,20.36744886135946,18.253292501574045","21.135605485818957,30.391993110777545",7831,540,CpG:,651,3,1,3.91536;4.73955;4.49298,6.42694,8658739,8666570
chr11,9010914,9011323,168.4723915283827,105.00877546173619,1.6043648808167639,0.8,both,False,3,2,"123.84943836196297,94.95678673662911,286.610949486556","56.42390157973196,153.59364934374042",962,409,CpG:,653,3,2,9.76532;30.6259;13.6318,11.6044;22.8117,9010455,9011417
chr11,11113908,11114582,11.48161782623938,33.53510656831131,0.3423760650007544,0.4,both,False,3,2,"11.34849013789358,15.430862065585794,7.665501275238775","54.15507176413275,12.915141372489876",3599,674,CpG:,669,3,2,3.13442;3.36889;5.04532,10.7396;4.83911,11113571,11117170
chr11,11115678,11116517,11.359423185576503,35.049874504523096,0.32409312005127433,0.4,both,False,3,2,"11.276519933872946,16.191158184852267,6.610591438004296","56.823353725689145,13.276395283357047",3430,839,CpG:,669,2,2,3.13442;2.90186,10.7396;4.63829,11113740,11117170
chr11,11461979,11462326,167.59797061886823,243.0195501931944,0.6896480982111607,0.2,both,False,3,2,"188.1000010953046,166.38730387977537,148.30660688152471","200.8273540230843,285.2117463633045",1678,347,CpG:,672,3,2,25.3289;27.7742;21.9135,33.2695;39.916,11461121,11462799
chr11,11685304,11686481,17.916218542315008,15.132773592259129,1.1839348836540906,1.0,both,False,3,2,"21.953255313081623,18.960413646781507,12.834986667081896","23.990092932238472,6.275454252279786",2284,1177,CpG:,674,2,2,4.37758;3.37542,5.76532;11.4824,11684564,11686848
chr11,11808710,11809131,242.15876948511277,243.06205780349643,0.9962837131942908,0.8,both,False,3,2,"265.9273380496787,194.32017199229088,266.22879841336874","205.19413005431187,280.929985552681",1036,421,CpG:,675,3,2,22.1163;33.6796;34.6104,26.9866;39.9024,11808690,11809726
