chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr1,3670619,3671074,48.55300994617684,36.37813011025669,1.3346758010656377,1.0,both,False,3,2,"40.693594765158494,46.949046249665365,58.01638882370665","4.222461801862742,68.53379841865063",1937,455,CpG:,613,3,1,6.08946;8.05807;5.49517,12.1862,3670618,3672555
chr1,3671654,3672156,48.55300994617684,36.37813011025669,1.3346758010656377,1.0,both,False,3,2,"40.693594765158494,46.949046249665365,58.01638882370665","4.222461801862742,68.53379841865063",1937,502,CpG:,613,3,2,6.08946;8.05807;5.49517,14.2013;12.1862,3670618,3672555
chr1,4571641,4572075,20.99465117447113,18.83108632672074,1.1148932573624477,1.0,both,False,3,2,"26.031328827189064,14.683576227902995,22.26904846832133","2.590484450059953,35.07168820338153",643,434,CpG:,619,3,1,3.91321;3.39512;3.76449,4.05345,4571501,4572144
chr1,4785376,4785814,53.11587856349532,72.63074214708072,0.7313140000130128,0.2,both,False,3,2,"57.13384269290883,55.76285252373141,46.45094047384572","73.3326088994849,71.92887539467657",2216,438,CpG:,621,3,2,11.1372;19.5773;9.32821,23.228;16.7278,4784076,4786292
chr1,4807559,4808103,25.6189911086838,37.66447463978248,0.6801897903448827,0.4,both,False,3,2,"28.228248375731628,12.560640977196192,36.06808397312357","44.280206400113016,31.048742879451954",3465,544,CpG:,621,3,2,5.73973;10.656;7.12485,8.19533;7.28905,4805683,4809148
chr1,4857465,4858372,257.2421218786164,188.62633248066004,1.3637656974801835,0.8,both,False,3,2,"220.89769345841358,197.40933518915384,353.41933698828166","146.06322676289992,231.1894381984202",1754,907,CpG:,622,3,2,29.3285;79.6005;27.7321,17.1437;26.362,4857033,4858787
chr1,5018557,5019711,103.14398102385852,80.83339106797077,1.276007101287231,0.8,both,False,3,2,"93.56325250446793,92.87250355662835,122.9961870104793","51.941183404862265,109.72559873107927",8710,1154,CpG:,623,3,2,15.309;13.2677;13.0886,10.3926;16.3863,5017704,5026414
chr1,5083039,5083536,91.13299346271724,114.80052605484212,0.7938377688198179,0.8,both,False,3,2,"65.70067349342364,49.89877119766815,157.79953569705998","116.1190283553941,113.48202375429017",896,497,CpG:,623,3,2,6.81593;18.2543;7.26942,11.9752;11.1478,5082725,5083621
chr1,5916428,5917474,46.84291095509568,34.5313190213476,1.3565340763883629,0.8,both,False,3,2,"46.34434459082015,58.302167972606064,35.882220301860805","51.547738480808015,17.51489956188719",2582,1046,CpG:,630,3,1,6.82153;5.62003;6.54346,4.28416,5915264,5917846
chr1,6214430,6215332,33.03560567533366,32.00368367623464,1.0322438507247624,0.8,both,False,3,2,"57.98978336677959,20.64551774236251,20.47151591685889","18.022011908829295,45.985355443639975",2153,902,CpG:,632,3,2,4.78768;5.42762;7.29308,7.92818;14.597,6213362,6215515
chr1,6359082,6359442,13.055157114139556,9.957235964395666,1.311122600772062,1.0,both,False,3,2,"25.947494654361805,7.798288747129319,5.4196879409275445","6.318644638285259,13.595827290506074",2046,360,CpG:,633,1,2,3.38918,4.15872;4.66264,6358987,6361033
chr1,6382891,6383203,16.32250982729654,23.55586707983044,0.6929275739237204,0.8,both,False,3,2,"18.30162616611756,11.895527272103765,18.770376043668282","12.1161629087811,34.99557125087978",1067,312,CpG:,633,2,2,3.80831;2.49945,4.332;4.19751,6382627,6383694
chr1,6441200,6441612,17.041377098450365,2.21960866533154,7.677649382354036,0.2,both,False,3,2,"27.222035964875975,20.97586604634024,2.9262292841348843","2.67546468440871,1.76375264625437",1019,412,CpG:,634,2,0,3.58938;3.39285,,6440875,6441894
chr1,7088491,7089271,161.9610033819969,189.3507831087307,0.8553490021163219,0.4,both,False,3,2,"156.95828165853536,133.23896345820978,195.68576502924554","161.41667126675011,217.28489495071125",3828,780,CpG:,639,3,2,40.7211;70.6934;35.9912,45.7782;48.4432,7086731,7090559
chr1,7397746,7398594,308.28450327872537,275.9825346224678,1.1170435248753885,0.4,both,False,3,2,"325.2738804618952,237.04597368177753,362.53365569250326","236.69763706549514,315.26743217944056",2285,848,CpG:,641,3,2,37.7001;57.3224;40.249,27.5437;52.1116,7396910,7399195
chr1,9299215,9300020,38.60996263666144,21.780985747227334,1.7726453285786845,0.4,both,False,3,2,"31.629366018621177,22.865677907584754,61.33484398377841","30.456636624034342,13.105334870420325",2306,805,CpG:,655,3,2,3.92184;8.41471;4.45924,14.6642;5.88755,9298188,9300494
chr1,9545269,9546268,116.68491792809688,105.9015645534618,1.101824306563397,1.0,both,False,3,2,"146.06149531065043,115.63214557021692,88.36111290342329","122.01788201107021,89.78524709585338",1822,999,CpG:,657,3,2,28.2449;22.9812;17.6922,22.1275;14.5568,9544817,9546639
chr1,9699785,9700881,22.357926116873188,49.275507717849095,0.4537330441097507,0.2,both,False,3,2,"12.652643972888907,19.519128183418132,34.90200619431252","37.07496540597145,61.476050029726736",3008,1096,CpG:,659,3,2,9.81078;10.7157;8.58567,8.41977;10.2563,9698649,9701657
