gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal,binding_type,distance_to_gene,baseMean,log2FoldChange,padj,category
1810010H24Rik,chr11,107027745,107028594,0.4552453421654664,259.3900320439669,569.7807490135448,both,1849,255.4369322,0.930792874,4.72303e-05,up-regulated
6530402F18Rik,chr2,29251508,29253279,0.5659064941209574,169.35316530795907,299.2599785783009,both,273,433.5962507,1.045942663,2.37731e-10,up-regulated
Adamts10,chr17,33524151,33524369,0.7823431480094892,96.6488357337602,123.53765221778096,both,53,501.3337017,0.90147865,3.70699e-06,up-regulated
Angptl6,chr9,20878027,20878599,1.287182089378034,3982.392450976788,3093.8842948794286,both,1128,134.2834034,0.928815804,0.000578751,up-regulated
Bend5,chr4,111414759,111415513,0.8980370114207167,234.8737203035511,261.541247539425,both,247,155.1324455,0.57784885,0.031642202,up-regulated
Bhlhe22,chr3,18054413,18055885,0.8309800018293892,217.0448382172908,261.1914098287204,both,239,5793.378838,0.722166017,2.46552e-13,up-regulated
Bnip3,chr7,138909270,138909987,0.3843755647041239,167.82431144303425,436.6154533580154,both,468,2433.476117,0.676104026,3.26578e-07,up-regulated
Bola2,chr7,126695342,126696351,2.7094257917123787,734.9060239431602,271.2405064538393,both,59,978.5647298,0.63771596,3.26578e-07,up-regulated
Cacna1g,chr11,94473317,94474632,1.960891997662352,96.17176219819306,49.044905233354406,both,434,1449.883584,0.591715842,7.22142e-08,up-regulated
Ccdc124,chr8,70873273,70873557,1.022665473971364,1305.739428999687,1276.8001484679532,both,67,2388.909685,0.544872694,2.15112e-06,up-regulated
Ccdc13,chr9,121838954,121839539,1.0263545736227144,192.24447332717992,187.3080495453109,both,78,112.2702358,0.711794787,0.013789938,up-regulated
Cdh20,chr1,104768481,104768920,3.047016744718043,751.6862385024892,246.69580165764623,both,48,522.3004001,0.514485801,0.000236553,up-regulated
Cgn,chr3,94786305,94786988,1.823892519485312,277.4072970096043,152.09629627072894,both,496,176.0273102,0.68360471,0.011216114,up-regulated
Chac1,chr2,119350935,119351593,3.930312235358469,2066.9683736333554,525.9043683700704,both,294,365.2865557,0.514306615,0.012755865,up-regulated
Coa4,chr7,100536969,100537241,3.312806025502812,658.1687740820589,198.67410558158568,both,102,185.1583599,0.587498572,0.009346389,up-regulated
Cox14,chr15,99725628,99726125,1.8772944657416968,7788.733791748376,4148.914266719014,both,10,2668.186725,0.527911124,5.31106e-05,up-regulated
Csrp2,chr10,110919752,110920283,0.6277466153634553,158.98343124812178,253.2605152416041,both,425,237.3457204,0.778173084,0.004381356,up-regulated
