gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal,binding_type,distance_to_gene,baseMean,log2FoldChange,padj,category
0610012G03Rik,chr16,31948044,31948757,2.2248449710549627,121.98789545912388,54.8298407512324,both,263,1483.241219,0.327137919,0.018343553,non-deregulated
1110008P14Rik,chr2,32381502,32382189,0.7582774471064174,157.1881246534955,207.2963204343272,both,251,1256.617818,0.326417891,0.010881285,non-deregulated
1110065P20Rik,chr4,124850233,124851474,0.104067532075544,26.108085334300203,250.87637626832537,both,278,716.8987607,0.496807206,0.001176932,non-deregulated
1700025G04Rik,chr1,152089616,152090328,0.7513623467368589,228.4628151965653,304.0647647420337,both,203,2187.147601,-0.277303096,0.013850556,non-deregulated
1810022K09Rik,chr3,14611032,14611738,1.3762438681684264,2151.9957627123827,1563.6732794866984,both,453,650.8852498,0.409801502,0.002551213,non-deregulated
2900026A02Rik,chr5,113220579,113221436,1.584000481381692,82.85571714652092,52.30788634246343,both,200,676.963765,-0.468782369,0.002393959,non-deregulated
5730409E04Rik,chr4,126609607,126610142,2.046807504165097,332.78483853424154,162.58726717439222,both,211,862.9299656,-0.272384475,0.048008133,non-deregulated
9930021J03Rik,chr19,29805086,29806698,1.7366174336941365,1317.1386559137177,758.4506698817927,both,709,1195.026351,-0.243955105,0.045534822,non-deregulated
AI413582,chr17,27565423,27566003,3.4262261105697025,1085.2303197444048,316.74217775544184,both,254,971.0747548,0.454300787,0.001040467,non-deregulated
Aagab,chr9,63602464,63602905,0.966437578464408,788.2803579491928,815.6557397133784,both,191,1469.333828,-0.370923333,0.000190275,non-deregulated
Aak1,chr6,86849544,86849940,0.5227856483171863,37.56179290185823,71.84931916698028,both,27,6795.812942,-0.241190175,0.002518591,non-deregulated
Aatk,chr11,120011987,120012305,3.1624116207479287,145.54729651523243,46.02414674937529,both,4674,2783.434018,-0.20229668,0.041313751,non-deregulated
Abca2,chr2,25428494,25429077,0.6474743333731983,244.4982417846412,377.6184308509333,both,209,2297.946818,-0.345424223,0.000990803,non-deregulated
Abcg4,chr9,44287597,44288354,0.1355917316321846,35.58547290767975,262.4457441417692,both,261,1024.790527,-0.274617426,0.033870735,non-deregulated
Abhd3,chr18,10706209,10707045,1.887589270198712,557.4186119656566,295.30715223178595,both,274,452.0457637,0.337815317,0.043973944,non-deregulated
Abhd6,chr14,8002678,8003008,0.9861689870535454,195.46521417263708,198.20661239474163,both,224,1682.215602,0.363583406,0.000444408,non-deregulated
Abi1,chr2,23039494,23040179,0.9690883052433574,778.3988946367244,803.2280344578639,both,62,3794.814939,0.203642832,0.023727697,non-deregulated
Abi2,chr1,60409278,60410251,0.8256976619436892,518.0219506526174,627.3748546570856,both,341,4787.04711,-0.305945666,0.00168144,non-deregulated
Abl2,chr1,156558496,156559438,1.3453586499252794,255.75304607360567,190.1002725836788,both,290,1977.487479,-0.291800215,0.004304449,non-deregulated
Ablim1,chr19,57314444,57315020,0.340128179312033,40.60826123429209,119.39105226867468,both,101,2117.762832,-0.374906306,0.001151815,non-deregulated
Abt1,chr13,23423504,23423926,1.7690033929122455,412.7925527384002,233.34751894332712,both,60,455.7404672,0.393392513,0.013211796,non-deregulated
Acap2,chr16,31200253,31201394,3.489334923233812,1817.312454296246,520.8191515797557,both,156,2105.701731,-0.340712389,0.000211803,non-deregulated
Acat1,chr9,53610088,53610454,3.185774069334551,471.9058605304496,148.1291046571366,both,72,3928.448652,0.284554665,0.003081397,non-deregulated
Acsl1,chr8,46471064,46471743,3.0891195087929897,2082.1525273465,674.0278326622781,both,27,1087.343325,-0.336162784,0.003417353,non-deregulated
Actn1,chr12,80259337,80260799,0.9865892821631084,1794.0789026936138,1818.465834901505,both,428,1755.323657,-0.442949504,2.97289e-05,non-deregulated
Adam23,chr1,63445715,63446529,1.7580460154812494,216.7217667121707,123.27422877656878,both,176,2852.83973,-0.306384204,0.002036624,non-deregulated
