chr,start,end,neu_signal,nsc_signal,fold_change,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr11,5878003,5878493,53.778363014849596,28.580024422722442,1.8816765940932265,0.2,both,nsc_only,False,3,3,"34.82953841053779,71.16934206061664,55.336208573394366","15.830518552658674,51.103617711951664,18.80593700355698",3941,490,CpG:,629,0,3,,7.11306;7.41252;8.86434,5877457,5881398
chr11,5902021,5902327,15.62622214424222,19.13029322342908,0.8168312927427904,1.0,both,nsc_only,False,3,3,"18.655756068345568,3.403917861311403,24.818992503069694","11.968670607772065,21.302500496804054,24.119708565711132",2263,306,CpG:,630,0,2,,7.74638;4.60975,5900379,5902642
chr11,5955545,5956093,46.74895098667596,36.885200098223294,1.2674175783833632,0.7,both,nsc_only,False,3,3,"34.709172870247855,57.045744663642346,48.49193542613767","36.8258483412332,36.46906921331831,37.36068274011837",1946,548,CpG:,630,0,3,,6.23571;8.68598;7.8122,5954998,5956944
chr11,6064996,6066085,15.519084621789991,20.444328794595464,0.7590899548579223,0.7,both,nsc_only,False,3,3,"14.781577971610663,8.253977443724809,23.521698450034496","10.968809894816916,29.969128545699277,20.395047943270203",2437,1089,CpG:,631,0,2,,4.87451;10.1859,6063887,6066324
chr11,6199825,6200401,139.1891064178577,30.52237698043493,4.560231547729029,0.1,both,nsc_only,False,3,3,"99.67069198480992,160.929981194217,156.9666460745461","20.495830978063797,44.38016216412977,26.691137799111235",2545,576,CpG:,632,0,3,,7.58392;14.6252;8.32767,6198640,6201185
chr11,6267407,6267896,112.62283454004923,56.13845135567405,2.006162119195441,0.4,both,nsc_only,False,3,3,"82.18441198765147,203.60915614318847,52.07493548930775","94.83200674715908,41.98482347592441,31.598523843938654",1375,489,CpG:,632,0,3,,13.6434;6.37142;7.84106,6266812,6268187
chr11,6274673,6275009,68.39356752714333,51.89323661641247,1.3179668871436752,0.7,both,nsc_only,False,3,3,"66.54044948688684,57.07137542699522,81.56887766754797","58.148192650129815,72.40993092449469,25.121586274612895",2737,336,CpG:,632,0,3,,9.77064;6.74794;12.475,6274127,6276864
chr11,6291320,6292275,151.63076063831258,92.73093589282188,1.6351690962503274,0.2,both,nsc_only,False,3,3,"113.92566080324548,208.87097211643984,132.09564899525242","76.86119189786199,73.47989408425168,127.85172169635196",1939,955,CpG:,9,0,3,,7.73429;20.8675;10.3777,6291146,6293085
chr11,6389594,6389970,82.53570372541166,32.89834214406797,2.5088104246704117,0.1,both,nsc_only,False,3,3,"51.0098425129595,118.0036441017833,78.59362456149222","28.896564393430143,38.89239963602871,30.906062402745047",2405,376,CpG:,633,0,2,,6.81864;7.82059,6388673,6391078
chr11,6415425,6416451,55.32703087284406,36.09034061792412,1.5330149265858166,0.1,both,nsc_only,False,3,3,"47.54705936198639,72.91612475393322,45.51790850261259","43.556041266085835,24.270235413395206,40.444745174291334",2535,1026,CpG:,633,0,3,,9.52864;7.54264;5.18356,6415300,6417835
