chr,start,end,distanceToTSS,geneId,SYMBOL,category,exo_signal,endo_signal,enrichment,log2_enrichment,normalized_enrichment
chr9,37145602,37145827,0,208076,Pknox2,Both,327.4085315720021,8.96385802773307,36.52540352145701,5.190828306456565,0.946702771660899
chr5,144223435,144223928,0,70381,Tecpr1,Both,484.0851163430149,15.560753000380515,31.10936317356733,4.959276957270429,0.9377128724357133
chr2,6129611,6130306,0,227545,Proser2,Both,172.93323532025522,6.041932082704617,28.62217465424457,4.839061384132449,0.9324830123600186
chr4,101550244,101550901,0,72685,Dnajc6,Both,316.30059074865784,11.769579249141964,26.87441785752172,4.748161598867126,0.9282496226388344
chr1,6214430,6215332,0,12421,Rb1cc1,Both,231.41811948058708,8.701019412066303,26.59666741573563,4.733173581065103,0.927527481131305
chr15,35293626,35294206,-1892,107587,Osr2,Both,190.67573438650493,7.279342338230516,26.19408808198117,4.711169331946669,0.9264546031486453
chr13,78198238,78199754,3,13865,Nr2f1,Both,314.11839653509304,12.170159135071732,25.81054142750464,4.689888500038082,0.925402476283145
chr7,29859939,29860162,0,233058,Zfp420,Both,211.97481656883247,8.42143908729237,25.17085433636805,4.653682279440445,0.9235791092528179
chr6,83710517,83710773,159,574519,Vax2os,Both,196.12508997679967,8.702328627099114,22.537081553788344,4.494228800260841,0.9150276980844255
chr17,57105296,57105796,0,100169874,Gm11110,Both,149.22158770056421,6.673768824761983,22.359418136705703,4.4828107400357435,0.9143814290109687
chr9,7184469,7185187,0,76863,Dcun1d5,Both,177.5790639459332,8.087202185922683,21.958034418261903,4.4566770116192185,0.9128845281977144
chr7,55841982,55842687,0,20430,Cyfip1,Both,169.7860465882586,7.973797252298813,21.292997704363497,4.412307166743162,0.9102857306799734
chr6,115134842,115135537,0,20965,Syn2,Both,446.3118718463671,20.97552527995061,21.277744699579607,4.411273337683135,0.9102243056031727
chr17,32165748,32166261,591,18131,Notch3,Both,176.01679749100344,8.319379679212762,21.15744253514577,4.403093343093019,0.9097368752360461
chr9,57589417,57589804,0,71742,Ulk3,Both,251.3760722076901,12.291827697112728,20.450666768355106,4.354075976084591,0.906762805016836
chr4,57433887,57434728,0,242481,NA,Both,140.92485785515467,6.913021829599532,20.385420634975542,4.349465820746558,0.9064783417573266
chr4,15945147,15945621,0,67460,Decr1,Both,161.2043080954867,7.915589215680242,20.365421158560373,4.34804974458758,0.9063907991723034
chr7,129256599,129257189,0,381925,Plpp4,Both,166.77552068417916,8.363515654223223,19.94083918524916,4.317654219915439,0.9044928437534246
chr13,113617302,113618748,0,170625,Snx18,Both,619.6843166377565,32.38936054407257,19.132341800775755,4.2579415654136685,0.9006573591988719
chr13,53285354,53286306,0,26564,Ror2,Both,89.56632863572635,4.800370676181259,18.65821093361424,4.221738753052192,0.8982613419525307
chr2,74578529,74579138,0,69605,Lnpk,Both,408.0246992451092,22.27377837935437,18.31861179077315,4.195238273079239,0.8964728924800265
chr7,109865423,109865671,0,56788,Scube2,Both,131.56399600316757,7.402836201502493,17.772106855000395,4.151542815594806,0.8934589486705776
chr9,40455338,40456147,0,235283,Gramd1b,Both,352.8632338193047,19.88530688938742,17.74492271012544,4.149334385490132,0.8933044413717608
chr6,148944508,148946749,0,109163,3010003L21Rik,Both,138.62889688991834,7.9052643466580195,17.5362759309275,4.132270499088176,0.8921034620194109
chr10,9674617,9675547,0,320825,Samd5,Both,347.1055680154406,19.843552655352955,17.492108093950915,4.128632263701826,0.8918457544246006
chr19,5756849,5757201,0,16998,Ltbp3,Both,105.65672045903108,6.135075337851359,17.221747841817773,4.106159664727765,0.8902410450763606
chr6,71707650,71708424,0,52250,Reep1,Both,83.64939453744306,4.936639511952774,16.944602565147417,4.082753893762081,0.8885458737389668
chr5,145280597,145280869,97,666311,Zscan25,Both,119.09977369374688,7.064783268663047,16.85823459327232,4.075381558991473,0.8880068469504004
chr8,36457764,36458366,0,319582,Trmt9b,Both,144.006402790174,8.551336707913809,16.84022132550385,4.073839194283866,0.8878937674870178
chr9,37145199,37145441,219,208076,Pknox2,Both,150.60844806146284,8.96385802773307,16.801744025340305,4.070539087779457,0.8876514572306481
chr9,83548127,83548633,0,212531,Sh3bgrl2,Both,120.69363161478564,7.308489099163736,16.514170025730195,4.045632558918778,0.8858067497882123
chrX,135742430,135742942,0,494468,Armcx5,Both,171.16943031992366,10.44736352266361,16.383983379979405,4.034214251859309,0.8849515697131108
chr10,83722674,83723229,0,69784,1500009L16Rik,Both,165.85774918551928,10.1358401786639,16.363492938123905,4.032408832570121,0.8848158024927848
chr8,128356984,128357547,-1057,18186,Nrp1,Both,627.1418927206696,38.67850489802879,16.21422271553809,4.019187959796294,0.8838170021934979
chr10,80897899,80898248,2534,30055,Timm13,Both,91.38287833438578,5.643249131280661,16.193309245882546,4.017325938141323,0.8836756803825326
chr17,27908928,27910010,0,224650,Anks1,Both,208.623794855632,13.09340953066191,15.933496494330262,3.99399098582553,0.8818909018187916
chr13,74208465,74208779,0,211446,Exoc3,Both,103.781167003559,6.514435107790683,15.93095414818792,3.9937607712694585,0.8818731665979938
chrX,60890797,60891120,2310,20675,Sox3,Both,92.62684872361054,5.817955279564699,15.920859524128364,3.992846320073192,0.8818026946475094
chr15,89498706,89500344,0,58234,Shank3,Both,182.2169204903637,11.643788371181069,15.649281374896786,3.9680245040787017,0.8798746951916175
chr7,45706651,45707060,-44,13170,Dbp,Both,591.386281868938,37.971796730046826,15.574356043072832,3.9611006078848514,0.879331661827315
chr14,55900147,55900461,0,654795,Sdr39u1,Both,86.20131868456637,5.615288224427818,15.351183276678562,3.9402779584047805,0.8776846931406752
chr5,19227392,19227747,337,50791,Magi2,Both,297.98162052759375,19.78805581437636,15.058660806439866,3.9125215691591104,0.8754566134681692
chr12,70111228,70112213,0,18080,Nin,Both,334.3194363245088,22.515875399376284,14.84816514545865,3.8922127566137372,0.8738024256029975
chr8,85083242,85083513,0,17159,Man2b1,Both,196.2561143684518,13.23047962710472,14.833635657953794,3.8908003341409225,0.8736866223775125
chr4,137707348,137707652,0,110351,Rap1gap,Both,136.10524218888227,9.228423664698813,14.74848220390241,3.8824945863399223,0.873003634629348
chr1,132298558,132299269,0,213417,Klhdc8a,Both,160.78509252082887,10.926800824026154,14.714745432834295,3.879190678554432,0.8727309959586612
chr1,135765880,135766710,0,27280,Phlda3,Both,183.0923116361588,12.482070961478206,14.66842419028163,3.8746419873726534,0.872354745077651
chr7,6696357,6696642,0,22776,Zim1,Both,397.1226290741267,27.13647008812673,14.634277331740485,3.871279599386584,0.8720759548035119
chr12,4592830,4593587,0,20403,Itsn2,Both,198.2347381704112,13.6850373636125,14.48550945849097,3.856538520283623,0.8708470001997017
chr5,131537191,131538947,0,319974,Auts2,Both,369.208167203669,25.5723964007176,14.437761773210603,3.8517751993720095,0.8704475409466007
chr11,5065018,5065397,0,78926,Gas2l1,Both,240.61966359941843,16.762335154841068,14.354781799594669,3.8434594958584256,0.8697474164007466
chr15,64382175,64383019,0,13196,Asap1,Both,253.3704947020789,17.761261219882442,14.265343635532426,3.8344425950707386,0.8689842791783151
chr11,79590882,79591553,0,268451,Rab11fip4,Both,129.84935103692655,9.142806569556042,14.202351329328383,3.828057895767808,0.8684414037885312
chr12,112588782,112589044,0,70435,Inf2,Both,128.46886735930278,9.09343952701037,14.12764300875482,3.8204488880029315,0.8677916976992027
chr2,131561114,131562649,0,11550,Adra1d,Both,266.25163279901426,18.97589885418181,14.031041946681704,3.81055024251195,0.8669420252372108
chr18,7626533,7626950,0,75739,Mpp7,Both,714.655333616286,51.78768325958169,13.799716238205374,3.78656669624277,0.8648622738565072
chr2,76406109,76407537,0,99031,Osbpl6,Both,356.7788177971309,25.97763551627787,13.734075896690804,3.779687936199356,0.8642602349802481
chr7,45181527,45182563,345,114640,Pth2,Both,207.80223335587493,15.164458424533104,13.703241325103434,3.7764452793546566,0.8639755713874246
chr7,126928644,126929320,0,233877,Kctd13,Both,127.91686753876428,9.370838547024716,13.65052517945456,3.7708845522024106,0.8634861224767058
chr1,158356039,158356243,0,240843,Brinp2,Both,349.6778510141806,25.662420649903936,13.62606652679468,3.7682972504796273,0.863257835157796
chr9,66349996,66351049,0,235439,Herc1,Both,256.60456344318806,18.89658241697167,13.579416519927047,3.7633495861126933,0.862820298928533
chr17,5940893,5941840,0,20975,Synj2,Both,179.8505441223035,13.262971014376268,13.56035114058202,3.761322631932217,0.8626406753044794
chr10,39133882,39134286,0,66337,Fam229b,Both,262.88165422189485,19.481378882615235,13.493996282598086,3.754245764395205,0.8620118315884172
chr3,158561302,158562304,0,242274,Lrrc7,Both,259.8840374780637,19.431029026828423,13.374692463237114,3.7414338135515273,0.8608665886164212
chr6,145862743,145863901,1401,79362,Bhlhe41,Both,282.7219221305392,21.2978051747748,13.27469754796124,3.7306070857829106,0.8598919526469655
chr10,108332143,108333308,0,114774,Pawr,Both,106.64937197994551,8.098619180937407,13.168834044077247,3.719055711302439,0.8588451248861917
chr2,174463851,174464296,0,67126,Atp5f1e,Both,138.64863233653048,10.587934990487842,13.094964453511649,3.710940238362655,0.858105353397914
chr1,9299215,9300020,0,71096,Sntg1,Both,118.42989652935098,9.290746832271104,12.747080365809628,3.672094940080327,0.8545145625994739
chr7,46845651,46846371,0,16828,Ldha,Both,292.66703357917817,22.98871055776228,12.730902537739654,3.6702627953965004,0.8543431508232646
chr2,50066300,50067004,0,320343,Lypd6,Both,162.25624172201825,12.761826652043752,12.714186310941123,3.6683672295277794,0.8541656096355924
chr8,128358447,128358687,0,18186,Nrp1,Both,600.5050761787938,47.25306276616427,12.70827838505291,3.6676966937920654,0.854102758652703
chr11,54027694,54028576,0,30805,Slc22a4,Both,166.3471003035419,13.239882179066024,12.564092191587498,3.6512345290976556,0.852551872123045
chr14,50924637,50925331,0,11792,Apex1,Both,190.3233145842605,15.1683993218792,12.547356549991036,3.6493115471972115,0.8523697230068603
chr6,99028420,99028824,-107,108655,Foxp1,Both,208.1240376971305,16.67678404207551,12.479866452190883,3.6415305908028435,0.8516305775659267
chr11,77983936,77984392,1134,268448,Phf12,Both,75.86174945694181,6.098169584910349,12.440085242079585,3.6369244660394915,0.8511914199964895
chr2,51147551,51148215,879,74194,Rnd3,Both,370.8924448091298,29.832069705243004,12.432675589516514,3.636064901683443,0.8511093350932339
chr5,71095789,71096138,0,14395,Gabra2,Both,112.92742142216204,9.089352243872986,12.424144030536931,3.635074554687941,0.8510147093587163
chr5,114127428,114128285,0,231642,Alkbh2,Both,145.76335358427795,11.742834546661896,12.412961538806124,3.6337754559334683,0.8508904991478848
chr7,29171122,29171848,618,243897,Ggn,Both,144.00228459282707,11.613598631015122,12.39945422328067,3.632204714959586,0.8507401893634495
chr2,29251508,29253279,0,171171,Ntng2,Both,267.90036961354605,21.70652507498241,12.3419280003648,3.625495878296559,0.8500966277178745
chr1,34459407,34459964,0,19253,Ptpn18,Both,256.9501340719418,20.980835783047507,12.246896964874834,3.6143443501983956,0.8490212458583204
