"seqnames","start","end","gene_symbol","width","strand","enrichment.x","binding_type.x","peak_width_exo.x","peak_width_endo.x","significant.x","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue.x","padj","exo_signal","endo_signal","enrichment.y","pvalue.y","binding_type.y","peak_width_exo.y","peak_width_endo.y","significant.y"
"chr1",105355962,105356898,"Gm17634",937,"*",0,"endo_only",0,292,"False","Promoter (<=1kb)",1,105356007,105361630,5624,1,"100504568","ENSMUST00000181383.2",0,"ENSMUSG00000097482","Gm17634","predicted gene, 17634",NA,NA,NA,NA,NA,NA,0,13.0178564192599,0,1,"endo_only",0,292,"False"
"chr1",105993773,105994038,"Zcchc2",266,"*",0,"endo_only",0,638,"False","Intron (ENSMUST00000118196.7/227449, intron 1 of 13)",1,105990689,106034067,43379,1,"227449","ENSMUST00000119166.7",3084,"ENSMUSG00000038866","Zcchc2","zinc finger, CCHC domain containing 2",1509.797145,0.758699645,0.07865209,9.646274388,5.09741e-22,8.80533e-21,0,37.8620262158507,0,1,"endo_only",0,638,"False"
"chr1",118627821,118628282,"Tfcp2l1",462,"*",0,"endo_only",0,280,"False","Promoter (<=1kb)",1,118627945,118637766,9822,1,"81879","ENSMUST00000190652.1",0,"ENSMUSG00000026380","Tfcp2l1","transcription factor CP2-like 1",NA,NA,NA,NA,NA,NA,0,5.17149086560646,0,1,"endo_only",0,280,"False"
"chr1",120073679,120073931,"Tmem37",253,"*",0,"endo_only",0,347,"False","Promoter (<=1kb)",1,120067377,120074074,6698,2,"170706","ENSMUST00000056089.7",143,"ENSMUSG00000050777","Tmem37","transmembrane protein 37",NA,NA,NA,NA,NA,NA,0,17.9008199920506,0,1,"endo_only",0,347,"False"
"chr1",121177908,121178195,"Celrr",288,"*",0,"endo_only",0,526,"False","Exon (ENSMUST00000185678.1/98452, exon 3 of 3)",1,121087529,121088932,1404,1,"98452","ENSMUST00000181183.2",90379,"ENSMUSG00000097881","Celrr","cerebellum expressed regulatory RNA",1070.485618,-0.517369914,0.080911323,-6.394283229,1.61302e-10,1.21937e-09,0,25.7316108146229,0,1,"endo_only",0,526,"False"
"chr1",134298895,134299450,"Ppfia4",556,"*",0,"endo_only",0,450,"False","3' UTR",1,134296789,134304808,8020,2,"68507","ENSMUST00000189862.6",5358,"ENSMUSG00000026458","Ppfia4","protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4",NA,NA,NA,NA,NA,NA,0,14.0432739337761,0,1,"endo_only",0,450,"False"
"chr1",134405951,134406174,"Cyb5r1",224,"*",0,"endo_only",0,533.5,"False","Promoter (<=1kb)",1,134405995,134407602,1608,1,"72017","ENSMUST00000174315.7",0,"ENSMUSG00000026456","Cyb5r1","cytochrome b5 reductase 1",320.8267499,0.77636453,0.128167406,6.057425651,1.38317e-09,9.64162e-09,0,37.2490896692329,0,1,"endo_only",0,533.5,"False"
"chr1",136215816,136216116,"Mroh3",301,"*",0,"endo_only",0,592,"False","Promoter (2-3kb)",1,136181786,136212828,31043,2,"76422","ENSMUST00000212798.1",-2988,"ENSMUSG00000087230","Mroh3","maestro heat-like repeat family member 3",NA,NA,NA,NA,NA,NA,0,11.8689324502961,0,1,"endo_only",0,592,"False"
"chr1",151571313,151571755,"Niban1",443,"*",0,"endo_only",0,493,"False","Promoter (<=1kb)",1,151571373,151721939,150567,1,"63913","ENSMUST00000148810.7",0,"ENSMUSG00000026483","Niban1","niban apoptosis regulator 1",NA,NA,NA,NA,NA,NA,0,29.5144734333692,0,1,"endo_only",0,493,"False"
"chr1",156204683,156205085,"Fam163a",403,"*",0,"endo_only",0,371,"False","Promoter (<=1kb)",1,156075966,156205026,129061,2,"329274","ENSMUST00000015628.3",0,"ENSMUSG00000015484","Fam163a","family with sequence similarity 163, member A",NA,NA,NA,NA,NA,NA,0,11.8619503319926,0,1,"endo_only",0,371,"False"
"chr1",161170642,161170990,"Tex50",349,"*",0,"endo_only",0,356,"False","Downstream (<=300bp)",1,161156843,161159314,2472,2,"100502590","ENSMUST00000178511.2",-11328,"ENSMUSG00000049160","Tex50","testis expressed 50",NA,NA,NA,NA,NA,NA,0,4.85342963974123,0,1,"endo_only",0,356,"False"
"chr1",170908619,170908877,"Fcrlb",259,"*",0,"endo_only",0,273,"False","Exon (ENSMUST00000094337.1/435653, exon 4 of 6)",1,170907273,170912941,5669,2,"435653","ENSMUST00000094337.1",4064,"ENSMUSG00000070524","Fcrlb","Fc receptor-like B",NA,NA,NA,NA,NA,NA,0,12.220050229367,0,1,"endo_only",0,273,"False"
"chr1",171195925,171196155,"Pcp4l1",231,"*",0,"endo_only",0,445,"False","Promoter (<=1kb)",1,171173262,171196268,23007,2,"66425","ENSMUST00000111332.1",113,"ENSMUSG00000038370","Pcp4l1","Purkinje cell protein 4-like 1",629.0297195,0.935029689,0.104360617,8.959602952,3.2585e-19,4.72051e-18,0,19.9847064580644,0,1,"endo_only",0,445,"False"
"chr1",172172578,172172820,"Dcaf8",243,"*",0,"endo_only",0,394,"False","Promoter (1-2kb)",1,172173954,172176252,2299,1,"98193","ENSMUST00000194972.1",-1134,"ENSMUSG00000026554","Dcaf8","DDB1 and CUL4 associated factor 8",3007.218155,0.035627839,0.065897659,0.540654096,0.588746024,0.741152812,0,13.2994012531669,0,1,"endo_only",0,394,"False"
"chr1",180936981,180937192,"Lefty1",212,"*",0,"endo_only",0,571,"False","Promoter (<=1kb)",1,180936871,180937810,940,1,"13590","ENSMUST00000132087.1",110,"ENSMUSG00000038793","Lefty1","left right determination factor 1",NA,NA,NA,NA,NA,NA,0,22.4379026871514,0,1,"endo_only",0,571,"False"
"chr1",183088462,183089219,"Disp1",758,"*",0,"endo_only",0,401,"False","Exon (ENSMUST00000171366.6/68897, exon 8 of 8)",1,183086266,183147461,61196,2,"68897","ENSMUST00000171366.6",58242,"ENSMUSG00000030768","Disp1","dispatched RND transporter family member 1",467.2993386,0.147915337,0.120061326,1.231998199,0.217949757,0.372273051,0,22.9850996915069,0,1,"endo_only",0,401,"False"
"chr1",191317791,191318143,"Nenf",353,"*",0,"endo_only",0,1251,"False","Promoter (<=1kb)",1,191306789,191318194,11406,2,"66208","ENSMUST00000046770.9",51,"ENSMUSG00000037499","Nenf","neuron derived neurotrophic factor",148.5707311,-1.020196619,0.185107654,-5.511369191,3.56053e-08,2.15656e-07,0,86.2789585748912,0,1,"endo_only",0,1251,"False"
"chr1",19209755,19210067,"Tfap2b",313,"*",0,"endo_only",0,364,"False","Promoter (<=1kb)",1,19208960,19238083,29124,1,"21419","ENSMUST00000187754.6",795,"ENSMUSG00000025927","Tfap2b","transcription factor AP-2 beta",NA,NA,NA,NA,NA,NA,0,5.10016424288751,0,1,"endo_only",0,364,"False"
"chr1",22805682,22806364,"Rims1",683,"*",0,"endo_only",0,570,"False","Promoter (<=1kb)",1,22286251,22805724,519474,2,"116837","ENSMUST00000081544.12",0,"ENSMUSG00000041670","Rims1","regulating synaptic membrane exocytosis 1",59.59707955,0.28788581,0.290778597,0.99005158,0.322148909,0.495403603,0,17.7881469827831,0,1,"endo_only",0,570,"False"
