"seqnames","start","end","gene_symbol","width","strand","enrichment.x","binding_type.x","peak_width_exo.x","peak_width_endo.x","significant.x","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue.x","padj","exo_signal","endo_signal","enrichment.y","pvalue.y","binding_type.y","peak_width_exo.y","peak_width_endo.y","significant.y"
"chr1",104993908,104994456,"Cdh20",549,"*",Inf,"exo_only",711.333333333333,0,"False","3' UTR",1,104768529,104995481,226953,1,"23836","ENSMUST00000062528.8",225379,"ENSMUSG00000050840","Cdh20","cadherin 20",3797.681936,-0.236614826,0.064113654,-3.690552802,0.000223767,0.000855183,119.634184001181,0,Inf,1,"exo_only",711.333333333333,0,"False"
"chr1",106712493,106712947,"Bcl2",455,"*",Inf,"exo_only",1310,0,"False","Promoter (<=1kb)",1,106710339,106713179,2841,2,"12043","ENSMUST00000189999.1",232,"ENSMUSG00000057329","Bcl2","B cell leukemia/lymphoma 2",1343.527829,0.310340492,0.083098538,3.73460831,0.000188008,0.000726065,180.035000315161,0,Inf,1,"exo_only",1310,0,"False"
"chr1",10993486,10994005,"Prex2",520,"*",Inf,"exo_only",1507,0,"False","Promoter (<=1kb)",1,10993465,11303681,310217,1,"109294","ENSMUST00000027056.11",21,"ENSMUSG00000048960","Prex2","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",NA,NA,NA,NA,NA,NA,81.1324139462263,0,Inf,1,"exo_only",1507,0,"False"
"chr1",109982432,109983228,"Cdh7",797,"*",Inf,"exo_only",388,0,"False","Promoter (<=1kb)",1,109982710,110140157,157448,1,"241201","ENSMUST00000112701.7",0,"ENSMUSG00000026312","Cdh7","cadherin 7, type 2",NA,NA,NA,NA,NA,NA,5.40224193604436,0,Inf,1,"exo_only",388,0,"False"
"chr1",112416534,112416951,"Dsel",418,"*",Inf,"exo_only",516,0,"False","Distal Intergenic",1,111858706,111864918,6213,2,"319901","ENSMUST00000035462.6",-551616,"ENSMUSG00000038702","Dsel","dermatan sulfate epimerase-like",836.5936246,0.408475045,0.087876798,4.648269553,3.34731e-06,1.62106e-05,27.9271386381162,0,Inf,1,"exo_only",516,0,"False"
"chr1",118837394,118838033,"Mir6346",640,"*",Inf,"exo_only",999,0,"False","Exon (ENSMUST00000062483.14/14633, exon 14 of 14)",1,118954220,118954300,81,1,"102465176","ENSMUST00000183982.1",-116187,"ENSMUSG00000098273","Mir6346","microRNA 6346",NA,NA,NA,NA,NA,NA,73.6552960607357,0,Inf,1,"exo_only",999,0,"False"
"chr1",119189576,119189828,"Gli2",253,"*",Inf,"exo_only",775.5,0,"False","Distal Intergenic",1,118834132,119053619,219488,2,"14633","ENSMUST00000062483.14",-135957,"ENSMUSG00000048402","Gli2","GLI-Kruppel family member GLI2",78.4350264,0.247616351,0.251663748,0.983917438,0.325156109,0.498121581,73.7267455756859,0,Inf,1,"exo_only",775.5,0,"False"
"chr1",120340460,120341881,"C1ql2",1422,"*",Inf,"exo_only",370,0,"False","Promoter (<=1kb)",1,120340582,120343174,2593,1,"226359","ENSMUST00000037286.9",0,"ENSMUSG00000036907","C1ql2","complement component 1, q subcomponent-like 2",NA,NA,NA,NA,NA,NA,15.2573566598438,0,Inf,1,"exo_only",370,0,"False"
"chr1",121527415,121527955,"Htr5b",541,"*",Inf,"exo_only",309,0,"False","Promoter (<=1kb)",1,121509842,121528465,18624,2,"15564","ENSMUST00000055884.7",510,"ENSMUSG00000050534","Htr5b","5-hydroxytryptamine (serotonin) receptor 5B",NA,NA,NA,NA,NA,NA,3.72866186198048,0,Inf,1,"exo_only",309,0,"False"
"chr1",124045451,124046133,"Dpp10",683,"*",Inf,"exo_only",525,0,"False","Promoter (<=1kb)",1,123321471,124045559,724089,2,"269109","ENSMUST00000112606.7",0,"ENSMUSG00000036815","Dpp10","dipeptidylpeptidase 10",NA,NA,NA,NA,NA,NA,15.7856888296845,0,Inf,1,"exo_only",525,0,"False"
"chr1",127677228,127678137,"Tmem163",910,"*",Inf,"exo_only",359,0,"False","Promoter (<=1kb)",1,127486546,127678096,191551,2,"72160","ENSMUST00000027585.13",0,"ENSMUSG00000026347","Tmem163","transmembrane protein 163",NA,NA,NA,NA,NA,NA,27.0046033128491,0,Inf,1,"exo_only",359,0,"False"
"chr1",131137776,131138378,"Dyrk3",603,"*",Inf,"exo_only",662.666666666667,0,"False","Promoter (<=1kb)",1,131127455,131138340,10886,2,"226419","ENSMUST00000016670.8",0,"ENSMUSG00000016526","Dyrk3","dual-specificity tyrosine phosphorylation regulated kinase 3",391.458001,0.672860643,0.119200987,5.644757333,1.65414e-08,1.03772e-07,98.6753759312243,0,Inf,1,"exo_only",662.666666666667,0,"False"
"chr1",131244662,131245555,"Rassf5",894,"*",Inf,"exo_only",598,0,"False","Promoter (<=1kb)",1,131176410,131245258,68849,2,"54354","ENSMUST00000027688.14",0,"ENSMUSG00000026430","Rassf5","Ras association (RalGDS/AF-6) domain family member 5",51.61926724,0.717679928,0.307732129,2.33215794,0.019692384,0.050566516,41.9837302988216,0,Inf,1,"exo_only",598,0,"False"
"chr1",132139305,132139560,"Cdk18",256,"*",Inf,"exo_only",339,0,"False","Promoter (<=1kb)",1,132114764,132139605,24842,2,"18557","ENSMUST00000112362.2",45,"ENSMUSG00000026437","Cdk18","cyclin dependent kinase 18",NA,NA,NA,NA,NA,NA,4.72000004205938,0,Inf,1,"exo_only",339,0,"False"
"chr1",132190087,132191155,"Lemd1",1069,"*",Inf,"exo_only",319,0,"False","Promoter (<=1kb)",1,132191431,132259227,67797,1,"213409","ENSMUST00000188169.6",-276,"ENSMUSG00000079330","Lemd1","LEM domain containing 1",NA,NA,NA,NA,NA,NA,24.5765164279864,0,Inf,1,"exo_only",319,0,"False"
"chr1",132360629,132361042,"Tmcc2",414,"*",Inf,"exo_only",885,0,"False","Exon (ENSMUST00000045473.15/68875, exon 3 of 5)",1,132361026,132364948,3923,2,"68875","ENSMUST00000125439.1",3906,"ENSMUSG00000042066","Tmcc2","transmembrane and coiled-coil domains 2",392.9667864,0.293783123,0.12183354,2.411348498,0.015893654,0.041776385,82.1045926726097,0,Inf,1,"exo_only",885,0,"False"
"chr1",133274094,133274355,"Plekha6",262,"*",Inf,"exo_only",606,0,"False","Promoter (<=1kb)",1,133274248,133281811,7564,1,"240753","ENSMUST00000187299.1",0,"ENSMUSG00000041757","Plekha6","pleckstrin homology domain containing, family A member 6",80.76045087,3.498772464,0.304377028,11.49486374,1.40002e-30,3.81157e-29,12.9375257091822,0,Inf,1,"exo_only",606,0,"False"
"chr1",133363428,133364312,"Etnk2",885,"*",Inf,"exo_only",570.5,0,"False","Promoter (<=1kb)",1,133363572,133380336,16765,1,"214253","ENSMUST00000135222.8",0,"ENSMUSG00000070644","Etnk2","ethanolamine kinase 2",NA,NA,NA,NA,NA,NA,92.1000969589144,0,Inf,1,"exo_only",570.5,0,"False"
"chr1",133423057,133424444,"Sox13",1388,"*",Inf,"exo_only",464.5,0,"False","Promoter (<=1kb)",1,133382303,133424377,42075,2,"20668","ENSMUST00000153799.7",0,"ENSMUSG00000070643","Sox13","SRY (sex determining region Y)-box 13",675.1949424,1.007319835,0.095948867,10.49850687,8.77572e-26,1.8846e-24,40.075375798842,0,Inf,1,"exo_only",464.5,0,"False"
"chr1",134361776,134362168,"Tmem183a",393,"*",Inf,"exo_only",437,0,"False","Promoter (<=1kb)",1,134346097,134361979,15883,2,"57439","ENSMUST00000049470.10",0,"ENSMUSG00000042305","Tmem183a","transmembrane protein 183A",4248.984014,-0.485226011,0.060310884,-8.045413712,8.59545e-16,9.87741e-15,78.9756935656508,0,Inf,1,"exo_only",437,0,"False"
"chr1",134560080,134561744,"Kdm5b",1665,"*",Inf,"exo_only",566,0,"False","Promoter (<=1kb)",1,134560171,134635285,75115,1,"75605","ENSMUST00000047714.13",0,"ENSMUSG00000042207","Kdm5b","lysine demethylase 5B",4030.92476,0.630604738,0.071999212,8.758494944,1.97875e-18,2.72817e-17,105.835498480535,0,Inf,1,"exo_only",566,0,"False"
"chr1",134646666,134647253,"Syt2",588,"*",Inf,"exo_only",740,0,"False","Promoter (<=1kb)",1,134646677,134741829,95153,1,"20980","ENSMUST00000187725.6",0,"ENSMUSG00000026452","Syt2","synaptotagmin II",NA,NA,NA,NA,NA,NA,14.42453527298,0,Inf,1,"exo_only",740,0,"False"
"chr1",134708873,134709423,"Syt2",551,"*",Inf,"exo_only",767,0,"False","Promoter (<=1kb)",1,134709300,134753149,43850,1,"20980","ENSMUST00000121990.1",0,"ENSMUSG00000026452","Syt2","synaptotagmin II",NA,NA,NA,NA,NA,NA,36.5402165817209,0,Inf,1,"exo_only",767,0,"False"
"chr1",135283531,135284122,"Rnpep",592,"*",Inf,"exo_only",334.333333333333,0,"False","Promoter (<=1kb)",1,135262712,135284084,21373,2,"215615","ENSMUST00000074357.7",0,"ENSMUSG00000041926","Rnpep","arginyl aminopeptidase (aminopeptidase B)",614.7026052,0.04001366,0.103304985,0.387335232,0.698508046,0.821896642,67.5514319990589,0,Inf,1,"exo_only",334.333333333333,0,"False"
"chr1",135532492,135532693,"Nav1",202,"*",Inf,"exo_only",1219,0,"False","Exon (ENSMUST00000040599.14/215690, exon 3 of 30)",1,135458680,135510451,51772,2,"215690","ENSMUST00000190130.1",-22041,"ENSMUSG00000009418","Nav1","neuron navigator 1",1929.714433,0.06591546,0.078504078,0.839643769,0.40110815,0.576482468,54.3120492153292,0,Inf,1,"exo_only",1219,0,"False"
"chr1",135584707,135585354,"Gm4793",648,"*",Inf,"exo_only",1301,0,"False","Promoter (<=1kb)",1,135584773,135599948,15176,1,"215714","ENSMUST00000067468.5",0,NA,"Gm4793","predicted gene 4793",58.14584376,-0.618055777,0.281036381,-2.19920202,0.027863561,0.068438963,271.754699689365,0,Inf,1,"exo_only",1301,0,"False"
"chr1",136234222,136234663,"Inava",442,"*",Inf,"exo_only",637,0,"False","Promoter (<=1kb)",1,136213531,136234264,20734,2,"67313","ENSMUST00000120339.7",0,"ENSMUSG00000041605","Inava","innate immunity activator",NA,NA,NA,NA,NA,NA,49.1028170029327,0,Inf,1,"exo_only",637,0,"False"
"chr1",136466216,136466630,"Kif14",415,"*",Inf,"exo_only",631.333333333333,0,"False","Promoter (<=1kb)",1,136466343,136495916,29574,1,"381293","ENSMUST00000187963.6",0,"ENSMUSG00000041498","Kif14","kinesin family member 14",1578.42964,-0.673698304,0.070432979,-9.565097362,1.12096e-21,1.89014e-20,124.576247621875,0,Inf,1,"exo_only",631.333333333333,0,"False"
"chr1",136952915,136953134,"Nr5a2",220,"*",Inf,"exo_only",747,0,"False","Promoter (<=1kb)",1,136845463,136953630,108168,2,"26424","ENSMUST00000192929.5",496,"ENSMUSG00000026398","Nr5a2","nuclear receptor subfamily 5, group A, member 2",185.4587164,0.104970808,0.170492009,0.615693423,0.538096879,0.699770982,44.9215602124737,0,Inf,1,"exo_only",747,0,"False"
"chr1",138841498,138842069,"Lhx9",572,"*",Inf,"exo_only",851,0,"False","Promoter (<=1kb)",1,138830944,138842429,11486,2,"16876","ENSMUST00000112026.3",360,"ENSMUSG00000019230","Lhx9","LIM homeobox protein 9",NA,NA,NA,NA,NA,NA,50.5547580595538,0,Inf,1,"exo_only",851,0,"False"
"chr1",138847193,138847449,"Lhx9",257,"*",Inf,"exo_only",319,0,"False","Promoter (<=1kb)",1,138825186,138847579,22394,2,"16876","ENSMUST00000093486.9",130,"ENSMUSG00000019230","Lhx9","LIM homeobox protein 9",NA,NA,NA,NA,NA,NA,4.1107177761362,0,Inf,1,"exo_only",319,0,"False"
"chr1",14506541,14507148,"Eya1",608,"*",Inf,"exo_only",263,0,"False","Distal Intergenic",1,14168958,14310235,141278,2,"14048","ENSMUST00000168081.8",-196306,"ENSMUSG00000025932","Eya1","EYA transcriptional coactivator and phosphatase 1",1692.537368,-0.283137084,0.072146815,-3.924457145,8.69255e-05,0.000352003,24.3994439241767,0,Inf,1,"exo_only",263,0,"False"
"chr1",14755151,14755803,"Msc",653,"*",Inf,"exo_only",405,0,"False","Promoter (<=1kb)",1,14753746,14755353,1608,2,"17681","ENSMUST00000190719.1",0,"ENSMUSG00000025930","Msc","musculin",NA,NA,NA,NA,NA,NA,29.4493002280957,0,Inf,1,"exo_only",405,0,"False"
"chr1",152386313,152386744,"Tsen15",432,"*",Inf,"exo_only",571.5,0,"False","Promoter (<=1kb)",1,152370735,152386682,15948,2,"66637","ENSMUST00000015124.14",0,"ENSMUSG00000014980","Tsen15","tRNA splicing endonuclease subunit 15",699.6681111,-0.523048462,0.103864936,-5.035852144,4.75728e-07,2.55154e-06,57.2825455224859,0,Inf,1,"exo_only",571.5,0,"False"
"chr1",15286418,15287178,"Kcnb2",761,"*",Inf,"exo_only",523,0,"False","Promoter (<=1kb)",1,15287254,15712548,425295,1,"98741","ENSMUST00000175681.2",-76,"ENSMUSG00000092083","Kcnb2","potassium voltage gated channel, Shab-related subfamily, member 2",NA,NA,NA,NA,NA,NA,23.6045716211427,0,Inf,1,"exo_only",523,0,"False"
"chr1",153185935,153186287,"Lamc2",353,"*",Inf,"exo_only",304,0,"False","Promoter (<=1kb)",1,153122756,153186047,63292,2,"16782","ENSMUST00000185356.6",0,"ENSMUSG00000026479","Lamc2","laminin, gamma 2",NA,NA,NA,NA,NA,NA,7.6224603474919,0,Inf,1,"exo_only",304,0,"False"
"chr1",153486981,153487778,"Dhx9",798,"*",Inf,"exo_only",495,0,"False","Promoter (<=1kb)",1,153455758,153487608,31851,2,"13211","ENSMUST00000186380.6",0,"ENSMUSG00000042699","Dhx9","DExH-box helicase 9",13473.64418,0.21661439,0.052954087,4.090607561,4.30245e-05,0.000182284,41.0824829190443,0,Inf,1,"exo_only",495,0,"False"
"chr1",155244091,155244947,"BC034090",857,"*",Inf,"exo_only",547.5,0,"False","Promoter (<=1kb)",1,155212471,155244444,31974,2,"207792","ENSMUST00000186156.6",0,"ENSMUSG00000033722","BC034090","cDNA sequence BC034090",91.16116224,1.36059075,0.267033477,5.095206659,3.48361e-07,1.90069e-06,50.4807700357171,0,Inf,1,"exo_only",547.5,0,"False"
"chr1",155736867,155737982,"Lhx4",1116,"*",Inf,"exo_only",353,0,"False","Intron (ENSMUST00000027740.13/16872, intron 1 of 5)",1,155698031,155742027,43997,2,"16872","ENSMUST00000027740.13",4045,"ENSMUSG00000026468","Lhx4","LIM homeobox protein 4",NA,NA,NA,NA,NA,NA,13.6465693813119,0,Inf,1,"exo_only",353,0,"False"
