seqnames,start,end,distanceToTSS,geneId,SYMBOL
chr7,12921732,12922559,0,20103,Rps5
chr11,94979093,94979302,-2766,20391,Sgca
chr11,53430470,53431262,0,14566,Gdf9
chr11,33162421,33163415,0,18148,Npm1
chr1,64532367,64533738,0,12912,Creb1
chr1,178318207,178319311,0,66359,Cox20
chrX,93831877,93832375,0,236900,Pdk3
chr7,119896105,119896407,0,233805,Dcun1d3
chr2,102400437,102401261,0,80985,Trim44
chr13,64432348,64432883,0,105278,Cdk20
chr5,45520218,45520734,0,66999,Med28
chr12,79130664,79131107,0,11847,Arg2
chr11,94210243,94212093,0,22057,Tob1
chr10,80249313,80249552,0,75406,Ndufs7
chr8,94666588,94667259,0,107566,Arl2bp
chr11,69981202,69981639,0,54351,Elp5
chr2,172042063,172043477,0,228942,Cbln4
chr19,58860810,58861140,0,73442,Hspa12a
chrX,100625777,100626269,0,72621,Pdzd11
chr10,81378147,81379056,0,56371,Fzr1
chr17,24719572,24720369,0,100306952,Snora78
chr16,30587453,30587656,0,224092,Lsg1
chr1,160212438,160213405,0,12301,Cacybp
chr17,35164491,35165403,0,53761,Prrc2a
chr13,111488769,111490745,0,73274,Gpbp1
chr3,138143237,138144135,0,108943,Trmt10a
chr3,89715009,89715697,0,56417,Adar
chr2,163202925,163204657,0,269389,Tox2
chr15,74516053,74519799,0,107831,Adgrb1
chr9,53705629,53706515,0,270160,Rab39
chr4,46601167,46602292,0,107684,Coro2a
chrX,36874238,36875133,0,22209,Ube2a
chr11,96034863,96035086,0,27681,Snf8
chr1,136050821,136051352,17,226439,Ascl5
chr4,55349617,55350776,0,19359,Rad23b
chr13,54687074,54688361,0,105239,Rnf44
chr9,108305855,108306930,0,102791,Tcta
chr1,38626793,38628084,0,16764,Aff3
chr18,34954057,34955064,0,15526,Hspa9
chr16,26967938,26968299,0,239789,Gmnc
chr2,136890970,136891306,0,59030,Mkks
chr10,11149205,11149869,0,268281,Shprh
chr15,102470312,102471244,0,18521,Pcbp2
chr5,119670093,119671401,0,21386,Tbx3
chr17,33955281,33956284,0,20084,Rps18
chr3,51483779,51484689,0,19338,Rab33b
chr7,126501990,126503821,0,233871,Atxn2l
chr17,75551494,75552006,0,72722,Fam98a
chr8,70839006,70839676,0,70807,Arrdc2
