chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr12,86947870,86948080,68.0295232385796,43.22672661628486,1.5737838269009885,0.32900432900432897,both,False,6,5,"36.04582776492905,83.41474374283919,75.8979747432814,56.56906888137261,133.02489845969137,23.22462583936396","29.70936360516186,31.373732564083877,51.356986306519026,79.89207797018545,23.801472635474056",5376,210,CpG:,1248,3,3,12.2031;11.4908;8.40774,8.18348;8.64207;8.35919,86944447,86949823
chr12,86989957,86990553,10.064889637778178,10.611237530691847,0.9485123303164765,0.15079365079365079,both,False,5,5,"0.0,10.983739629424612,14.378697166668704,8.10758736548779,16.503375843351087,10.415937821736874","7.477937812221773,0.4611526772960631,34.88999707674122,5.497288094639602,4.729811992560577",2027,596,CpG:,1248,0,2,,5.89522;2.95955,86990079,86992106
chr12,87147049,87148157,81.73767277349502,61.5326946842561,1.3283616651751904,0.6623376623376623,both,False,6,5,"40.02701524957941,109.10457501549408,80.31952829586425,52.34487974534341,181.4279611283991,27.20207720628993","43.70371754857631,34.26177207483064,75.94815585002482,119.1817191140115,34.56810883383727",2834,1108,CpG:,1249,3,3,6.9757;6.99313;13.8191,9.92058;7.33964;10.1065,87146725,87149559
chr12,87199698,87200536,15.21805415393596,17.053779329124705,0.8923566946797731,0.9307359307359306,both,False,6,5,"13.076734636344161,15.925233608237539,12.48220247242359,3.5910638623594284,33.22620276185855,13.006887582392475","10.458733964676258,14.430557999302705,35.56130157793096,24.399034547563385,0.4192685561502162",2754,838,CpG:,1250,2,2,5.93152;4.73803,4.6411;3.32216,87198809,87201563
chr12,87266607,87266905,84.84379412166442,78.87858152957564,1.075625251829004,1.0,both,False,6,5,"73.6185815374654,78.55082130409721,89.21805264682163,81.86140240583205,110.08457083339081,75.72933600237943","90.24109381902262,63.65605302474329,84.82083080434485,112.18084421709068,43.49408578267671",4256,298,CpG:,1250,3,3,12.8655;12.6601;19.9249,15.9117;28.3463;29.0082,87264773,87269029
chr12,87299398,87300330,29.103768034638204,13.068568040055208,2.227005127526983,0.2571428571428571,both,False,6,4,"55.15134318130229,23.252629061450065,9.927881163169895,34.292972136406874,16.286960780171068,35.710821885329025","4.591597992909979,40.18839094739514,8.635346296146444,11.927504963824472,0.0",1326,932,CpG:,1251,3,1,6.87727;7.32745;4.32127,6.73988,87299489,87300815
chr12,87387720,87388413,148.5790371577959,89.60114600037404,1.6582269735386606,0.6623376623376623,both,False,6,5,"55.091000906850034,250.4498030381053,176.62391509763233,57.3438762900717,265.8354886102427,86.1301390038735","65.61800521315705,65.04643014588281,79.64564675318945,177.78511096513708,59.91053692450386",3056,693,CpG:,1251,3,3,22.5583;12.2574;19.772,52.8138;43.5747;21.0264,87386945,87390001
chr12,87443393,87444025,25.385373968146556,30.717272964946194,0.8264201707331158,0.47619047619047616,both,False,6,4,"38.51627581015303,36.44733004182099,24.94334463395001,8.315126992221952,31.550620533711488,12.539545797021862","25.94028935276743,0.0,61.57623481011615,56.19537569899947,9.87446496284793",1807,632,CpG:,1252,2,1,3.69944;7.8408,3.80578,87442755,87444562
chr12,87471872,87472369,32.00911440703281,33.902640340780984,0.94414812785332,0.9307359307359306,both,False,6,5,"24.018260698217713,33.42337053711547,35.4940343444775,12.076258299670542,75.60509779672311,11.43766476599254","11.064267283070986,11.667310237184731,72.65351981426706,45.241378837363754,28.88672553201837",3407,497,CpG:,1252,3,3,7.68724;8.54121;13.6194,4.5453;5.0169;5.12074,87469335,87472742
chr12,88360491,88360828,85.74609130164428,34.29256965764181,2.500427706575686,0.12554112554112554,both,False,6,5,"39.29949606463324,119.03305292504979,86.76875654424013,40.58308263190234,187.82955649211394,40.962603151926245","1.1365356185902162,23.276894781703852,54.53731343604534,81.43141701328985,11.080687438579824",1397,337,CpG:,1259,3,1,6.21253;8.64622;8.93294,4.57362,88359902,88361299
chr12,91588236,91588626,47.891044209540695,47.51979266045799,1.0078125666863784,0.9307359307359306,both,False,6,5,"23.907394839676332,56.44653011730811,50.724039044321664,28.85605686796663,109.20544606240142,18.206798325569977","42.55246843776792,33.93703336312737,57.43441450024994,85.53853957395599,18.13650742718871",5325,390,CpG:,1283,3,3,10.5488;6.13261;9.08997,10.4009;6.98991;7.76886,91586990,91592315
chr12,91778468,91779212,36.030622874825646,53.94001116468748,0.6679758141839902,0.030303030303030304,both,False,6,5,"35.166392267189224,35.86431317486702,31.707123657204082,40.01068704053188,33.21692504394247,40.2182960652192","64.24011191730867,35.47623282182596,67.46549318917359,45.83247950023643,56.68573839489278",6383,744,CpG:,1285,3,2,8.42385;5.40057;10.0173,7.56621;10.2299,91774169,91780552
chr12,91848814,91849048,124.73909073095707,83.17504367815333,1.4997177664689452,0.9307359307359306,both,False,6,5,"49.7585294689125,163.49659883169303,154.68036405174846,54.28507859627025,290.04517616511856,36.16879727199969","70.3791868577489,31.946553622706656,60.88835843360677,177.76179244073384,74.89932703597042",2926,234,CpG:,1285,2,2,10.1874;24.0743,19.1311;33.3385,91847264,91850190
chr12,95695187,95695876,48.30444369198491,27.383626032268438,1.7639900440892562,0.17748917748917747,both,False,6,5,"35.22781022283967,51.66945115634546,44.13877220049478,35.36460465865141,71.42782431410292,51.99819959947516","6.906878782013674,17.915426263639983,41.27289582447105,58.829478076504515,11.993451214712987",3945,689,CpG:,1315,3,3,8.01333;7.86706;8.30298,6.75705;4.76373;4.24851,95694510,95698455
chr12,98258804,98259454,53.31498113752108,35.801709844104025,1.4891741587113392,0.24675324675324672,both,False,6,5,"40.75992737401996,44.16625519133451,34.489941183725996,29.127720148521558,95.47082679146214,75.87521613606235","26.442086502125388,25.833901979212175,47.88538695134615,72.16227148122955,6.684902306606895",2850,650,CpG:,1334,3,2,9.65291;8.81467;7.54125,6.25069;8.53014,98257015,98259865
chr12,98574531,98575379,24.96951473840551,11.262242892796815,2.2170996466765684,0.17142857142857143,both,False,6,4,"20.809493690466365,25.023677062466355,32.64512770557955,16.497499266450767,14.316834553863256,40.52445615160679","16.7799500831176,9.498733202713026,0.0,23.455480947868555,6.577050230284888",3289,848,CpG:,1337,3,3,6.85375;10.2745;4.86102,2.96691;6.09551;5.21079,98573769,98577058
chr12,98628037,98628349,70.3069159376001,64.7152599866208,1.0864039787854567,0.9307359307359306,both,False,6,5,"4.620919825626766,137.58085802623205,84.60224667260813,11.163383948050464,152.8012599501499,31.072827202933176","57.70456386959038,31.807136868321617,72.26112494674632,119.99011593324401,41.81335831520169",1204,312,CpG:,1337,2,3,4.07264;2.96219,7.445;8.89699;10.1441,98627608,98628812
chr12,98689216,98689420,13.055058588859731,12.722680183638873,1.0261248730946086,0.9307359307359306,both,False,6,5,"15.38107637870006,14.138124410410125,23.124356968408225,16.135584995889257,4.130809886638935,5.420398893111791","7.2864218883025345,12.887860005533593,5.676581280048077,22.669255367507283,15.093282376802884",5850,204,CpG:,1337,2,2,6.67116;4.71524,5.25867;4.3483,98686280,98692130
chr12,98737306,98737722,18.27224202772727,23.28149238536257,0.7848398086033054,0.6623376623376623,both,False,6,5,"8.46887353856681,19.50909331874968,19.994071075524925,24.949554425939606,15.371508389290403,21.34035141829218","31.58111996100231,0.896397153168728,26.1479759663416,7.342676298826192,50.43929254747401",2053,416,CpG:,1338,2,2,7.24084;6.41566,7.35451;5.78024,98736986,98739039
