chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr13,47043183,47044004,67.8645184967444,67.86609275853976,0.9999768034119636,1.0,both,both,False,3,3,"66.36522952573517,91.67303870754512,45.55528725695287","89.56205723917289,67.83736671374626,46.198854322700136",3469,821,CpG:,943,3,3,21.9709;15.5805;20.3887,32.536;14.449;28.471,47041456,47044925
chr5,137432961,137433215,29.63468218299887,29.635440504841487,0.999974411656122,1.0,both,both,False,3,3,"40.75799486123938,14.74128235994726,33.40476932780996","28.232807626930494,36.77717776548973,23.89633612210424",1942,254,CpG:,1633,1,2,6.08779,6.38688;4.6934,137432994,137434936
chr12,71831095,71831860,46.12467285689197,46.13410536723021,0.999795541492283,1.0,both,both,False,3,3,"51.75081304339476,54.943821235433816,31.679384291847335","56.317664930773546,44.00571834728273,38.07893282363439",3354,765,CpG:,1133,3,3,18.136;8.81301;17.4187,21.618;11.2128;10.5783,71829851,71833205
chr5,108132085,108132989,79.08211812838387,79.09926168636247,0.999783265259206,1.0,both,both,False,3,3,"103.19464961556827,77.38652106789982,56.665183701683496","68.54082986495074,85.83334243348065,82.92361276065601",2125,904,CpG:,1409,3,3,7.65126;13.8169;10.5933,37.2117;12.617;10.7122,108131382,108133507
chr17,34264511,34265096,26.06944058976992,26.07687736312147,0.9997148135013256,1.0,both,both,False,3,3,"13.048272003308691,43.81231401616877,21.347735749832307","45.606704304435034,19.36787171026673,13.256056074662641",2475,585,CpG:,846,1,1,6.80634,5.64891,34263115,34265590
chr8,69749631,69749956,51.8841793061981,51.93713122425339,0.9989804612459888,1.0,both,both,False,3,3,"47.974080788737815,58.62530188680062,49.05315524305586","49.28514446868175,17.77857040509326,88.74767879898518",2273,325,CpG:,1117,3,3,11.0802;17.8148;21.6204,21.1083;6.26586;11.0819,69748862,69751135
chr6,47830173,47830632,37.01949036466012,37.06063842851681,0.9988897097945018,1.0,both,both,False,3,3,"35.06542651126824,58.16613903036712,17.826905552344986","31.21663410586479,15.358789965293802,64.60649121439184",2133,459,CpG:,949,3,3,6.58243;4.95362;9.63552,5.71441;3.05282;5.09398,47828833,47830966
chr6,115360967,115362226,21.2691575860696,21.2936198546534,0.998851192575486,1.0,both,both,False,3,3,"44.37946577025595,8.0779101346745,11.350096853278336","11.343436146306148,21.636561730636775,30.900861687017258",1639,1259,CpG:,1465,2,2,6.90992;4.00276,4.81211;10.4601,115360824,115362463
chrX,152233406,152233786,30.27849829168086,30.314077112636028,0.9988263267648568,0.7,both,both,False,3,3,"14.356424965734261,56.55352525605186,19.925544653256463","20.54105886223986,30.61867981197282,39.7824926636954",2342,380,CpG:,1746,1,2,7.56537,15.2375;6.29834,152232681,152235023
chr5,90931120,90931445,35.91877217424217,35.96561584117669,0.9986975430327292,1.0,both,both,False,3,3,"47.84924411792107,34.63640482385155,25.27066758095389","31.159858250820655,42.68237040934644,34.05461886336298",2588,325,CpG:,1278,3,3,5.18542;6.08693;8.19919,10.4705;9.3517;5.6381,90929992,90932580
