chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr12,88354390,88354691,11.877874741730864,0.0,inf,1.0,exo_only,exo_only,False,1,0,"35.6336242251926,0.0,0.0","0.0,0.0,0.0",225,301,CpG:,1259,1,0,2.99736,,88354587,88354812
chrX,159414230,159415517,15.982539567366372,0.0,inf,1.0,exo_only,exo_only,False,3,0,"6.530822352008576,12.00851120687891,29.40828514321164","0.0,0.0,0.0",859,1287,CpG:,1801,2,0,3.18458;3.75447,,159413536,159414395
chrX,168122986,168123301,17.661884205378872,0.0,inf,1.0,exo_only,exo_only,False,2,0,"29.36382449578945,23.621828120347168,0.0","0.0,0.0,0.0",974,315,CpG:,1867,2,0,3.28488;4.05905,,168122898,168123872
chr3,148817472,148817845,12.78536274579933,0.0,inf,1.0,exo_only,exo_only,False,1,0,"0.0,38.35608823739799,0.0","0.0,0.0,0.0",314,373,CpG:,1720,1,0,4.57013,,148817706,148818020
chrX,136215031,136215549,20.482996103898536,0.0,inf,1.0,exo_only,exo_only,False,2,0,"0.0,15.143937731688878,46.30505058000673","0.0,0.0,0.0",424,518,CpG:,1624,1,0,2.44856,,136215503,136215927
chr12,72917438,72918004,12.926703156477418,0.0,inf,1.0,exo_only,exo_only,False,2,0,"3.2071406046549478,35.57296886477731,0.0","0.0,0.0,0.0",567,566,CpG:,1141,1,0,3.65621,,72917944,72918511
chr1,19104571,19104923,10.012498015143963,0.0,inf,1.0,exo_only,exo_only,False,2,0,"29.043027348415826,0.0,0.9944666970160699","0.0,0.0,0.0",744,352,CpG:,730,1,0,4.85382,,19104240,19104984
chr5,26070670,26071016,0.0950984042802273,0.0,inf,1.0,exo_only,exo_only,False,1,0,"0.28529521284068204,0.0,0.0","0.0,0.0,0.0",271,346,CpG:,783,1,0,3.56574,,26070760,26071031
chr7,143107028,143107765,30.080851219655383,0.0,inf,1.0,exo_only,exo_only,False,2,0,"89.00711970108406,1.2354339578820834,0.0","0.0,0.0,0.0",367,737,CpG:,1676,1,0,6.25924,,143106761,143107128
chr19,44720157,44720526,30.5312349127714,0.0,inf,1.0,exo_only,exo_only,False,2,0,"0.0,86.87505273970346,4.718651998610723","0.0,0.0,0.0",252,369,CpG:,926,1,0,8.32512,,44720320,44720572
chr19,44734343,44735056,15.453329087473506,0.0,inf,1.0,exo_only,exo_only,False,2,0,"0.0,8.257254110088892,38.10273315233162","0.0,0.0,0.0",1087,713,CpG:,926,2,0,6.33438;4.07766,,44734499,44735586
chr9,89066523,89066900,7.336633046468099,0.0,inf,1.0,exo_only,exo_only,False,1,0,"0.0,22.009899139404297,0.0","0.0,0.0,0.0",314,377,CpG:,1264,1,0,2.6118,,89066694,89067008
chr8,87468768,87469125,7.170023417267559,0.0,inf,1.0,exo_only,exo_only,False,1,0,"0.0,0.0,21.510070251802677","0.0,0.0,0.0",542,357,CpG:,1252,1,0,4.85299,,87468792,87469334
chr2,162660429,162661436,10.555684383392334,0.0,inf,1.0,exo_only,exo_only,False,1,0,"0.0,0.0,31.667053150177","0.0,0.0,0.0",250,1007,CpG:,1826,1,0,3.93784,,162661314,162661564
chr4,101717345,101717617,21.81872516047063,0.0,inf,1.0,exo_only,exo_only,False,1,0,"65.45617548141189,0.0,0.0","0.0,0.0,0.0",263,272,CpG:,1361,1,0,6.29736,,101717435,101717698
chr15,50869482,50869839,11.308360466116874,0.0,inf,1.0,exo_only,exo_only,False,2,0,"31.51041352066528,2.4146678776853414,0.0","0.0,0.0,0.0",1188,357,CpG:,973,1,0,6.06184,,50868579,50869767
chr4,108383205,108383697,14.562170386637453,0.0,inf,1.0,exo_only,exo_only,False,3,0,"32.69858760368533,9.161843617757162,1.8260799384698636","0.0,0.0,0.0",246,492,CpG:,1411,1,0,2.99736,,108383299,108383545
chr7,17056218,17056516,5.15114730502941,0.0,inf,1.0,exo_only,exo_only,False,3,0,"0.7724627823299832,9.419581563313802,5.261397569444444","0.0,0.0,0.0",1125,298,CpG:,715,1,0,3.77999,,17055269,17056394
chr15,73058048,73058500,30.97817924041999,0.0,inf,1.0,exo_only,exo_only,False,2,0,"40.12861853783616,52.80591918342382,0.0","0.0,0.0,0.0",658,452,CpG:,1142,2,0,4.89838;6.22329,,73058268,73058926
chr7,16474573,16474839,32.274692820254614,0.0,inf,1.0,exo_only,exo_only,False,1,0,"96.82407846076384,0.0,0.0","0.0,0.0,0.0",433,266,CpG:,710,1,0,7.74621,,16474577,16475010
chr2,180891500,180891737,6.620729502114165,0.0,inf,1.0,exo_only,exo_only,False,1,0,"0.0,0.0,19.862188506342495","0.0,0.0,0.0",331,237,CpG:,1965,1,0,2.38625,,180891464,180891795
chr8,70730092,70730299,11.654167137893976,0.0,inf,1.0,exo_only,exo_only,False,3,0,"3.0218542011734706,22.009899139404297,9.93074807310416","0.0,0.0,0.0",306,207,CpG:,1124,1,0,2.61074,,70729984,70730290
chr14,69174640,69175155,26.696320935982428,0.0,inf,1.0,exo_only,exo_only,False,2,0,"79.63978016133211,0.4491826466151646,0.0","0.0,0.0,0.0",588,515,CpG:,1112,1,0,8.07706,,69174382,69174970
chrX,52744262,52744655,25.29759217654227,0.0,inf,1.0,exo_only,exo_only,False,2,0,"31.297435817428678,44.59534071219813,0.0","0.0,0.0,0.0",691,393,CpG:,987,2,0,7.01347;5.27279,,52744212,52744903
chr18,37012133,37012411,14.161118062914474,0.0,inf,1.0,exo_only,exo_only,False,3,0,"30.887893899405512,2.8661399759671102,8.729320313370799","0.0,0.0,0.0",771,278,CpG:,867,1,0,4.97235,,37012239,37013010
chr18,64428366,64428695,22.83047897437629,0.0,inf,1.0,exo_only,exo_only,False,1,0,"0.0,68.49143692312889,0.0","0.0,0.0,0.0",515,329,CpG:,1076,1,0,5.66663,,64428114,64428629
chr4,147101712,147102460,17.001314606777456,0.0,inf,1.0,exo_only,exo_only,False,2,0,"0.0,17.26668859082599,33.73725522950638","0.0,0.0,0.0",215,748,CpG:,1707,1,0,2.65139,,147101760,147101975
chr4,147275137,147276116,18.59325114989177,0.0,inf,1.0,exo_only,exo_only,False,2,0,"0.0,37.53433417448234,18.245419275192987","0.0,0.0,0.0",231,979,CpG:,1708,1,0,3.26475,,147275131,147275362
chr2,26202071,26203265,8.397926834008214,0.0,inf,1.0,exo_only,exo_only,False,2,0,"23.333865595477846,0.0,1.8599149065467933","0.0,0.0,0.0",233,1194,CpG:,784,1,0,2.16476,,26201871,26202104
chr3,92024518,92025003,15.258191490141805,0.0,inf,1.0,exo_only,exo_only,False,3,0,"1.0492750363690513,3.557686964670817,41.16761246938554","0.0,0.0,0.0",252,485,CpG:,1287,1,0,3.71195,,92024719,92024971
chr1,54957230,54957497,11.87184353151183,0.0,inf,1.0,exo_only,exo_only,False,1,0,"0.0,0.0,35.61553059453549","0.0,0.0,0.0",230,267,CpG:,1004,1,0,2.91653,,54957435,54957665
chr7,119184311,119184754,42.95525870290743,0.0,inf,1.0,exo_only,exo_only,False,2,0,"0.0,56.710673009132854,72.15510309958944","0.0,0.0,0.0",245,443,CpG:,1494,1,0,5.19762,,119184466,119184711
chr12,57542297,57543269,24.691800244002767,0.0,inf,1.0,exo_only,exo_only,False,3,0,"26.861789866884827,28.564547074626905,18.64906379049657","0.0,0.0,0.0",713,972,CpG:,1024,1,0,5.25491,,57541784,57542497
chr5,67097560,67097844,18.31046847909141,0.0,inf,1.0,exo_only,exo_only,False,2,0,"11.59116231550382,0.0,43.34024312177042","0.0,0.0,0.0",254,284,CpG:,1096,1,0,3.65975,,67097410,67097664
chr18,82405614,82406552,10.573119116666025,0.0,inf,1.0,exo_only,exo_only,False,2,0,"0.0,0.6126746227866725,31.1066827272114","0.0,0.0,0.0",285,938,CpG:,1213,1,0,3.18167,,82406041,82406326
chr10,88885817,88886555,29.08296368886933,0.0,inf,1.0,exo_only,exo_only,False,3,0,"1.105192514796242,62.510802409491944,23.632896142319826","0.0,0.0,0.0",319,738,CpG:,1263,2,0,2.65139;7.50893,,88886358,88886677
chr8,9207694,9207912,16.48428053534996,0.0,inf,1.0,exo_only,exo_only,False,3,0,"23.766833485614363,1.2343453007165566,24.451662819718962","0.0,0.0,0.0",1902,218,CpG:,655,1,0,7.21457,,9206910,9208812
chr7,120597744,120598024,10.644120362518873,0.0,inf,1.0,exo_only,exo_only,False,2,0,"2.90914076667721,29.023220320879403,0.0","0.0,0.0,0.0",295,280,CpG:,1505,1,0,3.28357,,120597955,120598250
chr6,119440273,119440582,21.937213383363872,0.0,inf,1.0,exo_only,exo_only,False,2,0,"52.82552282915305,0.0,12.986117320938572","0.0,0.0,0.0",1157,309,CpG:,1496,1,0,10.2491,,119439403,119440560
chr8,104003880,104004102,12.676809382146969,0.0,inf,1.0,exo_only,exo_only,False,1,0,"0.0,0.0,38.030428146440904","0.0,0.0,0.0",1553,222,CpG:,1378,1,0,5.50598,,104002353,104003906
chr8,104170508,104171263,19.623388217446585,0.0,inf,1.0,exo_only,exo_only,False,2,0,"11.356433180511974,47.513731471827775,0.0","0.0,0.0,0.0",244,755,CpG:,1379,1,0,4.40742,,104170989,104171233
chr15,95228829,95229252,26.398248797751123,0.0,inf,1.0,exo_only,exo_only,False,1,0,"0.0,0.0,79.19474639325337","0.0,0.0,0.0",269,423,CpG:,1311,1,0,7.2997,,95229097,95229366
