chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr3,9833090,9833701,23.96072653952153,47.924814300370656,0.4999649323489651,0.2,both,both,False,3,2,"19.447241494787793,18.623710286639184,33.811227837137615","44.30759182774311,51.54203677299821",3896,611,CpG:,660,3,2,6.48968;9.04272;6.59062,9.20217;6.5849,9830551,9834447
chr2,5063758,5064198,25.76024255002009,51.5409763669068,0.4998012138272203,0.2,both,both,False,3,2,"22.925012146922047,33.606349539477144,20.74936596366108","66.81144112874391,36.270511605069686",1961,440,CpG:,623,3,2,6.59072;9.32716;6.32208,10.0521;7.30884,5062815,5064776
chr10,50900711,50901152,15.445646092458343,30.91795754478616,0.4995687722930784,0.5,both,both,False,3,1,"1.1064859107280283,15.546214704568676,29.684237662078328","61.835915089572325,0.0",519,441,CpG:,973,1,1,4.69408,9.94573,50900611,50901130
chr13,25019947,25020439,24.49228109060097,49.0306486287506,0.4995300240886307,0.4,both,both,False,3,2,"33.581301792582714,21.268484003234125,18.627057475986078","65.71337919653003,32.34791806097117",3310,492,CpG:,775,3,2,5.79058;10.8073;5.02586,11.4619;7.92817,25018201,25021511
chr11,95712598,95713525,17.978774411172356,36.01893979290428,0.4991477959802184,0.4,both,both,False,3,2,"22.836345551981694,16.385130456417812,14.714847225117564","52.07274208401482,19.96513750179374",2609,927,CpG:,1315,3,2,6.00023;3.57054;5.03158,15.2071;5.95273,95711947,95714556
chr2,65022421,65023052,23.02298945659625,46.1260235618597,0.4991323265860989,0.2,both,both,False,3,2,"28.307811946335175,21.493440588724983,19.267715834728573","62.86461228369262,29.387434840026767",3395,631,CpG:,1081,3,2,7.74938;11.1905;4.97464,15.7395;9.99765,65020830,65024225
chr10,70189004,70189540,15.47396266352621,31.01063276084368,0.4989889365645186,0.2,both,both,False,3,2,"20.813813445945005,11.533397793658322,14.074676750975307","29.016194871031757,33.005070650655604",2138,536,CpG:,1120,3,2,3.1193;6.83836;3.80415,9.53425;5.13633,70188130,70190268
chr11,72042198,72042405,27.298445593535416,54.73027567432179,0.4987814378275319,0.2,both,both,False,3,2,"18.037338033924257,27.194380123440812,36.66361862324118","69.96288721881261,39.49766412983096",1968,207,CpG:,1134,3,2,4.55229;5.81229;4.43807,11.9415;7.69312,72041097,72043065
chr4,41135143,41136326,27.668344415289795,55.51664423140727,0.4983792662243995,0.2,both,both,False,3,2,"35.05536416620798,27.21057433870169,20.739094740959715","68.08223747022724,42.95105099258729",3241,1183,CpG:,898,3,2,7.05668;6.14614;7.54258,15.6211;8.08983,41133900,41137141
chr18,36287309,36287892,35.05879554397097,70.39392703371323,0.4980372174318465,0.2,both,both,False,3,2,"32.63320096130511,33.6669096199548,38.87627605065302","52.341234478137984,88.44661958928846",2189,583,CpG:,861,1,1,6.38674,10.5411,36285650,36287839
chr17,33649799,33650140,16.379084313504634,32.899967354577,0.4978450020019851,1.0,both,both,False,3,2,"12.061243004841005,23.383680732959153,13.692329202713747","57.59850958916811,8.201425119985894",1019,341,CpG:,841,3,2,4.35588;3.39478;3.29147,9.70368;2.93127,33649323,33650342
chr5,103692195,103692992,38.67708413185639,77.72490990039931,0.4976150397783566,0.2,both,both,False,3,2,"34.945145021925015,36.08984709237732,44.996260281266835","77.72637607853446,77.72344372226416",2639,797,CpG:,1376,3,2,5.12155;13.8638;5.61685,12.161;12.0577,103691321,103693960
chr1,58423343,58424130,41.33998065123833,83.13717735973866,0.4972502310531689,0.2,both,both,False,3,2,"45.06312979225194,37.05849388818056,41.898318273282484","94.69529168533863,71.57906303413868",2353,787,CpG:,1030,3,2,6.51796;12.5231;8.7904,15.7838;10.7716,58422763,58425116
chr6,29473991,29474402,23.37092404758937,47.05064787447483,0.4967184322294568,0.2,both,both,False,3,2,"30.1724043739387,33.835942091468254,6.10442567736114","54.223746250506395,39.87754949844328",1903,411,CpG:,809,2,2,6.96757;4.04161,11.0568;7.35479,29472800,29474703
chr17,26431803,26432317,8.903171342537677,17.92528123809344,0.496682379722854,0.4,both,both,False,3,2,"10.11147569280452,16.253756238054066,0.34428209675444343","14.116317602355133,21.73424487383175",2887,514,CpG:,786,3,2,3.25829;6.61823;3.83005,6.01587;8.13555,26430533,26433420
chr9,56041810,56042329,101.50686224681516,204.4175681632148,0.4965662352746913,0.2,both,both,False,3,2,"119.03311176174918,44.709928327558636,140.7775466511377","191.61661661106956,217.2185197153601",1067,519,CpG:,1012,3,2,9.80657;20.6403;12.5341,16.424;28.9667,56041493,56042560
chr10,81482358,81482796,20.8104106907757,41.93310771037308,0.4962763750903152,0.2,both,both,False,3,2,"22.310252374631954,16.279577037436404,23.841402660258755","59.782434529440046,24.083780891306116",3124,438,CpG:,1206,3,2,3.7888;3.58959;3.86641,11.2927;6.32825,81481541,81484665
chr1,75521431,75521985,38.30900299349048,77.19933241482195,0.4962348999035555,0.2,both,both,False,3,2,"55.994827861494045,30.6463810380802,28.28580008089719","68.07639451700042,86.32227031264347",2026,554,CpG:,1161,3,2,7.00147;12.5064;8.44165,10.6844;12.4361,75521015,75523041
chr5,104459460,104460421,34.418390913015706,69.51568311879426,0.4951169199358748,1.0,both,both,False,3,2,"32.01286264639774,38.41812365564681,32.824186437002574","28.951444968808698,110.07992126877981",2096,961,CpG:,1381,3,2,6.12612;11.1496;5.08904,6.94854;14.1045,104458570,104460666
chr1,178276097,178276585,15.602947282841122,31.517127344193447,0.4950624818196106,0.2,both,both,False,3,2,"15.156582243537503,12.709781000199309,18.94247860478655","39.96804268954935,23.06621199883755",1908,488,CpG:,1945,3,1,4.71144;4.3766;2.99094,7.52767,178275515,178277423
chr1,133660887,133661444,45.958680979135686,92.93343340590845,0.4945333374093738,0.2,both,both,False,3,2,"42.73256275655715,45.21655546709086,49.92692471375904","116.7020964378639,69.16477037395295",1271,557,CpG:,1604,3,2,11.0651;12.4173;8.10113,17.8089;11.2032,133660688,133661959
chr14,121378358,121379532,27.16499596240207,54.94060738728848,0.4944429494728737,0.2,both,both,False,3,2,"16.83919658650426,21.514964522206384,43.140826778495565","47.13246140909012,62.74875336548684",3646,1174,CpG:,1511,3,2,5.84387;8.61521;4.3531,8.81797;8.86076,121377309,121380955
chr5,108549441,108550102,21.62356164370182,43.75626569886138,0.4941820628048819,0.2,both,both,False,3,2,"21.860919995515243,20.06624505360921,22.943519881981008","33.6078096445056,53.904721753217174",1725,661,CpG:,1413,3,2,3.14513;4.31882;3.91868,8.99736;7.63021,108548761,108550486
