chr,start,end,distanceToTSS,geneId,SYMBOL,category,exo_signal,endo_signal,enrichment,log2_enrichment,normalized_enrichment
chr1,132298558,132299269,0,213417,Klhdc8a,Both,267.93400356522244,6.544906189372623,40.93779128573054,5.355361361706861,0.9523103163356028
chr9,20975904,20976860,0,14739,S1pr2,Both,345.9057843541111,8.878087215527147,38.96174659662572,5.283986447610747,0.9499521374731684
chr2,25395842,25396452,0,12496,Entpd2,Both,537.995027949792,15.927055287828248,33.778687788001704,5.078041379257762,0.9424935175187955
chr11,103117220,103117987,989,192231,Hexim1,Both,358.82143923976736,10.905800995593834,32.901887663706546,5.040098452250459,0.9410062348197475
chr11,114064913,114065327,648,237979,Sdk2,Both,621.0514513020004,21.36107580555016,29.07397815332106,4.861656581889635,0.9334973248366498
chr2,174463851,174464296,0,67126,Atp5f1e,Both,174.5842487153384,7.379337417591524,23.65852634670816,4.5642883081040155,0.9188921522770969
chr19,23273561,23274010,0,226026,Smc5,Both,143.63616574315236,6.122544314430155,23.4602084307692,4.552143925845485,0.9182345479327911
chr4,63558441,63558995,0,230279,Tmem268,Both,231.7273619441985,10.1864647957215,22.74855571498448,4.507703047716364,0.9157843523621914
chr12,111574329,111575376,0,100504687,2810029C07Rik,Both,317.3417620640218,15.27169109067428,20.77973946564489,4.377105660872586,0.9081715369848764
chr3,41564711,41566311,0,269424,Jade1,Both,197.72667837951693,9.58296194625276,20.63314865367219,4.366892090635294,0.9075492878074175
chr4,9843944,9844772,0,242316,Gdf6,Both,178.94768400021485,9.498698093958744,18.83918008869312,4.235664272804274,0.8991893822698925
chr9,14614297,14614977,0,75723,Amotl1,Both,360.18324137448525,19.65014769543559,18.329798175417785,4.196118995717322,0.8965328048513486
chr8,110168125,110168328,0,12308,Calb2,Both,236.68482952050013,13.902000328825489,17.02523550008407,4.089602849215963,0.8890444454947247
chr1,172312329,172312632,0,140559,Igsf8,Both,520.0146306795513,30.7382566081057,16.917505677352665,4.080444967589544,0.8883773201462994
chr4,15945147,15945621,0,67460,Decr1,Both,219.5245029427991,13.045218727085256,16.82796644007274,4.072788940950242,0.8878167060319057
chr7,139894761,139895076,0,76484,Kndc1,Both,151.71664530826283,9.097117745207134,16.677441092613712,4.059826040372455,0.8868614529941399
chr16,65814922,65815853,0,73569,Vgll3,Both,159.30609218286608,9.631991132086991,16.53926898376917,4.047823565382193,0.8859701620488972
chr9,44267882,44268226,0,270151,Nlrx1,Both,164.63227670662795,10.065146776536258,16.3566692430573,4.031807092815817,0.8847705183527649
chr2,127831452,127831991,0,12235,Bub1,Both,237.9857782849806,14.823666977509744,16.054447165202053,4.004901081610749,0.8827285352244777
chr6,71707650,71708424,0,52250,Reep1,Both,78.285270102521,4.936639511952774,15.858008248925977,3.987139676153502,0.8813620226975852
chr11,104233714,104233988,2130,17762,Mapt,Both,678.2415607700569,43.34737546209332,15.646658039612335,3.967782640572756,0.8798557647282232
chr12,81859893,81861110,0,54604,Pcnx,Both,143.33287362414902,9.541056352730903,15.022746782448603,3.9090767164689377,0.8751774569519624
chr12,81484658,81485195,0,66272,Cox16,Both,166.6990027784749,11.145884245664254,14.956103894881268,3.902662493134392,0.8746561182368834
chr11,117783094,117783510,436,217356,Tmc8,Both,641.5293362337196,43.78305242787545,14.65245798680943,3.8730707955709374,0.8722245412391185
chr3,103279249,103280584,0,94093,Trim33,Both,214.12847146921808,14.629586333259368,14.636673012579418,3.8715157541292853,0.8720955539333056
chr1,92831246,92831553,-92,14733,Gpc1,Both,463.64895187256,31.719699380274864,14.617066395051763,3.8695818903098917,0.8719349748917188
chr11,120932612,120932994,0,71276,Ccdc57,Both,143.9711090320901,10.342276071638013,13.920640682461295,3.7991537060840033,0.8659574985710276
chr16,8737708,8739261,0,252870,Usp7,Both,162.58011021171708,11.724530222502844,13.866663066779232,3.7935487479984085,0.865470819442383
chr10,80386626,80387907,0,237400,Mex3d,Both,377.2611280826661,27.22446623493292,13.8574297408478,3.792587787860443,0.8653872146875199
chr18,35118494,35119504,0,12385,Ctnna1,Both,175.66306256155306,12.983216492239656,13.530011046688667,3.758091112102511,0.8623538555081972
chr5,19226500,19226953,0,70832,4921504A21Rik,Both,241.7766698589237,18.000288999889094,13.431821559110157,3.7475830642909593,0.8614173552653517
chr11,72206712,72207669,0,52700,Txndc17,Both,174.59174329628732,13.156478374660509,13.27040096326632,3.730140057078261,0.8598497684018667
chr8,117157620,117158649,0,209239,Gan,Both,253.0105501228877,19.0952214749698,13.249940591395417,3.727913985982719,0.8596485376782788
chr19,59344805,59346356,0,107368,Pdzd8,Both,381.1789621478815,29.9426464804363,12.730302994323942,3.670194852163277,0.8543367906136673
chr19,37697199,37699255,0,13082,Cyp26a1,Both,118.91779861577244,9.342473023395067,12.728728069964232,3.6700163586801047,0.8543200805050827
chr15,34238040,34238769,0,114128,Laptm4b,Both,207.5987157955188,16.340384340867136,12.704640935300183,3.6672836967105864,0.8540640349906262
chr11,53567249,53567852,0,16568,Kif3a,Both,148.89172316607218,11.797845437578864,12.620246972537686,3.657668238374937,0.8531597845448343
chr8,128356984,128357547,-1057,18186,Nrp1,Both,407.1087840164829,32.54778166588802,12.508034747054872,3.6447832270447025,0.8519399722127562
