gene,chr,tss,strand,promoter_start,promoter_end,cpg_start,cpg_end,cpg_id,cpg_count,exo_peak_count,exo_replicate_count,exo_mean_signal,exo_min_qvalue,exo_samples,endo_peak_count,endo_replicate_count,endo_mean_signal,endo_min_qvalue,endo_samples,category
Snhg6,chr1,9944118,-,9943618,9946618,9943785,9944196,660,46,1,1,3.96188,7.04143,NSCv3,5,3,7.579382000000001,1.37022,NSCM1;NSCM2;NSCM3,endo_only
Snhg6,chr1,9943223,-,9942723,9945723,9943785,9944196,660,46,2,1,3.871835,6.3732,NSCv3,5,3,7.579382000000001,1.37022,NSCM1;NSCM2;NSCM3,endo_only
Snhg6,chr1,9942897,-,9942397,9945397,9943785,9944196,660,46,2,1,3.871835,6.3732,NSCv3,5,3,7.579382000000001,1.37022,NSCM1;NSCM2;NSCM3,endo_only
Snhg6,chr1,9944103,-,9943603,9946603,9943785,9944196,660,46,1,1,3.96188,7.04143,NSCv3,5,3,7.579382000000001,1.37022,NSCM1;NSCM2;NSCM3,endo_only
Snhg6,chr1,9944117,-,9943617,9946617,9943785,9944196,660,46,1,1,3.96188,7.04143,NSCv3,5,3,7.579382000000001,1.37022,NSCM1;NSCM2;NSCM3,endo_only
Snord87,chr1,9942549,-,9942049,9945049,9943785,9944196,660,46,2,1,3.871835,6.3732,NSCv3,5,3,7.579382000000001,1.37022,NSCM1;NSCM2;NSCM3,endo_only
Mfsd9,chr1,40790663,-,40790163,40793163,40790518,40790811,896,28,1,1,14.4068,65.551,NSCv3,3,3,7.146883333333332,9.53838,NSCM1;NSCM2;NSCM3,endo_only
Mfsd9,chr1,40790687,-,40790187,40793187,40790518,40790811,896,28,1,1,14.4068,65.551,NSCv3,3,3,7.146883333333332,9.53838,NSCM1;NSCM2;NSCM3,endo_only
Mfsd9,chr1,40790657,-,40790157,40793157,40790518,40790811,896,28,1,1,14.4068,65.551,NSCv3,3,3,7.146883333333332,9.53838,NSCM1;NSCM2;NSCM3,endo_only
Tex30,chr1,44102391,-,44101891,44104891,44101935,44102758,921,99,1,1,10.9852,43.2954,NSCv3,4,3,8.4626825,14.0763,NSCM1;NSCM2;NSCM3,endo_only
Tex30,chr1,44102438,-,44101938,44104938,44101935,44102758,921,99,1,1,10.9852,43.2954,NSCv3,4,3,8.4626825,14.0763,NSCM1;NSCM2;NSCM3,endo_only
Tex30,chr1,44102343,-,44101843,44104843,44101935,44102758,921,99,1,1,10.9852,43.2954,NSCv3,4,3,8.4626825,14.0763,NSCM1;NSCM2;NSCM3,endo_only
