gene,chr,tss,strand,promoter_start,promoter_end,cpg_start,cpg_end,cpg_id,cpg_count,exo_peak_count,exo_replicate_count,exo_mean_signal,exo_min_qvalue,exo_samples,endo_peak_count,endo_replicate_count,endo_mean_signal,endo_min_qvalue,endo_samples,category
Xkr4,chr1,3671498,-,3670998,3673998,3671654,3672156,613,45,2,2,8.06753,21.34,NSCv1;NSCv2,0,0,0.0,1.0,,exo_only
Npbwr1,chr1,5917398,-,5916898,5919898,5916428,5917474,630,85,3,3,8.031453333333333,14.3787,NSCv1;NSCv2;NSCv3,0,0,0.0,1.0,,exo_only
4732440D04Rik,chr1,6215293,-,6214793,6217793,6214430,6215332,632,107,5,3,13.276126,17.7695,NSCv1;NSCv2;NSCv3,1,1,7.6558,20.793,NSCM1,exo_only
4732440D04Rik,chr1,6215292,-,6214792,6217792,6214430,6215332,632,107,5,3,13.276126,17.7695,NSCv1;NSCv2;NSCv3,1,1,7.6558,20.793,NSCM1,exo_only
Sgk3,chr1,9798107,+,9795607,9798607,9797821,9798652,659,95,2,2,9.064405,29.5114,NSCv2;NSCv3,1,1,4.8912,9.27224,NSCM1,exo_only
Sgk3,chr1,9798143,+,9795643,9798643,9797821,9798652,659,95,2,2,9.064405,29.5114,NSCv2;NSCv3,1,1,4.8912,9.27224,NSCM1,exo_only
Sgk3,chr1,9798143,+,9795643,9798643,9797821,9798652,659,95,2,2,9.064405,29.5114,NSCv2;NSCv3,1,1,4.8912,9.27224,NSCM1,exo_only
Sgk3,chr1,9798158,+,9795658,9798658,9797821,9798652,659,95,2,2,9.064405,29.5114,NSCv2;NSCv3,1,1,4.8912,9.27224,NSCM1,exo_only
Sgk3,chr1,9798185,+,9795685,9798685,9797821,9798652,659,95,2,2,9.064405,29.5114,NSCv2;NSCv3,1,1,4.8912,9.27224,NSCM1,exo_only
Sgk3,chr1,9798208,+,9795708,9798708,9797821,9798652,659,95,2,2,9.064405,29.5114,NSCv2;NSCv3,1,1,4.8912,9.27224,NSCM1,exo_only
Sgk3,chr1,9848272,+,9845772,9848772,9848165,9848530,660,40,3,2,7.7489,5.0976,NSCv2;NSCv3,1,1,7.46095,26.9825,NSCM2,exo_only
Sgk3,chr1,9848321,+,9845821,9848821,9848165,9848530,660,40,3,2,7.7489,5.0976,NSCv2;NSCv3,1,1,7.46095,26.9825,NSCM2,exo_only
Sgk3,chr1,9848321,+,9845821,9848821,9848165,9848530,660,40,3,2,7.7489,5.0976,NSCv2;NSCv3,1,1,7.46095,26.9825,NSCM2,exo_only
Sgk3,chr1,9848397,+,9845897,9848897,9848165,9848530,660,40,3,2,7.7489,5.0976,NSCv2;NSCv3,1,1,7.46095,26.9825,NSCM2,exo_only
