gene,enrichment_score,log2FoldChange,padj,exo_peaks,endo_peaks,num_exo_peaks,num_endo_peaks
Mrps28,0.0,0.505467769,0.025964306,None,chr3:8922979-8924151,0,1
Grk4,1.0807465341085383,0.753492199,0.019345085,chr5:34659438-34660689;chr5:34659674-34661147;chr5:34659448-34661582,chr5:34659903-34660679;chr5:34659165-34660846,3,2
Dusp1,inf,0.545063587,0.01237971,chr17:26505640-26509933,None,1,0
Hmgb2,1.097522770941957,0.535017003,0.001876259,chr8:57511026-57512604;chr8:57511298-57512383;chr8:57510763-57512441,chr8:57511160-57512751;chr8:57511160-57512378,3,2
Angptl6,1.1299820872056956,0.928815804,0.000578751,chr9:20877539-20879724;chr9:20877500-20879465;chr9:20877687-20879115,chr9:20877406-20879015;chr9:20877553-20878926,3,2
Tlcd1,inf,0.756694533,0.000340166,chr11:78177523-78179677,None,1,0
Tmem160,inf,0.50305615,0.000199537,chr7:16452202-16454016,None,1,0
Cox14,0.9410325608154423,0.527911124,5.31106e-05,chr15:99721296-99726342;chr15:99725271-99726300;chr15:99722495-99726432,chr15:99722951-99726136,3,1
Pgk1,inf,0.516780362,4.30288e-05,chrX:106186508-106187387,None,1,0
Tmem218,1.228572742164529,0.5647231,2.18397e-05,chr9:37207660-37208818;chr9:37207694-37208641;chr9:37207660-37208869,chr9:37207852-37208805;chr9:37207893-37208571,3,2
Haus7,inf,0.81418971,1.77953e-05,chrX:73458661-73459510,None,1,0
Gm17501,inf,1.452107725,8.46349e-06,chr3:145647182-145653984,None,1,0
Ddit3,1.2393572819917966,0.698967426,2.56672e-06,chr10:127286704-127292042;chr10:127288695-127291447,chr10:127288510-127291428;chr10:127289880-127291227,2,2
Snrpd3,0.9300549889374932,0.552375769,2.1622e-06,chr10:75516520-75518423;chr10:75516826-75518224,chr10:75516415-75518492,2,1
Tmem256,0.894392343838159,0.575016774,2.53221e-08,chr11:69836453-69839276;chr11:69837402-69838705;chr11:69836673-69839255,chr11:69837416-69838658;chr11:69837733-69838971,3,2
C630043F03Rik,1.265723257158282,1.153111545,1.09667e-09,chr4:72197372-72202195;chr4:72199950-72201508;chr4:72200158-72202181,chr4:72200481-72201881;chr4:72200614-72201550,3,2
Rpl27,1.187215903359553,0.656623289,3.85583e-11,chr11:101441723-101443243;chr11:101441917-101442669;chr11:101441721-101442975,chr11:101441599-101442810;chr11:101441721-101442694,3,2
Ddit4,1.2943787357487668,0.731140298,1.09103e-15,chr10:59950434-59953534;chr10:59951389-59953309,chr10:59951243-59953288;chr10:59951540-59952506,2,2
