gene,enrichment_score,log2FoldChange,padj,exo_peaks,endo_peaks,num_exo_peaks,num_endo_peaks
Gm10643,0.6666666666666666,0.705930963,0.037920225,chr8:84066216-84067126;chr8:84066143-84067851,chr8:84066234-84066993;chr8:84066208-84067709;chr8:84066324-84067100,2,3
C530044C16Rik,0.3333333333333333,0.747958452,8.73531e-07,chr6:50776501-50778424,chr6:50776166-50778574;chr6:50776283-50778753;chr6:50776788-50777764,1,3
Cnot3,0.6666666666666666,0.516620306,3.91086e-08,chr7:3644607-3645528;chr7:3644524-3646753,chr7:3644561-3645681;chr7:3644143-3645868;chr7:3644166-3645449,2,3
Mnt,0.3333333333333333,0.805665969,2.68433e-10,chr11:74829712-74831278,chr11:74829458-74831278;chr11:74831619-74832717;chr11:74829762-74831482,1,3
Khsrp,1.0,0.575204575,9.01442e-13,chr17:57031465-57032406;chr17:57031495-57032289;chr17:57031286-57032682,chr17:57031404-57032717;chr17:57031482-57032364;chr17:57031446-57032514,3,3
Hmbox1,0.5,0.537547526,8.92198e-13,chr14:64949451-64951062,chr14:64949619-64950564;chr14:64949383-64950734,1,2
Mtmr4,0.6666666666666666,0.592868307,7.37025e-13,chr11:87591231-87592492;chr11:87591395-87592470,chr11:87591719-87592349;chr11:87591548-87592743;chr11:87591681-87592432,2,3
Gm807,0.6666666666666666,1.13888048,7.29217e-13,chr13:99099533-99101818;chr13:99099512-99101600,chr13:99099723-99101309;chr13:99098763-99101502;chr13:99099435-99102027,2,3
Ranbp10,0.5,0.648222896,1.97462e-13,chr8:105826570-105827802,chr8:105827133-105827804;chr8:105826818-105827802,1,2
Cramp1l,0.6666666666666666,0.597543747,1.05007e-13,chr17:25015772-25017066;chr17:25015543-25017250,chr17:25015635-25016636;chr17:25015627-25016873;chr17:25015550-25016900,2,3
Sap130,1.0,0.577049932,2.09173e-14,chr18:31633903-31635382;chr18:31633914-31635345,chr18:31633771-31635375;chr18:31633828-31635394,2,2
Slc25a42,0.6666666666666666,1.147393859,1.26004e-14,chr8:70212053-70213090;chr8:70212135-70213127,chr8:70212046-70213252;chr8:70211884-70213161;chr8:70212186-70213259,2,3
Zfp687,0.5,0.597659652,2.41684e-15,chr3:95014951-95016251,chr3:95015252-95016269;chr3:95014773-95016679,1,2
Rassf2,0.6666666666666666,0.584090324,4.79119e-16,chr2:132029611-132031448;chr2:132029708-132031357,chr2:132029238-132031474;chr2:132029661-132031488;chr2:132029627-132031511,2,3
Rap2a,0.6666666666666666,0.556464736,1.01713e-16,chr14:120476807-120478325;chr14:120477173-120479614,chr14:120477146-120478641;chr14:120476997-120478725;chr14:120476879-120478689,2,3
Myh10,1.0,0.596695344,1.06864e-17,chr11:68691453-68692343,chr11:68691266-68692428,1,1
Rfx1,0.6666666666666666,1.065969371,3.01893e-18,chr8:84066216-84067126;chr8:84066143-84067851,chr8:84066234-84066993;chr8:84066208-84067709;chr8:84066324-84067100,2,3
Kifc3,0.5,0.800716429,1.4080600000000001e-18,chr8:95142023-95144708,chr8:95142179-95144555;chr8:95142885-95144567,1,2
Hip1,1.0,0.603654453,8.88214e-20,chr5:135545076-135545880;chr5:135544902-135546044;chr5:135544748-135546023,chr5:135545028-135546188;chr5:135544820-135546008;chr5:135544551-135546178,3,3
Ap2a1,1.0,0.672515564,2.63887e-20,chr7:44929222-44930214;chr7:44929035-44930222;chr7:44929241-44930208,chr7:44929217-44930585;chr7:44929111-44930480;chr7:44929013-44930230,3,3
Fbrs,0.6666666666666666,0.994252862,6.10279e-22,chr7:127477488-127479191;chr7:127477303-127479182,chr7:127477490-127479236;chr7:127477429-127479243;chr7:127477040-127479166,2,3
Etv5,0.3333333333333333,0.73434604,2.55458e-22,chr16:22439101-22441058,chr16:22439563-22441126;chr16:22439318-22441423;chr16:22439383-22441006,1,3
Scaf1,0.2,0.853319353,1.96373e-24,chr7:45017062-45018257,chr7:45015703-45016651;chr7:45017297-45018057;chr7:45015672-45016676;chr7:45017157-45018225;chr7:45015912-45018289,1,5
C2cd3,0.6666666666666666,0.786102955,7.24167e-25,chr7:100371425-100372416;chr7:100371532-100372441,chr7:100371667-100372532;chr7:100371613-100372582;chr7:100371695-100372513,2,3
Mxd4,0.6666666666666666,0.882172517,8.48734e-26,chr5:34187194-34188592;chr5:34187348-34188334,chr5:34187477-34188320;chr5:34186913-34188714;chr5:34187237-34188349,2,3
Pou3f2,0.3333333333333333,0.833163554,1.54463e-27,chr4:22487994-22489066,chr4:22488187-22489009;chr4:22488089-22489077;chr4:22487800-22489389,1,3
Myh9,0.5,0.968962983,2.63081e-31,chr15:77841783-77842721,chr15:77842001-77842842;chr15:77842076-77842825,1,2
Nlgn2,0.6666666666666666,1.023985689,2.7964200000000003e-32,chr11:69837500-69838997;chr11:69837669-69839426,chr11:69837667-69838674;chr11:69837508-69839297;chr11:69837525-69839062,2,3
Btbd17,0.6666666666666666,1.258799255,1.05131e-32,chr11:114794903-114796851;chr11:114794912-114796848,chr11:114794712-114796882;chr11:114793999-114796713;chr11:114794960-114796574,2,3
Slc1a4,0.6666666666666666,1.019275536,7.78994e-33,chr11:20332426-20333516;chr11:20332016-20333532,chr11:20332413-20333527;chr11:20332634-20333527;chr11:20332421-20333483,2,3
Tnrc6b,0.6666666666666666,0.685300827,8.573590000000001e-34,chr15:80710445-80711522;chr15:80710445-80711543,chr15:80710304-80711567;chr15:80710530-80711615;chr15:80710374-80711507,2,3
Tom1l2,1.0,1.167389097,2.4707e-39,chr11:60352523-60353567;chr11:60352608-60353483;chr11:60352527-60353567,chr11:60352554-60353421;chr11:60352600-60353726;chr11:60352456-60353556,3,3
Dock4,1.0,1.004183707,3.6972299999999996e-43,chr12:40445607-40447364;chr12:40445331-40446416,chr12:40445512-40446375;chr12:40445259-40447045,2,2
Cic,1.0,1.229229867,4.68625e-47,chr7:25267247-25268492;chr7:25267072-25268821;chr7:25267238-25268807,chr7:25267209-25268771;chr7:25267061-25268742;chr7:25267192-25268786,3,3
Zbtb20,1.0,0.893503556,4.57556e-51,chr16:42874878-42876402;chr16:42874533-42876913;chr16:42874450-42876569,chr16:42874815-42876491;chr16:42874820-42876895;chr16:42874862-42876723,3,3
Srgap2,1.0,0.875124083,2.17465e-59,chr1:131526971-131528032;chr1:131526788-131528036;chr1:131526505-131528462,chr1:131526971-131528066;chr1:131526932-131528325;chr1:131526770-131528547,3,3
Tmem229a,0.5,0.894547663,3.0120200000000003e-61,chr6:24955664-24956961,chr6:24955818-24956900;chr6:24955708-24956940,1,2
Sesn3,0.6666666666666666,1.108451722,1.5489599999999998e-79,chr9:14275470-14276495;chr9:14275291-14276733,chr9:14275710-14276609;chr9:14275289-14276633;chr9:14275676-14276429,2,3
