gene,enrichment_score,log2FoldChange,padj,exo_peaks,endo_peaks,num_exo_peaks,num_endo_peaks
Gm10643,0.6012505181536538,0.705930963,0.037920225,chr8:84066216-84067126;chr8:84066143-84067851,chr8:84066234-84066993;chr8:84066208-84067709;chr8:84066324-84067100,2,3
Ddb2,0.0,0.585635161,0.03437331,None,chr2:91236759-91237689,0,1
Grk4,0.0,0.509810462,0.029722419,None,chr5:34659671-34660662;chr5:34659320-34660888;chr5:34659671-34660748,0,3
Ccdc151,0.0,0.768875246,0.02486947,None,chr9:22002506-22003021;chr9:22002243-22003230,0,2
Cyp46a1,0.0,0.94810275,0.012820389,None,chr12:108333587-108334482;chr12:108333578-108334735,0,2
Crocc,0.0,0.62260105,0.002855794,None,chr4:141059980-141061315,0,1
Dbp,0.0,0.622923731,0.002716864,None,chr7:45703792-45705739;chr7:45703700-45705853;chr7:45703870-45705425,0,3
Reep6,0.0,0.76390076,0.000504172,None,chr10:80329444-80330248;chr10:80329240-80330367;chr10:80329446-80330362,0,3
Ccdc189,0.0,0.976518395,0.000428234,None,chr7:127587869-127588807;chr7:127587853-127588975,0,2
Zfpm1,0.0,1.218518956,0.000224719,None,chr8:122281290-122282307,0,1
Slc22a5,0.0,0.527701475,0.000224004,None,chr11:53891551-53892420,0,1
Gm38182,0.0,0.965418254,0.000173014,None,chr18:37823682-37826787,0,1
Usp20,0.0,0.562137615,9.06231e-05,None,chr2:30981665-30982568;chr2:30981676-30982589;chr2:30981679-30982727,0,3
Myh14,0.0,0.575731366,1.07234e-05,None,chr7:44670637-44671677;chr7:44670659-44671785;chr7:44670631-44671893,0,3
BC024978,0.0,0.628166108,8.95339e-06,None,chr7:27195476-27196738,0,1
Numb,0.0,0.507800254,5.93155e-06,None,chr12:83921646-83922393,0,1
B230311B06Rik,0.0,1.097067248,3.19838e-06,None,chr7:118593392-118595106;chr7:118593263-118595036;chr7:118593303-118594602,0,3
Smpd3,0.0,0.960748047,1.72057e-06,None,chr8:106337726-106338458,0,1
C530044C16Rik,0.23962326000495007,0.747958452,8.73531e-07,chr6:50776501-50778424,chr6:50776166-50778574;chr6:50776283-50778753;chr6:50776788-50777764,1,3
Inpp5a,0.0,0.537716397,2.03475e-07,None,chr7:139388218-139389201;chr7:139388166-139389371;chr7:139387970-139389206,0,3
Ell,0.0,0.576095447,1.54075e-07,None,chr8:70538760-70539732;chr8:70538620-70539701;chr8:70538277-70539773,0,3
Dnaaf5,0.0,0.575890957,9.01393e-08,None,chr5:139149696-139150321,0,1
Sox1,0.0,0.50665294,7.08949e-08,None,chr8:12394593-12395909,0,1
Cnot3,0.7699732030368361,0.516620306,3.91086e-08,chr7:3644607-3645528;chr7:3644524-3646753,chr7:3644561-3645681;chr7:3644143-3645868;chr7:3644166-3645449,2,3
Dnajb5,0.0,0.622364071,1.38557e-09,None,chr4:42949374-42950412,0,1
Nfe2l1,0.0,0.552248611,5.25767e-10,None,chr11:96829085-96830477;chr11:96829411-96830666,0,2
Mnt,0.38604729928528053,0.805665969,2.68433e-10,chr11:74829712-74831278,chr11:74829458-74831278;chr11:74831619-74832717;chr11:74829762-74831482,1,3
Ncln,0.0,0.618797046,7.97265e-11,None,chr10:81496150-81496912,0,1
Tpcn1,0.0,0.688674077,1.58845e-12,None,chr5:120588519-120589228;chr5:120588389-120589311;chr5:120588387-120589404,0,3
Dmwd,0.0,0.575952034,9.64114e-13,None,chr7:19075646-19076315,0,1
Khsrp,0.5509484293563325,0.575204575,9.01442e-13,chr17:57031465-57032406;chr17:57031495-57032289;chr17:57031286-57032682,chr17:57031404-57032717;chr17:57031482-57032364;chr17:57031446-57032514,3,3
Hmbox1,0.6014034761879367,0.537547526,8.92198e-13,chr14:64949451-64951062,chr14:64949619-64950564;chr14:64949383-64950734,1,2
Mtmr4,0.7046837751045494,0.592868307,7.37025e-13,chr11:87591231-87592492;chr11:87591395-87592470,chr11:87591719-87592349;chr11:87591548-87592743;chr11:87591681-87592432,2,3
Gm807,0.342797947604682,1.13888048,7.29217e-13,chr13:99099533-99101818;chr13:99099512-99101600,chr13:99099723-99101309;chr13:99098763-99101502;chr13:99099435-99102027,2,3
