chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,peak_width_exo,peak_width_endo,significant,cpg_start,cpg_end,cpg_number
chr1,3670619,3671074,29.287905341863315,0.0,inf,1.0,exo_only,331.75,0.0,False,3670619,3671074,34
chr1,4491701,4493673,18.13652579984985,0.0,inf,1.0,exo_only,243.0,0.0,False,4491701,4493673,165
chr1,4571641,4572075,13.948418345416702,0.0,inf,1.0,exo_only,317.5,0.0,False,4571641,4572075,44
chr1,6359082,6359442,25.26457417838525,0.0,inf,1.0,exo_only,251.0,0.0,False,6359082,6359442,29
chr1,9848165,9848530,14.421291551847595,0.0,inf,1.0,exo_only,351.0,0.0,False,9848165,9848530,40
chr1,14755151,14755803,12.126638614039864,0.0,inf,1.0,exo_only,253.0,0.0,False,14755151,14755803,68
chr1,17091517,17091971,17.748274391332775,0.0,inf,1.0,exo_only,320.0,0.0,False,17091517,17091971,35
chr1,17145467,17145795,22.827924450260497,0.0,inf,1.0,exo_only,352.5,0.0,False,17145467,17145795,23
chr1,33908265,33908468,104.69156851198936,0.0,inf,1.0,exo_only,938.0,0.0,False,33908265,33908468,16
chr1,34472754,34472966,23.99122776400891,0.0,inf,1.0,exo_only,455.0,0.0,False,34472754,34472966,19
chr1,36103537,36104186,17.020558108730484,0.0,inf,1.0,exo_only,394.0,0.0,False,36103537,36104186,46
chr1,36779084,36779320,80.39844048843634,0.0,inf,1.0,exo_only,1129.0,0.0,False,36779084,36779320,18
chr1,37540315,37540920,200.76113072060343,0.0,inf,1.0,exo_only,880.0,0.0,False,37540315,37540920,56
chr1,38626793,38628084,6.632546462407427,0.0,inf,1.0,exo_only,188.0,0.0,False,38626793,38628084,94
chr1,52500031,52500252,12.862682296921,0.0,inf,1.0,exo_only,289.0,0.0,False,52500031,52500252,25
chr1,63273063,63273913,2.575965469062592,0.0,inf,1.0,exo_only,198.0,0.0,False,63273063,63273913,90
chr1,69376995,69377218,13.597730571660726,0.0,inf,1.0,exo_only,497.0,0.0,False,69376995,69377218,16
chr1,69377803,69378045,8.34004956805055,0.0,inf,1.0,exo_only,203.0,0.0,False,69377803,69378045,20
chr1,72825362,72825653,47.0071040671734,0.0,inf,1.0,exo_only,376.5,0.0,False,72825362,72825653,20
chr1,74791733,74792242,6.747740829887002,0.0,inf,1.0,exo_only,426.0,0.0,False,74791733,74792242,44
chr1,74950631,74952093,25.69806406690914,0.0,inf,1.0,exo_only,290.5,0.0,False,74950631,74952093,126
chr1,75475918,75476150,11.037872697703833,0.0,inf,1.0,exo_only,248.0,0.0,False,75475918,75476150,20
chr1,75482645,75483019,4.140663608954275,0.0,inf,1.0,exo_only,213.0,0.0,False,75482645,75483019,27
chr1,78215957,78216242,40.45759756729382,0.0,inf,1.0,exo_only,439.0,0.0,False,78215957,78216242,23
