chr,start,end,neu_signal,nsc_signal,fold_change,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr1,37875331,37875824,32.20136559161852,0.0,inf,1.0,neu_only,neu_only,False,3,0,"23.92086616874987,64.71876763466759,7.964462971438099","0.0,0.0,0.0",574,493,CpG:,873,2,0,3.506;7.0455,,37875230,37875804
chr1,74884301,74885613,16.287314312931166,0.0,inf,1.0,neu_only,neu_only,False,3,0,"22.049850354398735,24.35305287401964,2.4590397103751216","0.0,0.0,0.0",514,1312,CpG:,1156,1,0,2.9078,,74884321,74884835
chr1,166238497,166238965,14.209165266554976,0.0,inf,1.0,neu_only,neu_only,False,2,0,"40.36987819354494,2.257617606119985,0.0","0.0,0.0,0.0",421,468,CpG:,1853,1,0,3.43534,,166238240,166238661
chr1,171063939,171065960,24.539306747180788,0.0,inf,1.0,neu_only,neu_only,False,3,0,"3.808997724309314,62.260251881689996,7.548670635543056","0.0,0.0,0.0",179,2021,CpG:,1890,1,0,8.22196,,171064490,171064669
chr10,33624362,33624567,37.35974114904955,0.0,inf,1.0,neu_only,neu_only,False,3,0,"24.53087866163172,54.081883270172064,33.46646151534485","0.0,0.0,0.0",1166,205,CpG:,841,3,0,3.64482;6.95828;3.58009,,33623658,33624824
chr10,50900711,50901152,30.462525107139765,0.0,inf,1.0,neu_only,neu_only,False,2,0,"4.12861171434092,87.25896360707837,0.0","0.0,0.0,0.0",172,441,CpG:,973,1,0,4.69408,,50900937,50901109
chr10,76374961,76375235,11.936971539198751,0.0,inf,1.0,neu_only,neu_only,False,2,0,"2.073240764213331,0.0,33.73767385338292","0.0,0.0,0.0",264,274,CpG:,1167,1,0,3.4798,,76374712,76374976
chr10,81997095,81997374,32.280629738761625,0.0,inf,1.0,neu_only,neu_only,False,3,0,"38.43088601587518,7.02433791682914,51.38666528358055","0.0,0.0,0.0",283,279,CpG:,1210,2,0,7.66567;6.24619,,81997282,81997565
chr10,130470357,130470638,15.512454930473774,0.0,inf,1.0,neu_only,neu_only,False,3,0,"9.169168175769453,0.548130007351146,36.82006660830073","0.0,0.0,0.0",238,281,CpG:,1580,1,0,3.3129,,130470369,130470607
chr11,72314388,72314632,26.490342404702844,0.0,inf,1.0,neu_only,neu_only,False,3,0,"18.43239145060532,2.750413166657659,58.28822259684556","0.0,0.0,0.0",262,244,CpG:,1136,1,0,4.68808,,72314219,72314481
chr11,82931232,82932122,1.7097100803464669,0.0,inf,1.0,neu_only,neu_only,False,3,0,"0.3295619960924564,2.048273022004864,2.75129522294208","0.0,0.0,0.0",2076,890,CpG:,1217,1,0,4.56481,,82930543,82932619
chr11,96124323,96124578,35.58571055738252,0.0,inf,1.0,neu_only,both,False,3,0,"19.732900302422227,55.06582923952093,31.95840213020441","0.0,0.0,0.0",788,255,CpG:,1318,2,1,3.05329;3.517,4.51364,96124171,96124959
chr12,18135572,18136430,4.009293355886963,0.0,inf,1.0,neu_only,neu_only,False,1,0,"12.02788006766089,0.0,0.0","0.0,0.0,0.0",580,858,CpG:,723,1,0,2.61911,,18135451,18136031
chr12,19288194,19289105,7.024546968827554,0.0,inf,1.0,neu_only,neu_only,False,2,0,"13.635754817122713,0.0,7.4378860893599485","0.0,0.0,0.0",218,911,CpG:,732,1,0,9.45148,,19288444,19288662
chr12,20196366,20197474,10.192443580677113,0.0,inf,1.0,neu_only,neu_only,False,2,0,"0.8754880912601948,29.70184265077114,0.0","0.0,0.0,0.0",256,1108,CpG:,739,1,0,2.4851,,20196965,20197221
chr12,44221675,44222279,4.588432834902986,0.0,inf,1.0,neu_only,neu_only,False,3,0,"5.608808636488213,2.187631825281288,5.968858042939456","0.0,0.0,0.0",673,604,CpG:,922,1,0,3.63467,,44221916,44222589
chr12,109399647,109399930,19.138828954039184,0.0,inf,1.0,neu_only,neu_only,False,3,0,"20.727311381398994,2.410684364945141,34.27849111577341","0.0,0.0,0.0",938,283,CpG:,1419,3,0,5.72153;6.03194;4.19349,,109399033,109399971
chr13,13393039,13393980,16.22385855140926,0.0,inf,1.0,neu_only,neu_only,False,1,0,"0.0,48.67157565422778,0.0","0.0,0.0,0.0",212,941,CpG:,687,1,0,7.98149,,13393908,13394120
chr13,46771211,46771472,30.25575299835205,0.0,inf,1.0,neu_only,neu_only,False,3,0,"75.05095483398438,8.982764213562012,6.733539947509765","0.0,0.0,0.0",250,261,CpG:,941,1,0,5.24277,,46771181,46771431
chr13,119836757,119837075,30.77884782054437,0.0,inf,1.0,neu_only,neu_only,False,3,0,"59.52315005045089,1.6023377199021598,31.211055691280063","0.0,0.0,0.0",252,318,CpG:,1499,1,0,4.50074,,119836700,119836952
chr14,60086635,60086903,18.3437325734178,0.0,inf,1.0,neu_only,neu_only,False,3,0,"9.82217261896871,39.750174687283646,5.4588504140010405","0.0,0.0,0.0",1151,268,CpG:,1043,2,0,6.34511;3.42611,,60085818,60086969
chr14,65730733,65731067,12.957022870363788,0.0,inf,1.0,neu_only,neu_only,False,2,0,"20.373456834237786,0.0,18.49761177685358","0.0,0.0,0.0",711,334,CpG:,1086,1,0,2.75609,,65730503,65731214
chr14,72980207,72980461,11.035005411586246,0.0,inf,1.0,neu_only,neu_only,False,2,0,"19.172534320805525,0.0,13.932481913953215","0.0,0.0,0.0",1184,254,CpG:,1141,2,0,3.80006;3.24783,,72979900,72981084
chr15,27665505,27665735,10.209457044823225,0.0,inf,1.0,neu_only,neu_only,False,2,0,"21.057285242302473,0.0,9.571085892167202","0.0,0.0,0.0",430,230,CpG:,796,1,0,3.24765,,27665482,27665912
chr15,74799698,74799953,29.178256169418614,0.0,inf,1.0,neu_only,neu_only,False,3,0,"40.941149194791514,20.630913974317306,25.962705339147025","0.0,0.0,0.0",489,255,CpG:,1155,3,0,4.43718;3.07733;3.13939,,74799751,74800240
chr15,84406549,84406755,20.240963369787,0.0,inf,1.0,neu_only,neu_only,False,3,0,"24.519539897329306,26.55493377718291,9.64841643484877","0.0,0.0,0.0",1165,206,CpG:,1228,1,0,3.31439,,84405521,84406686
chr15,88982749,88983169,13.445820573830646,0.0,inf,1.0,neu_only,neu_only,False,3,0,"23.843169324086688,12.274265140881479,4.220027256523774","0.0,0.0,0.0",1118,420,CpG:,1263,1,0,3.02013,,88982523,88983641
chr15,102954317,102955305,38.353162793145664,0.0,inf,1.0,neu_only,neu_only,False,1,0,"0.0,115.05948837943698,0.0","0.0,0.0,0.0",184,988,CpG:,1370,1,0,6.90305,,102955238,102955422
chr16,18976402,18976773,16.5453116521851,0.0,inf,1.0,neu_only,neu_only,False,3,0,"13.128648093964275,13.90849629294109,22.598790569649932","0.0,0.0,0.0",609,371,CpG:,729,2,0,2.76122;4.53478,,18976404,18977013
