"seqnames","start","end","gene_symbol","width","strand","enrichment.x","binding_type.x","peak_width_exo.x","peak_width_endo.x","significant.x","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue.x","padj","exo_signal","endo_signal","enrichment.y","pvalue.y","binding_type.y","peak_width_exo.y","peak_width_endo.y","significant.y"
"chr1",10039745,10040279,"Cspp1",535,"*",0,"endo_only",0,620,"False","Promoter (<=1kb)",1,10039767,10058872,19106,1,"211660","ENSMUST00000191521.6",0,"ENSMUSG00000056763","Cspp1","centrosome and spindle pole associated protein 1",1427.340612,0.101899573,0.075455912,1.350451814,0.1768711,0.316655183,0,20.4582310878934,0,1,"endo_only",0,620,"False"
"chr1",106796242,106796781,"Vps4b",540,"*",0,"endo_only",0,359.5,"False","Promoter (<=1kb)",1,106764071,106796667,32597,2,"20479","ENSMUST00000112736.7",0,"ENSMUSG00000009907","Vps4b","vacuolar protein sorting 4B",2574.413856,-0.198610458,0.073254003,-2.711257417,0.006702857,0.019391258,0,13.6576048742166,0,1,"endo_only",0,359.5,"False"
"chr1",119525825,119526478,"Tmem185b",654,"*",0,"endo_only",0,378.5,"False","Promoter (<=1kb)",1,119526160,119528983,2824,1,"226351","ENSMUST00000183952.1",0,"ENSMUSG00000098923","Tmem185b","transmembrane protein 185B",624.1595574,0.219810315,0.094964336,2.314661721,0.020631452,0.052680558,0,13.1137747300755,0,1,"endo_only",0,378.5,"False"
"chr1",120120917,120121280,"Dbi",364,"*",0.090239845615656,"endo_only",0,966.333333333333,"False","Promoter (<=1kb)",1,120113280,120121078,7799,2,"13167","ENSMUST00000027634.12",0,"ENSMUSG00000026385","Dbi","diazepam binding inhibitor",14694.15455,-0.504308043,0.071488383,-7.054405481,1.7334e-12,1.53874e-11,5.57536413333889,61.7838394480985,0.090239845615656,0.5,"endo_only",0,966.333333333333,"False"
"chr1",131827610,131828289,"Slc41a1",680,"*",1.16955338331574,"endo_only",0,504.333333333333,"False","Promoter (<=1kb)",1,131827977,131848865,20889,1,"98396","ENSMUST00000086559.6",0,"ENSMUSG00000013275","Slc41a1","solute carrier family 41, member 1",1388.510448,0.597480198,0.086402192,6.915104604,4.67518e-12,4.01089e-11,44.4941065859761,38.0436730983866,1.16955338331574,0.5,"endo_only",0,504.333333333333,"False"
"chr1",131910244,131911218,"Nucks1",975,"*",0.382051988304247,"endo_only",0,476,"False","Promoter (<=1kb)",1,131910534,131932679,22146,1,"98415","ENSMUST00000189946.6",0,"ENSMUSG00000026434","Nucks1","nuclear casein kinase and cyclin-dependent kinase substrate 1",31855.08125,-0.055576962,0.049295612,-1.127422093,0.259564063,0.424732563,11.962127246264,31.310208067123,0.382051988304247,0.666666666666667,"endo_only",0,476,"False"
"chr1",132417369,132417990,"Dstyk",622,"*",1.91097317102122,"endo_only",0,347.5,"False","Promoter (<=1kb)",1,132417555,132466958,49404,1,"213452","ENSMUST00000045110.13",0,"ENSMUSG00000042046","Dstyk","dual serine/threonine and tyrosine protein kinase",1781.856153,0.148917746,0.07207019,2.066287685,0.038801324,0.09095998,23.6321549530811,12.3665550680924,1.91097317102122,0.666666666666667,"endo_only",0,347.5,"False"
"chr1",134455275,134455836,"Klhl12",562,"*",0,"endo_only",0,532,"False","Promoter (<=1kb)",1,134455531,134466570,11040,1,"240756","ENSMUST00000133721.7",0,"ENSMUSG00000026455","Klhl12","kelch-like 12",623.1048738,-0.233349643,0.102982573,-2.265913887,0.023456656,0.058880726,0,14.6787175596377,0,1,"endo_only",0,532,"False"
"chr1",136140304,136140607,"Kif21b",304,"*",0.484602782428484,"endo_only",0,445,"False","Intron (ENSMUST00000075164.10/16565, intron 1 of 34)",1,136131454,136149993,18540,1,"16565","ENSMUST00000122892.1",8850,"ENSMUSG00000041642","Kif21b","kinesin family member 21B",1495.397298,-0.043506198,0.076194163,-0.570991214,0.568005599,0.725175606,12.3966802519168,25.5811165379478,0.484602782428484,1,"endo_only",0,445,"False"
"chr1",155083181,155083561,"Gm9530",381,"*",0.188088617409061,"endo_only",0,576.666666666667,"False","Promoter (<=1kb)",1,155063447,155083266,19820,2,"671336","ENSMUST00000181160.2",0,"ENSMUSG00000096950","Gm9530","predicted gene 9530",NA,NA,NA,NA,NA,NA,8.12452093969837,43.1951760378402,0.188088617409061,0.5,"endo_only",0,576.666666666667,"False"
