"seqnames","start","end","gene_symbol","width","strand","enrichment.x","binding_type.x","peak_width_exo.x","peak_width_endo.x","significant.x","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue.x","padj","exo_signal","endo_signal","enrichment.y","pvalue.y","binding_type.y","peak_width_exo.y","peak_width_endo.y","significant.y"
"chr1",106713656,106714232,"Bcl2",577,"*",1.79874175715532,"exo_only",423.5,0,"False","Promoter (<=1kb)",1,106538178,106714274,176097,2,"12043","ENSMUST00000112751.1",42,"ENSMUSG00000057329","Bcl2","B cell leukemia/lymphoma 2",1343.527829,0.310340492,0.083098538,3.73460831,0.000188008,0.000726065,20.4495557166345,11.3688113567648,1.79874175715532,1,"exo_only",423.5,0,"False"
"chr1",127868687,127869081,"Rab3gap1",395,"*",Inf,"exo_only",391.5,0,"False","Promoter (<=1kb)",1,127868773,127943868,75096,1,"226407","ENSMUST00000037649.5",0,"ENSMUSG00000036104","Rab3gap1","RAB3 GTPase activating protein subunit 1",1574.348551,-0.075014499,0.08942195,-0.83888239,0.401535311,0.576818518,16.5666752680109,0,Inf,1,"exo_only",391.5,0,"False"
"chr1",12991485,12992784,"Slco5a1",1300,"*",3.72001526614266,"exo_only",351,0,"False","Promoter (<=1kb)",1,12866549,12992650,126102,2,"240726","ENSMUST00000188454.6",0,"ENSMUSG00000025938","Slco5a1","solute carrier organic anion transporter family, member 5A1",NA,NA,NA,NA,NA,NA,24.390206914255,6.55648032851906,3.72001526614266,0.666666666666667,"exo_only",351,0,"False"
"chr1",130716676,130717833,"Pfkfb2",1158,"*",3.08608640633641,"exo_only",403,0,"False","Promoter (<=1kb)",1,130707580,130717238,9659,2,"18640","ENSMUST00000186777.1",0,"ENSMUSG00000026409","Pfkfb2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",260.2804408,0.409301175,0.147336245,2.778007366,0.005469338,0.016162363,21.9468198119964,7.11153769607187,3.08608640633641,0.666666666666667,"exo_only",403,0,"False"
"chr1",132007342,132008412,"Elk4",1071,"*",Inf,"exo_only",385,0,"False","Promoter (<=1kb)",1,132007607,132026448,18842,1,"13714","ENSMUST00000086556.11",0,"ENSMUSG00000026436","Elk4","ELK4, member of ETS oncogene family",3608.703166,0.243719176,0.062974559,3.870121192,0.000108781,0.00043506,16.5888471629377,0,Inf,1,"exo_only",385,0,"False"
"chr1",134415248,134415959,"Adipor1",712,"*",1.68887253727646,"exo_only",391.666666666667,0,"False","Promoter (<=1kb)",1,134415378,134433351,17974,1,"72674","ENSMUST00000027727.14",0,"ENSMUSG00000026457","Adipor1","adiponectin receptor 1",3854.417086,0.04016302,0.067421165,0.595703442,0.551373359,0.710845736,25.1897059856929,14.9151018976925,1.68887253727646,0.5,"exo_only",391.666666666667,0,"False"
"chr1",134494514,134494948,"Rabif",435,"*",2.26142444101502,"exo_only",532,0,"False","Promoter (<=1kb)",1,134494648,134508774,14127,1,"98710","ENSMUST00000047978.8",0,"ENSMUSG00000042229","Rabif","RAB interacting factor",1538.430937,-0.300704813,0.074075571,-4.059432967,4.9192e-05,0.00020662,21.3495133499693,9.44073698097416,2.26142444101502,1,"exo_only",532,0,"False"
"chr1",134556778,134557124,"Kdm5b",347,"*",3.94741345960021,"exo_only",348,0,"False","Distal Intergenic",1,134560171,134635285,75115,1,"75605","ENSMUST00000047714.13",-3047,"ENSMUSG00000042207","Kdm5b","lysine demethylase 5B",4030.92476,0.630604738,0.071999212,8.758494944,1.97875e-18,2.72817e-17,30.2827269185254,7.67153662226009,3.94741345960021,1,"exo_only",348,0,"False"
"chr1",135687731,135688484,"Nav1",754,"*",3.4978600497389,"exo_only",346.666666666667,0,"False","Promoter (<=1kb)",1,135438848,135688105,249258,2,"215690","ENSMUST00000190298.7",0,"ENSMUSG00000009418","Nav1","neuron navigator 1",1929.714433,0.06591546,0.078504078,0.839643769,0.40110815,0.576482468,21.7662604666537,6.22273623219388,3.4978600497389,1,"exo_only",346.666666666667,0,"False"
"chr1",155416849,155417545,"Xpr1",697,"*",1.96320234330831,"exo_only",521.5,0,"False","Promoter (<=1kb)",1,155275701,155417329,141629,2,"19775","ENSMUST00000027741.11",0,"ENSMUSG00000026469","Xpr1","xenotropic and polytropic retrovirus receptor 1",3659.556406,0.299683919,0.063728075,4.702541497,2.56943e-06,1.26395e-05,23.2475319475113,11.8416382431245,1.96320234330831,1,"exo_only",521.5,0,"False"
