"seqnames","start","end","gene_symbol","width","strand","enrichment.x","binding_type.x","peak_width_exo.x","peak_width_endo.x","significant.x","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue.x","padj","exo_signal","endo_signal","enrichment.y","pvalue.y","binding_type.y","peak_width_exo.y","peak_width_endo.y","significant.y"
"chr1",105663826,105664647,"Relch",822,"*",1.67801990821361,"both",706.333333333333,529.333333333333,"False","Promoter (<=1kb)",1,105663861,105687141,23281,1,"227446","ENSMUST00000189091.6",0,"ENSMUSG00000026319","Relch","RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing",1699.660159,0.382792262,0.070036246,5.465630747,4.61264e-08,2.75895e-07,69.3538225096018,41.3307507080977,1.67801990821361,0.1,"both",706.333333333333,529.333333333333,"False"
"chr1",105989879,105991754,"Zcchc2",1876,"*",0.374733286061547,"both",521,649,"False","Promoter (<=1kb)",1,105990406,106034074,43669,1,"227449","ENSMUST00000118196.7",0,"ENSMUSG00000038866","Zcchc2","zinc finger, CCHC domain containing 2",1509.797145,0.758699645,0.07865209,9.646274388,5.09741e-22,8.80533e-21,32.5088850944299,86.7520615424876,0.374733286061547,0.4,"both",521,649,"False"
"chr1",106171429,106173330,"Gm20753",1902,"*",1.03571505071681,"both",809,799,"False","Promoter (<=1kb)",1,106152625,106171524,18900,2,"626049","ENSMUST00000190105.1",0,"ENSMUSG00000101583","Gm20753","predicted gene, 20753",NA,NA,NA,NA,NA,NA,239.628140685588,231.364930460113,1.03571505071681,0.7,"both",809,799,"False"
"chr1",106759347,106759902,"Kdsr",556,"*",0.986421371749689,"both",702.666666666667,789.333333333333,"False","Promoter (<=1kb)",1,106720459,106759727,39269,2,"70750","ENSMUST00000010049.5",0,"ENSMUSG00000009905","Kdsr","3-ketodihydrosphingosine reductase",1503.384345,0.033786544,0.082649337,0.408793892,0.682690923,0.81049733,81.352717052387,82.4725815784848,0.986421371749689,1,"both",702.666666666667,789.333333333333,"False"
"chr1",118388759,118389005,"Clasp1",247,"*",1.07080332958457,"both",591.666666666667,653,"False","Promoter (<=1kb)",1,118389058,118609432,220375,1,"76707","ENSMUST00000049404.12",-53,"ENSMUSG00000064302","Clasp1","CLIP associating protein 1",5373.21805,0.266538498,0.068545242,3.888504705,0.000100864,0.000405267,73.3129470489099,68.4653708327117,1.07080332958457,1,"both",591.666666666667,653,"False"
"chr1",118389219,118389718,"Clasp1",500,"*",1.07080332958457,"both",591.666666666667,653,"False","Promoter (<=1kb)",1,118389344,118503213,113870,1,"76707","ENSMUST00000189676.6",0,"ENSMUSG00000064302","Clasp1","CLIP associating protein 1",5373.21805,0.266538498,0.068545242,3.888504705,0.000100864,0.000405267,73.3129470489099,68.4653708327117,1.07080332958457,1,"both",591.666666666667,653,"False"
"chr1",119053398,119053783,"Gli2",386,"*",2.08241309567245,"both",601,418,"False","Promoter (<=1kb)",1,118834132,119053619,219488,2,"14633","ENSMUST00000062483.14",0,"ENSMUSG00000048402","Gli2","GLI-Kruppel family member GLI2",78.4350264,0.247616351,0.251663748,0.983917438,0.325156109,0.498121581,37.8239829869488,18.163534922803,2.08241309567245,1,"both",601,418,"False"
"chr1",119504422,119504997,"Ralb",576,"*",1.13013046503185,"both",666.666666666667,569,"False","Promoter (<=1kb)",1,119470305,119504794,34490,2,"64143","ENSMUST00000004565.14",0,"ENSMUSG00000004451","Ralb","v-ral simian leukemia viral oncogene B",1948.602954,-0.721147719,0.071854199,-10.03626406,1.05598e-23,2.01326e-22,89.5462214015568,79.2352955453096,1.13013046503185,0.7,"both",666.666666666667,569,"False"
"chr1",119836759,119837754,"Ptpn4",996,"*",2.47021831745188,"both",519.333333333333,447,"False","Promoter (<=1kb)",1,119652467,119837613,185147,2,"19258","ENSMUST00000064091.11",0,"ENSMUSG00000026384","Ptpn4","protein tyrosine phosphatase, non-receptor type 4",5547.892932,-0.012151367,0.057485943,-0.211379807,0.832590913,0.907432824,43.8394516433635,17.7471972147731,2.47021831745188,0.8,"both",519.333333333333,447,"False"
"chr1",121327653,121328143,"Insig2",491,"*",2.01350904668585,"both",354,410.5,"False","Promoter (<=1kb)",1,121304353,121328024,23672,2,"72999","ENSMUST00000003818.13",0,"ENSMUSG00000003721","Insig2","insulin induced gene 2",1005.982148,-0.894410282,0.089350488,-10.0101332,1.37567e-23,2.6006e-22,27.0243261961919,13.4215072143196,2.01350904668585,0.8,"both",354,410.5,"False"
