gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal
0610009B22Rik,chr11,51688626,51689166,1.210670497544729,1716.7947832906395,1418.052877948495
0610010F05Rik,chr11,23633135,23633766,1.044933671315134,726.4007561136336,695.1644645534287
0610010K14Rik,chr11,70237525,70238413,1.1775392516853416,444.8622767171589,377.7897646133274
0610011F06Rik,chr17,25875044,25875794,1.4529538987095203,344.7561265632296,237.2794669324566
0610012G03Rik,chr16,31948044,31948757,3.5776780713098444,110.8022894868417,30.970447110764
0610030E20Rik,chr6,72347217,72347722,2.8406581147471144,15.837979737922334,5.575461424132797
0610037L13Rik,chr4,107889687,107890217,1.5683332331811122,443.74745660539264,282.9420732896938
0610038B21Rik,chr8,77517280,77518435,2.134777932735278,211.3491004825113,99.00285047996115
0610040F04Rik,chr6,108659365,108660445,1.2049957546676866,2110.883154629428,1751.7764244833932
0610040J01Rik,chr5,63812229,63812661,1.5511976646270929,151.3948294615998,97.59867031387974
1110001J03Rik,chr6,38534663,38535073,0.9507940789157936,2499.168823245443,2628.5069276990944
1110004E09Rik,chr16,90934297,90935370,1.9241974839294609,561.3897564178309,291.75267149367653
1110006O24Rik,chr5,115631431,115631827,2.748261460541832,146.8369512967592,53.42903264662804
1110008F13Rik,chr2,156862764,156863637,2.166529777588001,642.339515467027,296.483123431677
1110008P14Rik,chr2,32381502,32382189,1.5055143976510037,236.3624140868724,156.99777727510252
1110017D15Rik,chr4,41507017,41507326,1.8586321316128205,207.989096303406,111.90439074295156
1110020A21Rik,chr17,84958313,84958724,2.8950609684201862,3082.7604892570985,1064.8343930868366
1110034G24Rik,chr2,132686949,132687166,1.892228212921395,283.1526290724424,149.6397882342561
1110037F02Rik,chr4,11485725,11486328,1.205706408991807,712.7116903655074,591.115453190189
1110038F14Rik,chr15,76948411,76948997,2.0833721199615605,145.35559543777885,69.76938687288411
1110046J04Rik,chr13,33935548,33935844,0.8277603329856215,38.36909050225549,46.35289826448108
1110059G10Rik,chr9,122950701,122951318,1.2891274966366153,146.6041719880993,113.72356292965232
1110065P20Rik,chr4,124850233,124851474,0.9662967929018051,205.0536124334598,212.2056224751408
1190002N15Rik,chr9,94537088,94539070,1.1930804663458083,1517.4672873921363,1271.8901450460144
1190005I06Rik,chr8,120633711,120634631,2.1104732371330988,163.43729940473764,77.44106702189389
1190007I07Rik,chr10,82622660,82623248,2.1271058042000326,66.36148340852753,31.198017173144297
1300002E11Rik,chr16,21794116,21794707,1.2678767121827192,427.0992120921073,336.8617847368082
1500009L16Rik,chr10,83722674,83723229,1.7210187259456804,162.08899371064956,94.18200468538392
1500011B03Rik,chr5,114813704,114814150,1.8665941351764583,116.61206757238962,62.47317795272388
1500011K16Rik,chr2,127792199,127792560,1.3758035686400545,201.72960734962635,146.62675104777549
1500012K07Rik,chr7,75308843,75309053,0.7494657739321672,30.85692908393938,41.17189891413532
1600002H07Rik,chr17,24220509,24220795,1.8343145027222352,279.458768418056,152.35052004622003
1600012H06Rik,chr17,14942933,14943937,0.968579499316362,416.14432976153,429.6439580388093
1600014C10Rik,chr7,38183665,38184097,2.449309717278338,552.3930937988977,225.53011156658224
1600014C23Rik,chr17,45733938,45734175,1.548167202109726,732.9373588777272,473.4226108645986
1600017P15Rik,chr3,30595182,30595631,2.3532954096071244,104.4112097890784,44.36808458590821
1600029O15Rik,chr9,58201822,58202028,inf,8.316416093693332,0.0
1700001G17Rik,chr1,33669553,33670569,1.6033261493184163,177.6897786856805,110.8257223654822
1700001L05Rik,chr15,83366863,83367533,11.86450256908418,79.15868353336748,6.671892316803445
1700001O22Rik,chr2,30794616,30794976,1.4820395036392986,279.1872308822342,188.38042454108785
1700003E16Rik,chr6,83156318,83156590,2.70479678796968,141.88268713383545,52.45595076306557
1700003F12Rik,chr2,154549461,154549969,15.12542490870183,49.84997001019281,3.295773197188897
1700003G18Rik,chr7,116093081,116093523,1.923206937567146,2301.7354667915647,1196.8215285783322
1700006E09Rik,chr11,101984403,101984969,2.3039935005946424,499.5700512891098,216.82789086001105
1700007G11Rik,chr5,98329238,98329549,0.919381112826248,129.15186618197467,140.47696257861108
1700008O03Rik,chr7,44360091,44360509,1.1634950920593097,170.45966168273864,146.50655842564515
1700012C14Rik,chr6,30459849,30460176,1.8103738018197213,423.9139939042029,234.158268020726
1700016B15Rik,chr7,118740536,118740741,0.8964964669049553,522.6389454436336,582.9793699555569
1700016D08Rik,chr16,3908918,3909244,0.8678004748834399,1052.9857864740677,1213.3961860478369
1700016H13Rik,chr5,103655338,103655818,1.979790313481868,34.47640717683164,17.41417105743779
