gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal,binding_type,distance_to_gene,baseMean,log2FoldChange,padj
0610009B22Rik,chr11,51688626,51689166,0.9272066057172594,2775.264256715538,2993.145475456008,both,292,,,
0610010F05Rik,chr11,23633135,23633766,2.5446087419427457,633.6261353666914,249.0072933110077,both,127,,,
0610010K14Rik,chr11,70237525,70238413,1.138274419368024,432.3917882723133,379.86603310683154,both,499,,,
0610011F06Rik,chr17,25875044,25875794,1.247181382642978,675.1050610492758,541.3046333474122,both,420,,,
0610012G03Rik,chr16,31948044,31948757,2.16353244231925,77.0349920788387,35.606118296178266,both,263,1483.241219,0.327137919,0.018343553
0610030E20Rik,chr6,72347217,72347722,inf,9.461792319072227,0.0,exo_only,100,,,
0610037L13Rik,chr4,107889687,107890217,1.5008310020161526,644.2439927403457,429.2581855484699,both,126,,,
0610038B21Rik,chr8,77517280,77518435,2.1768006254565333,268.98719446948445,123.56997297952846,both,224,,,
0610040F04Rik,chr6,108659365,108660445,1.769059073026013,2241.16954975953,1266.8709507399108,both,489,,,
0610040J01Rik,chr5,63812229,63812661,1.6624809529134643,305.2900748892661,183.6352316423544,both,134,,,
1110001J03Rik,chr6,38534663,38535073,1.5650108188259673,6442.711162110558,4116.719887562005,both,1161,,,
1110004E09Rik,chr16,90934297,90935370,2.929326347918616,941.8352663373684,321.5194056498942,both,443,,,
1110006O24Rik,chr5,115631431,115631827,2.1443890159029,96.89688923598096,45.18624583384293,both,11,,,
1110008F13Rik,chr2,156862764,156863637,4.807549166663272,997.3805118607344,207.46132328231107,both,364,,,
1110008P14Rik,chr2,32381502,32382189,0.8718496576928924,156.0510240372449,178.98845593423815,both,251,1256.617818,0.326417891,0.010881285
1110017D15Rik,chr4,41507017,41507326,0.9404424405620582,373.1818555885226,396.8152004767984,both,2008,,,
1110020A21Rik,chr17,84958313,84958724,inf,21.77450264933079,0.0,exo_only,1014,,,
1110034G24Rik,chr2,132686949,132687166,2.095362570272778,515.8002445077351,246.1627652538373,both,18,,,
1110037F02Rik,chr4,11485725,11486328,1.1804910627522385,843.3489848803089,714.4052263420745,both,233,,,
1110038F14Rik,chr15,76948411,76948997,3.4702300624695126,255.05552197417603,73.49815931012695,both,128,,,
1110046J04Rik,chr13,33935548,33935844,0.1955404205149613,24.658131576900832,126.10247800410234,both,19,,,
1110059G10Rik,chr9,122950701,122951318,1.2711960722954625,301.24343267148754,236.97637149516768,both,318,,,
1110065P20Rik,chr4,124850233,124851474,0.532049215693725,96.2663981167169,180.9351377225464,both,278,716.8987607,0.496807206,0.001176932
1190002N15Rik,chr9,94537088,94539070,1.3705760647437026,1595.4724802429937,1164.0889705317788,both,989,,,
1190005I06Rik,chr8,120633711,120634631,4.939832221002333,335.42244465380253,67.90158646030746,both,13001,,,
1190007I07Rik,chr10,82622660,82623248,2.2114323091731,89.8555890873832,40.63230364983772,both,20,,,
1300002E11Rik,chr16,21794116,21794707,1.2022298025869382,530.8911644493386,441.58875724672254,both,202,,,
1500009L16Rik,chr10,83722674,83723229,7.069961189337275,195.64704833788085,27.67300174616948,both,191,,,
1500011B03Rik,chr5,114813704,114814150,1.8978467676833848,127.44052581521782,67.15006078745685,both,174,,,
1500011K16Rik,chr2,127792199,127792560,2.2558266028266614,432.4755140609621,191.71487450278715,both,72,,,
1500012K07Rik,chr7,75308843,75309053,0.3956749659056365,64.25195079526397,162.3856860597727,both,147,,,
1600002H07Rik,chr17,24220509,24220795,3.311994677251368,406.2311690523316,122.65453560132646,both,56,,,
1600012H06Rik,chr17,14942933,14943937,2.8824729499617257,789.6152774837674,273.93675194566947,both,251,,,
1600014C10Rik,chr7,38183665,38184097,2.067758433497771,1247.7938030818189,603.452406658103,both,448,,,
1600014C23Rik,chr17,45733938,45734175,1.4235590461368055,1176.6193255521366,826.5335594931566,both,331,,,
1600017P15Rik,chr3,30595182,30595631,1.876148278701808,137.3925468108309,73.2311770719418,both,102,,,
1600029O15Rik,chr9,58201822,58202028,inf,6.02683605114666,0.0,exo_only,1075,,,
1700001G17Rik,chr1,33669553,33670569,3.217632343363076,295.75321097408784,91.91640915225447,both,143,,,
1700001L05Rik,chr15,83366863,83367533,inf,36.14341334989469,0.0,exo_only,251,,,
1700001O22Rik,chr2,30794616,30794976,1.5011669266002856,713.1361346964364,475.05452062648766,both,153,,,
1700003E16Rik,chr6,83156318,83156590,3.1609138408784667,307.33372084781666,97.22938881573688,both,86,,,
1700003F12Rik,chr2,154549461,154549969,inf,89.94654516289195,0.0,exo_only,34,,,
1700003G18Rik,chr7,116093081,116093523,1.9712506172661088,2383.3809199891853,1209.070474912344,both,364,,,
1700003N22Rik,chr3,8462763,8463058,inf,4.099957578786263,0.0,exo_only,23,,,
1700006E09Rik,chr11,101984403,101984969,3.4661594115090204,722.5393356628416,208.45531029638315,both,124,,,
1700007G11Rik,chr5,98329238,98329549,1.1370363548506337,280.6947200889317,246.8652113817461,both,66,,,
1700008O03Rik,chr7,44360091,44360509,1.3014693172417728,221.7241264879079,170.36446695325236,both,48,,,
1700012C14Rik,chr6,30459849,30460176,1.6598263815849643,473.5067428903335,285.27486256615765,both,279,,,
1700016B15Rik,chr7,118740536,118740741,0.8871096974994211,663.2860709132871,747.6934056554148,both,87,,,
1700016D08Rik,chr16,3908918,3909244,0.976808597525448,2492.939093616192,2552.1264861218065,both,52,,,
1700016H13Rik,chr5,103655338,103655818,1.6801056353847037,52.33691116840978,31.15096459778607,both,192,,,
1700016K19Rik,chr11,75999940,76000210,0.6570003748466886,8.578543239444736,13.057135989376786,both,28,,,
1700017B05Rik,chr9,57261524,57262813,1.3562562850130484,228.0513443017052,168.14767741298326,both,214,,,
1700018A14Rik,chr18,46198145,46199234,0.6790797763997618,135.16270022399095,199.03802899355253,both,497,,,
1700018M17Rik,chr4,59548495,59549829,0.5361528252643147,316.372846066837,590.0796026037357,both,204,,,
1700019B03Rik,chr8,3476035,3476340,1.1483684053284728,24.06649527503052,20.95712069694801,both,5173,,,
1700019D03Rik,chr1,52952626,52952957,0.1951166141819411,23.21845618229619,118.99784280105224,both,30302,,,
1700020I14Rik,chr2,119594231,119594717,2.442477489231861,259.990874642317,106.44555611609012,both,66,,,
1700020L24Rik,chr11,83442694,83442918,1.7425786957740823,191.3292672519134,109.79662939522038,both,1685,,,
1700021F05Rik,chr10,43540494,43541126,1.6271908285196923,330.88561104343955,203.3477605969896,both,132,,,
1700023H06Rik,chr13,80885428,80886411,0.9348603734686688,635.7845949047035,680.0850832362414,both,887,,,
1700025A08Rik,chr5,67607245,67608749,6.095997343185815,104.32934496350263,17.114401317796396,both,27,,,
1700025G04Rik,chr1,152089616,152090328,1.892528922988999,359.3936286861519,189.90126085816289,both,203,2187.147601,-0.277303096,0.013850556
1700027A07Rik,chr15,78913720,78914620,2.994710535340706,544.5330707412329,181.8316208912932,both,960,,,
1700028E10Rik,chr5,151368422,151369010,1.3443277462480034,2863.0094953044604,2129.696053135162,both,253,,,
1700028I16Rik,chr10,82811956,82812375,1.2089199710060987,43.85221819855363,36.2738801990826,both,167,,,
1700028N14Rik,chr11,103267034,103267850,2.233643212299541,5895.562341601992,2639.437806870013,both,105,,,
1700029J07Rik,chr8,45975128,45975554,1.7541812863637578,2317.55370155754,1321.1597453314512,both,302,,,
1700029P11Rik,chr15,81980459,81980818,inf,7.672299166537247,0.0,exo_only,81,,,
1700030C10Rik,chr12,20815179,20816016,inf,3.737265800227039,0.0,exo_only,237,,,
1700030J22Rik,chr8,116978661,116979149,1.564060731581503,1441.711532064038,921.7746491251964,both,206,,,
1700034H15Rik,chr1,191906596,191907697,1.0891533863504732,313.14553634427904,287.51279688305857,both,170,,,
1700034P13Rik,chr1,9747560,9748645,4.3561957881979,1775.2008987478655,407.5117338750842,both,88,,,
1700039I01Rik,chr1,63248289,63248615,0.7051386684139276,5.0959276768766735,7.22684474011186,both,116,,,
1700040D17Rik,chr3,94412490,94413511,2.858445486887765,1347.8137657347477,471.5198424869135,both,592,,,
1700041G16Rik,chr8,22807865,22808378,1.723473866103015,1537.8590200428755,892.3019085401991,both,1159,,,
1700045H11Rik,chr4,150854863,150855682,1.272711570704503,493.7075791512655,387.91788376527154,both,733,,,
1700047K16Rik,chr11,58322902,58323440,1.308422893525886,634.7752590870708,485.14533200844846,both,86,,,
1700049G17Rik,chr7,27929216,27929571,0.8896283435184681,98.30753658249668,110.50405183100584,both,111,,,
1700052K11Rik,chr11,105180784,105182432,0.8339857594390647,164.10240747020785,196.7688364134448,both,999,,,
1700056E22Rik,chr1,184033312,184034537,1.657601877488696,2966.1465419978945,1789.4203561663871,both,236,,,
1700064M15Rik,chr12,99627694,99628084,1.3750890337588697,408.3187307276887,296.9398494958035,both,110,,,
1700065D16Rik,chr9,95857487,95858246,1.7064428481973015,176.35643340303616,103.34740105087045,both,76,,,
1700066M21Rik,chr1,57377474,57378019,2.874805628643587,91.99268694587296,31.99961974099712,both,146,,,
1700067K01Rik,chr8,84001296,84001819,0.9561037710174344,10.752617612440892,11.246287211061343,both,206,,,
1700084C06Rik,chr9,21091664,21092127,1.4434585178865391,679.4435518566619,470.7052841750376,both,91,,,
1700084E18Rik,chr2,30237159,30238213,3.793062549678039,1757.2091840182286,463.2692345575433,both,10,,,
1700086L19Rik,chr12,74283973,74284332,1.940189140423716,549.4286320090206,283.1830261090069,both,269,,,
1700086O06Rik,chr18,38250094,38250571,0.6266857911784675,933.5759989089464,1489.7034718999764,both,6,,,
1700086P04Rik,chr4,129048635,129049248,3.0281580332396008,633.1293427765671,209.0806806734684,both,1462,,,
1700088E04Rik,chr15,79140843,79141472,4.87402376089195,396.2330207443492,81.29484799061348,both,219,,,
1700095J03Rik,chr7,109438769,109439363,2.339920865864164,122.5133800704047,52.35791596958936,both,151,,,
