gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal,binding_type,distance_to_gene,baseMean,log2FoldChange,padj,category
0610009B22Rik,chr11,51688626,51689166,0.6873895798232893,939.4022106082951,1366.6227102974008,both,292,434.3119783,-0.647453482,1.0573e-06,down-regulated
0610010F05Rik,chr11,23633135,23633766,4.945186751970673,277.859262251458,56.18781983121875,both,127,1746.055965,-0.581833564,1.41552e-14,down-regulated
0610012G03Rik,chr16,31948044,31948757,1.4077078413323687,32.082088698553505,22.790303326142176,both,263,984.2237761,-0.620990817,1.36771e-09,down-regulated
1110008P14Rik,chr2,32381502,32382189,0.9675072753703692,154.91392342099434,160.11654626751215,both,251,378.343364,-0.656495194,4.75187e-07,down-regulated
1110065P20Rik,chr4,124850233,124851474,1.239130583033194,166.42471089913357,134.3076453586937,both,278,250.8799862,-0.530609348,0.004442818,down-regulated
1700019D03Rik,chr1,52952626,52952957,0.7265047306359038,46.43691236459238,63.91825187971801,both,30302,267.0975418,-0.91057067,2.87144e-08,down-regulated
1700021F05Rik,chr10,43540494,43541126,2.504682759340797,358.8879592216269,143.2867926619505,both,132,422.9804724,-0.517139535,9.72265e-05,down-regulated
1700025G04Rik,chr1,152089616,152090328,4.308943768538244,490.3244421757385,113.79225826891565,both,203,4371.787999,-1.300326548,2.5612e-109,down-regulated
1810022K09Rik,chr3,14611032,14611738,4.83221671982519,1288.8707112804875,266.7245254114169,both,453,2367.96833,-0.561218769,7.47365e-09,down-regulated
1810037I17Rik,chr3,122924118,122924520,2.98264470029163,160.02592377273996,53.65235884686276,both,85,1487.876394,-0.640364096,1.94383e-10,down-regulated
2310009A05Rik,chr9,73039433,73039967,14.288863702618492,150.80084994739025,10.553732828997129,both,285,193.7435042,-0.678751348,0.000439789,down-regulated
2310039H08Rik,chr17,46772839,46773137,8.59939031552322,393.0160660324046,45.70278259412766,both,204,426.673651,-0.766900302,1.34529e-07,down-regulated
2410004B18Rik,chr3,145937926,145938585,3.651711568076073,361.9574700878534,99.11995056021168,both,88,550.2908364,-0.600891949,7.29971e-07,down-regulated
2610021A01Rik,chr7,41599179,41599445,4.397639936435845,46.436986340123376,10.559524429314502,both,51,1618.168296,-0.501244571,1.66597e-06,down-regulated
2610035D17Rik,chr11,113201433,113201928,2.603268412948368,392.3390342845753,150.71017353920345,both,90,96.43353134,-2.107136438,5.54802e-17,down-regulated
2610316D01Rik,chr3,45378166,45378399,1.094212814174939,225.461429121909,206.04897530094453,both,139,160.9425172,-1.137069426,3.57966e-09,down-regulated
2700062C07Rik,chr18,24470743,24471113,1.5075690652572962,52.89047991497173,35.083288145040925,both,118,383.9943548,-0.648396923,1.94832e-06,down-regulated
2700097O09Rik,chr12,55080008,55080835,0.4020414310377606,72.89873247185463,181.3214431251187,both,725,186.1953369,-0.528885673,0.004434112,down-regulated
2810002D19Rik,chr2,94406106,94406816,6.409540039489761,27.32150283293244,4.262630807296962,both,45,260.5898457,-0.532666912,0.002035039,down-regulated
2810468N07Rik,chr17,25570143,25571451,7.538239161767682,451.4599271135109,59.889308023446375,both,668,113.9871373,-0.694954208,0.003691924,down-regulated
3110082I17Rik,chr5,139460370,139460725,1.0094007750107117,10.235138147676734,10.13981601863553,both,198,388.5992964,-0.600807898,3.16905e-06,down-regulated
4632427E13Rik,chr7,92741069,92741444,1.507789350266041,503.2133823212973,333.7424967436652,both,24,3134.438932,-0.559784583,2.49238e-17,down-regulated
4930430F08Rik,chr10,100588950,100589339,3.059747835415625,193.8961260180604,63.369969176470455,both,80,579.4785879,-0.740028117,1.56956e-10,down-regulated
4930503L19Rik,chr18,70472237,70472607,2.088821950099661,183.05709499896352,87.63652401787026,both,127,1305.17144,-0.763497536,8.85224e-22,down-regulated
4930520O04Rik,chr9,114367955,114368395,1.5563470553013137,77.88000766253897,50.04025766441995,both,348,110.8163725,-0.840201,0.000429326,down-regulated
4931414P19Rik,chr14,54603235,54603593,3.187992915484754,240.00809064545567,75.28501380278664,both,2315,214.2592023,-0.564025486,0.00061392,down-regulated
9130401M01Rik,chr15,58033858,58034371,1.926954933849698,371.8589512476879,192.97750285461152,both,46,130.0980006,-0.575600299,0.024182319,down-regulated
9430038I01Rik,chr7,137410453,137411112,2.737590614356777,2129.0958019321097,777.7261474986321,both,350,283.7992456,-0.978351231,2.72325e-09,down-regulated
