chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr10,80656107,80656330,119.87478707090337,42.07905990417967,2.8487990783034656,0.2,both,endo_only,False,3,2,"116.9109691920179,123.06219934991066,119.65119267078155","27.664973345411585,56.49314646294776",1175,223,CpG:,1200,0,2,,7.72401;9.99211,80655826,80657001
chr10,81079911,81080224,19.22312763941949,7.89568453428017,2.4346372446821696,0.2,both,endo_only,False,3,2,"16.280235158840842,26.86238428818028,14.526763471237363","2.0465058570742296,13.74486321148611",6128,313,CpG:,1203,1,2,3.90967,5.71791;5.26922,81077198,81083326
chr7,141950083,141950681,48.87523967667169,22.63743656640513,2.159044798791596,0.2,both,endo_only,False,3,2,"37.84515054676755,41.30497372355345,67.47559475969406","24.313954231155364,20.960918901654907",3374,598,CpG:,1667,1,2,14.2908,8.85164;8.25619,141948798,141952172
chr7,110768534,110768973,19.822191199649293,10.869871056462662,1.8235902796532293,0.8,both,endo_only,False,3,2,"14.487106360370174,16.1430323598872,28.8364348786905","2.464167661848445,19.275574451076878",3519,439,CpG:,1430,1,2,6.42278,2.94576;5.12814,110766251,110769770
chr9,107399590,107400052,15.399942011221222,8.90689132458182,1.7289917941088442,0.4,both,endo_only,False,3,2,"17.045509913579746,17.92244687061212,11.231869249471798","3.9345228692297445,13.879259779933898",5293,462,CpG:,1404,1,2,3.36498,4.7952;7.09929,107395212,107400505
chr2,163995281,163995733,70.83742279194512,41.42388773668144,1.710062156459969,0.4,both,endo_only,False,3,2,"72.2077902318151,41.93233334263902,98.3721448013812","24.395287136696737,58.45248833666613",2592,452,CpG:,1836,1,2,28.8607,23.8493;17.0691,163993125,163995717
chr11,30024479,30024998,177.12235541250763,112.64702014981108,1.572366097007713,0.4,both,endo_only,False,3,2,"167.85403133752015,120.13289875434677,243.38013614565588","97.32518921755745,127.96885108206473",2959,519,CpG:,814,1,2,2.63788,17.7479;29.2308,30023685,30026644
chr2,152048381,152049175,14.550397957471986,9.42640201967087,1.5435791861102932,0.2,both,endo_only,False,3,2,"11.141159673252016,15.095587457513586,17.414446741650362","8.85397038526938,9.998833654072364",2130,794,CpG:,1745,1,2,3.13863,4.01014;3.60771,152047301,152049431
chr3,9608980,9609332,41.28744472289733,27.546962197803364,1.4988020975390766,0.8,both,endo_only,False,3,2,"34.8156568157981,28.53073616103671,60.51594119185719","7.303986573077101,47.78993782252962",4024,352,CpG:,658,1,2,5.73142,11.1592;10.7136,9608434,9612458
chr15,75746051,75748164,48.80325708776223,35.1952934684183,1.3866415727305903,0.8,both,endo_only,False,3,2,"59.59995833440609,49.23056208115852,37.579250847722065","17.3183534732437,53.0722334635929",2859,2113,CpG:,1162,1,2,10.4889,14.6247;13.0115,75746936,75749795
