chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr17,25133340,25133660,28.68306127220693,0.0,inf,1.0,exo_only,exo_only,False,3,0,"16.65983360463923,24.092502402536798,45.29684780944478","0.0,0.0",1320,320,CpG:,776,3,1,4.25231;19.9521;7.69683,6.86951,25132976,25134296
chr7,30453876,30454191,22.46322795561979,0.0,inf,1.0,exo_only,exo_only,False,3,0,"0.20107357842581614,9.70290263971888,57.48570764871468","0.0,0.0",532,315,CpG:,817,2,0,3.4828;9.98737,,30453802,30454334
chr2,25616103,25616625,15.781405074553014,0.0,inf,1.0,exo_only,exo_only,False,3,0,"15.365788655577084,23.849669168311085,8.128757399770869","0.0,0.0",1337,522,CpG:,780,2,0,3.56151;3.31347,,25615492,25616829
chr5,74620010,74620304,18.95858855331961,0.0,inf,1.0,exo_only,exo_only,False,3,0,"19.582796868494743,32.64136631362104,4.651602477843059","0.0,0.0",414,294,CpG:,1154,2,0,3.13989;2.54413,,74619862,74620276
chr5,101647591,101648431,14.786679369056197,0.0,inf,1.0,exo_only,exo_only,False,3,0,"14.723985554478693,12.841777057512433,16.794275495177466","0.0,0.0",1128,840,CpG:,1360,3,0,3.46783;3.15744;3.79923,,101648101,101649229
chr11,52314224,52314447,37.457492363346766,0.0,inf,1.0,exo_only,exo_only,False,3,0,"29.494016069153044,15.875995162472076,67.00246585841516","0.0,0.0",861,223,CpG:,984,2,0,7.43825;3.94203,,52314183,52315044
chr2,163375610,163376385,33.82736677304406,0.0,inf,1.0,exo_only,exo_only,False,3,0,"45.71511999046437,27.506267592052964,28.260712736614853","0.0,0.0",751,775,CpG:,1831,2,0,3.31347;4.44381,,163376107,163376858
chr5,81794477,81794980,26.005528519600382,0.0,inf,1.0,exo_only,exo_only,False,3,0,"31.154360462777056,8.662162728570587,38.200062367453505","0.0,0.0",402,503,CpG:,1209,2,0,4.87489;3.59882,,81794391,81794793
chr5,65379604,65379952,19.28090462363716,0.0,inf,1.0,exo_only,exo_only,False,3,0,"23.162961189641006,22.104460136834966,12.575292544435497","0.0,0.0",1892,348,CpG:,1083,2,0,3.90874;2.98497,,65378193,65380085
chr11,59288913,59290817,15.343797585916432,0.0,inf,1.0,exo_only,exo_only,False,3,0,"10.343297497692005,14.624507089521064,21.063588170536228","0.0,0.0",915,1904,CpG:,1037,2,0,2.92352;4.41795,,59289644,59290559
chr11,58640474,58640762,45.84887666628868,0.0,inf,1.0,exo_only,exo_only,False,3,0,"44.26539707861404,31.910042088578056,61.37119083167393","0.0,0.0",563,288,CpG:,1032,3,0,3.20317;8.30745;4.13127,,58640411,58640974
chr18,77441514,77441726,37.7192955424911,0.0,inf,1.0,exo_only,exo_only,False,3,0,"45.41081192305214,15.730606650051318,52.016468054369874","0.0,0.0",304,212,CpG:,1175,2,0,8.65638;3.51641,,77441651,77441955
