category,gene,chromosome,start,end,bm3_signal,avg_bg_signal,fold_change,is_higher_than_bg
no_deg,Ube2e1,chr14,18326947,18327379,521.1768346252442,6.794722279230754,76.70318420788314,True
no_deg,Zfp646,chr7,127875449,127877185,1637.8857297363281,33.760688416481024,48.5145832789582,True
no_deg,Aldh2,chr5,121593162,121593688,1095.3689782714844,25.471584663391113,43.003566238491516,True
no_deg,Ppp2cb,chr8,33599493,33600228,720.2434289550781,17.505407991409303,41.14405270123005,True
no_deg,Tmc6,chr11,117779900,117780140,1967.3290771484376,50.22543457984924,39.169976200419825,True
no_deg,Nin,chr12,70111228,70112213,1383.8000592041017,35.508646103541054,38.97079193526627,True
no_deg,Ap3b1,chr13,94358367,94359414,1173.7284170532228,30.76277363141378,38.154180475282494,True
no_deg,Zbtb33,chrX,38189630,38190218,863.6260268554687,22.99078424199422,37.56400902923518,True
no_deg,Foxp1,chr6,99028420,99028824,1017.0091995239258,27.076942878723145,37.55997137782803,True
no_deg,Lats1,chr10,7680908,7681860,528.1775343627929,14.218720008850099,37.14663021946009,True
no_deg,Fxn,chr19,24280224,24280692,683.5642075805664,18.873309382756553,36.218566321235606,True
no_deg,Sltm,chr9,70542322,70543417,1893.6384358215332,52.9035878124237,35.79414013536597,True
no_deg,Ptar1,chr19,23687135,23687892,555.1875871582031,15.72787188688914,35.29960004449243,True
no_deg,Atp11c,chrX,60403519,60404585,611.2071911621093,17.50829937299093,34.909569350006905,True
no_deg,Grtp1,chr8,13200396,13200614,1195.4031878662108,34.306185948054,34.84512063440324,True
no_deg,Slc43a1,chr2,84839970,84840712,650.2187042236328,19.18133325258891,33.89851454334503,True
no_deg,Twnk,chr19,45005806,45006823,1135.384683227539,33.50745462354024,33.88453990264867,True
no_deg,Rnd3,chr2,51147551,51148215,1269.7599148864747,37.496625828742985,33.86331134662101,True
no_deg,Wasf3,chr5,146385135,146385593,666.8900732421876,19.726358242034912,33.807054756874024,True
no_deg,3010003L21Rik,chr6,148944508,148946749,636.2154245605469,19.04033794403076,33.414082587751736,True
no_deg,Rcan2,chr17,43801766,43802126,1252.0885317382813,37.53846269734701,33.35481641411947,True
no_deg,Copa,chr1,172082539,172083159,1035.34841796875,31.181084213574724,33.20437515505024,True
no_deg,Rabep2,chr7,126428620,126429400,1528.8475598144532,46.25855281829834,33.050051648172015,True
no_deg,Abhd10,chr16,45742693,45742974,688.5660003662109,20.8641558675766,33.00234165889544,True
no_deg,A330035P11Rik,chr14,122106900,122107704,869.6263594970703,26.88520887502035,32.34590304057707,True
no_deg,Aatk,chr11,120046796,120047187,556.8553131103515,17.351097741444907,32.0933765349177,True
no_deg,Gas7,chr11,67454957,67455972,550.186118774414,17.567740345637002,31.317978746825816,True
no_deg,Prkcb,chr7,122288861,122289880,1040.3500756835938,33.76883147239685,30.807997503081847,True
no_deg,Lpgat1,chr1,191717734,191719135,456.15457080078124,15.237293613433836,29.936718578331803,True
no_deg,Mto1,chr9,78448086,78448821,595.8678586730957,20.00233587773641,29.789913653851105,True
no_deg,Tead2,chr7,45215793,45216153,598.8698272399903,20.792489357948302,28.802218769012455,True
no_deg,Txnrd3,chr6,89643931,89644742,1909.3089071044922,66.65057343610128,28.64654883929798,True
no_deg,Foxc1,chr13,31807182,31808773,613.5409228515625,21.52432056236267,28.504543085294753,True
no_deg,Rnf217,chr10,31608595,31609655,556.85452835083,19.587703445752464,28.428780836560108,True
no_deg,Mgst3,chr1,167394071,167394421,1447.1532849121095,51.485617430369054,28.107913571577345,True
no_deg,Cttnbp2,chr6,18514614,18515058,857.6223571166992,30.717092989603675,27.920036489356754,True
no_deg,Pepd,chr7,34912334,34912634,774.2603792724609,27.73431137148539,27.91705800449421,True
