gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal,binding_type,distance_to_gene,baseMean,log2FoldChange,padj
0610009B22Rik,chr11,51688626,51689166,0.9272066057172594,2775.264256715538,2993.145475456008,both,292,,,
0610010F05Rik,chr11,23633135,23633766,2.5446087419427457,633.6261353666913,249.0072933110076,both,127,,,
0610010K14Rik,chr11,70237525,70238413,1.138274419368024,432.3917882723133,379.86603310683154,both,499,,,
0610011F06Rik,chr17,25875044,25875794,1.2471813826429785,675.1050610492758,541.304633347412,both,420,,,
0610012G03Rik,chr16,31948044,31948757,2.16353244231925,77.0349920788387,35.606118296178266,both,263,1483.241219,0.327137919,0.018343553
0610030E20Rik,chr6,72347217,72347722,inf,9.461792319072227,0.0,exo_only,100,,,
0610037L13Rik,chr4,107889687,107890217,1.5008310020161526,644.2439927403457,429.2581855484699,both,126,,,
0610038B21Rik,chr8,77517280,77518435,2.176800625456533,268.98719446948445,123.56997297952849,both,224,,,
0610040F04Rik,chr6,108659365,108660445,1.7690590730260125,2241.1695497595297,1266.8709507399108,both,489,,,
0610040J01Rik,chr5,63812229,63812661,1.6624809529134643,305.2900748892661,183.6352316423544,both,134,,,
1110001J03Rik,chr6,38534663,38535073,1.5650108188259673,6442.711162110558,4116.719887562005,both,1161,,,
1110004E09Rik,chr16,90934297,90935370,2.929326347918616,941.8352663373686,321.5194056498942,both,443,,,
1110006O24Rik,chr5,115631431,115631827,2.1443890159029,96.89688923598096,45.18624583384293,both,11,,,
1110008F13Rik,chr2,156862764,156863637,4.807549166663273,997.3805118607346,207.4613232823111,both,364,,,
1110008P14Rik,chr2,32381502,32382189,0.8718496576928924,156.0510240372449,178.98845593423815,both,251,1256.617818,0.326417891,0.010881285
1110017D15Rik,chr4,41507017,41507326,0.9404424405620582,373.1818555885226,396.8152004767984,both,2008,,,
1110020A21Rik,chr17,84958313,84958724,inf,21.77450264933079,0.0,exo_only,1014,,,
1110034G24Rik,chr2,132686949,132687166,2.095362570272778,515.8002445077351,246.1627652538373,both,18,,,
