chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr1,3531624,3531843,12.768126313502973,30.86952227506882,0.41361593482821424,1.0,both,False,1,1,"38.30437894050892,0.0,0.0","0.0,92.60856682520647,0.0",416,219,CpG:,611,0,1,,5.10095,3531809,3532225
chr1,3670619,3671074,13.804589512423982,6.75254947889677,2.0443522191975663,0.4,both,False,3,3,"15.986598596795782,22.98503862960536,2.4421313108708085","11.639562692359062,7.888669696550013,0.7294160477812351",1583,455,CpG:,613,1,0,6.06037,,3670396,3671979
chr1,3671654,3672156,15.331181772053242,5.96500325061026,2.5701883348487295,0.1,both,False,3,3,"14.398215172280159,21.305724717144454,10.289605426735111","10.282046731029238,6.968618375914438,0.6443446448871067",1792,502,CpG:,613,2,0,5.54931;6.06037,,3670396,3672188
chr1,4491701,4493673,8.716315026376762,10.776052608676984,0.8088597321210458,1.0,both,False,2,2,"12.917271586025462,0.0,13.231673493104822","0.0,27.234050478654748,5.094107347376206",1360,1972,CpG:,619,2,1,6.0982;5.8282,4.1282,4492093,4493453
chr1,4571641,4572075,25.026295989524318,0.07602213498795811,329.1974895665385,0.5,both,False,3,1,"30.021045078151403,13.556918122386204,31.500924768035347","0.22806640496387434,0.0,0.0",786,434,CpG:,619,3,0,4.35039;6.82732;3.40697,,4571438,4572224
chr1,4689184,4689397,16.816615214358468,0.5537210046694713,30.3701955904611,0.2,both,False,3,2,"17.855555539827975,31.44594961638209,1.1483404868653306","0.5870181487191828,1.074144865289231,0.0",2094,213,CpG:,620,1,0,4.55124,,4687954,4690048
chr1,4785376,4785814,25.444772706893744,24.5237922277383,1.037554570296585,1.0,both,False,3,3,"43.13485337533006,25.311575742503305,7.887889002847865","36.00965611506565,11.335664996729886,26.22605557141936",2211,438,CpG:,621,3,3,2.96862;6.6373;7.27926,12.2007;6.57158;5.01142,4784061,4786272
chr1,4807559,4808103,18.25352192567844,5.436936917355637,3.3573172179743453,0.1,both,False,3,3,"13.67224773939918,13.221223759008389,27.86709427862775","8.57153564399364,1.2887255350748699,6.450549572998402",3264,544,CpG:,621,3,1,4.55161;7.91139;6.13029,3.25084,4806809,4810073
chr1,4857465,4858372,69.40337491953187,54.707110040048086,1.268635372417323,0.4,both,False,3,3,"78.62794185061745,59.77581555842211,69.80636734955608","75.0896745982442,29.687022687603996,59.34463283429605",2087,907,CpG:,622,3,3,11.705;12.0307;12.3294,17.8706;16.6995;10.3864,4856462,4858549
chr1,5018557,5019711,50.69883959004594,28.635118867507156,1.77051262907712,0.1,both,False,3,3,"49.418891015353,47.99381189215889,54.683815862625956","34.649599624871925,24.763349773776444,26.492407203873103",8482,1154,CpG:,623,3,2,5.71049;9.62622;8.27909,5.56539;6.07982,5016896,5025378
chr1,5083039,5083536,25.840466769990197,25.30268566442486,1.0212539140191528,0.7,both,False,3,3,"12.02084992273729,30.664599467997462,34.835950919235835","0.9749872637674398,34.91086650079095,40.022203228716194",1681,497,CpG:,623,3,2,5.7882;2.98168;3.66315,9.40735;8.7388,5082687,5084368
chr1,5916428,5917474,22.673849175329394,11.482324208781703,1.9746741829488137,0.1,both,False,3,3,"13.792523746660668,29.404534005602123,24.824489773725386","13.759156732212745,12.310947595697213,8.37686829843515",3138,1046,CpG:,630,3,2,4.46753;4.51845;7.00061,5.96407;7.65304,5914531,5917669
chr1,6214430,6215332,38.43189499859798,17.47941955122204,2.198694006169735,0.4,both,False,3,3,"29.38226682041847,30.41989229563763,55.49352587973784","7.6315053467540475,31.451746396986724,13.355006909925345",2406,902,CpG:,632,3,2,11.9757;7.31797;7.22298,8.29497;7.27982,6213301,6215707
chr1,6359082,6359442,39.527655806967886,0.0,inf,1.0,exo_only,False,2,0,"98.53909743704448,0.0,20.043869983859178","0.0,0.0,0.0",328,360,CpG:,633,2,0,2.38625;9.47173,,6359199,6359527
chr1,6441200,6441612,9.658334936859672,10.687892457906829,0.9036706698629348,1.0,both,False,2,2,"0.0,23.23614182815053,5.738862982428485","26.39055982958369,5.673117544136796,0.0",1071,412,CpG:,634,0,2,,2.10084;4.74667,6440818,6441889
