chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr9,102353238,102354708,33.6075542710555,24.093319158598593,1.394891008989992,1.0,both,False,3,3,"36.502053379903046,24.43523753882549,39.88537189443797","28.202457837493622,0.9589509951947915,43.11854864310737",4356,1470,CpG:,1365,3,2,8.77435;7.89403;8.63263,16.561;20.8806,102351648,102356004
chr9,102505893,102506472,20.9952541384273,12.678083519182742,1.6560274355867866,1.0,both,False,3,3,"43.65480811275413,0.38955612520201016,18.941398177325752","21.502437197704936,12.33502474521415,4.196788614629142",2373,579,CpG:,1367,2,2,2.91653;7.09833,3.08782;5.29252,102504142,102506515
chr9,102625775,102626648,39.46472831237573,42.62813458245645,0.9257906473959897,1.0,both,False,3,3,"33.6318715292632,38.84942566784268,45.91288774002132","56.446373557143765,40.48209064057533,30.955939549650257",4606,873,CpG:,1367,3,3,8.70907;7.1977;10.0843,8.33855;6.97834;13.4128,102624452,102629058
chr9,102689979,102690345,27.663200841052753,20.13519465143042,1.3738730277975006,0.2,both,False,3,3,"25.102176636085115,21.114248252704957,36.77317763436818","20.585345265044264,24.642628618195808,15.177610071051191",7364,366,CpG:,1368,3,3,8.51837;5.47985;6.26528,7.30804;9.37259;7.55284,102687501,102694865
chr9,102717597,102718950,30.784032567614236,17.038649850133364,1.8067178349447264,0.2,both,False,3,3,"23.48570565922863,40.370573066104456,28.49581897750962","24.168597203703204,13.440652055922833,13.50670029077405",4965,1353,CpG:,1368,3,3,5.42151;11.1813;8.57488,5.71815;6.98417;7.98737,102715591,102720556
chr9,102834708,102835546,20.264216279752883,22.975960422782634,0.8819747208329614,0.7,both,False,3,3,"14.771171678510802,27.476437758938143,18.54503940180971","24.723049926757813,16.27629315377435,27.928538187815747",4135,838,CpG:,1369,2,2,4.36821;6.17784,12.6656;6.2698,102833379,102837514
chr9,103008326,103008896,13.372014080674822,6.242216722620358,2.142189974311164,0.4,both,False,3,3,"6.918754577636719,12.311292748566908,20.885994915820838","13.252976606476981,3.0927600058583877,2.380913555525705",1855,570,CpG:,1370,2,2,5.11089;4.56676,5.29136;4.87448,103007874,103009729
chr9,103111653,103112627,12.271974358191857,10.018974582965557,1.2248732898331622,1.0,both,False,3,3,"7.554402309808975,24.500605289752666,4.760915475013928","13.38217335073357,12.75802017603165,3.916730222131452",2925,974,CpG:,1371,2,3,3.11001;8.21463,3.67181;6.27104;3.62326,103110860,103113785
chr9,103201715,103202140,26.01235097771,19.394413660467702,1.3412290483796303,0.7,both,False,3,3,"14.999063980886854,48.631054380333744,14.406934571909403","19.483241473395005,20.503233313878567,18.196766194129534",3373,425,CpG:,1372,3,3,5.02964;7.66391;28.6477,5.828;6.82495;4.1146,103200543,103203916
chr9,103304907,103305617,22.49300981442391,15.332980527782647,1.4669691762581727,0.2,both,False,3,3,"25.196171458870847,17.66490575179313,24.617952232607745","23.31297077870292,11.008537803074303,11.677433001570718",1236,710,CpG:,1373,3,2,5.57421;5.17081;4.40073,8.53373;4.80359,103304687,103305923
