chr,start,end,exo_signal,endo_signal,enrichment,significant
chr7,127717034,127717466,0.12075951621261151,0.07467456590283743,1.6171438662226356,False
chr7,127745854,127746160,0.1278096417980175,0.24364388330182027,0.5245756226914587,False
chr7,127746480,127747131,0.03482513636860599,0.060002961509748556,0.5803902922849571,False
chr7,127752084,127752380,0.020184546835784453,0.021530119329637193,0.937502785133174,False
chr7,127769765,127770211,0.06012244103540279,0.045766689606482634,1.313672488710801,False
chr7,127776587,127777720,0.025923363062580432,0.05735348515444747,0.45199281251647194,False
chr7,127824263,127824550,0.13395916658149715,0.061855349388726055,2.1656844218862816,False
chr7,127841412,127842351,0.32548166303270093,0.22260694975503648,1.4621361255381782,False
chr7,127875449,127877185,0.24634551189660636,0.1076063880567271,2.2893205166104065,False
chr7,127895403,127895688,0.015031950846242889,0.006328703710365202,2.375202179495848,False
chr7,127904064,127904271,0.33339213346550456,0.21342766225649443,1.5620849234849346,False
chr7,127935406,127935994,0.09634874093757477,0.04677883108381446,2.059665423553338,False
chr7,127944686,127944904,0.02344966194141022,0.008322669963218648,2.817564801325063,False
chr7,127967107,127968299,0.5669833799355125,0.41828242810424515,1.3555037023793115,False
chr7,128009919,128010402,0.0,0.0,0.0,False
chr7,128237256,128238563,0.13192051648927286,0.17251881494319982,0.7646732127896104,False
chr7,128297756,128298127,0.0659013039410694,0.05776604056684169,1.1408312443504642,False
chr7,128417711,128418774,0.10276113607697,0.0775445972439409,1.3251875659848042,False
chr7,128460230,128460594,0.08731900692283219,0.03046058183829361,2.8666230798342416,False
chr7,128461002,128462122,0.2220553524003738,0.09119952573765405,2.4348301222436355,False
chr7,128523328,128524433,0.4698791451571674,0.2899645874266866,1.62047079378605,False
chr7,128611382,128611840,0.1372278801130247,0.06903725744458523,1.9877365525879218,False
chr7,128687969,128688582,0.16063114061794462,0.06789472584976061,2.365885399896802,False
chr7,128739783,128740664,0.145501731666785,0.09452409961454021,1.5393083061370219,False
chr7,128744716,128745257,0.6944803636456442,0.4409169802103996,1.575081919762418,False
chr7,129256599,129257189,0.1454586313134131,0.07950813858555497,1.8294810305097498,False
chr7,129591837,129592169,0.2957754132094646,0.11815013137937055,2.50338624050915,False
chr7,130264991,130266512,0.4176734266847506,0.22655318246354295,1.843599909491286,False
chr7,130519061,130520114,0.09775685480005358,0.06501977351317682,1.5034942374913427,False
chr7,130546808,130547429,0.32769482813457057,0.11875357722312514,2.7594522691208483,False
chr7,130646012,130646461,0.15828270434252345,0.12055718642190008,1.3129263301533907,False
chr7,130728540,130728812,0.008266624356364377,0.008321585286389488,0.9933953774270627,False
chr7,130766867,130767117,0.028469387426550294,0.016871549334879398,1.6874198605870834,False
chr7,130865633,130866624,0.08803310683601347,0.033703966732186265,2.6119509176925613,False
chr7,130936044,130937049,0.35448158071418345,0.17324266364614088,2.046156375419363,False
chr7,131362266,131363378,0.7099448009722193,0.43747764714383564,1.6228138868516884,False
chr7,131371063,131371436,0.2214127012507863,0.13010230325830904,1.7018353688265366,False
chr7,131410087,131410813,0.053051923877262985,0.03868920607361258,1.3712332007103731,False
chr7,131541922,131544729,0.007175016443233405,0.025840987524505966,0.2776603036717955,False
