gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal
0610012G03Rik,chr16,31948044,31948757,3.5776780713098453,110.80228948684172,30.970447110764
0610038B21Rik,chr8,77517280,77518435,2.134777932735278,211.3491004825113,99.00285047996115
1190007I07Rik,chr10,82622660,82623248,2.1271058042000326,66.36148340852753,31.198017173144297
1600014C10Rik,chr7,38183665,38184097,2.449309717278338,552.3930937988977,225.53011156658224
1600017P15Rik,chr3,30595182,30595631,2.353295409607125,104.4112097890784,44.3680845859082
1700001L05Rik,chr15,83366863,83367533,11.86450256908418,79.15868353336748,6.671892316803445
1700003F12Rik,chr2,154549461,154549969,15.12542490870183,49.84997001019281,3.295773197188897
1700020I14Rik,chr2,119594231,119594717,3.2392523846504586,304.11935426558586,93.88566192208044
1700025G04Rik,chr1,152089616,152090328,2.7648852216936417,504.2376222045614,182.37199079666988
1700034P13Rik,chr1,9747560,9748645,2.471463489505908,1424.1960313281718,576.2561483814982
1700086P04Rik,chr4,129048635,129049248,4.497884970381638,555.9433420524391,123.60105821142602
1700088E04Rik,chr15,79140843,79141472,2.950448671117125,157.01945620077555,53.2188401506146
1700095J03Rik,chr7,109438769,109439363,4.118962338260183,104.38511717779274,25.342576262031123
1810010D01Rik,chr7,145206283,145206588,2.720190194967688,799.0655921946108,293.75357417024384
1810014B01Rik,chr10,86685463,86685798,3.866499570002931,74.08657829573313,19.161150015510533
1810030O07Rik,chrX,12673296,12673657,3.818808362462656,565.7176121834074,148.13982752949403
1810037I17Rik,chr3,122924118,122924520,2.4676690709417386,591.703206704337,239.7822356619824
2410004B18Rik,chr3,145937926,145938585,2.1327161313664704,220.62873480417755,103.44964881135712
2410015M20Rik,chr17,56609527,56609958,2.225483752710391,714.541350491167,321.0723734203565
2410080I02Rik,chr19,23134891,23136424,4.713444104251072,586.5166668623274,124.4348408276118
2410124H12Rik,chr16,92498351,92499233,3.664979519327789,13.466401443946404,3.674345619922137
2510009E07Rik,chr16,21694141,21695013,2.223500371586105,536.8882452014508,241.4608299878396
2610016A17Rik,chr19,25671983,25672491,2.0915561683687565,88.81834754660277,42.46519834840192
2610035D17Rik,chr11,113201433,113201928,2.175979433591876,708.4625394510252,325.5832883868624
2610203C20Rik,chr9,41376488,41376689,2.8028847272495976,168.58069099745575,60.14542423329691
2610316D01Rik,chr3,45378166,45378399,3.9898354232762734,959.1492484272494,240.3981985902664
2700038G22Rik,chr5,23850425,23850978,2.542316850504186,51.3296354542289,20.190101577641407
