gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal,binding_type,distance_to_gene,baseMean,log2FoldChange,padj
0610012G03Rik,chr16,31948044,31948757,3.5776780713098453,110.80228948684172,30.970447110764,both,263,984.2237761,-0.620990817,1.36771e-09
0610038B21Rik,chr8,77517280,77518435,2.134777932735278,211.3491004825113,99.00285047996115,both,224,,,
1190007I07Rik,chr10,82622660,82623248,2.1271058042000326,66.36148340852753,31.198017173144297,both,20,287.6364539,-0.389061229,0.021163149
1600014C10Rik,chr7,38183665,38184097,2.449309717278338,552.3930937988977,225.53011156658224,both,448,,,
1600017P15Rik,chr3,30595182,30595631,2.353295409607125,104.4112097890784,44.3680845859082,both,102,,,
1700001L05Rik,chr15,83366863,83367533,11.86450256908418,79.15868353336748,6.671892316803445,both,251,,,
1700003F12Rik,chr2,154549461,154549969,15.12542490870183,49.84997001019281,3.295773197188897,both,34,,,
1700020I14Rik,chr2,119594231,119594717,3.2392523846504586,304.11935426558586,93.88566192208044,both,66,,,
1700025G04Rik,chr1,152089616,152090328,2.7648852216936417,504.2376222045614,182.37199079666988,both,203,4371.787999,-1.300326548,2.5612e-109
1700034P13Rik,chr1,9747560,9748645,2.471463489505908,1424.1960313281718,576.2561483814982,both,88,,,
1700086P04Rik,chr4,129048635,129049248,4.497884970381638,555.9433420524391,123.60105821142602,both,1462,,,
1700088E04Rik,chr15,79140843,79141472,2.950448671117125,157.01945620077555,53.2188401506146,both,219,,,
1700095J03Rik,chr7,109438769,109439363,4.118962338260183,104.38511717779274,25.342576262031123,both,151,,,
1810010D01Rik,chr7,145206283,145206588,2.720190194967688,799.0655921946108,293.75357417024384,both,458,,,
1810014B01Rik,chr10,86685463,86685798,3.866499570002931,74.08657829573313,19.161150015510533,both,138,,,
1810030O07Rik,chrX,12673296,12673657,3.818808362462656,565.7176121834074,148.13982752949403,both,11,,,
1810037I17Rik,chr3,122924118,122924520,2.4676690709417386,591.703206704337,239.7822356619824,both,85,1487.876394,-0.640364096,1.94383e-10
2410004B18Rik,chr3,145937926,145938585,2.1327161313664704,220.62873480417755,103.44964881135712,both,88,550.2908364,-0.600891949,7.29971e-07
2410015M20Rik,chr17,56609527,56609958,2.225483752710391,714.541350491167,321.0723734203565,both,187,,,
2410080I02Rik,chr19,23134891,23136424,4.713444104251072,586.5166668623274,124.4348408276118,both,9,,,
2410124H12Rik,chr16,92498351,92499233,3.664979519327789,13.466401443946404,3.674345619922137,both,1867,,,
2510009E07Rik,chr16,21694141,21695013,2.223500371586105,536.8882452014508,241.4608299878396,both,348,3733.103657,-0.247036586,0.000877795
2610016A17Rik,chr19,25671983,25672491,2.0915561683687565,88.81834754660277,42.46519834840192,both,238,,,
2610035D17Rik,chr11,113201433,113201928,2.175979433591876,708.4625394510252,325.5832883868624,both,90,96.43353134,-2.107136438,5.54802e-17
2610203C20Rik,chr9,41376488,41376689,2.8028847272495976,168.58069099745575,60.14542423329691,both,91,,,
2610316D01Rik,chr3,45378166,45378399,3.9898354232762734,959.1492484272494,240.3981985902664,both,139,160.9425172,-1.137069426,3.57966e-09
2700038G22Rik,chr5,23850425,23850978,2.542316850504186,51.3296354542289,20.190101577641407,both,172,,,
2700060E02Rik,chr14,19823347,19823956,2.2113093379418607,351.54912693414803,158.97781504479445,both,133,,,
2700094K13Rik,chr2,84670189,84670791,2.0373190030404253,184.204738618056,90.41526552452272,both,21,,,
2810405F17Rik,chr4,137388147,137388569,2.774592255570568,417.7562488524488,150.56491562452706,both,187,,,
2810410L24Rik,chr11,120189410,120190123,2.507165692988367,1100.8209588297989,439.06988752614,both,271,,,
2810429I04Rik,chr13,3478175,3478490,2.286574996864533,37.67317497228198,16.475809900808557,both,55,,,
2900026A02Rik,chr5,113137765,113138844,15.94211989862034,199.6762875691189,12.525077520361595,both,51442,778.7579088,0.794256827,1.93712e-11
3110062M04Rik,chr6,34877803,34878253,2.21866792390656,523.2485103438346,235.8390386888161,both,193,,,
3110082I17Rik,chr5,139460370,139460725,5.396172443264073,322.76210359267776,59.81315589637518,both,198,388.5992964,-0.600807898,3.16905e-06
4632415L05Rik,chr3,19894634,19895495,3.3757848748681463,770.9280628010648,228.37002101064755,both,252,,,
4732440D04Rik,chr1,6214430,6215332,2.062547676024319,254.45072048687112,123.36719458400094,both,39,,,
4833420G17Rik,chr13,119462635,119463119,3.331164501920125,194.3317137372196,58.33747136330383,both,124,824.7940597,-0.34727675,0.001885382
4930404N11Rik,chr10,81363994,81364952,5.133141120305556,167.90843524653198,32.71066025874953,both,864,,,
4930448N21Rik,chr8,47412402,47413926,2.2503618347412697,474.1145444516576,210.68369412075808,both,32436,,,
4930507D05Rik,chr10,62449428,62450006,2.0487828583897807,515.9802552470187,251.8472141320764,both,61,,,
4930534D22Rik,chr3,131302583,131303345,2.583019703583372,436.0879321729671,168.82872847156025,both,60,,,
4930570G19Rik,chr3,156560893,156561148,2.6036643435847875,1081.2243915807735,415.2702687060338,both,598,207.9870016,0.887199948,7.35831e-08
4931406P16Rik,chr7,34312988,34313712,3.920512730769625,171.03128473678998,43.624723724137816,both,161,2564.727867,0.370448986,1.73662e-06
4931428F04Rik,chr8,105278919,105279154,3.280801458911893,167.86931166582332,51.16716563564888,both,1491,,,
4932441J04Rik,chr5,57717239,57720500,2.831238786662881,1721.845296753832,608.1596878599327,both,299,,,
4933404O12Rik,chr5,136919192,136919482,2.206124463002958,169.19313733700287,76.6924714241637,both,46,,,
4933407E24Rik,chr4,124575210,124575876,16.56937013723407,156.7887589960649,9.462566029817577,both,1231,,,
4933424G06Rik,chr1,36709621,36710148,2.2076695337104346,798.9826751001688,361.912262184149,both,528,,,
4933427D14Rik,chr11,72206712,72207669,3.5311968766878983,162.46068556049107,46.00725794503754,both,210,,,
5330438I03Rik,chr1,166308841,166309482,18.60024951469686,104.896378231555,5.639514574719648,both,103,,,
6030445D17Rik,chr4,136462358,136462763,3.3245646241566544,103.44747170209088,31.116095909350083,both,108,,,
6430573F11Rik,chr8,36457764,36458366,4.298431564805101,133.46631934509142,31.050004480213943,both,216,,,
8030423F21Rik,chr5,52618568,52618779,3.1121630509362377,59.27339060472209,19.04572145951375,both,233,,,
8430432A02Rik,chr1,43092247,43092816,2.030102216764266,100.17887403305366,49.34671427172101,both,341,,,
9230102O04Rik,chr2,9882253,9883100,2.7099640142011587,11.478264496967904,4.235578198388533,both,788,,,
9330175E14Rik,chr8,94434255,94434461,2.935505492709408,108.02946912029525,36.80097665924869,both,644,,,
9330179D12Rik,chr6,127154936,127155221,3.2051177527910446,59.36891787894774,18.52316278465862,both,5547,,,
9530052E02Rik,chr8,11006954,11009869,3.335280451934924,1755.802818677068,526.4333371601358,both,896,,,
A130006I12Rik,chr2,22895408,22896016,2.591087026794386,355.4760176040781,137.1918480267574,both,87,,,
A230050P20Rik,chr9,20868533,20868977,3.784949502220512,38.11864239530224,10.071109898015608,both,109,,,
A330033J07Rik,chr13,48227748,48228087,2.1477082216423216,936.6453204149404,436.1138589387627,both,34536,,,
A330040F15Rik,chr19,12595855,12596343,4.049304562142862,277.00171363970657,68.40723126371094,both,223,,,
A330041J22Rik,chr9,86695381,86696045,5.547171181454404,152.6265296071225,27.514299561800364,both,79,,,
A430057M04Rik,chr14,21847624,21848111,84.75985313538312,825.0920690233023,9.734467893725814,both,46,,,
A430072P03Rik,chr5,107724685,107726871,2.3694698477199188,38.52079261078716,16.257135598435553,both,472,,,
A530083I20Rik,chr9,122903301,122903536,2.535854468983389,96.8677294377896,38.19924629847681,both,352,,,
A730089K16Rik,chr5,76657534,76658400,2.1759547226509106,334.4280136865479,153.69254249882678,both,45,,,
A830073O21Rik,chr7,73740237,73741012,2.436674346653736,150.84635420056028,61.90665338916392,both,12,,,
A830092H15Rik,chr3,26331359,26331926,4.092965812712382,170.95018216848325,41.76682386095858,both,209,,,
A930002H24Rik,chr17,63863235,63864594,2.428994218280852,2375.947496834985,978.1610342887474,both,65,,,
A930004D18Rik,chr2,18026552,18026829,5.181744181656111,757.8307793954837,146.2501337056121,both,1359,143.2732844,1.414702116,3.42785e-13
A930011G23Rik,chr5,99728751,99729257,2.0803259110465087,64.98474578488717,31.237771658670816,both,192,,,
A930016O22Rik,chr7,19421190,19421537,3.385309928571415,107.92770126275587,31.881187702155493,both,120,,,
A930038B10Rik,chr14,34769259,34769847,4.139249720502373,87.27225279354609,21.084075300234367,both,706,,,
AC151286.1,chr17,91087924,91088778,5.337744236852612,35.46151743464356,6.6435400163634215,both,228,,,
AI413582,chr17,27565423,27566003,2.6699533399520967,617.1048943805748,231.12946775004195,both,254,,,
AI854703,chr6,48626968,48627338,2.494234553282415,63.80172297586523,25.57968050434636,both,204,,,
AU020206,chr7,75781908,75782111,2.895912536467062,392.19465548516615,135.43042151529667,both,12,,,
AV356131,chr7,116443037,116444061,2.571014553826219,404.8332145012012,157.4604911896445,both,263,,,
AW011738,chr4,156203061,156203844,4.3683696263400975,368.69149284602486,84.40025098217743,both,243,264.2796204,1.245924988,5.75086e-17
Aard,chr15,52040030,52040580,4.212527886010868,241.8105823964064,57.40272561741863,both,77,,,
Aasdhppt,chr9,4309133,4309885,2.1152493331977444,3466.954044036566,1639.028548372296,both,391,1282.24681,-0.286441455,0.000870396
Abca1,chr4,53159785,53160188,2.9707931665189213,589.9488052605939,198.5829279228741,both,293,1217.144188,2.799356316,6.95236e-29
Abcc4,chr14,118705781,118706547,2.0505112475694416,235.4340840661445,114.81726049794388,both,328,1062.229333,0.453829394,4.90801e-06
Abce1,chr8,79711304,79711930,3.044113089553395,706.5935178721578,232.11802488449035,both,190,12337.90966,-0.593385324,2.64936e-19
Abcf3,chr16,20548195,20548752,2.25892908895428,862.2204875422784,381.6943576309533,both,382,,,
Abhd16b,chr2,181494404,181494628,6.416042064458012,34.10710619657964,5.315910627443929,both,352,,,
Abhd17a,chr10,80589946,80590414,2.0062391476675736,322.7049385076908,160.85068366992198,both,73,,,
Abr,chr11,76571045,76571566,2.7549354478642933,52.9092930160864,19.205275048133423,both,50748,1849.570236,1.712398668,3.7814e-112
Acaa1a,chr9,119339620,119340000,33.83331040466992,1107.5585611467457,32.735743203948275,both,56,,,
Acadm,chr3,153944252,153944586,2.145011061022825,1358.143190397798,633.1637235241958,both,46,2126.310089,-0.274705388,0.000967074
Acot12,chr13,91741439,91741695,3.741645329014431,33.40938178906768,8.929061643014649,both,73,,,
Acot2,chr12,83987870,83988465,3.315988786570053,375.17747752545057,113.1419620732558,both,9,,,
Acsl1,chr8,46471064,46471743,2.053089492324708,1598.943789291454,778.7988761663642,both,27,,,
Acss1,chr2,150667985,150668235,2.5208032620580902,152.5024451349,60.49755942095639,both,265,,,
Actr1a,chr19,46395102,46395869,2.052572089666848,1131.1256381641194,551.0771796315871,both,134,5691.490291,-0.213718459,0.000748999
Actr2,chr11,20112370,20113193,2.2560563214710445,536.7995926950056,237.9371417221488,both,280,11743.87146,-0.537641011,2.7242899999999997e-20
Actr3b,chr5,25759911,25760231,3.5414816549887926,358.1767446957604,101.13754060852077,both,86,,,
Acvr2b,chr9,119427445,119427702,3.402853604301709,48.680496131176405,14.305786199452449,both,5799,,,
Acyp2,chr11,30649110,30649612,2.7016695295299704,234.9130015288854,86.95104969768636,both,25,158.2897278,-0.523555709,0.011235832
Ada,chr2,163749780,163750326,2.8260253368210844,18.4406860582748,6.525308113131851,both,87,,,
Adam11,chr11,102774033,102774852,2.340686244333706,429.034864119114,183.2944783427144,both,5410,,,
Adam12,chr7,134224650,134225407,2.381677541496524,338.1738725557541,141.98978101093525,both,6739,14551.97579,0.886429305,2.29315e-39
Adam19,chr11,46056019,46056350,2.671120884792516,276.06962345144746,103.35347419998617,both,27,2798.570541,-0.306813395,1.33412e-05
Adamts15,chr9,30921476,30922577,15.47963700871448,91.10283142868694,5.885333834210668,both,125,,,
Adamts19,chr18,58836179,58837975,5.209312770429182,38.64012109823381,7.4175083741516925,both,585,,,
Adamtsl4,chr3,95687798,95688032,14.843086699124406,238.34368403303483,16.05755520158046,both,115,,,
Adat1,chr8,111992147,111992408,2.3602121358281307,219.40363987619165,92.95928808501326,both,106,,,
Adat2,chr10,13552948,13553450,2.312579322698136,216.43110869903992,93.58862053930548,both,54,,,
Adat3,chr10,80602805,80603198,2.0403741032147904,339.60610719351746,166.44305897552704,both,75,,,
Adck5,chr15,76576291,76576551,2.784517844818474,289.00810782578105,103.79107764153036,both,67,,,
Adgrb1,chr15,74529231,74529538,2.8816788443556693,24.51050908679225,8.505635225382894,both,13036,257.5953113,1.92998524,6.81329e-37
Adgrl2,chr3,148987630,148990644,2.618339878168032,1886.526898465169,720.5049711823933,both,89,5964.912721,0.852909081,8.30109e-36
Adi1,chr12,28675146,28675589,2.1534368522474137,398.61118088104666,185.10465280885296,both,85,,,
Ado,chr10,67548040,67549252,2.346174188021891,564.9883982977443,240.8126392244124,both,297,,,
Agap2,chr10,127081526,127081730,4.096579546464175,36.19461936839529,8.835326876451225,both,2619,885.8816432,1.085961905,9.37226e-35
Ago1,chr4,126468403,126468848,2.366224309967328,606.2973663125769,256.2298780207141,both,265,4740.542223,0.331869921,7.74717e-07
Agtrap,chr4,148087727,148088104,2.422805336362893,126.18991278452438,52.08421448087128,both,73,433.1169146,0.481208762,0.000284999
Ahcyl1,chr3,107695898,107696722,2.0511055589303693,1218.8215521600944,594.2266339503743,both,162,,,
Ahdc1,chr4,133010953,133012611,3.758766833212378,283.8685828240371,75.52173237131413,both,307,1716.692518,1.054617395,1.63259e-35
Ajap1,chr4,153481625,153483437,3.040941216745143,26.763728554084835,8.801133151377147,both,626,,,
Ak2,chr4,128993046,128993583,2.740193152240699,822.8965846817838,300.3060510566156,both,1088,1822.55084,-0.658743478,9.70778e-18
Aldh1a2,chr9,71215304,71216666,2.048521662935832,11.888251127954298,5.80333190663783,both,485,,,
Aldh2,chr5,121593162,121593688,2.7310434164537725,228.5423527507039,83.68316350219852,both,136,,,
Alk,chr17,71869551,71870004,3.6339755418690673,44.01850863299644,12.11304482538051,both,109,,,
Alkbh2,chr5,114127428,114128285,2.072117364061349,200.87126109207813,96.94009836314024,both,67,,,
Alkbh7,chr17,56997385,56997633,2.6486358836288466,548.2264427681529,206.98445043228745,both,46,,,
Alpl,chr4,137795866,137796483,2.0193596304684074,150.35109290849027,74.45483738506502,both,99,80.82962249,1.223941233,1.15931e-05
Ambra1,chr2,91730091,91730424,2.6353681422484203,121.47641589181347,46.09466660250864,both,43,1728.329222,0.481538954,6.13775e-10
Amer3,chr1,34579529,34579840,2.435161026316747,134.62417305365776,55.283478833135234,both,128,,,
Ankrd27,chr7,35586064,35586613,2.150773968107074,710.9285677594007,330.5454586588189,both,180,,,
Ankrd29,chr18,12305494,12305853,3.432084442407445,132.34968468812093,38.56247913156935,both,133,725.629024,1.282269325,6.49331e-41
Ankrd39,chr1,36546910,36547290,2.987241611637524,995.598961814561,333.2837082665037,both,155,82.50861009,-0.569992013,0.042989379
Ankrd42,chr7,92636528,92637265,2.012935186147041,173.81086963846317,86.34697770431175,both,123,208.6909974,0.688787311,0.000309414
Ankrd63,chr2,118702419,118704307,2.494194593854372,62.04343612023052,24.87513856100237,both,344,,,
Ano8,chr8,71476154,71476766,3.3571037906812933,58.696956706596914,17.48440333287548,both,131,,,
Anp32a,chr9,62340766,62344699,4.579119566194759,622.8108229767724,136.01104185500168,both,527,7331.597623,-0.395247279,2.03152e-10
Anxa5,chr3,36475547,36475970,2.00355907982747,2097.5171978233807,1046.8956063945973,both,76,1300.752827,-0.230229909,0.00950362
