chr,start,end,cpg_length,cpg_name,cpg_score,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,exo_replicates_with_signal,endo_replicates_with_signal,total_exo_replicates,total_endo_replicates,exo_replicate_signals,endo_replicate_signals,n_exo_peaks,n_endo_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,analysis_start,analysis_end,analysis_length,exo_signal_std,endo_signal_std,exo_signal_cv,endo_signal_cv,exo_replicates_with_peaks,endo_replicates_with_peaks
chr9,102353238,102354708,1470,1365,CpG:,73.26216808846748,55.63838114576275,1.316755926031232,0.4,both,both,False,3,2,3,2,"63.05658018994494,55.23109157912585,101.49883249633166","48.88316664922805,62.39359564229745",1,1,27.3539;18.6769;11.8348,12.7781;14.1927,102353238,102354708,1470,20.220311251499442,6.755214496534698,0.27599935654487423,0.12141285129840905,3,2
chr9,102505893,102506472,579,1367,CpG:,28.162830752206386,2.428938070109471,11.594709267715952,1.0,exo_only,exo_only,False,3,1,3,2,"7.078892586762423,2.3918037579261373,75.01779591193059","0.0,4.857876140218942",1,1,3.12234;8.10802,5.36098,102505893,102506472,579,33.186674238430676,2.428938070109471,1.1783856008803626,1.0,2,1
chr9,102625775,102626648,873,1367,CpG:,326.83369766022696,365.03127017026645,0.8953580812618533,0.8,both,both,False,3,2,3,2,"263.92555354687494,223.65977687660907,492.91576255719684","349.1796759903636,380.88286435016926",1,1,15.0544;25.7176;16.66,19.0418;17.4485,102625775,102626648,873,118.5826642840229,15.851594179902833,0.3628226377296635,0.04342530483075863,3,2
chr9,102689979,102690345,366,1368,CpG:,45.82224975995896,57.561188804647315,0.7960615600812506,1.0,both,exo_only,False,3,2,3,2,"37.10297125936206,51.81228458425387,48.551493436260955","90.87658407909623,24.245793530198394",1,0,4.22226;7.55104;3.18414,4.5933,102689979,102690345,366,6.307537972190405,33.31539527444892,0.13765229785164643,0.5787822657297018,3,1
chr9,102717597,102718950,1353,1368,CpG:,82.01371865273696,59.069917763327986,1.3884176880241574,1.0,both,both,False,3,2,3,2,"70.4505343201067,85.56961750050253,90.02100413760166","8.134107802412903,110.00572772424307",1,1,9.05334;15.0185;7.39445,17.1484;12.703,102717597,102718950,1353,8.375923220000915,50.93580996091509,0.10212831898851345,0.8622969506237784,3,2
chr9,102834708,102835546,838,1369,CpG:,27.6334736121488,65.3292718046036,0.4229876263552893,0.2,both,both,False,3,2,3,2,"28.519760903424466,25.38819758249069,28.992462350531238","43.46044201924863,87.19810158995854",1,1,5.496;10.2557;6.48391,11.6802;9.04672,102834708,102835546,838,1.5993352789085358,21.868829785354954,0.057876736792344584,0.334747796527772,3,2
chr9,103008326,103008896,570,1370,CpG:,19.62468425851119,3.062425475371511,6.408216107244362,1.0,exo_only,exo_only,False,3,1,3,2,"4.266988205491451,5.2150749156349585,49.39198965440717","0.0,6.124850950743022",1,0,3.47926;4.46552,,103008326,103008896,570,21.052221893850714,3.062425475371511,1.0727419415535515,1.0,2,0
chr9,103111653,103112627,974,1371,CpG:,27.699141462235968,10.500622581652301,2.637857064840572,0.2,both,both,False,3,2,3,2,"14.086690233962981,13.978409041614258,55.03232511113067","12.960634267305691,8.040610895998913",1,1,4.67784;7.14116;3.25341,3.39264;4.48488,103111653,103112627,974,19.32753006279398,2.460011685653389,0.6977663942813698,0.2342729363449133,3,2
chr9,103201715,103202140,425,1372,CpG:,146.31139727947757,84.85381256552304,1.7242760561465373,0.2,both,both,False,3,2,3,2,"123.33114068648395,108.19042944066665,207.41262171128216","61.87207870483398,107.83554642621209",1,1,10.706;14.726;9.52143,9.38164;8.80129,103201715,103202140,425,43.64500738577566,22.981733860689054,0.2983021705575465,0.2708391428251129,3,2
chr9,103304907,103305617,710,1373,CpG:,34.780123489899246,85.65905977974475,0.4060297133698341,0.2,both,both,False,3,2,3,2,"16.878267444019585,54.20529283872792,33.256810186950254","82.14818598518909,89.16993357430042",1,1,6.31003;9.8677;5.82843,8.93015;11.4484,103304907,103305617,710,15.276715806928886,3.510873794555664,0.43923696278322616,0.040986602042833276,3,2
