gene,chromosome,tss,strand,log2FoldChange,padj,bm3_signal,avg_bg_signal,fold_change,is_higher_than_bg
Mir5125,chr17,23823291,+,7.25157e-05,0.999694056,0.0,31.427936703364054,0.0,False
Trim68,chr7,102687327,-,0.000132968,0.999614289,0.0,20.08257903003693,0.0,False
Frrs1,chr3,116859464,+,9.70128e-05,0.999555847,0.0,20.088324798583987,0.0,False
Notch4,chr17,34564268,+,0.000246386,0.999555847,0.0,13.823107640584311,0.0,False
Ano6,chr15,95790843,+,7.37447e-05,0.999502949,645.5520117797852,72.50721723651885,8.903279375265386,True
Pip4k2b,chr11,97744704,-,-0.000121978,0.999083824,723.5775186157226,68.66713170305887,10.537465315206838,True
Armc6,chr8,70234466,-,0.000264302,0.998968839,260.0882379150391,57.32439622879028,4.537130000933422,True
Wtip,chr7,34133268,-,0.000256841,0.998968839,0.0,21.63966218630473,0.0,False
Arl16,chr11,120467607,-,0.000312883,0.998968839,250.08484802246093,118.14958204332987,2.11667992131149,True
Mecr,chr4,131843470,+,0.000307839,0.998786821,0.0,20.484666535059613,0.0,False
Gm45289,chr8,91493019,+,0.000540748,0.998786821,0.0,14.449605487505595,0.0,False
Gm12158,chr11,44662676,-,0.000615224,0.998519831,0.0,31.40135943667094,0.0,False
Jmjd4,chr11,59450045,+,-0.000382629,0.998341721,589.3659298706054,27.32355873743693,21.56988171028744,True
Cndp2,chr18,84685702,-,-0.000351406,0.998184218,423.4762588500977,75.44720708910624,5.61288184398867,True
Plekhh1,chr12,79029163,+,0.000520285,0.998184218,426.81053039550784,28.879187252044677,14.77917389677541,True
Gm37914,chr1,86120883,+,-0.000702339,0.998184218,0.0,5.551818519274394,0.0,False
Ptpre,chr7,135537481,+,0.000757596,0.998184218,683.5625543212891,46.621222701072696,14.662046911643122,True
Gm43858,chr3,152386260,+,-0.001095624,0.99772892,0.0,7.604875275293986,0.0,False
Taf1c,chr8,119605222,-,-0.001111449,0.997529122,0.0,30.16216454823812,0.0,False
Gm49066,chr15,73423311,+,-0.001681951,0.997529122,270.09102325439454,77.44965240351358,3.4873109803930067,True
Ntn3,chr17,24209531,-,0.001067955,0.996395922,210.40443508911133,53.010402606964114,3.9691159610523306,True
Flvcr2,chr12,85746539,+,0.002213079,0.996257732,181.3941444091797,53.19778305308024,3.4098064618254176,True
Senp6,chr9,80066903,+,-0.000508377,0.996166947,67.68954092407226,19.49832740020752,3.4715562794043477,True
Xpa,chr4,46196311,-,-0.00161607,0.995897091,70.02366302490235,51.38883267656962,1.3626241223577968,True
A530041M06Rik,chr3,104501607,-,-0.001965407,0.995798478,0.0,10.321827367782591,0.0,False
Gm29151,chr3,116350103,+,0.002451875,0.995798478,0.0,4.299689754486084,0.0,False
Tcta,chr9,108306160,-,0.001723135,0.995650121,263.4223513793945,81.65790426572164,3.2259259375821867,True
Kpna4,chr3,69127113,-,0.000569285,0.995546837,367.79068411254883,54.79722957706451,6.71184815274837,True
Gm17083,chr13,34008331,-,0.002850899,0.995235456,0.0,25.652559418678283,0.0,False
Gm26743,chr2,67687282,-,0.002257182,0.99512481,0.0,8.497232655207316,0.0,False
Gm44260,chr6,120914993,-,0.003188967,0.994890852,160.053837890625,26.980848224639896,5.932127728455105,True
Dnmt3l-ps1,chr2,83745736,-,-0.003616159,0.99484764,0.0,26.01204078992208,0.0,False
Tlk2,chr11,105178807,+,0.000827959,0.994773792,0.0,19.82866734759013,0.0,False
Gm38077,chr9,105064777,+,0.001751126,0.994773792,0.0,11.817084489822387,0.0,False
Gm36944,chr1,110967437,-,0.002207232,0.994745054,0.0,5.284866280555725,0.0,False
Gm49308,chr14,31754414,-,0.002474416,0.994563444,0.0,18.42318634223938,0.0,False
Gm27042,chr19,40589435,+,-0.003329006,0.994410972,430.1443182373047,36.90076056480408,11.656787330491394,True
Tia1,chr6,86404219,+,-0.001059145,0.994297181,279.7610089416504,42.67731504503886,6.5552626412043224,True
Lurap1l,chr4,80910646,+,0.002091491,0.994297181,536.8474401855469,26.82804256248474,20.010682439286605,True
4933433G19Rik,chr13,67032408,-,-0.002213732,0.994276468,0.0,18.04489149411519,0.0,False
Ccdc152,chr15,3303526,-,-0.003092153,0.993930185,0.0,20.441421255111695,0.0,False
Klc4,chr17,46646022,-,-0.002491083,0.993838827,0.0,56.59733508682251,0.0,False
Gm13830,chr5,115301120,+,0.004887844,0.993525114,283.42893585205076,105.31157131195067,2.691337070762019,True
Gm49768,chr14,118983760,-,-0.003624449,0.993378159,0.0,19.756517906188964,0.0,False
Rgl2,chr17,33929543,+,0.001520486,0.993078579,1019.0095922546386,59.86808131663005,17.02091615171873,True
Nosip,chr7,45062429,+,-0.001565613,0.99220196,253.08524478149414,91.20182381979625,2.775002014011912,True
Phf20l1,chr15,66577560,+,0.001182092,0.992160926,663.558019104004,41.44579270998637,16.010262458898982,True
Tshz1,chr18,84087706,-,-0.001325406,0.992160926,666.2245924682617,62.824192528406776,10.60458663542742,True
