category,gene,chromosome,start,end,methylation_score,cpg_density,smarcb1_enrichment
up,2810029C07Rik,chr12,111574329,111575376,0.006771435716371453,0.206,5.89796932406027
up,2900026A02Rik,chr5,113137765,113138844,0.010053639325657466,0.118,6.688827883887016
up,2900026A02Rik,chr5,113220579,113221436,0.00533526453250815,0.194,0.3561112750466221
up,6330403K07Rik,chr11,71033181,71033484,0.008338333046918996,0.09,24.53118041018027
up,9930014A18Rik,chr15,60822970,60825075,0.0012489414744920081,0.12,24.793357845744158
up,Aak1,chr6,86849544,86849940,0.009226073939077718,0.132,0.0
up,Abat,chr16,8513265,8513607,0.006630381409077491,0.102,5.35676309522901
up,Abhd4,chr14,54253700,54254197,0.002257349249121842,0.116,4.4003203249290355
up,Abr,chr11,76436955,76437213,0.0020988607629621116,0.064,0.0
up,Abr,chr11,76494492,76495221,0.006500125828455111,0.148,12.075981489883377
up,Abr,chr11,76622237,76623850,0.011315397747815311,0.174,34.19778822249518
up,Acer3,chr7,98308966,98309678,0.0022187260659237277,0.164,5.8065131739574305
up,Actn4,chr7,28961910,28962478,0.014419401783024125,0.164,6.054774229572953
up,Adamts14,chr10,61273127,61273655,0.014624309558707142,0.12,17.07874786671988
up,Adamts8,chr9,30942520,30943344,0.009209444969963015,0.204,13.003111493737308
up,Adcy1,chr11,7063695,7064250,0.004031428206125925,0.108,8.346043932502994
up,Ahnak,chr19,8989235,8989930,0.004550544037552525,0.15,0.0
up,Ahr,chr12,35534505,35534998,0.00990934330155455,0.166,0.0
up,Ajuba,chr14,54575687,54577650,0.0031750107661430633,0.184,6.4778150598906885
up,Ak5,chr3,152486104,152486705,0.18044421739656505,0.118,0.0
up,Akap17b,chrX,36644909,36645291,0.18055180889714123,0.12,10.183180395888455
up,Ankib1,chr5,3802402,3803640,0.006434937932128456,0.236,7.55157460336824
up,Ankrd29,chr18,12305494,12305853,0.0966819118488868,0.102,0.0
up,Anks1b,chr10,89873018,89873556,0.015461892044706126,0.136,4.097918768385663
up,Apcdd1,chr18,62922194,62922886,0.024606910068081623,0.172,9.250189706882455
up,Arf3,chr15,98762433,98763412,0.026669482572821302,0.182,8.707220123833991
up,Arhgap20,chr9,51764861,51766217,0.00698233228847695,0.202,0.0
up,Arhgap31,chr16,38712700,38713353,0.028413825338931508,0.148,4.398877753823412
