gene,enrichment_score,log2FoldChange,padj,exo_peaks,endo_peaks,num_exo_peaks,num_endo_peaks
Ddb2,0.0,0.585635161,0.03437331,None,chr2:91236759-91237689,0,1
Grk4,0.0,0.509810462,0.029722419,None,chr5:34659671-34660662;chr5:34659320-34660888;chr5:34659671-34660748,0,3
Ccdc151,0.0,0.768875246,0.02486947,None,chr9:22002506-22003021;chr9:22002243-22003230,0,2
Cyp46a1,0.0,0.94810275,0.012820389,None,chr12:108333587-108334482;chr12:108333578-108334735,0,2
Crocc,0.0,0.62260105,0.002855794,None,chr4:141059980-141061315,0,1
Dbp,0.0,0.622923731,0.002716864,None,chr7:45703792-45705739;chr7:45703700-45705853;chr7:45703870-45705425,0,3
Reep6,0.0,0.76390076,0.000504172,None,chr10:80329444-80330248;chr10:80329240-80330367;chr10:80329446-80330362,0,3
Ccdc189,0.0,0.976518395,0.000428234,None,chr7:127587869-127588807;chr7:127587853-127588975,0,2
Zfpm1,0.0,1.218518956,0.000224719,None,chr8:122281290-122282307,0,1
Slc22a5,0.0,0.527701475,0.000224004,None,chr11:53891551-53892420,0,1
Gm38182,0.0,0.965418254,0.000173014,None,chr18:37823682-37826787,0,1
Usp20,0.0,0.562137615,9.06231e-05,None,chr2:30981665-30982568;chr2:30981676-30982589;chr2:30981679-30982727,0,3
Myh14,0.0,0.575731366,1.07234e-05,None,chr7:44670637-44671677;chr7:44670659-44671785;chr7:44670631-44671893,0,3
BC024978,0.0,0.628166108,8.95339e-06,None,chr7:27195476-27196738,0,1
Numb,0.0,0.507800254,5.93155e-06,None,chr12:83921646-83922393,0,1
B230311B06Rik,0.0,1.097067248,3.19838e-06,None,chr7:118593392-118595106;chr7:118593263-118595036;chr7:118593303-118594602,0,3
Smpd3,0.0,0.960748047,1.72057e-06,None,chr8:106337726-106338458,0,1
Inpp5a,0.0,0.537716397,2.03475e-07,None,chr7:139388218-139389201;chr7:139388166-139389371;chr7:139387970-139389206,0,3
Ell,0.0,0.576095447,1.54075e-07,None,chr8:70538760-70539732;chr8:70538620-70539701;chr8:70538277-70539773,0,3
Dnaaf5,0.0,0.575890957,9.01393e-08,None,chr5:139149696-139150321,0,1
Sox1,0.0,0.50665294,7.08949e-08,None,chr8:12394593-12395909,0,1
Dnajb5,0.0,0.622364071,1.38557e-09,None,chr4:42949374-42950412,0,1
Nfe2l1,0.0,0.552248611,5.25767e-10,None,chr11:96829085-96830477;chr11:96829411-96830666,0,2
Ncln,0.0,0.618797046,7.97265e-11,None,chr10:81496150-81496912,0,1
Tpcn1,0.0,0.688674077,1.58845e-12,None,chr5:120588519-120589228;chr5:120588389-120589311;chr5:120588387-120589404,0,3
Dmwd,0.0,0.575952034,9.64114e-13,None,chr7:19075646-19076315,0,1
Dnm2,0.0,0.601893392,4.14157e-13,None,chr9:21424291-21425070,0,1
Fzd5,0.0,0.813222496,3.44851e-13,None,chr1:64737468-64738202,0,1
Peak1,0.0,0.537800558,4.86679e-14,None,chr9:56417107-56419130,0,1
Pafah2,0.0,0.969761808,4.35475e-14,None,chr4:134395921-134396909,0,1
Zfp36l1,0.0,0.770957774,2.90069e-14,None,chr12:80112929-80114054;chr12:80112471-80115054,0,2
Ints3,0.0,0.572660698,2.86681e-14,None,chr3:90433445-90433887,0,1
Jun,0.0,0.501895505,1.6854e-15,None,chr4:95051968-95053035,0,1
Lrig1,0.0,0.585444614,1.44202e-15,None,chr6:94699988-94700618;chr6:94700066-94701840,0,2
Mdc1,0.0,0.550862615,1.54204e-16,None,chr17:35841178-35841859,0,1
Setd5,0.0,0.522841379,5.63494e-17,None,chr6:113075987-113077551;chr6:113076336-113077832,0,2
Sufu,0.0,0.819449573,6.026040000000001e-18,None,chr19:46396581-46397051,0,1
Gdpd5,0.0,1.11960205,3.44429e-18,None,chr7:99381012-99382043,0,1
Klf13,0.0,0.614839017,2.61771e-18,None,chr7:63938620-63939898,0,1
Phf12,0.0,0.73310247,2.13312e-18,None,chr11:77981346-77982859;chr11:77981344-77982826;chr11:77981165-77982745,0,3
Spata2,0.0,0.752707838,1.5728700000000001e-18,None,chr2:167490823-167492535,0,1
Sf1,0.0,0.616140014,2.92942e-19,None,chr19:6362689-6364176;chr19:6363150-6364758;chr19:6363011-6364291,0,3
Gatad2b,0.0,0.569881412,2.21732e-19,None,chr3:90292629-90293260,0,1
Fam160a2,0.0,0.738142616,2.07134e-19,None,chr7:105399963-105400650,0,1
Abhd4,0.0,0.648502913,1.6715700000000001e-19,None,chr14:54253558-54254596,0,1
Ralgapa2,0.0,0.621876046,5.93451e-21,None,chr2:146511619-146512681,0,1
Fryl,0.0,0.771477596,1.63887e-22,None,chr5:73256100-73257210;chr5:73256173-73257237,0,2
Egfros,0.0,0.940393903,8.08092e-23,None,chr11:16831538-16832745,0,1
Megf8,0.0,0.955679223,2.4677900000000002e-23,None,chr7:25316564-25317130,0,1
Kmt2e,0.0,0.724866447,7.06988e-24,None,chr5:23432686-23434395,0,1
Arhgap35,0.0,0.646214812,5.3679500000000004e-24,None,chr7:16614785-16615654;chr7:16614785-16615783;chr7:16614785-16615791,0,3
Pcnx3,0.0,0.912429791,4.7923100000000004e-24,None,chr19:5688436-5689318,0,1
Fam214b,0.0,0.989664132,2.8720400000000004e-24,None,chr4:43043838-43044510;chr4:43045678-43046462;chr4:43043178-43046372;chr4:43045535-43046437,0,4
Ttyh3,0.0,0.730660378,4.43216e-25,None,chr5:140648619-140649545,0,1
Mlc1,0.0,0.707401956,2.5563699999999998e-25,None,chr15:88978354-88979555;chr15:88977604-88979548,0,2
Hdac4,0.0,0.887607213,2.15759e-25,None,chr1:92180053-92181153;chr1:92180199-92181188,0,2
Camsap1,0.0,0.712663857,1.43614e-25,None,chr2:25983014-25983899;chr2:25983204-25984120;chr2:25983204-25983956,0,3
Zc3h4,0.0,0.806256598,8.60363e-26,None,chr7:16399354-16400547;chr7:16399020-16400609,0,2
Ap3d1,0.0,0.871539328,2.68607e-26,None,chr10:80742039-80742861,0,1
Klf7,0.0,0.790992391,1.59639e-27,None,chr1:64121243-64122252;chr1:64120999-64122627;chr1:64121138-64122637,0,3
Irf2bp2,0.0,0.762495742,2.08157e-28,None,chr8:126593886-126596688;chr8:126593876-126596692;chr8:126593876-126596966,0,3
Rfx2,0.0,2.255394917,1.0840900000000001e-29,None,chr17:56830813-56831614,0,1
Fam168a,0.0,0.851998077,3.0442200000000002e-30,None,chr7:100705775-100707014,0,1
Rab11b,0.0,0.830652456,1.4162400000000001e-34,None,chr17:33760259-33760836;chr17:33759695-33760841,0,2
Ywhag,0.0,0.784180086,6.24751e-35,None,chr5:135934160-135935343,0,1
Ep400,0.0,0.844143957,3.76688e-35,None,chr5:110770336-110771260;chr5:110769953-110771149,0,2
Rnf44,0.0,1.041733525,3.06072e-35,None,chr13:54693827-54694772;chr13:54693691-54694772;chr13:54693485-54694629,0,3
Fyco1,0.0,1.032914602,4.97896e-36,None,chr9:123851595-123852659,0,1
Mboat7,0.0,1.296356743,5.43037e-42,None,chr7:3692823-3694264;chr7:3692813-3694081,0,2
Ulk1,0.0,1.281104877,4.87577e-43,None,chr5:110809918-110810530,0,1
Aox1,0.0,1.80490024,1.6836e-44,None,chr1:58029500-58030858;chr1:58029514-58031059,0,2
Sec16a,0.0,1.042836885,3.82947e-45,None,chr2:26445054-26446010;chr2:26444928-26446327;chr2:26445117-26445986,0,3
Polr2a,0.0,1.206770251,4.08936e-46,None,chr11:69757657-69759575,0,1
Ski,0.0,1.190586108,2.54979e-52,None,chr4:155223064-155223713,0,1
