chr,start,end,neu_signal,nsc_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr11,87442786,87443229,76.74204440005376,11.346557959624551,6.763464715302356,0.1,both,both,False,3,3,"74.96603850305256,72.20368546823933,83.05640922886936","15.62510425488898,7.088393656962033,11.326175967022644",4167,443,CpG:,1252,3,2,15.4615;24.4854;17.2953,5.17153;5.03723,87441134,87445301
chr10,79779936,79780219,69.26602730991443,10.27082392626401,6.743960154237578,0.1,both,both,False,3,3,"60.21614781058442,81.13244505565989,66.449489063499","1.7910646212737515,7.966899560920724,21.054507596597556",5506,283,CpG:,1193,3,2,15.5369;31.4677;32.1743,5.86823;6.10372,79776705,79782211
chr11,94210243,94212093,231.69785268401128,34.360601304185394,6.743125669799866,0.1,both,both,False,3,3,"194.16138371288548,307.43969555345683,193.49247878569145","24.17177397461839,30.393149485228772,48.516880452709024",3132,1850,CpG:,1303,3,3,34.0712;48.47;29.6238,8.27994;12.8267;6.51618,94209782,94212914
chr6,77979429,77979749,46.03102640380897,6.849749785558225,6.720103338790446,0.1,both,both,False,3,3,"33.424877557650895,56.35502355024582,48.31317810353021","5.630411996248287,1.6712933472811662,13.247544013145221",2669,320,CpG:,1179,3,1,8.37166;19.9772;10.1568,5.45004,77978048,77980717
chr9,53705629,53706515,195.8374460270054,29.158223937871284,6.716370875135773,0.1,both,both,False,3,3,"171.2233413577941,225.8733284995245,190.4156682236976","4.641398667275931,34.83420227316659,47.999070873171334",2353,886,CpG:,994,3,3,30.315;45.7525;30.0124,4.02463;9.38498;10.7269,53704740,53707093
chr3,93520766,93520982,61.37510348480975,9.142209405763545,6.713377561239946,0.1,both,both,False,3,3,"49.75661910690774,72.63553095994925,61.73316038757225","1.4624727366510721,12.804937604613713,13.159217876025842",2909,216,CpG:,1298,2,1,6.25662;9.93606,9.80282,93520183,93523092
chr2,102400437,102401261,94.48628673346752,14.090587957602324,6.705631235387104,0.1,both,both,False,3,3,"73.14920980607688,88.67319674902515,121.63645364530058","28.000309712578137,1.908300818234909,12.363153341993925",1707,824,CpG:,1366,3,2,10.6966;15.4446;11.8716,6.98199;5.13131,102399991,102401698
chr8,70373407,70373656,36.64581933831857,5.488747219634212,6.676536169716477,0.8,both,neu_only,False,3,2,"15.728038783166923,87.94461478439032,6.2648044473984665","0.5181274694554946,0.0,15.948114189447141",204,249,CpG:,1121,1,0,5.52244,,70373480,70373684
chr3,105687017,105688004,188.23591302345392,28.197374838497893,6.675653818895769,0.1,both,both,False,3,3,"157.15065481525554,227.64543143040356,179.9116528247026","25.921617386078587,16.831387973987628,41.839119155427476",2207,987,CpG:,1391,3,3,35.719;44.2478;29.8527,8.31957;8.90526;5.60172,105686942,105689149
chr6,43265286,43265518,19.17018018097932,2.873660340932983,6.6709972323157,0.5,both,neu_only,False,3,1,"13.65170584327216,10.107771514416884,33.75106318524892","0.0,8.620981022798949,0.0",1251,232,CpG:,915,1,0,4.16955,,43265316,43266567
