chr,start,end,neu_signal,nsc_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr4,88868106,88868455,23.06024541630261,28.826385322040405,0.7999700676543356,0.7,both,both,False,3,3,"20.32250887155533,22.130779997162197,26.72744738019031","61.40807295363882,11.50734754230665,13.563735470175743",1840,349,CpG:,1263,3,2,4.10968;5.74663;5.07155,8.90246;4.63139,88867430,88869270
chr3,89266357,89266652,25.133258721169696,31.42445387989181,0.7997993797197606,0.7,both,both,False,3,3,"23.8082747580806,26.8697383059018,24.72176309952668","41.191979701553,22.788366140513215,30.293015797609225",1964,295,CpG:,1266,3,3,5.32284;6.68226;6.99171,7.82374;7.90983;4.95744,89265002,89266966
chr15,98662663,98663022,31.32235332161761,39.18332165336199,0.7993797360701835,0.2,both,both,False,3,3,"24.068843070419145,37.271623064597414,32.626593829836274","36.60512716946173,37.4076631210561,43.537174669568124",2479,359,CpG:,1337,3,3,14.1679;20.7398;9.63397,6.0381;11.1547;5.0104,98661909,98664388
chr3,129901406,129901709,24.1499780185485,30.21497670780909,0.7992717734681197,0.7,both,both,False,3,3,"31.969204063906055,23.53333048643678,16.947399505302666","20.087015172511197,30.009142740776664,40.548772210139404",3344,303,CpG:,1576,3,3,4.73801;7.48324;4.75521,7.58675;12.8844;5.30734,129900414,129903758
chr10,31608595,31609655,20.832075215936463,26.064946550719554,0.7992372121461867,1.0,both,both,False,3,3,"15.419964110358523,25.47917759556692,21.597083941883945","21.486516742186907,39.763219312954284,16.945103597017464",7418,1060,CpG:,826,3,3,8.61328;10.5707;7.28897,6.33325;6.26341;8.786,31604943,31612361
chr11,104231063,104232946,24.37065020956295,30.492399883270263,0.7992368689528426,0.4,both,both,False,3,3,"19.358490172869786,33.48522420323881,20.268236252580248","31.75028073789068,23.246397582142944,36.48052132977717",8645,1883,CpG:,1380,3,3,7.64298;24.405;7.4053,6.83801;6.63589;7.44576,104229573,104238218
chr4,141444595,141445324,23.10478166486597,28.90896930947768,0.7992253690376698,1.0,both,both,False,3,3,"37.206344846938755,3.3009814295381283,28.80701871812104","9.438816632173374,49.17853212931994,28.10955916693972",1243,729,CpG:,1664,3,2,7.13564;5.60567;3.71587,7.20077;9.43147,141444391,141445634
chr15,100983757,100984032,18.996154000313023,23.78900567721531,0.7985266075457371,0.7,both,both,False,3,3,"15.87275180810399,23.549019522403597,17.566690670431484","33.35738194793971,10.899379213447077,27.110255870259145",4871,275,CpG:,1355,3,3,5.15659;8.07244;6.037,8.53787;11.6541;3.40944,100981950,100986821
chr19,5729216,5729746,19.97145413981262,25.017223840762856,0.798308168281698,1.0,both,both,False,3,3,"24.092939936751254,15.059138443712799,20.762284038973807","41.78997851373357,17.337251191147182,15.924441817407814",4792,530,CpG:,628,3,3,4.95562;4.15814;5.30683,7.33278;6.49357;10.2324,5725955,5730747
chr7,27929216,27929571,34.72665488054603,43.50050379419048,0.7983046597539359,1.0,both,both,False,3,3,"35.521222545966076,20.917879390451887,47.740862705220124","28.991117345084756,27.91449207161225,73.59590196587442",1081,355,CpG:,798,3,3,6.95181;5.66748;7.59943,4.78389;12.7872;5.54915,27928684,27929765
chr19,23273561,23274010,16.80631832109717,21.054599251114283,0.7982255145610392,0.7,both,both,False,3,3,"11.913236989629786,22.562561754303847,15.943156219357883","28.196693155763842,6.274415098072537,28.692689499506468",2818,449,CpG:,762,3,3,3.60796;14.0556;4.24642,6.9985;5.429;2.5407,23271717,23274535
chr17,27622664,27623791,23.55903129833144,29.523556338431742,0.7979740322700859,0.7,both,both,False,3,3,"23.612820499976312,27.37973302716417,19.68454036785382","34.284349925778905,19.438537778096244,34.84778131142009",3409,1127,CpG:,795,3,3,4.66543;6.26368;4.5869,7.66534;5.99238;5.8205,27621053,27624462
chr17,71474748,71475973,20.538292873677552,25.744240119609803,0.7977820583654828,0.7,both,both,False,3,3,"20.766143267256272,19.03856494916337,21.810170404613018","13.984910106020314,26.473475730844907,36.77433452196419",4480,1225,CpG:,1130,3,3,9.10009;17.9471;10.881,10.787;8.67554;7.99304,71472918,71477398
chr9,21852370,21852764,23.16466010050748,29.049688656027342,0.7974150902199492,0.4,both,both,False,3,3,"20.217402883187987,29.133908669188692,20.14266874914575","23.777355473065576,24.58302624337457,38.788684251641875",4562,394,CpG:,751,3,3,7.99232;15.56;8.03832,8.24777;10.8915;10.5201,21850349,21854911
chr1,155741117,155743246,8.521041156041443,10.68902664851536,0.797176528437691,1.0,both,both,False,3,3,"5.883427908666857,9.550970566045361,10.128724993412112","19.436720260807213,2.8027173283964153,9.827642356342452",3670,2129,CpG:,1773,3,3,2.66767;2.4851;4.27989,6.91376;4.25903;3.58862,155740815,155744485
chr15,89453649,89454326,16.949378512922987,21.27846696072632,0.7965507357370466,0.4,both,both,False,3,3,"26.77722639846283,8.298345675361473,15.772563464944659","16.188784590065683,28.72309225420819,18.923524037905082",2942,677,CpG:,1267,3,3,4.22449;2.98743;4.72968,6.11289;7.76852;10.0975,89453188,89456130
