chr,peak_start,peak_end,gene_name,signalValue,source,regulation,log2FoldChange,padj,binding_category
chr1,4923928,4924782,Rgs20,{7: 7.01329},['exo'],unchanged,0.432419462,1.99858e-07,exo-only
chr1,4932052,4933565,Rgs20,{8: 3.58126},['exo'],unchanged,0.432419462,1.99858e-07,exo-only
chr1,5020478,5021474,Rgs20,{9: 14.0356},['exo'],unchanged,0.432419462,1.99858e-07,exo-only
chr1,5022433,5024042,Rgs20,{10: 32.3245},['exo'],unchanged,0.432419462,1.99858e-07,exo-only
chr1,5033052,5033466,Rgs20,{11: 16.3749},['exo'],unchanged,0.432419462,1.99858e-07,exo-only
chr1,5068545,5069119,Rgs20,{12: 5.10639},['exo'],unchanged,0.432419462,1.99858e-07,exo-only
chr1,7088070,7089493,Pcmtd1,{18: 55.8079},['exo'],unchanged,-0.447877158,8.74956e-10,exo-only
chr1,7150349,7150722,Pcmtd1,{19: 5.96876},['exo'],unchanged,-0.447877158,8.74956e-10,exo-only
chr1,7154916,7155463,Pcmtd1,{20: 3.45917},['exo'],unchanged,-0.447877158,8.74956e-10,exo-only
chr1,9544854,9545645,Rrs1,{28: 12.8483},['exo'],unchanged,0.096831676,0.394682568,exo-only
chr1,9747617,9748886,Vcpip1,{37: 38.6477},['exo'],unchanged,0.14177312,0.055598745,exo-only
chr1,9915789,9916396,Mcmdc2,{39: 6.25945},['exo'],unchanged,-0.421002415,0.018023957,exo-only
chr1,9943243,9943898,Mcmdc2,{40: 10.4204},['exo'],unchanged,-0.421002415,0.018023957,exo-only
chr1,10037192,10040408,Cspp1,{43: 13.1313},['exo'],unchanged,0.101899573,0.316655183,exo-only
chr1,10139094,10139726,Arfgef1,{44: 16.5876},['exo'],unchanged,0.125113089,0.080203478,exo-only
chr1,10153015,10153629,Arfgef1,{45: 7.61017},['exo'],unchanged,0.125113089,0.080203478,exo-only
chr1,13142644,13143414,Ncoa2,{68: 17.6509},['exo'],unchanged,0.34536137,2.05825e-06,exo-only
chr1,13151339,13151933,Ncoa2,{69: 4.67854},['exo'],unchanged,0.34536137,2.05825e-06,exo-only
chr1,13174281,13174832,Ncoa2,{70: 5.37189},['exo'],unchanged,0.34536137,2.05825e-06,exo-only
chr1,13187282,13188736,Ncoa2,{71: 9.78241},['exo'],unchanged,0.34536137,2.05825e-06,exo-only
chr1,13199445,13200815,Ncoa2,{72: 7.75939},['exo'],unchanged,0.34536137,2.05825e-06,exo-only
chr1,13233158,13233900,Ncoa2,{73: 7.01781},['exo'],unchanged,0.34536137,2.05825e-06,exo-only
chr1,13372116,13373303,Ncoa2,{74: 45.3626},['exo'],unchanged,0.34536137,2.05825e-06,exo-only
chr1,13588189,13588548,Tram1,{75: 4.62579},['exo'],unchanged,-0.416764051,1.68147e-13,exo-only
chr1,13589096,13590407,Tram1,{76: 12.5344},['exo'],unchanged,-0.416764051,1.68147e-13,exo-only
chr1,14181373,14181943,Eya1,{80: 10.707},['exo'],unchanged,-0.283137084,0.000352003,exo-only
chr1,14204757,14205144,Eya1,{81: 3.43204},['exo'],unchanged,-0.283137084,0.000352003,exo-only
chr1,14208015,14208651,Eya1,{82: 9.38918},['exo'],unchanged,-0.283137084,0.000352003,exo-only
chr1,14218422,14219542,Eya1,{83: 29.8438},['exo'],unchanged,-0.283137084,0.000352003,exo-only
chr1,14309240,14310114,Eya1,{84: 12.5344},['exo'],unchanged,-0.283137084,0.000352003,exo-only
chr1,16439864,16440367,Stau2,{95: 4.17813},['exo'],unchanged,0.195799111,0.04012526,exo-only
chr1,16546693,16547373,Ube2w,{96: 14.7727},['exo'],unchanged,-0.190396904,0.057315156,exo-only
chr1,16599146,16599812,Ube2w,{97: 12.236},['exo'],unchanged,-0.190396904,0.057315156,exo-only
