chr,peak_start,peak_end,gene_name,signalValue,source,regulation,log2FoldChange,padj,binding_category
chr1,4777814,4778683,Mrpl15,{4: 12.8483},['exo'],down,-0.578748054,2.01115e-11,exo-only
chr1,4785461,4786272,Mrpl15,{5: 17.0129},['exo'],down,-0.578748054,2.01115e-11,exo-only
chr1,9854272,9854976,Sgk3,{38: 5.96876},['exo'],down,-0.575078295,1.11827e-10,exo-only
chr1,9944196,9944636,Snhg6,{41: 13.3976},['exo'],down,-0.804870253,1.47723e-10,exo-only
chr1,13658994,13660165,Lactb2,{77: 19.7775},['exo'],down,-0.655372973,3.41036e-11,exo-only
chr1,15803896,15804320,Terf1,{87: 9.10236},['exo'],down,-0.736642816,2.35422e-13,exo-only
chr1,15805195,15806795,Terf1,{88: 10.4453},['exo'],down,-0.736642816,2.35422e-13,exo-only
chr1,15814639,15815703,Terf1,{89: 5.27112},['exo'],down,-0.736642816,2.35422e-13,exo-only
chr1,16103997,16105501,Rpl7,{90: 19.9953},['exo'],down,-1.089446409,1.80274e-43,exo-only
chr1,23383258,23383929,Ogfrl1,{140: 21.4139},['exo'],down,-0.540297191,7.93019e-10,exo-only
chr1,24004550,24005940,Sdhaf4,{145: 12.236},['exo'],down,-0.860841646,0.000120473,exo-only
chr1,24211793,24212963,Col9a1,{147: 22.1167},['exo'],down,-3.204748942,3.79126e-22,exo-only
chr1,24225421,24226479,Col9a1,{148: 6.71486},['exo'],down,-3.204748942,3.79126e-22,exo-only
chr1,24244625,24245312,Col9a1,{149: 10.8457},['exo'],down,-3.204748942,3.79126e-22,exo-only
chr1,24245806,24246262,Col9a1,{150: 10.633},['exo'],down,-3.204748942,3.79126e-22,exo-only
chr1,24248546,24249337,Col9a1,{151: 8.80392},['exo'],down,-3.204748942,3.79126e-22,exo-only
chr1,24298600,24299338,Col19a1,{152: 5.67032},['exo'],down,-1.194586618,0.000670016,exo-only
chr1,24367753,24368164,Col19a1,{153: 4.94167},['exo'],down,-1.194586618,0.000670016,exo-only
chr1,33467343,33468482,Prim2,{181: 7.41251},['exo'],down,-0.525579083,2.16341e-07,exo-only
chr1,33495192,33496354,Prim2,{182: 7.57723},['exo'],down,-0.525579083,2.16341e-07,exo-only
chr1,33499864,33500993,Prim2,{183: 6.91834},['exo'],down,-0.525579083,2.16341e-07,exo-only
chr1,33529840,33530288,Prim2,{184: 6.37983},['exo'],down,-0.525579083,2.16341e-07,exo-only
chr1,33625667,33626352,Prim2,{185: 7.16251},['exo'],down,-0.525579083,2.16341e-07,exo-only
chr1,33647093,33647643,Prim2,{186: 10.8717},['exo'],down,-0.525579083,2.16341e-07,exo-only
chr1,33744907,33745449,Bag2,{189: 4.67854},['exo'],down,-1.543188997,4.16536e-25,exo-only
chr1,33752787,33753482,Bag2,{190: 4.28278},['exo'],down,-1.543188997,4.16536e-25,exo-only
chr1,33753905,33754540,Bag2,{191: 10.633},['exo'],down,-1.543188997,4.16536e-25,exo-only
chr1,33756469,33757804,Bag2,{192: 9.38918},['exo'],down,-1.543188997,4.16536e-25,exo-only
chr1,33892258,33893503,Bend6,{195: 11.3406},['exo'],down,-0.82275027,7.27793e-05,exo-only
chr1,33906974,33907733,Bend6,{196: 7.86846},['exo'],down,-0.82275027,7.27793e-05,exo-only
chr1,33908883,33909543,Bend6,{197: 6.41642},['exo'],down,-0.82275027,7.27793e-05,exo-only
chr1,34434734,34435624,Ccdc115,{234: 35.727},['exo'],down,-0.966869543,3.64841e-15,exo-only
chr1,34439083,34440476,Ccdc115,{235: 196.82},['exo'],down,-0.966869543,3.64841e-15,exo-only
chr1,36543285,36543990,Ankrd39,{268: 6.41642},['exo'],down,-0.569992013,0.042989379,exo-only
chr1,36546911,36547769,Ankrd39,{269: 19.1395},['exo'],down,-0.569992013,0.042989379,exo-only
chr1,37864155,37866527,Tsga10,{313: 32.679},['exo'],down,-0.646423036,1.71355e-08,exo-only
chr1,38987261,38988548,Pdcl3,{339: 10.2077},['exo'],down,-0.716935729,1.12351e-12,exo-only
chr1,39367148,39370374,Rpl31,{343: 20.5903},['exo'],down,-0.85162376,1.31805e-37,exo-only
chr1,42628080,42629737,Pantr1,{390: 28.5008},['exo'],down,-0.559328601,1.40792e-08,exo-only
chr1,42667546,42668418,Pantr1,{391: 16.3075},['exo'],down,-0.559328601,1.40792e-08,exo-only
chr1,42684214,42684775,Pantr1,{392: 12.1217},['exo'],down,-0.559328601,1.40792e-08,exo-only
chr1,42686179,42688434,Pantr1,{393: 11.4899},['exo'],down,-0.559328601,1.40792e-08,exo-only
chr1,42691345,42692240,Pantr1,{394: 17.1602},['exo'],down,-0.559328601,1.40792e-08,exo-only
chr1,42693305,42696068,Pantr1,{395: 33.7235},['exo'],down,-0.559328601,1.40792e-08,exo-only
chr1,42850864,42852206,Mrps9,{397: 27.3071},['exo'],down,-0.599052071,7.9727e-12,exo-only
chr1,42854708,42855255,Mrps9,{398: 8.73029},['exo'],down,-0.599052071,7.9727e-12,exo-only
chr1,44102173,44102778,Tex30,{420: 14.0356},['exo'],down,-0.762687219,2.00273e-08,exo-only
chr1,44118431,44120450,Kdelc1,{421: 27.8586},['exo'],down,-0.817561324,6.61603e-20,exo-only
chr1,45794547,45795572,Wdr75,{424: 79.9814},['exo'],down,-0.591828809,3.83385e-15,exo-only
chr1,46830118,46830601,Slc39a10,{430: 5.74185},['exo'],down,-0.583149611,1.9256800000000001e-19,exo-only
chr1,46852572,46855075,Slc39a10,{431: 53.1652},['exo'],down,-0.583149611,1.9256800000000001e-19,exo-only
chr1,46870669,46871414,Slc39a10,{432: 3.73048},['exo'],down,-0.583149611,1.9256800000000001e-19,exo-only
chr1,51466221,51467017,Nabp1,{445: 14.1661},['exo'],down,-0.612134231,0.001209389,exo-only
chr1,51477348,51479024,Nabp1,{446: 26.1133},['exo'],down,-0.612134231,0.001209389,exo-only
chr1,51750363,51751871,Myo1b,{449: 7.01329},['exo'],down,-0.734987927,7.612450000000001e-28,exo-only
chr1,51804001,51804617,Myo1b,{450: 4.28278},['exo'],down,-0.734987927,7.612450000000001e-28,exo-only
chr1,51831490,51832109,Myo1b,{451: 4.11806},['exo'],down,-0.734987927,7.612450000000001e-28,exo-only
chr1,51874152,51874700,Myo1b,{452: 3.28282},['exo'],down,-0.734987927,7.612450000000001e-28,exo-only
chr1,51896042,51896419,Myo1b,{453: 8.50644},['exo'],down,-0.734987927,7.612450000000001e-28,exo-only
chr1,51915086,51915938,Myo1b,{454: 6.37983},['exo'],down,-0.734987927,7.612450000000001e-28,exo-only
chr1,52844438,52846044,Hibch,{479: 45.4634},['exo'],down,-0.728731359,3.74339e-14,exo-only
chr1,52880176,52881346,Hibch,{480: 4.61223},['exo'],down,-0.728731359,3.74339e-14,exo-only
chr1,52951657,52953193,1700019D03Rik,{481: 11.6391},['exo'],down,-0.91057067,2.87144e-08,exo-only
chr1,53240670,53242785,Pms1,{482: 24.2434},['exo'],down,-0.61553709,8.80248e-08,exo-only
chr1,53296738,53297320,Pms1,{483: 13.8367},['exo'],down,-0.61553709,8.80248e-08,exo-only
chr1,54511184,54511761,Pgap1,{499: 7.31173},['exo'],down,-0.787923916,8.36206e-38,exo-only
chr1,54557174,54558123,Pgap1,{500: 25.9641},['exo'],down,-0.787923916,8.36206e-38,exo-only
chr1,55087836,55088523,Hspd1,{509: 36.5684},['exo'],down,-0.76170021,1.94565e-27,exo-only
chr1,55092127,55092537,Hspe1,{510: 4.47657},['exo'],down,-1.002857753,1.95401e-48,exo-only
chr1,55172955,55173520,Rftn2,{513: 13.0131},['exo'],down,-1.006066537,2.7377900000000003e-29,exo-only
chr1,55201441,55202560,Rftn2,{514: 16.3075},['exo'],down,-1.006066537,2.7377900000000003e-29,exo-only
chr1,55218972,55219734,Rftn2,{515: 6.16717},['exo'],down,-1.006066537,2.7377900000000003e-29,exo-only
chr1,55223528,55224826,Rftn2,{516: 15.6486},['exo'],down,-1.006066537,2.7377900000000003e-29,exo-only
chr1,55224062,55226125,Rftn2,{517: 38.0509},['exo'],down,-1.006066537,2.7377900000000003e-29,exo-only
chr1,55226423,55226803,Rftn2,{518: 8.50644},['exo'],down,-1.006066537,2.7377900000000003e-29,exo-only
chr1,55236195,55237412,Gm10561,{519: 11.3658},['exo'],down,-0.712464933,0.00345449,exo-only
chr1,58444792,58446574,Ppil3,{563: 48.0485},['exo'],down,-0.771037825,1.82087e-11,exo-only
chr1,63180618,63181452,Eef1b2,{646: 13.3425},['exo'],down,-1.126916726,4.05175e-30,exo-only
chr1,65171521,65172139,Idh1,{686: 8.35627},['exo'],down,-1.12231419,5.89785e-79,exo-only
chr1,65177816,65180033,Idh1,{687: 42.3337},['exo'],down,-1.12231419,5.89785e-79,exo-only
chr1,65185475,65187542,Idh1,{688: 36.8978},['exo'],down,-1.12231419,5.89785e-79,exo-only
chr1,72226326,72227426,Gm25360,{768: 35.3017},['exo'],down,-1.50762209,8.10046e-17,exo-only
chr1,72243389,72245269,D230017M19Rik,{769: 13.5072},['exo'],down,-0.809155058,0.007915086,exo-only
chr1,72254218,72256238,D230017M19Rik,{770: 30.4407},['exo'],down,-0.809155058,0.007915086,exo-only
chr1,72256620,72257542,D230017M19Rik,{771: 9.99507},['exo'],down,-0.809155058,0.007915086,exo-only
chr1,72283894,72285019,Pecr,{772: 15.3116},['exo'],down,-1.422096813,1.28519e-10,exo-only
chr1,72306510,72307922,Xrcc5,{773: 16.3075},['exo'],down,-0.827833203,1.51924e-15,exo-only
chr1,72316111,72316816,Xrcc5,{774: 5.81954},['exo'],down,-0.827833203,1.51924e-15,exo-only
chr1,72332728,72333295,Xrcc5,{775: 11.0584},['exo'],down,-0.827833203,1.51924e-15,exo-only
chr1,72344683,72345228,Xrcc5,{776: 4.11806},['exo'],down,-0.827833203,1.51924e-15,exo-only
chr1,72357898,72359185,Xrcc5,{777: 14.9219},['exo'],down,-0.827833203,1.51924e-15,exo-only
chr1,72379659,72380490,Xrcc5,{778: 19.1395},['exo'],down,-0.827833203,1.51924e-15,exo-only
chr1,72382328,72383352,Xrcc5,{779: 9.56974},['exo'],down,-0.827833203,1.51924e-15,exo-only
chr1,72390510,72391356,Xrcc5,{780: 4.02891},['exo'],down,-0.827833203,1.51924e-15,exo-only
chr1,72710509,72711483,Rpl37a,{789: 24.2142},['exo'],down,-1.070322354,1.0311099999999999e-35,exo-only
chr1,78451462,78452057,Farsb,{891: 12.3542},['exo'],down,-0.539651324,1.5864e-11,exo-only
chr1,78488058,78489893,Farsb,{892: 21.786},['exo'],down,-0.539651324,1.5864e-11,exo-only
chr1,78657180,78657953,Acsl3,{896: 15.9496},['exo'],down,-0.614754522,6.42822e-26,exo-only
chr1,78660922,78661462,Acsl3,{897: 7.31173},['exo'],down,-0.614754522,6.42822e-26,exo-only
chr1,84881363,84882188,Fbxo36,{961: 8.35627},['exo'],down,-0.620657238,0.005860993,exo-only
chr1,86524953,86526855,Ptma,{989: 69.2376},['exo'],down,-0.689203857,1.43954e-28,exo-only
chr1,93798778,93799242,Dtymk,{1208: 13.1778},['exo'],down,-0.700862513,3.21481e-16,exo-only
chr1,98589088,98590156,Gm7967,{1231: 19.602},['exo'],down,-0.568931466,0.001123683,exo-only
chr1,119484176,119485174,Ralb,{1327: 17.1311},['exo'],down,-0.721147719,2.01326e-22,exo-only
chr1,119504012,119505756,Ralb,{1328: 29.9852},['exo'],down,-0.721147719,2.01326e-22,exo-only
chr1,120110426,120113780,Dbi,{1338: 10.8717},['exo'],down,-0.504308043,1.53874e-11,exo-only
chr1,120114857,120116655,Dbi,{1339: 77.4447},['exo'],down,-0.504308043,1.53874e-11,exo-only
chr1,120119932,120121612,Dbi,{1340: 23.5766},['exo'],down,-0.504308043,1.53874e-11,exo-only
chr1,120142264,120143299,3110009E18Rik,{1341: 12.547},['exo'],down,-0.702562672,7.62058e-05,exo-only
chr1,120156186,120156825,3110009E18Rik,{1342: 7.31173},['exo'],down,-0.702562672,7.62058e-05,exo-only
chr1,120174928,120175498,3110009E18Rik,{1343: 7.24779},['exo'],down,-0.702562672,7.62058e-05,exo-only
chr1,121085085,121086168,Celrr,{1349: 9.10236},['exo'],down,-0.517369914,1.21937e-09,exo-only
chr1,121086475,121088075,Celrr,{1350: 46.4071},['exo'],down,-0.517369914,1.21937e-09,exo-only
chr1,121111732,121112604,Celrr,{1351: 11.4899},['exo'],down,-0.517369914,1.21937e-09,exo-only
chr1,121314710,121315593,Insig2,{1352: 32.0821},['exo'],down,-0.894410282,2.6005999999999997e-22,exo-only
chr1,121327374,121328471,Insig2,{1353: 24.8813},['exo'],down,-0.894410282,2.6005999999999997e-22,exo-only
chr1,121559992,121560531,Ddx18,{1354: 9.38918},['exo'],down,-0.63925089,8.25772e-16,exo-only
chr1,133610057,133610821,Snrpe,{1532: 10.4204},['exo'],down,-1.054017,1.10268e-18,exo-only
chr1,134962087,134962614,Ube2t,{1585: 9.4008},['exo'],down,-0.743582324,5.4324e-10,exo-only
chr1,134968228,134968729,Ube2t,{1586: 4.17813},['exo'],down,-0.743582324,5.4324e-10,exo-only
