chr,peak_start,peak_end,gene_name,signalValue,source,regulation,log2FoldChange,padj,binding_category
chr1,9563433,9563879,Adhfe1,{54: 10.8174},['endo'],up,0.697750412,9.06648e-07,endo-only
chr1,9563768,9565244,Adhfe1,{55: 32.7755},['endo'],up,0.697750412,9.06648e-07,endo-only
chr1,9565877,9566698,Adhfe1,{56: 21.2501},['endo'],up,0.697750412,9.06648e-07,endo-only
chr1,9567163,9567879,Adhfe1,{57: 9.18436},['endo'],up,0.697750412,9.06648e-07,endo-only
chr1,9571984,9572439,Adhfe1,{58: 4.68222},['endo'],up,0.697750412,9.06648e-07,endo-only
chr1,9600906,9602339,2610203C22Rik,{59: 22.6579},['endo'],up,1.266406683,5.41274e-06,endo-only
chr1,9627263,9628156,2610203C22Rik,{60: 9.67868},['endo'],up,1.266406683,5.41274e-06,endo-only
chr1,9627400,9628156,2610203C22Rik,{61: 9.67868},['endo'],up,1.266406683,5.41274e-06,endo-only
chr1,9629446,9631008,2610203C22Rik,{62: 24.0631},['endo'],up,1.266406683,5.41274e-06,endo-only
chr1,9689410,9689931,Mybl1,{63: 7.56359},['endo'],up,0.965580901,3.42773e-41,endo-only
chr1,9699834,9701284,Mybl1,{64: 9.36444},['endo'],up,0.965580901,3.42773e-41,endo-only
chr1,16110958,16112411,Rdh10,{140: 28.4667},['endo'],up,0.625879982,3.01578e-05,endo-only
chr1,16122736,16123599,Rdh10,{141: 23.5912},['endo'],up,0.625879982,3.01578e-05,endo-only
chr1,21002484,21003307,Tram2,{174: 17.1081},['endo'],up,0.66331915,2.10747e-10,endo-only
chr1,21007741,21008423,Tram2,{175: 12.0657},['endo'],up,0.66331915,2.10747e-10,endo-only
chr1,21008653,21009262,Tram2,{176: 12.2407},['endo'],up,0.66331915,2.10747e-10,endo-only
chr1,21036390,21036936,Tram2,{177: 5.22248},['endo'],up,0.66331915,2.10747e-10,endo-only
chr1,21052726,21053569,Tram2,{178: 24.4814},['endo'],up,0.66331915,2.10747e-10,endo-only
chr1,21053699,21054398,Tram2,{179: 17.4683},['endo'],up,0.66331915,2.10747e-10,endo-only
chr1,21074034,21074931,Tram2,{180: 23.6274},['endo'],up,0.66331915,2.10747e-10,endo-only
chr1,21077966,21079867,Tram2,{181: 25.3354},['endo'],up,0.66331915,2.10747e-10,endo-only
chr1,21410809,21412293,Kcnq5,{185: 63.4071},['endo'],up,0.709388236,2.29713e-09,endo-only
chr1,21412069,21412576,Kcnq5,{186: 13.0947},['endo'],up,0.709388236,2.29713e-09,endo-only
