chr,peak_start,peak_end,gene_name,signalValue,source,regulation,log2FoldChange,padj,binding_category
chr1,4907902,4908644,Gm37277,{16: 11.3454},['endo'],unchanged,0.236319088,0.108831688,endo-only
chr1,4931876,4933555,Rgs20,{17: 15.0874},['endo'],unchanged,0.432419462,1.99858e-07,endo-only
chr1,4970014,4971849,Rgs20,{18: 8.6065},['endo'],unchanged,0.432419462,1.99858e-07,endo-only
chr1,5009140,5009749,Rgs20,{19: 6.85007},['endo'],unchanged,0.432419462,1.99858e-07,endo-only
chr1,5017798,5020432,Rgs20,{20: 21.0771},['endo'],unchanged,0.432419462,1.99858e-07,endo-only
chr1,5020383,5021301,Rgs20,{21: 24.3115},['endo'],unchanged,0.432419462,1.99858e-07,endo-only
chr1,5022233,5024515,Rgs20,{22: 39.5687},['endo'],unchanged,0.432419462,1.99858e-07,endo-only
chr1,5022849,5024662,Rgs20,{23: 39.5687},['endo'],unchanged,0.432419462,1.99858e-07,endo-only
chr1,5069993,5070707,Rgs20,{24: 41.6273},['endo'],unchanged,0.432419462,1.99858e-07,endo-only
chr1,5082687,5083703,Atp6v1h,{25: 7.377},['endo'],unchanged,-0.417803387,2.30757e-08,endo-only
chr1,6214142,6215411,Rb1cc1,{27: 28.4667},['endo'],unchanged,-0.128498676,0.104373475,endo-only
chr1,6214363,6215411,Rb1cc1,{28: 11.2411},['endo'],unchanged,-0.128498676,0.104373475,endo-only
chr1,7087552,7089685,Pcmtd1,{41: 80.9713},['endo'],unchanged,-0.447877158,8.74956e-10,endo-only
chr1,7149505,7149979,Pcmtd1,{42: 7.72828},['endo'],unchanged,-0.447877158,8.74956e-10,endo-only
chr1,9544862,9545496,Rrs1,{52: 28.0933},['endo'],unchanged,0.096831676,0.394682568,endo-only
chr1,9547974,9549191,Rrs1,{53: 37.4578},['endo'],unchanged,0.096831676,0.394682568,endo-only
chr1,9746669,9748896,Vcpip1,{65: 34.2504},['endo'],unchanged,0.14177312,0.055598745,endo-only
chr1,10037245,10038421,Cops5,{69: 30.2543},['endo'],unchanged,-0.490704601,2.54133e-11,endo-only
chr1,10039151,10040456,Cspp1,{70: 11.7681},['endo'],unchanged,0.101899573,0.316655183,endo-only
chr1,10056527,10057337,Cspp1,{71: 11.6714},['endo'],unchanged,0.101899573,0.316655183,endo-only
chr1,10111538,10112169,Cspp1,{72: 14.0467},['endo'],unchanged,0.101899573,0.316655183,endo-only
chr1,10130485,10131073,Cspp1,{73: 14.518},['endo'],unchanged,0.101899573,0.316655183,endo-only
chr1,10143959,10144544,Arfgef1,{74: 8.78214},['endo'],unchanged,0.125113089,0.080203478,endo-only
chr1,13142820,13143310,Ncoa2,{111: 7.97068},['endo'],unchanged,0.34536137,2.05825e-06,endo-only
chr1,13153145,13153841,Ncoa2,{112: 13.0947},['endo'],unchanged,0.34536137,2.05825e-06,endo-only
chr1,13216087,13216533,Ncoa2,{113: 13.3794},['endo'],unchanged,0.34536137,2.05825e-06,endo-only
chr1,13302153,13302860,Ncoa2,{114: 9.9047},['endo'],unchanged,0.34536137,2.05825e-06,endo-only
chr1,13314358,13315051,Ncoa2,{115: 17.6484},['endo'],unchanged,0.34536137,2.05825e-06,endo-only
chr1,13335684,13336114,Ncoa2,{116: 13.5245},['endo'],unchanged,0.34536137,2.05825e-06,endo-only
chr1,13372046,13373713,Ncoa2,{117: 59.4282},['endo'],unchanged,0.34536137,2.05825e-06,endo-only
chr1,13569208,13569916,Tram1,{118: 10.625},['endo'],unchanged,-0.416764051,1.68147e-13,endo-only
chr1,13583948,13584336,Tram1,{119: 10.445},['endo'],unchanged,-0.416764051,1.68147e-13,endo-only
chr1,13589794,13590583,Tram1,{120: 8.10384},['endo'],unchanged,-0.416764051,1.68147e-13,endo-only
chr1,14198768,14199514,Eya1,{127: 27.1929},['endo'],unchanged,-0.283137084,0.000352003,endo-only
chr1,14218223,14219509,Eya1,{128: 43.0404},['endo'],unchanged,-0.283137084,0.000352003,endo-only
chr1,14302915,14303560,Eya1,{129: 6.1229},['endo'],unchanged,-0.283137084,0.000352003,endo-only
chr1,14308466,14308930,Eya1,{130: 12.2458},['endo'],unchanged,-0.283137084,0.000352003,endo-only
chr1,14309571,14310331,Eya1,{131: 12.9976},['endo'],unchanged,-0.283137084,0.000352003,endo-only
chr1,16272007,16272627,Stau2,{142: 24.4144},['endo'],unchanged,0.195799111,0.04012526,endo-only
chr1,16289243,16291492,Stau2,{143: 10.8899},['endo'],unchanged,0.195799111,0.04012526,endo-only
chr1,16433357,16433830,Stau2,{144: 14.9296},['endo'],unchanged,0.195799111,0.04012526,endo-only
chr1,16519044,16519975,Stau2,{145: 8.6441},['endo'],unchanged,0.195799111,0.04012526,endo-only
