chr,peak_start,peak_end,gene_name,signalValue,source,regulation,log2FoldChange,padj,binding_category
chr1,9554213,9555004,Adhfe1,{29: 16.2649},['exo'],up,0.697750412,9.06648e-07,exo-only
chr1,9564097,9566552,Adhfe1,{30: 19.4372},['exo'],up,0.697750412,9.06648e-07,exo-only
chr1,9600906,9601616,2610203C22Rik,{31: 11.6964},['exo'],up,1.266406683,5.41274e-06,exo-only
chr1,9609624,9610098,2610203C22Rik,{32: 4.92423},['exo'],up,1.266406683,5.41274e-06,exo-only
chr1,9621393,9623182,2610203C22Rik,{33: 6.86408},['exo'],up,1.266406683,5.41274e-06,exo-only
chr1,9627341,9628166,2610203C22Rik,{34: 24.0495},['exo'],up,1.266406683,5.41274e-06,exo-only
chr1,9629364,9630885,2610203C22Rik,{35: 20.5922},['exo'],up,1.266406683,5.41274e-06,exo-only
chr1,9700370,9701292,Mybl1,{36: 9.84846},['exo'],up,0.965580901,3.42773e-41,exo-only
chr1,16111584,16112445,Rdh10,{91: 13.823},['exo'],up,0.625879982,3.01578e-05,exo-only
chr1,16122738,16123572,Rdh10,{92: 37.003},['exo'],up,0.625879982,3.01578e-05,exo-only
chr1,16129502,16130593,Rdh10,{93: 14.9897},['exo'],up,0.625879982,3.01578e-05,exo-only
chr1,16131485,16132478,Rdh10,{94: 7.61017},['exo'],up,0.625879982,3.01578e-05,exo-only
chr1,20994997,20995956,Tram2,{122: 8.73029},['exo'],up,0.66331915,2.10747e-10,exo-only
chr1,21002650,21003336,Tram2,{123: 12.9723},['exo'],up,0.66331915,2.10747e-10,exo-only
chr1,21008766,21009272,Tram2,{124: 17.1602},['exo'],up,0.66331915,2.10747e-10,exo-only
chr1,21052295,21053595,Tram2,{125: 21.2661},['exo'],up,0.66331915,2.10747e-10,exo-only
chr1,21073936,21074916,Tram2,{126: 18.2047},['exo'],up,0.66331915,2.10747e-10,exo-only
chr1,21078289,21079755,Tram2,{127: 31.2612},['exo'],up,0.66331915,2.10747e-10,exo-only
