chr,peak_start,peak_end,gene_name,signalValue,source,regulation,log2FoldChange,padj,binding_category
chr1,4772740,4773111,Gm6123,{11: 2.98593},['endo'],down,-0.795749128,0.024274903,endo-only
chr1,4785278,4786226,Mrpl15,{12: 15.1053},['endo'],down,-0.578748054,2.01115e-11,endo-only
chr1,4807644,4809213,Lypla1,{13: 11.3454},['endo'],down,-0.605671729,3.66454e-14,endo-only
chr1,13629014,13629569,Lactb2,{121: 3.96188},['endo'],down,-0.655372973,3.41036e-11,endo-only
chr1,13659461,13660812,Lactb2,{122: 28.1821},['endo'],down,-0.655372973,3.41036e-11,endo-only
chr1,15805176,15806491,Terf1,{135: 28.1029},['endo'],down,-0.736642816,2.35422e-13,endo-only
chr1,16103582,16105248,Rpl7,{138: 22.8336},['endo'],down,-1.089446409,1.80274e-43,endo-only
chr1,16105539,16106555,Rpl7,{139: 12.2407},['endo'],down,-1.089446409,1.80274e-43,endo-only
chr1,23378989,23379630,Ogfrl1,{204: 3.06145},['endo'],down,-0.540297191,7.93019e-10,endo-only
chr1,23382510,23384180,Ogfrl1,{205: 15.4873},['endo'],down,-0.540297191,7.93019e-10,endo-only
chr1,23993721,23994242,Sdhaf4,{215: 11.7681},['endo'],down,-0.860841646,0.000120473,endo-only
chr1,24002456,24002863,Sdhaf4,{216: 12.7861},['endo'],down,-0.860841646,0.000120473,endo-only
chr1,24005052,24005985,Sdhaf4,{217: 20.5297},['endo'],down,-0.860841646,0.000120473,endo-only
chr1,24007065,24007552,Sdhaf4,{218: 3.41601},['endo'],down,-0.860841646,0.000120473,endo-only
chr1,24225701,24226522,Col9a1,{223: 23.4111},['endo'],down,-3.204748942,3.79126e-22,endo-only
chr1,24230006,24231457,Col9a1,{224: 23.3605},['endo'],down,-3.204748942,3.79126e-22,endo-only
chr1,24244664,24245143,Col9a1,{225: 8.10384},['endo'],down,-3.204748942,3.79126e-22,endo-only
chr1,24248532,24249728,Col9a1,{226: 11.6714},['endo'],down,-3.204748942,3.79126e-22,endo-only
chr1,24330297,24331207,Col19a1,{227: 8.28393},['endo'],down,-1.194586618,0.000670016,endo-only
chr1,24368941,24369320,Col19a1,{228: 7.3835},['endo'],down,-1.194586618,0.000670016,endo-only
