chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr19,44734343,44735056,15.453329087473506,0.0,inf,1.0,exo_only,exo_only,False,2,0,"0.0,8.257254110088892,38.10273315233162","0.0,0.0,0.0",1087,713,CpG:,926,2,0,6.33438;4.07766,,44734499,44735586
chr13,96748199,96748403,33.17371604147922,0.0,inf,1.0,exo_only,exo_only,False,2,0,"55.65521597415767,43.86593215027998,0.0","0.0,0.0,0.0",267,204,CpG:,1323,2,0,5.32714;4.40742,,96748259,96748526
chrX,159414230,159415517,15.982539567366372,0.0,inf,1.0,exo_only,exo_only,False,3,0,"6.530822352008576,12.00851120687891,29.40828514321164","0.0,0.0,0.0",859,1287,CpG:,1801,2,0,3.18458;3.75447,,159413536,159414395
chrX,168122986,168123301,17.661884205378872,0.0,inf,1.0,exo_only,exo_only,False,2,0,"29.36382449578945,23.621828120347168,0.0","0.0,0.0,0.0",974,315,CpG:,1867,2,0,3.28488;4.05905,,168122898,168123872
chr17,68003884,68004335,52.08812755879975,0.0,inf,1.0,exo_only,exo_only,False,3,0,"58.904634082973196,22.413534491579124,74.94621410184693","0.0,0.0,0.0",309,451,CpG:,1103,2,0,7.68799;2.60943,,68004184,68004493
chr1,17091517,17091971,18.636132744544472,0.0,inf,1.0,exo_only,exo_only,False,2,0,"18.06756362446978,0.0,37.84083460916364","0.0,0.0,0.0",1467,454,CpG:,715,2,0,5.67863;7.84621,,17090590,17092057
chr9,98601375,98601757,33.61273044857936,0.0,inf,1.0,exo_only,exo_only,False,3,0,"25.99366189570328,18.48084050198301,56.36368894805178","0.0,0.0,0.0",627,382,CpG:,1337,2,0,6.3;3.72835,,98601049,98601676
chr2,131171499,131171740,23.1845050902826,0.0,inf,1.0,exo_only,exo_only,False,2,0,"0.0,46.13644729184983,23.417067978997974","0.0,0.0,0.0",391,241,CpG:,1585,2,0,3.18167;6.52951,,131171405,131171796
chr6,77243659,77244825,11.902804003211491,0.0,inf,1.0,exo_only,exo_only,False,3,0,"12.716282966889834,6.7332975762455085,16.258831466499128","0.0,0.0,0.0",1216,1166,CpG:,1174,3,0,6.48286;3.69882;3.35749,,77244010,77245226
chr10,52027445,52028039,21.62624100118112,0.0,inf,1.0,exo_only,exo_only,False,2,0,"15.586902245115011,0.0,49.29182075842833","0.0,0.0,0.0",624,594,CpG:,981,2,0,6.36741;2.97735,,52027146,52027770
chr8,108950855,108951192,16.978244697775402,0.0,inf,1.0,exo_only,exo_only,False,3,0,"31.53246210387186,7.8724721882194935,11.529799801234851","0.0,0.0,0.0",1591,337,CpG:,1416,2,0,4.92469;4.92361,,108950125,108951716
chr10,62110704,62111095,7.380918578186617,0.0,inf,1.0,exo_only,exo_only,False,2,0,"11.128808062873896,11.013947671685957,0.0","0.0,0.0,0.0",1223,391,CpG:,1058,2,0,2.48894;2.59957,,62110872,62112095
chr4,139823597,139824241,9.734731993550712,0.0,inf,1.0,exo_only,exo_only,False,3,0,"13.781309453023743,6.058647190920219,9.364239336708174","0.0,0.0,0.0",1085,644,CpG:,1651,3,0,3.71087;3.37221;2.44856,,139823220,139824305
chr10,88885817,88886555,29.08296368886933,0.0,inf,1.0,exo_only,exo_only,False,3,0,"1.105192514796242,62.510802409491944,23.632896142319826","0.0,0.0,0.0",319,738,CpG:,1263,2,0,2.65139;7.50893,,88886358,88886677
chr12,110277822,110279918,20.17373856682012,0.0,inf,1.0,exo_only,exo_only,False,3,0,"30.898792043240938,13.761582547866446,15.860841109352961","0.0,0.0,0.0",1706,2096,CpG:,1426,2,0,9.46975;6.06178,,110277468,110279174
chr12,55861029,55861241,13.110948832264592,0.0,inf,1.0,exo_only,exo_only,False,2,0,"26.489604731590358,0.0,12.843241765203418","0.0,0.0,0.0",1153,212,CpG:,1011,2,0,5.03764;5.91545,,55860117,55861270
chr4,87230147,87230588,20.07293550034168,0.0,inf,1.0,exo_only,exo_only,False,3,0,"32.90755009651184,21.89901989104322,5.412236513469984","0.0,0.0,0.0",913,441,CpG:,1250,2,0,5.53876;3.64327,,87229783,87230696
chr3,27371767,27372546,30.503058660086328,0.0,inf,1.0,exo_only,exo_only,False,2,0,"0.0,65.4717836406869,26.0373923395721","0.0,0.0,0.0",355,779,CpG:,793,2,0,3.18167;8.32512,,27372032,27372387
chrX,52744262,52744655,25.29759217654227,0.0,inf,1.0,exo_only,exo_only,False,2,0,"31.297435817428678,44.59534071219813,0.0","0.0,0.0,0.0",691,393,CpG:,987,2,0,7.01347;5.27279,,52744212,52744903
chr19,24999191,24999943,16.56496676144515,0.0,inf,1.0,exo_only,exo_only,False,3,0,"20.64143014905662,9.245668528697102,19.80780160658172","0.0,0.0,0.0",877,752,CpG:,775,2,0,5.83095;4.41371,,24998467,24999344
chr2,16356320,16356831,35.78231554802452,0.0,inf,1.0,exo_only,exo_only,False,3,0,"45.315392376389774,47.54456562561641,14.48698864206739","0.0,0.0,0.0",1109,511,CpG:,709,2,0,8.15859;7.36209,,16355779,16356888
chr5,131439468,131439909,9.785767937581262,0.0,inf,1.0,exo_only,exo_only,False,2,0,"18.58471176677817,0.0,10.772592045965617","0.0,0.0,0.0",1381,441,CpG:,1587,2,0,4.24222;3.95327,,131439588,131440969
chr1,6359082,6359442,39.527655806967886,0.0,inf,1.0,exo_only,exo_only,False,2,0,"98.53909743704448,0.0,20.043869983859178","0.0,0.0,0.0",328,360,CpG:,633,2,0,2.38625;9.47173,,6359199,6359527
chr15,102981650,102982309,12.301057944185468,0.0,inf,1.0,exo_only,exo_only,False,2,0,"0.0,8.565320756289989,28.337853076266413","0.0,0.0,0.0",1033,659,CpG:,1370,2,0,4.84809;5.36346,,102980900,102981933
chr9,123678266,123678959,10.99117982787836,0.0,inf,1.0,exo_only,exo_only,False,2,0,"19.50161598824166,0.0,13.47192349539342","0.0,0.0,0.0",814,693,CpG:,1528,2,0,3.70989;2.88665,,123677978,123678792
chr15,73058048,73058500,30.97817924041999,0.0,inf,1.0,exo_only,exo_only,False,2,0,"40.12861853783616,52.80591918342382,0.0","0.0,0.0,0.0",658,452,CpG:,1142,2,0,4.89838;6.22329,,73058268,73058926
chr6,65381245,65381614,13.924254425708405,0.0,inf,1.0,exo_only,exo_only,False,3,0,"28.357874949266957,12.769005043491436,0.6458832843668142","0.0,0.0,0.0",1256,369,CpG:,1083,2,0,9.90158;3.10825,,65381113,65382369
chr15,97323527,97323768,13.877521994953502,0.0,inf,1.0,exo_only,exo_only,False,2,0,"16.913849355051756,0.0,24.718716629808753","0.0,0.0,0.0",567,241,CpG:,1327,2,0,4.7725;9.36389,,97323288,97323855
chr2,74711842,74712395,29.478870254355467,0.0,inf,1.0,exo_only,exo_only,False,3,0,"31.637424529419786,10.283417851471704,46.51576838217491","0.0,0.0,0.0",726,553,CpG:,1155,3,0,10.3512;4.81627;6.22329,,74711742,74712468
chr5,119670093,119671401,11.763857080046607,0.0,inf,1.0,exo_only,exo_only,False,3,0,"11.716856885160137,12.672939920017862,10.901774434961824","0.0,0.0,0.0",2340,1308,CpG:,1498,3,0,5.53799;5.15009;5.21074,,119669673,119672013
chr8,87038039,87038387,25.39012807602544,0.0510173778607483,497.6760692273844,0.6666666666666666,exo_only,exo_only,False,2,1,"54.704781578868094,0.0,21.465602649208208","0.0,0.0,0.15305213358224512",389,348,CpG:,1249,2,0,2.91653;7.49339,,87038124,87038513
chr1,4571641,4572075,25.02629598952432,0.0760221349879581,329.1974895665385,0.5,exo_only,exo_only,False,3,1,"30.021045078151403,13.556918122386204,31.500924768035347","0.22806640496387434,0.0,0.0",786,434,CpG:,619,3,0,4.35039;6.82732;3.40697,,4571438,4572224
chr8,92855270,92855643,15.955298151231371,0.0663146634495218,240.5998510929097,0.5,exo_only,exo_only,False,3,1,"20.04332936452294,17.05706518105786,10.76549990811332","0.0,0.0,0.19894399034856547",2376,373,CpG:,1293,2,0,8.08454;5.17447,,92854608,92856984
chr4,140515036,140515425,15.33549591884521,0.0907893018158161,168.91302843099575,0.5,exo_only,exo_only,False,3,1,"14.818689097528873,10.683310105604827,20.504488553401927","0.0,0.0,0.2723679054474485",1656,389,CpG:,1657,2,0,8.57614;3.37383,,140515045,140516701
