chr,start,end,cpg_length,cpg_name,cpg_score,exo_signal,endo_signal,enrichment,pvalue,binding_type,significant,exo_replicates_with_signal,endo_replicates_with_signal,total_exo_replicates,total_endo_replicates,exo_replicate_signals,endo_replicate_signals,n_exo_peaks,n_endo_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,analysis_start,analysis_end,analysis_length,exo_signal_std,endo_signal_std,exo_signal_cv,endo_signal_cv,exo_replicates_with_peaks,endo_replicates_with_peaks
chr15,79834017,79834501,484,1194,CpG:,106.17930292097991,54.64017209725931,1.943246129093099,0.17748917748917747,both,False,6,5,6,5,"32.14963003820624,93.46583536439691,80.0521477293377,152.82933738211955,206.23930238101107,72.33956463080793","110.39503672891412,56.86805896621105,35.116307841844794,51.754726751776765,19.06673019754985",1,1,5.81253;5.86237;10.9975,7.12459;6.65298;8.20689,79834017,79834501,484,57.2392785558501,30.882180133185624,0.5390813179330095,0.5651918533165572,3,3
chr15,79883409,79883635,226,1194,CpG:,300.3691753004856,226.46835598945617,1.3263185224626706,0.6623376623376623,both,False,6,5,6,5,"68.24945129124464,470.6571591807678,401.8582911871176,172.94985955162386,612.7346281878716,75.76566240428824","86.88247740585192,75.5806127480701,415.4282600120106,551.1853697110066,3.2650600703416672",1,1,6.39207;6.33328;11.0079,5.32073;8.18985;4.47,79883409,79883635,226,207.13610684778814,215.9713055931484,0.6896050722933594,0.953648930993271,3,3
chr15,79927777,79928048,271,1194,CpG:,93.36925788823089,67.48350766312151,1.3835863179242454,0.42857142857142855,both,False,6,5,6,5,"143.68631702155645,122.00165158092315,50.866559961185246,52.13074006365674,161.9856286981449,29.544650003918864","61.824614472054904,24.495350974952164,112.22574334654861,101.5103141109002,37.36151541115173",1,1,3.57464;12.0561,4.53783;2.67606;5.4094,79927777,79928048,271,51.056344702944145,34.487766862492435,0.5468217897165032,0.511054745918896,2,3
chr15,79932385,79932801,416,1194,CpG:,47.984671906209904,22.897387001606134,2.095639642324429,0.5714285714285714,both,False,5,2,6,5,"30.61004842703159,135.68282873584673,37.639534546778755,26.976258595402424,56.99936113219995,0.0","72.3906638622284,0.0,0.0,42.09627114580228,0.0",0,0,5.70099;4.85117,6.70287,79932385,79932801,416,42.67124892510528,29.63461692442957,0.8892683273631597,1.294235753728181,2,1
chr15,80012334,80014805,2471,1195,CpG:,5.4732561893635525,7.577518095655607,0.7223019622350378,0.6623376623376623,both,False,6,5,6,5,"5.544400237340861,9.619622845149918,7.787001935927215,3.865762908947897,1.9056275142729886,4.117121694542434","12.902794579463853,13.405676957133906,0.21781619373770775,0.8473518962852389,10.513950851657333",0,0,6.50329;6.19589,"3.20706,3.98091;4.95259",80012334,80014805,2471,2.5723512939680533,5.837961833215259,0.46998554516176855,0.7704319223681324,2,2
chr15,80083159,80083585,426,1195,CpG:,233.175559301145,228.6246043836567,1.0199057967962684,0.9307359307359306,both,False,6,5,6,5,"15.139946837940126,405.7468738824549,404.77541147151464,113.91424250714655,361.59490956051246,97.88197154730139","264.1600589125369,43.679580285515584,422.9669028626921,224.48851625684281,187.82796360069597",1,1,12.7687;7.22047;10.993,12.153;6.53934;13.899,80083159,80083585,426,161.13454123557875,122.40737932781447,0.6910438714868669,0.5354077250688282,3,3
chr15,80091111,80091883,772,1196,CpG:,20.388668137356408,21.708931199256618,0.9391834148912214,0.9307359307359306,both,False,6,5,6,5,"18.481490186767875,5.597233300999656,12.49585210474044,31.583658304856847,26.51024614838121,27.663528778392415","3.184497418181266,40.468023098194536,33.264234098128085,12.134982264103668,19.492919117675545",1,1,4.42172;2.96901;5.39017,4.28705;6.90723;6.15755,80091111,80091883,772,9.132775561314931,13.60260569615646,0.44793389640698156,0.6265902992323388,3,3
chr15,80133017,80133591,574,1196,CpG:,155.70226953793903,116.89375995775549,1.3319981288497234,0.7922077922077921,both,False,6,5,6,5,"176.5557973310092,140.32453800161542,171.92612382842273,38.29365568127782,387.0143587364968,20.099143648812163","102.2004076695193,34.371432673225,202.52520308178893,234.76679035678558,10.604966007458623",1,1,5.67697;9.17503;5.23232,5.39701;5.99544;8.19117,80133017,80133591,574,120.1477081656193,88.93810450901829,0.7716503331786287,0.7608456134969038,3,3
chr15,80233876,80234421,545,1197,CpG:,131.17637433057897,101.48981925631882,1.2925077144859713,0.9307359307359306,both,False,6,5,6,5,"23.248407976342996,291.863873021537,188.39449897643624,10.096287912841237,260.30597823781704,13.14919985849923","45.00077597591855,71.02856586701279,146.65068289380554,214.02213913978787,30.746932405069334",1,1,8.99223;6.15142;6.77796,8.85248;7.99485;8.0643,80233876,80234421,545,119.7275294094445,69.03112722775168,0.9127217459732336,0.6801778516661784,3,3
chr15,80255094,80256136,1042,1197,CpG:,170.23005860075307,94.60259796790564,1.7994226612941897,0.17748917748917747,both,False,6,5,6,5,"86.79466108420074,194.66361307960554,240.64350095591482,66.44655938066127,401.011118151176,31.820898952960054","53.67250295152133,26.32366358890643,191.09936440791827,174.82735865221372,27.090100238968454",1,1,10.2531;7.99342;10.5099,6.11038;5.23085;6.59435,80255094,80256136,1042,126.29629490442356,72.9970698971055,0.7419153582072775,0.7716180259856087,3,3
chr15,80263905,80264458,553,1197,CpG:,67.18719248242806,42.139793457131276,1.5943882722343536,0.32900432900432897,both,False,6,5,6,5,"14.763949185555925,37.76104605090122,47.16276665234005,30.87489610123591,204.12454723061532,68.43594967391995","10.289762024422451,4.2469779944980335,130.15893975994254,65.05716175541524,0.9461257513780922",1,1,8.08243;3.59565;16.3966,12.2004;7.97226,80263905,80264458,553,63.36015250116739,49.83931000845942,0.943039144219911,1.1827136755940877,3,2
chr15,80287124,80288381,1257,1197,CpG:,5.069926901288515,3.247669441129067,1.5610969629735258,0.9047619047619047,both,False,6,3,6,5,"2.0863363608160754,4.053458896248514,10.962707880288718,5.087200807406017,5.22373826369086,3.006119199280902","0.9167780455086283,0.0,12.120608163619668,3.200960996517039,0.0",1,0,2.9796;4.52895,,80287124,80288381,1257,2.8560796539672983,4.5882238730850045,0.5633374424474306,1.41277428514704,2,0
chr15,80671431,80672139,708,1200,CpG:,10.564207381896829,17.225771918337223,0.6132791860927284,0.9047619047619049,both,False,4,5,6,5,"0.0,8.787020292659264,17.114246730750562,4.497302417701247,32.9866748502699,0.0","4.635241185541207,16.148649345010014,34.38556716132299,15.246880096230804,15.712521803581108",0,0,,5.82981;6.34814,80671431,80672139,708,11.610632683392419,9.595271426135458,1.09905383940955,0.5570299822628602,0,2
chr15,80710963,80712149,1186,1200,CpG:,285.16272049830695,223.13164360957444,1.2780021510408073,0.32900432900432897,both,False,6,5,6,5,"168.9183677227863,402.5794404578249,303.20782051199,176.57661585783677,499.2291365682978,160.4649418711059","133.11873998851036,165.88034896625436,376.489992693343,329.5112335903045,110.65790280945988",1,1,24.619;36.1253;26.5728,30.2754;25.9335;29.6681,80710963,80712149,1186,129.60836516042949,108.50417164733331,0.4545066933501884,0.48627872717680937,3,3
chr15,80948113,80948758,645,1202,CpG:,109.52262640695547,119.06868194276974,0.9198273183169813,0.7922077922077921,both,False,6,5,6,5,"19.84058703526046,237.73650470630142,163.29358117746753,9.004164765971575,182.64664914035058,44.61427161638127","109.17239506669746,118.67429917542509,38.39591961498408,265.2697414427765,63.831054413965504",1,1,6.82866;2.5838;5.55813,10.859;11.894;13.0063,80948113,80948758,645,88.54110222975663,78.78087573419265,0.8084274924230053,0.6616422929083787,3,3
chr15,80977727,80978251,524,1202,CpG:,27.845269392692405,23.70115737587441,1.1748485084967335,0.9307359307359306,both,False,6,5,6,5,"25.55526293871057,11.550199461347274,20.724087720608892,51.37604818271317,36.923142382206805,20.942875670567723","25.557356014506507,12.637728774820575,44.945945561387155,12.26182440674032,23.10293212191749",1,1,3.25947;8.09999;9.70281,6.20791;4.72082;4.58468,80977727,80978251,524,12.943679471769205,11.902958985707441,0.46484303273309646,0.5022100312208194,3,3
chr15,81190166,81191037,871,1204,CpG:,481.23219223990554,266.20090369324186,1.8077782064724177,0.42857142857142855,both,False,6,5,6,5,"79.49334516673082,763.3566603983585,451.72407871820076,208.73113252265307,1046.6501319482325,337.4378046852576","237.32115741383743,164.18608268667717,277.63019026571243,555.8860033573978,95.9810847425844",1,1,22.5228;16.5833;20.4843,18.9172;28.1442;20.0136,81190166,81191037,871,330.7794193336486,157.64766777389792,0.6873592928063036,0.5922131201912226,3,3
chr15,81360570,81360946,376,1205,CpG:,322.99382231062185,139.83682064299887,2.3097909465148656,0.24675324675324672,both,False,6,5,6,5,"97.5237656540059,541.353411491881,315.9579725874231,96.96859283650176,676.6612255015272,209.49796579239216","111.9016672296727,4.568126232066053,229.03182707441613,266.2189278298236,87.4635548490159",1,1,12.4167;13.9408;10.6029,8.73645;11.9084;9.84605,81360570,81360946,376,218.94310741335937,95.65473082192455,0.6778554024565915,0.6840453779060776,3,3
chr15,81399335,81400166,831,1206,CpG:,202.02701888995816,243.81797844660696,0.8285977111987233,0.7922077922077921,both,False,6,5,6,5,"78.28821086740092,342.6471835295933,336.52330507813235,92.98899277022599,301.4946196403458,60.21980145405059","104.9555042733928,85.69655819375305,351.272794932378,656.6049424044062,20.560092429104838",1,1,6.34854;7.86664;8.57286,7.53441;6.45475;10.9236,81399335,81400166,831,125.87490878419291,234.97611331570636,0.6230597742609644,0.9637357950909398,3,3
chr15,81466197,81466957,760,1206,CpG:,329.54148830029,376.1827262432952,0.8760144081872593,0.9307359307359306,both,False,6,5,6,5,"278.8264973991796,421.320312781083,369.78369966557153,208.61335744355856,554.2051013770856,144.49996113526194","269.0190365766224,332.6957295066432,353.80813748711034,688.2286288418268,237.1620988042731",1,1,10.3176;20.9646;21.1861,19.6851;24.8001;16.415,81466197,81466957,760,136.5970455692781,161.6014713251266,0.4145063684509611,0.42958238125110315,3,3
chr15,81523003,81523405,402,1206,CpG:,21.69472717220708,23.799189243387822,0.9115742116397756,1.0,both,False,6,4,6,5,"5.6697667801558085,53.25442194582811,32.383324687160666,1.412576618479259,20.436720859945115,17.01155214167353","0.8599902711697479,18.958181544915952,78.83568343357067,20.342090967282726,0.0",1,0,5.17208;6.0803,3.59006,81523003,81523405,402,17.329840093222597,28.834045276037628,0.7988042419553308,1.2115557795334835,2,1
chr15,81585125,81586774,1649,1207,CpG:,53.640947323315835,55.103865230784685,0.9734516280964703,0.9307359307359306,both,False,6,5,6,5,"33.68758661086231,65.31404090809635,61.694178495065884,25.511366799067122,117.89133967393235,17.747171452871015","35.89485680066578,38.67066160702864,53.495606958540804,116.37492847847462,31.08327230921364",1,1,7.39334;4.73092;5.72484,8.85736;5.94285;8.24367,81585125,81586774,1649,33.682343578849675,31.536501888081048,0.6279222358962543,0.57231015929646,3,3
chr15,81663844,81664100,256,1208,CpG:,84.82086686169107,50.030664873495695,1.6953775664617616,0.42857142857142855,both,False,6,5,6,5,"64.40098029375076,181.83309376239777,72.06633970141411,52.72059301286936,117.56977599859238,20.334418401122093","26.709054112434387,53.572674330323935,30.78080505132675,118.03283469378948,21.057956179603934",1,1,3.35736;5.7406;8.56,5.37864;8.5755;6.18878,81663844,81664100,256,52.045561073364645,35.75112141453762,0.6135938360336514,0.7145841756238018,3,3
chr15,81664283,81664525,242,1208,CpG:,22.797143406119233,34.317518342230926,0.6643004654000638,0.32900432900432897,both,False,6,5,6,5,"88.12630188366599,5.804538963254818,39.433824913560855,1.1399072950536555,0.705925009467385,1.5723623717126767","3.4868057187923713,27.71437312354726,13.184505541462544,29.799615438319435,97.40229188903304",1,1,3.35736;5.7406;8.56,5.37864;8.5755;6.18878,81664283,81664525,242,32.25155257475636,32.98738758309301,1.414719028617391,0.9612404735717424,3,3
chr15,81693572,81695044,1472,1208,CpG:,27.045302628229063,27.916798401623964,0.9687823882646871,0.6623376623376623,both,False,6,5,6,5,"31.829440268161505,12.640843611048615,17.11064675255962,22.388722137264583,40.42114887678105,37.881014123559","58.19359799992779,9.934171336824479,59.781209178592846,4.6152409930592,7.059772499715504",1,0,6.18003;6.34838;5.51885,4.3233;5.01329,81693572,81695044,1472,10.384952641901176,25.429818132925924,0.3839835990987092,0.9109145600108153,3,2
chr15,81729285,81730210,925,1208,CpG:,128.8857403265463,79.1927632677233,1.6274939149531666,0.32900432900432897,both,False,6,5,6,5,"109.02673028481973,175.24671099894755,152.2644291439572,59.23240593059643,228.2375754536809,49.30659014727618","80.81265744131964,77.54372241303727,48.54569772256387,114.22306288641852,74.83867587527713",1,1,19.8964;13.2327;9.62721,17.242;14.7512;12.1842,81729285,81730210,925,63.43697430153827,20.9316315073622,0.4921954449019237,0.26431242759644097,3,3
chr15,81745014,81745344,330,1208,CpG:,39.937381975578546,37.934903526595136,1.0527872292486398,0.32900432900432897,both,False,6,5,6,5,"27.92711560798414,37.58485203367291,23.949513059673887,91.15219802856446,38.38352747830478,20.62708564527107","5.91327131878246,10.232763718113755,35.647122435136275,135.97878623731208,1.9025739236311479",0,0,2.78577;7.1018,2.70107;4.3427,81745014,81745344,330,23.817543391809778,50.416186161099034,0.5963721759822428,1.32901843616799,2,2
chr15,81745743,81746031,288,1208,CpG:,21.28638879651273,5.646408024430275,3.769899147283203,0.5714285714285714,both,False,5,3,6,5,"0.0,14.075136871801483,19.225892808702255,7.8104438583056135,81.15681068433656,5.450048555930455","0.0,0.0,2.61392834285895,15.187773456176123,10.430338323116302",0,0,2.78577;7.1018,4.3427,81745743,81746031,288,27.46578576839686,6.113647415097553,1.2902980412016376,1.082749845325679,2,1
