chr,start,end,neu_signal,nsc_signal,fold_change,pvalue,binding_type,binding_type_by_peaks,significant,neu_replicates_with_signal,nsc_replicates_with_signal,neu_replicate_signals,nsc_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,neu_replicates_with_peaks,nsc_replicates_with_peaks,neu_peak_scores_by_rep,nsc_peak_scores_by_rep,region_start,region_end
chr1,37875331,37875824,13.078606250349027,0.006884832745773,1899.625849063471,0.5,neu_only,nsc_only,False,3,1,"10.308551995285795,23.44580811978785,5.481458635973441","0.0,0.020654498237319005,0.0",1705,493,CpG:,873,1,2,4.20458,3.25313;5.92257,37874909,37876614
chr1,91800886,91802681,21.80949121290333,1.458329483168061,14.95511917205747,0.5,neu_only,neu_only,False,3,1,"18.506812260341928,11.447321402212987,35.474339976155086","0.0,4.374988449504184,0.0",1685,1795,CpG:,1285,2,1,6.0648;3.88213,2.91135,91801666,91803351
chr1,129273481,129273770,34.50113625544964,1.0481479865353125,32.91628348158572,0.5,neu_only,neu_only,False,3,1,"18.2305358874207,68.55096035031465,16.721912528613565","0.0,0.0,3.1444439596059373",1372,289,CpG:,1571,2,0,10.5445;7.10189,,129272800,129274172
chr1,173367181,173367799,35.532139165369095,4.717028681628964,7.532737569256954,0.5,neu_only,neu_only,False,3,1,"30.50420869925083,46.46226124166543,29.629947555191016","0.0,0.0,14.151086044886892",2652,618,CpG:,1907,2,0,12.6996;10.0326,,173365516,173368168
chr10,71381426,71381799,7.86931353113513,10.7803309332116,0.7299695695696756,0.5,neu_only,neu_only,False,3,1,"1.8986430738076745,1.3199766445286563,20.38932087506906","32.3409927996348,0.0,0.0",753,373,CpG:,1129,2,0,12.3267;2.68473,,71381557,71382310
chr10,85829330,85829651,10.364149038981155,0.0,inf,1.0,neu_only,neu_only,False,2,0,"24.9264564813836,0.0,6.165990635559872","0.0,0.0,0.0",541,321,CpG:,1239,2,0,2.77248;3.83416,,85829444,85829985
chr11,11685304,11686481,6.453528424398087,4.2033787921249575,1.5353192618492513,0.5,neu_only,neu_only,False,3,1,"6.051804758949629,10.134684288476537,3.1740962257680967","0.0,0.0,12.610136376374872",1419,1177,CpG:,674,2,0,5.76532;11.4824,,11685429,11686848
chr11,30198340,30198612,15.90192955691427,5.984094574376884,2.6573660157384995,1.0,neu_only,neu_only,False,3,1,"18.26899398273407,6.958457679988591,22.47833700802015","0.0,0.0,17.952283723130652",1748,272,CpG:,815,2,0,10.4404;5.82696,,30196968,30198716
chr11,95223393,95223687,8.676821862286141,2.332269339635456,3.720334403419447,1.0,neu_only,neu_only,False,3,1,"9.44237685161404,6.424466438270978,10.163622296973404","0.0,6.996808018906368,0.0",1697,294,CpG:,1311,2,1,2.25264;6.10369,5.68926,95222867,95224564
chr11,103117220,103117987,17.28301665949267,1.1886488054457869,14.540053025175006,1.0,neu_only,nsc_only,False,3,1,"19.62347509140192,2.154988680699075,30.070586206377016","0.0,3.565946416337361,0.0",516,767,CpG:,1371,0,2,,2.55101;4.37658,103117672,103118188
