chr,start,end,exo_signal,endo_signal,enrichment,genomic_region
chr3,65392275,65392745,2.9775755581116927,0.7774217953469601,2.9775755581116927,Ssr3 (protein_coding)
chr13,48261040,48262467,2.6939556186337694,0.7871321325189999,2.6939556186337694,A330033J07Rik (lincRNA)
chr16,57121467,57122311,2.5871465148969577,1.0021778052191814,2.581524457460057,Tomm70a (protein_coding)
chr5,21425051,21425567,4.951914256383197,2.073839444655162,2.38780020755493,Fam185a (protein_coding)
chr1,86582144,86582638,2.6556729336295106,1.1150813409076545,2.3815957062538993,Pde6d (protein_coding)
chr19,16955885,16956227,2.2983619930251304,0.6727126952914424,2.2983619930251304,Prune2 (protein_coding)
chr17,87672359,87672989,2.271039707427019,0.7609552673698059,2.271039707427019,Msh2 (protein_coding)
chr7,6696357,6696642,2.2345410383150064,0.5314694116989224,2.2345410383150064,Zim1 (protein_coding)
chr12,38778640,38779114,2.1842311521915962,0.4720106493638335,2.1842311521915962,"Near Etv1 (protein_coding), 266bp"
chr6,52012222,52012799,2.355974670107872,1.1002675749207111,2.1412742898268644,Skap2 (protein_coding)
chr5,138255541,138255861,2.2122661126332623,1.0344019715240171,2.138690928221899,Lamtor4 (protein_coding)
chr7,3665238,3665517,2.362241492613501,1.1375692290836066,2.0765694361445197,Leng1 (protein_coding)
chr7,4876978,4877242,2.0450856732763727,0.8378000730398556,2.0450856732763727,Isoc2a (protein_coding)
chr17,25015254,25016862,2.3433077222914567,1.1703103593532913,2.0022959752200764,Ift140 (protein_coding)
chr17,53688993,53689412,2.154466358777375,1.0842907695493587,1.986982107827766,Sgol1 (protein_coding)
chr7,39552470,39552852,1.9786618861888603,0.553239630146974,1.9786618861888603,Gm37494 (lincRNA)
chr5,143909446,143910295,1.914819971518599,0.959110665959301,1.914819971518599,Aimp2 (protein_coding)
chr2,128125625,128128313,2.389773608005906,1.2526413230691087,1.907787619644144,Bcl2l11 (protein_coding)
chr17,15825474,15826841,1.899972897121688,0.8431711820674255,1.899972897121688,Chd1 (protein_coding)
chr11,50210277,50210941,2.093730918494449,1.1181926958424462,1.8724240699113424,Sqstm1 (protein_coding)
chr16,90142402,90144347,1.850249095049403,0.8823209054403857,1.850249095049403,Intergenic
chr14,31641076,31641345,1.8765777903179526,1.014559063431284,1.8496486384649533,Hacl1 (protein_coding)
chr9,21131207,21131569,2.402968762097046,1.301914044736743,1.8457199780673268,"Near 1700084C06Rik (antisense), 2814bp"
chr18,7626533,7626950,1.8426641932751997,0.4398247116921151,1.8426641932751997,Mpp7 (protein_coding)
chr15,83464171,83464553,1.8419617885864161,0.7124652969280574,1.8419617885864161,Pacsin2 (protein_coding)
chr8,3221033,3221283,1.8414632800761104,0.8145039315210298,1.8414632800761104,Insr (protein_coding)
chr17,21489081,21489297,1.8198815985744838,0.9198228310409609,1.8198815985744838,"Near Gm26753 (lincRNA), 206bp"
chr1,15805591,15806108,1.8128621217721548,0.4677545122461727,1.8128621217721548,Terf1 (protein_coding)
chr9,35569662,35570530,1.8096022044288154,0.72862620862687,1.8096022044288154,Hyls1 (protein_coding)
chr13,96542873,96543417,1.7781826976905541,0.6514928231676345,1.7781826976905541,Col4a3bp (protein_coding)
chr9,49055413,49055833,1.7589059626277934,0.981643495779768,1.7589059626277934,1700042D02Rik (lincRNA)
chr15,31224121,31224744,1.7586382597992203,0.9312145252860625,1.7586382597992203,Dap (protein_coding)
chr11,34833362,34833910,1.7542184110045038,0.43986104887516464,1.7542184110045038,Spdl1 (protein_coding)
chr2,109917558,109918372,1.7466664276977246,0.9344487488445925,1.7466664276977246,Lgr4 (protein_coding)
chr4,114999951,115000409,2.5712739219113496,1.4975448050892366,1.7169929828965158,Stil (protein_coding)
chr13,72628317,72631991,1.7151063576135321,0.9990893395391619,1.7151063576135321,Irx2 (protein_coding)
chr11,73199334,73199761,1.7109271501222565,0.8400035714171957,1.7109271501222565,Shpk (protein_coding)
chr8,87958428,87962795,1.6922606666016153,0.7204235326745978,1.6922606666016153,Zfp423 (protein_coding)
chr3,84814010,84815782,1.684780776692897,0.7914417677407256,1.684780776692897,Gm37240 (protein_coding)
chr4,49521030,49521279,1.684554452953791,0.6639196804539472,1.684554452953791,Mrpl50 (protein_coding)
chr17,3557391,3557765,1.6639620523130345,0.4485363775468097,1.6639620523130345,Tfb1m (protein_coding)
chr17,17838089,17838395,1.8958568898108505,1.141250210905853,1.6612105493553757,Spaca6 (protein_coding)
chr13,119755651,119755894,2.0876387175478825,1.2581440870364982,1.6593001859311851,Nim1k (protein_coding)
chr2,25262563,25263446,1.658463187875797,0.6128325222597314,1.658463187875797,Tprn (protein_coding)
chr4,109977332,109978615,1.7604558084784974,1.066521231047315,1.650652380121626,Dmrta2os (antisense)
chr5,108677592,108677836,1.6373823670776044,0.7517763508582811,1.6373823670776044,Idua (protein_coding)
chr17,17373975,17374290,1.6323757694373637,0.6958596283116051,1.6323757694373637,Chd1 (protein_coding)
chr5,131537191,131538947,1.631995930861646,0.223186742977752,1.631995930861646,Auts2 (protein_coding)
chr12,40445683,40446660,3.5996099963686286,2.220225951025569,1.6212809307565714,Zfp277 (protein_coding)
chr9,88438514,88439419,1.618699193130197,0.9853830101149063,1.618699193130197,Snx14 (protein_coding)
chr10,22730666,22732025,1.788631227328468,1.1053285232624637,1.6181896962625941,Tbpl1 (protein_coding)
chr14,101640202,101640508,1.8311769057306666,1.1342769549099079,1.6144001672643622,Commd6 (protein_coding)
