"seqnames","start","end","width","strand","gene","fold_change","bm3_signal","avg_bg_signal","log2FoldChange","padj","is_higher_than_bg","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr17",23822791,23823791,1001,"+","Mir5125",0,0,31.4279367033641,7.25157e-05,0.999694056,FALSE,"Promoter (<=1kb)",17,23823291,23823369,79,1,"100628593","ENSMUST00000175240.1",0,"ENSMUSG00000092981","Mir5125","microRNA 5125"
"chr7",102686827,102687827,1001,"-","Trim68",0,0,20.0825790300369,0.000132968,0.999614289,FALSE,"Promoter (<=1kb)",7,102677582,102687327,9746,2,"101700","ENSMUST00000082175.6",0,"ENSMUSG00000073968","Trim68","tripartite motif-containing 68"
"chr3",116858964,116859964,1001,"+","Frrs1",0,0,20.088324798584,9.70128e-05,0.999555847,FALSE,"Promoter (<=1kb)",3,116859464,116903478,44015,1,"20321","ENSMUST00000040260.10",0,"ENSMUSG00000033386","Frrs1","ferric-chelate reductase 1"
"chr17",34563768,34564768,1001,"+","Notch4",0,0,13.8231076405843,0.000246386,0.999555847,FALSE,"Promoter (<=1kb)",17,34564268,34588503,24236,1,"18132","ENSMUST00000015612.13",0,"ENSMUSG00000015468","Notch4","notch 4"
"chr7",34132768,34133768,1001,"-","Wtip",0,0,21.6396621863047,0.000256841,0.998968839,FALSE,"Promoter (<=1kb)",7,34109543,34133268,23726,2,"101543","ENSMUST00000038537.8",0,"ENSMUSG00000036459","Wtip","WT1 interacting protein"
"chr4",131842970,131843970,1001,"+","Mecr",0,0,20.4846665350596,0.000307839,0.998786821,FALSE,"Promoter (<=1kb)",4,131843470,131867786,24317,1,"26922","ENSMUST00000030742.10",0,"ENSMUSG00000028910","Mecr","mitochondrial trans-2-enoyl-CoA reductase"
"chr8",91492519,91493519,1001,"+","Gm45289",0,0,14.4496054875056,0.000540748,0.998786821,FALSE,"Exon (ENSMUST00000211048.1/ENSMUST00000211048.1, exon 1 of 1)",8,91467685,91666946,199262,1,"26383","ENSMUST00000140276.1",24834,"ENSMUSG00000055932","Fto","FTO alpha-ketoglutarate dependent dioxygenase"
"chr11",44662176,44663176,1001,"-","Gm12158",0,0,31.4013594366709,0.000615224,0.998519831,FALSE,"Exon (ENSMUST00000130493.1/ENSMUST00000130493.1, exon 1 of 2)",11,44621761,44643459,21699,1,"13591","ENSMUST00000138452.1",41415,"ENSMUSG00000057098","Ebf1","early B cell factor 1"
"chr1",86120383,86121383,1001,"+","Gm37914",0,0,5.55181851927439,-0.000702339,0.998184218,FALSE,"Exon (ENSMUST00000195317.1/ENSMUST00000195317.1, exon 1 of 1)",1,86127867,86132767,4901,1,"70247","ENSMUST00000149946.1",-6484,"ENSMUSG00000026229","Psmd1","proteasome (prosome, macropain) 26S subunit, non-ATPase, 1"
"chr3",152385760,152386760,1001,"+","Gm43858",0,0,7.60487527529399,-0.001095624,0.99772892,FALSE,"Exon (ENSMUST00000199418.1/ENSMUST00000199418.1, exon 1 of 1)",3,152382536,152384254,1719,1,"170822","ENSMUST00000198596.1",3224,"ENSMUSG00000025437","Usp33","ubiquitin specific peptidase 33"
