"seqnames","start","end","width","strand","gene","fold_change","bm3_signal","avg_bg_signal","log2FoldChange","padj","is_higher_than_bg","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr17",23822791,23823791,1001,"+","Mir5125",0,0,31.4279367033641,7.25157e-05,0.999694056,FALSE,"Promoter (<=1kb)",17,23823291,23823369,79,1,"100628593","ENSMUST00000175240.1",0,"ENSMUSG00000092981","Mir5125","microRNA 5125"
"chr7",102686827,102687827,1001,"-","Trim68",0,0,20.0825790300369,0.000132968,0.999614289,FALSE,"Promoter (<=1kb)",7,102677582,102687327,9746,2,"101700","ENSMUST00000082175.6",0,"ENSMUSG00000073968","Trim68","tripartite motif-containing 68"
"chr3",116858964,116859964,1001,"+","Frrs1",0,0,20.088324798584,9.70128e-05,0.999555847,FALSE,"Promoter (<=1kb)",3,116859464,116903478,44015,1,"20321","ENSMUST00000040260.10",0,"ENSMUSG00000033386","Frrs1","ferric-chelate reductase 1"
"chr17",34563768,34564768,1001,"+","Notch4",0,0,13.8231076405843,0.000246386,0.999555847,FALSE,"Promoter (<=1kb)",17,34564268,34588503,24236,1,"18132","ENSMUST00000015612.13",0,"ENSMUSG00000015468","Notch4","notch 4"
"chr15",95790343,95791343,1001,"+","Ano6",8.90327937526539,645.552011779785,72.5072172365189,7.37447e-05,0.999502949,TRUE,"Promoter (<=1kb)",15,95790843,95974751,183909,1,"105722","ENSMUST00000071874.7",0,"ENSMUSG00000064210","Ano6","anoctamin 6"
"chr11",97744204,97745204,1001,"-","Pip4k2b",10.5374653152068,723.577518615723,68.6671317030589,-0.000121978,0.999083824,TRUE,"Promoter (<=1kb)",11,97744897,97745035,139,1,"102466256","ENSMUST00000184148.1",0,"ENSMUSG00000098919","Mir8102","microRNA 8102"
"chr8",70233966,70234966,1001,"-","Armc6",4.53713000093342,260.088237915039,57.3243962287903,0.000264302,0.998968839,TRUE,"Promoter (<=1kb)",8,70234226,70261042,26817,1,"234373","ENSMUST00000164403.7",0,"ENSMUSG00000036054","Sugp2","SURP and G patch domain containing 2"
"chr7",34132768,34133768,1001,"-","Wtip",0,0,21.6396621863047,0.000256841,0.998968839,FALSE,"Promoter (<=1kb)",7,34109543,34133268,23726,2,"101543","ENSMUST00000038537.8",0,"ENSMUSG00000036459","Wtip","WT1 interacting protein"
"chr11",120467107,120468107,1001,"-","Arl16",2.11667992131149,250.084848022461,118.14958204333,0.000312883,0.998968839,TRUE,"Promoter (<=1kb)",11,120467635,120475319,7685,1,"15239","ENSMUST00000141826.1",0,"ENSMUSG00000025793","Hgs","HGF-regulated tyrosine kinase substrate"
"chr4",131842970,131843970,1001,"+","Mecr",0,0,20.4846665350596,0.000307839,0.998786821,FALSE,"Promoter (<=1kb)",4,131843470,131867786,24317,1,"26922","ENSMUST00000030742.10",0,"ENSMUSG00000028910","Mecr","mitochondrial trans-2-enoyl-CoA reductase"
"chr8",91492519,91493519,1001,"+","Gm45289",0,0,14.4496054875056,0.000540748,0.998786821,FALSE,"Exon (ENSMUST00000211048.1/ENSMUST00000211048.1, exon 1 of 1)",8,91467685,91666946,199262,1,"26383","ENSMUST00000140276.1",24834,"ENSMUSG00000055932","Fto","FTO alpha-ketoglutarate dependent dioxygenase"
