gene,chr,cpg_start,cpg_end,mecp2_enrichment,exo_signal,endo_signal,binding_type,distance_to_gene,baseMean,log2FoldChange,padj,category
1700017B05Rik,chr9,57261524,57262813,1.5983257808972524,46.87038052390962,29.32467278203946,both,214,1745.460139,0.675641148,1.6683300000000002e-18,up-regulated
1700028E10Rik,chr5,151368422,151369010,1.471905660449917,427.0079732388196,290.10553102180216,both,253,159.029791,0.609640339,0.001748133,up-regulated
1700040D17Rik,chr3,94412490,94413511,2.1251587970152497,614.2965821437015,289.05914372444585,both,592,134.5468659,0.514338302,0.029057986,up-regulated
1700052K11Rik,chr11,105180784,105182432,0.4306032473464828,75.8402278010495,176.12553613657496,both,999,202.0011244,0.568738173,0.000992528,up-regulated
2700081O15Rik,chr19,7416805,7418524,2.011490151849294,96.4492807876663,47.94916877867595,both,820,1267.325375,0.692087127,1.7533e-16,up-regulated
2900026A02Rik,chr5,113220579,113221436,1.2541623349782334,25.27841674986392,20.15561785333207,both,200,778.7579088,0.794256827,1.93712e-11,up-regulated
4921531C22Rik,chr2,179976501,179977237,5.314987196924511,147.28020832889896,27.710359944822045,both,508,103.5674237,0.551261725,0.040066851,up-regulated
4930402H24Rik,chr2,130839643,130840396,0.4629185610974319,47.65750318038533,102.95008060900524,both,66010,2150.052749,0.795562193,3.68776e-16,up-regulated
4930412M03Rik,chr11,60115124,60115553,3.4450393778781216,291.2788595109401,84.5502264448267,both,323,120.8364027,1.029123074,8.07669e-06,up-regulated
4930570G19Rik,chr3,156560893,156561148,3.4848623193524912,224.7228060892577,64.48541879009228,both,598,207.9870016,0.887199948,7.35831e-08,up-regulated
5730409E04Rik,chr4,126609607,126610142,0.0522196587855181,2.018594062811263,38.65582636420961,both,211,291.1664592,0.790566042,2.08733e-08,up-regulated
6330403K07Rik,chr11,71033181,71033484,1.5170064617147294,62.02576586594344,40.88694902184753,both,29,112.588146,0.535408408,0.021937369,up-regulated
6530402F18Rik,chr2,29251508,29253279,4.604503803743806,146.68706607793814,31.85730153131171,both,273,362.1207499,0.929879136,1.098e-10,up-regulated
9930014A18Rik,chr15,60822970,60825075,5.322691657199562,454.5434507864182,85.39729145715121,both,699,186.1507961,1.219880338,1.62891e-11,up-regulated
A330023F24Rik,chr1,194976273,194976831,1.938749836220612,48.952853310468846,25.24970081023825,both,102,315.5327934,0.624403905,8.08267e-06,up-regulated
A330074H02Rik,chr7,79508517,79509111,0.9049760708836644,154.30346304346145,170.50557247639904,both,1845,113.0574396,0.517700478,0.036826123,up-regulated
A930004D18Rik,chr2,18026552,18026829,5.74916430557447,188.2949434683029,32.75170676296892,both,1359,143.2732844,1.414702116,3.42785e-13,up-regulated
A930012L18Rik,chr18,44661646,44662253,2.277187307737883,180.4969022662309,79.26308988852274,both,19,202.0494362,2.008795152,1.85618e-30,up-regulated
AW011738,chr4,156203061,156203844,8.024743739381757,122.6545792477451,15.284547797559286,both,243,264.2796204,1.245924988,5.75086e-17,up-regulated
Aak1,chr6,86849544,86849940,3.2944238677912767,293.6416894093985,89.1329413559247,both,27,9040.14736,0.523063725,5.84333e-21,up-regulated
Abat,chr16,8513265,8513607,1.2445920196078548,243.6025771222497,195.72885996730383,both,164,2381.129589,1.737878259,1.97203e-69,up-regulated
Abca1,chr4,53159785,53160188,1.9813570386128283,234.416465719712,118.31106718849104,both,293,1217.144188,2.799356316,6.95236e-29,up-regulated
Abca2,chr2,25428494,25429077,0.5905512920132704,37.0702692584595,62.77231082177784,both,209,1763.7554,0.553772984,1.20038e-09,up-regulated
Abca3,chr17,24351677,24352599,0.96309655221729,227.16378517255168,235.8681324832527,both,273,1274.60487,1.025460455,9.25501e-38,up-regulated
Abcc10,chr17,46327802,46328498,2.166378921272035,276.359850230615,127.56764179940622,both,146,201.479629,0.544496469,0.008075368,up-regulated
Abr,chr11,76622237,76623850,2.177255949024919,174.22513321079558,80.02051081262267,both,1536,1849.570236,1.712398668,3.7814e-112,up-regulated
Acer3,chr7,98308966,98309678,1.9447830124810976,264.98150635132754,136.25247888877425,both,11530,1465.904913,0.674830696,1.53312e-17,up-regulated
