"seqnames","start","end","width","strand","gene","fold_change","bm3_signal","avg_bg_signal","log2FoldChange","padj","is_higher_than_bg","peak_id","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr17",34563768,34564768,1001,"+","Notch4",0,0,13.8231076405843,0.000246386,0.999555847,FALSE,"peak_1","Promoter (<=1kb)",17,34564268,34588503,24236,1,"18132","ENSMUST00000015612.13",0,"ENSMUSG00000015468","Notch4","notch 4"
"chr7",34132768,34133768,1001,"-","Wtip",0,0,21.6396621863047,0.000256841,0.998968839,FALSE,"peak_4","Promoter (<=1kb)",7,34109543,34133268,23726,2,"101543","ENSMUST00000038537.8",0,"ENSMUSG00000036459","Wtip","WT1 interacting protein"
"chr11",54522347,54523347,1001,"+","Rapgef6",0,0,52.7412214412689,-0.00164666,0.990480218,FALSE,"peak_15","Promoter (<=1kb)",11,54522847,54699285,176439,1,"192786","ENSMUST00000102743.9",0,"ENSMUSG00000037533","Rapgef6","Rap guanine nucleotide exchange factor (GEF) 6"
"chr16",11202866,11203866,1001,"+","2610020C07Rik",0.44188223596491,23.3412210083008,52.8222659988403,0.004822935,0.986080342,FALSE,"peak_23","Promoter (<=1kb)",16,11192970,11203331,10362,2,"66409","ENSMUST00000119953.1",0,"ENSMUSG00000005846","Rsl1d1","ribosomal L1 domain containing 1"
"chr10",121462194,121463194,1001,"-","Gm48591",0,0,43.9307116171519,0.009833715,0.979576312,FALSE,"peak_31","Promoter (<=1kb)",10,121414387,121462213,47827,2,"192678","ENSMUST00000219500.1",0,"ENSMUSG00000025795","Rassf3","Ras association (RalGDS/AF-6) domain family member 3"
"chr5",22549932,22550932,1001,"+","6030443J06Rik",0,0,41.2528284174601,0.008663187,0.978671216,FALSE,"peak_33","Promoter (<=1kb)",5,22486485,22550304,63820,2,"26429","ENSMUST00000135906.7",0,"ENSMUSG00000029012","Orc5","origin recognition complex, subunit 5"
"chr17",17854705,17855705,1001,"-","Has1",0,0,34.2953950405121,0.011570933,0.975424666,FALSE,"peak_35","Promoter (<=1kb)",17,17843323,17855188,11866,2,"15116","ENSMUST00000003762.7",0,"ENSMUSG00000003665","Has1","hyaluronan synthase 1"
"chr10",67004520,67005520,1001,"+","Gm31763",0,0,20.2776026503245,0.015753019,0.967860659,FALSE,"peak_50","Promoter (<=1kb)",10,67005020,67040806,35787,1,"102634101","ENSMUST00000217788.1",0,"ENSMUSG00000112925","Gm31763","predicted gene, 31763"
"chr1",36371791,36372791,1001,"+","Fer1l5",0,0,25.4415272830327,-0.019549074,0.963653861,FALSE,"peak_55","Promoter (<=1kb)",1,36372291,36422107,49817,1,"100534273","ENSMUST00000179162.6",0,"ENSMUSG00000037432","Fer1l5","fer-1 like family member 5"
"chr18",12739822,12740822,1001,"+","Cabyr",0,0,32.2155043614705,0.024460726,0.963623623,FALSE,"peak_56","Promoter (<=1kb)",18,12740322,12755260,14939,1,"71132","ENSMUST00000234735.1",0,"ENSMUSG00000024430","Cabyr","calcium binding tyrosine phosphorylation regulated"
"chr9",108052659,108053659,1001,"+","Amigo3",0,0,63.7036283607483,0.025425225,0.956779407,FALSE,"peak_68","Promoter (<=1kb)",9,108053159,108055701,2543,1,"320844","ENSMUST00000085060.2",0,"ENSMUSG00000032593","Amigo3","adhesion molecule with Ig like domain 3"
"chr7",13276783,13277783,1001,"+","Lig1",0,0,23.3960618505478,0.008440465,0.955090664,FALSE,"peak_72","Promoter (<=1kb)",7,13277283,13311425,34143,1,"16881","ENSMUST00000148471.8",0,"ENSMUSG00000056394","Lig1","ligase I, DNA, ATP-dependent"
"chr6",72097092,72098092,1001,"+","St3gal5",0.524359878884707,26.6756811523437,50.8728494046529,0.021523012,0.952213488,FALSE,"peak_75","Promoter (<=1kb)",6,72097592,72154571,56980,1,"20454","ENSMUST00000069994.10",0,"ENSMUSG00000056091","St3gal5","ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
"chr19",31082337,31083337,1001,"+","Cstf2t",0.758065047246999,56.6858224487305,74.7769899886449,-0.010830002,0.927825831,FALSE,"peak_108","Promoter (<=1kb)",19,31082837,31087069,4233,1,"83410","ENSMUST00000066039.7",0,"ENSMUSG00000053536","Cstf2t","cleavage stimulation factor, 3' pre-RNA subunit 2, tau"
"chr1",34823025,34824025,1001,"+","Gm37127",0,0,31.9947201999029,-0.028649552,0.917080596,FALSE,"peak_128","Exon (ENSMUST00000192924.1/ENSMUST00000192924.1, exon 1 of 1)",1,34817235,34842964,25730,2,"214469","ENSMUST00000170092.7",18939,"ENSMUSG00000037503","Fam168b","family with sequence similarity 168, member B"
"chr7",27674098,27675098,1001,"-","Map3k10",0,0,72.4297854798635,-0.025646483,0.891347064,FALSE,"peak_165","Promoter (<=1kb)",7,27656375,27674594,18220,2,"269881","ENSMUST00000036453.13",0,"ENSMUSG00000040390","Map3k10","mitogen-activated protein kinase kinase kinase 10"
"chr12",102757303,102758303,1001,"-","Gon7",0,0,85.0841184708277,0.036554022,0.886165662,FALSE,"peak_169","Promoter (<=1kb)",12,102719975,102757765,37791,2,"100233175","ENSMUST00000179306.1",0,"ENSMUSG00000091931","Gon7","GON7 subunit of KEOPS complex"
"chr5",149182683,149183683,1001,"+","Gm43332",0,0,9.03374446105957,0.080269621,0.880376419,FALSE,"peak_176","Promoter (<=1kb)",5,149119565,149184063,64499,2,"433966","ENSMUST00000180733.1",380,"ENSMUSG00000097191","Mm2pr","macrophage M2 polarization regulator"
"chr3",152265850,152266850,1001,"-","Nexn",0,0,30.9887573623657,-0.035287983,0.876728991,FALSE,"peak_181","Promoter (<=1kb)",3,152236982,152266318,29337,2,"68810","ENSMUST00000046045.12",0,"ENSMUSG00000039103","Nexn","nexilin"
"chr1",139069713,139070713,1001,"+","Gm43544",0,0,10.3892728281021,-0.064888623,0.868929358,FALSE,"peak_193","Exon (ENSMUST00000196474.1/ENSMUST00000196474.1, exon 1 of 1)",1,139085924,139136315,50392,1,"329260","ENSMUST00000198418.1",-15211,"ENSMUSG00000056268","Dennd1b","DENN domain containing 1B"
"chr14",59597459,59598459,1001,"-","Cdadc1",1.54514152748116,89.6969778747559,58.0509786834717,0.030753656,0.867996134,FALSE,"peak_195","Promoter (<=1kb)",14,59559388,59597939,38552,2,"71891","ENSMUST00000225839.1",0,"ENSMUSG00000021982","Cdadc1","cytidine and dCMP deaminase domain containing 1"
"chr12",102758172,102759172,1001,"-","Gm20604",0,0,24.0636558659871,0.050796306,0.86473997,FALSE,"peak_211","Promoter (<=1kb)",12,102741732,102758672,16941,2,"100859931","ENSMUST00000174651.1",0,"ENSMUSG00000041716","Gm20604","predicted gene 20604"
"chr10",39657926,39658926,1001,"-","2900078I11Rik",0,0,22.6213851458232,-0.065958062,0.86473997,FALSE,"peak_213","Exon (ENSMUST00000214556.1/ENSMUST00000214556.1, exon 1 of 1)",10,39650555,39654825,4271,1,"103213","ENSMUST00000155945.1",8371,"ENSMUSG00000019842","Traf3ip2","TRAF3 interacting protein 2"
"chr7",4149874,4150874,1001,"-","Leng9",0.643767237542571,16.3388408203125,25.3800440088908,-0.083919516,0.855830129,FALSE,"peak_225","Promoter (<=1kb)",7,4147915,4150374,2460,2,"243813","ENSMUST00000058358.7",0,"ENSMUSG00000043432","Leng9","leukocyte receptor cluster (LRC) member 9"
"chr1",128100970,128101970,1001,"-","Gm38026",0,0,9.8064542388916,-0.095381721,0.853629544,FALSE,"peak_229","Promoter (1-2kb)",1,128057856,128102454,44599,2,"226409","ENSMUST00000124876.1",1484,"ENSMUSG00000036086","Zranb3","zinc finger, RAN-binding domain containing 3"
"chr4",121097741,121098741,1001,"-","Zmpste24",0,0,42.5511717427572,-0.021844463,0.842388166,FALSE,"peak_241","Promoter (<=1kb)",4,121059237,121098241,39005,2,"230709","ENSMUST00000058754.8",0,"ENSMUSG00000043207","Zmpste24","zinc metallopeptidase, STE24"
"chr16",11143625,11144625,1001,"+","Gm23935",0.306366346558537,143.381682434082,468.007286194166,0.3109485,0.83709011,FALSE,"peak_247","Promoter (1-2kb)",16,11139043,11141907,2865,2,"106205","ENSMUST00000143121.1",-1718,"ENSMUSG00000037965","Zc3h7a","zinc finger CCCH type containing 7 A"
"chr9",22475215,22476215,1001,"+","Bbs9",1.13463361891333,70.0236630249023,61.7147789891561,0.035175925,0.834731022,FALSE,"peak_248","Promoter (<=1kb)",9,22475715,22888280,412566,1,"319845","ENSMUST00000039798.15",0,"ENSMUSG00000035919","Bbs9","Bardet-Biedl syndrome 9"
