"seqnames","start","end","width","strand","gene","fold_change","bm3_signal","avg_bg_signal","log2FoldChange","padj","is_higher_than_bg","peak_id","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr17",34563768,34564768,1001,"+","Notch4",0,0,13.8231076405843,0.000246386,0.999555847,FALSE,"peak_1","Promoter (<=1kb)",17,34564268,34588503,24236,1,"18132","ENSMUST00000015612.13",0,"ENSMUSG00000015468","Notch4","notch 4"
"chr11",97744204,97745204,1001,"-","Pip4k2b",10.5374653152068,723.577518615723,68.6671317030589,-0.000121978,0.999083824,TRUE,"peak_2","Promoter (<=1kb)",11,97744897,97745035,139,1,"102466256","ENSMUST00000184148.1",0,"ENSMUSG00000098919","Mir8102","microRNA 8102"
"chr8",70233966,70234966,1001,"-","Armc6",4.53713000093342,260.088237915039,57.3243962287903,0.000264302,0.998968839,TRUE,"peak_3","Promoter (<=1kb)",8,70234226,70261042,26817,1,"234373","ENSMUST00000164403.7",0,"ENSMUSG00000036054","Sugp2","SURP and G patch domain containing 2"
"chr7",34132768,34133768,1001,"-","Wtip",0,0,21.6396621863047,0.000256841,0.998968839,FALSE,"peak_4","Promoter (<=1kb)",7,34109543,34133268,23726,2,"101543","ENSMUST00000038537.8",0,"ENSMUSG00000036459","Wtip","WT1 interacting protein"
"chr11",120467107,120468107,1001,"-","Arl16",2.11667992131149,250.084848022461,118.14958204333,0.000312883,0.998968839,TRUE,"peak_5","Promoter (<=1kb)",11,120467635,120475319,7685,1,"15239","ENSMUST00000141826.1",0,"ENSMUSG00000025793","Hgs","HGF-regulated tyrosine kinase substrate"
"chr7",135536981,135537981,1001,"+","Ptpre",14.6620469116431,683.562554321289,46.6212227010727,0.000757596,0.998184218,TRUE,"peak_6","Promoter (<=1kb)",7,135537481,135686293,148813,1,"19267","ENSMUST00000211140.1",0,"ENSMUSG00000041836","Ptpre","protein tyrosine phosphatase receptor type E"
"chr4",46195811,46196811,1001,"-","Xpa",1.3626241223578,70.0236630249023,51.3888326765696,-0.00161607,0.995897091,TRUE,"peak_7","Promoter (<=1kb)",4,46155347,46196311,40965,2,"22590","ENSMUST00000058232.10",0,"ENSMUSG00000028329","Xpa","xeroderma pigmentosum, complementation group A"
"chr3",69126613,69127613,1001,"-","Kpna4",6.71184815274837,367.790684112549,54.7972295770645,0.000569285,0.995546837,TRUE,"peak_8","Promoter (<=1kb)",3,69067149,69127113,59965,2,"16649","ENSMUST00000029353.8",0,"ENSMUSG00000027782","Kpna4","karyopherin subunit alpha 4"
"chr4",80910146,80911146,1001,"+","Lurap1l",20.0106824392866,536.847440185547,26.8280425624847,0.002091491,0.994297181,TRUE,"peak_9","Promoter (<=1kb)",4,80910646,80955628,44983,1,"52829","ENSMUST00000055922.3",0,"ENSMUSG00000048706","Lurap1l","leucine rich adaptor protein 1-like"
"chr5",115300620,115301620,1001,"+","Gm13830",2.69133707076202,283.428935852051,105.311571311951,0.004887844,0.993525114,TRUE,"peak_10","Promoter (<=1kb)",5,115301120,115319208,18089,1,"102639268","ENSMUST00000149609.1",0,NA,"Gm13830","predicted gene 13830"
"chr7",45061929,45062929,1001,"+","Nosip",2.77500201401191,253.085244781494,91.2018238197962,-0.001565613,0.99220196,TRUE,"peak_11","Promoter (<=1kb)",7,45053584,45062677,9094,2,"65116","ENSMUST00000210690.1",0,"ENSMUSG00000007837","Prrg2","proline-rich Gla (G-carboxyglutamic acid) polypeptide 2"
"chr15",66577060,66578060,1001,"+","Phf20l1",16.010262458899,663.558019104004,41.4457927099864,0.001182092,0.992160926,TRUE,"peak_12","Promoter (<=1kb)",15,66577560,66611616,34057,1,"239510","ENSMUST00000230882.1",0,"ENSMUSG00000072501","Phf20l1","PHD finger protein 20-like 1"
"chr8",4216959,4217959,1001,"-","Prr36",19.7241617562657,888.298784912109,45.0360728069941,0.004584337,0.992160926,TRUE,"peak_13","Promoter (<=1kb)",8,4209543,4217312,7770,2,"73072","ENSMUST00000168386.8",0,"ENSMUSG00000064125","Prr36","proline rich 36"
"chr4",41314389,41315389,1001,"-","Dcaf12",22.1831147294532,786.433538024902,35.4518987805049,-0.001609808,0.990691738,TRUE,"peak_14","Promoter (<=1kb)",4,41291300,41314889,23590,2,"68970","ENSMUST00000030145.8",0,"ENSMUSG00000028436","Dcaf12","DDB1 and CUL4 associated factor 12"
"chr11",54522347,54523347,1001,"+","Rapgef6",0,0,52.7412214412689,-0.00164666,0.990480218,FALSE,"peak_15","Promoter (<=1kb)",11,54522847,54699285,176439,1,"192786","ENSMUST00000102743.9",0,"ENSMUSG00000037533","Rapgef6","Rap guanine nucleotide exchange factor (GEF) 6"
"chr8",33599125,33600125,1001,"+","Ppp2cb",36.0316090248075,570.192955932617,15.8247985967,-0.001697718,0.990283159,TRUE,"peak_16","Promoter (<=1kb)",8,33599625,33619441,19817,1,"19053","ENSMUST00000009774.10",0,"ENSMUSG00000009630","Ppp2cb","protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform"
"chr18",6515608,6516608,1001,"-","Epc1",3.02242646068636,276.76035369873,91.5689289048513,-0.001552513,0.990283159,TRUE,"peak_17","Promoter (<=1kb)",18,6435951,6516108,80158,2,"13831","ENSMUST00000115870.8",0,"ENSMUSG00000024240","Epc1","enhancer of polycomb homolog 1"
"chr8",111521592,111522592,1001,"-","Wdr59",6.34565574484979,713.572580871582,112.45056611379,-0.002890168,0.989057677,TRUE,"peak_18","Promoter (<=1kb)",8,111448797,111522092,73296,2,"319481","ENSMUST00000038193.14",0,"ENSMUSG00000031959","Wdr59","WD repeat domain 59"
"chr16",4559354,4560354,1001,"-","Tfap4",6.1675630513505,202.067724487305,32.7629766902924,-0.003419369,0.989057677,TRUE,"peak_19","Promoter (<=1kb)",16,4544661,4559854,15194,2,"83383","ENSMUST00000005862.8",0,"ENSMUSG00000005718","Tfap4","transcription factor AP4"
"chr1",91540044,91541044,1001,"+","Asb1",4.28438314254537,606.87123046875,141.647282765706,-0.002981208,0.988857276,TRUE,"peak_20","Promoter (<=1kb)",1,91540544,91556088,15545,1,"65247","ENSMUST00000086843.10",0,"ENSMUSG00000026311","Asb1","ankyrin repeat and SOCS box-containing 1"
"chr6",34910376,34911376,1001,"-","Wdr91",26.2405620275909,1547.18689263916,58.9616522318522,-0.00337254,0.986741704,TRUE,"peak_21","Promoter (<=1kb)",6,34880426,34910876,30451,2,"101240","ENSMUST00000081214.11",0,"ENSMUSG00000058486","Wdr91","WD repeat domain 91"
"chr2",136890889,136891889,1001,"-","Mkks",22.757107101816,3580.53925805664,157.337188863118,-0.003222043,0.986080342,TRUE,"peak_22","Promoter (<=1kb)",2,136873780,136891382,17603,2,"59030","ENSMUST00000028730.12",0,"ENSMUSG00000027274","Mkks","McKusick-Kaufman syndrome"
"chr16",11202866,11203866,1001,"+","2610020C07Rik",0.44188223596491,23.3412210083008,52.8222659988403,0.004822935,0.986080342,FALSE,"peak_23","Promoter (<=1kb)",16,11192970,11203331,10362,2,"66409","ENSMUST00000119953.1",0,"ENSMUSG00000005846","Rsl1d1","ribosomal L1 domain containing 1"
